Job_title,Company,State,City,Min_Salary,Max_Salary,unitText,SalaryCurrency,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
Data Scientist,GSL Group,British Columbia,Vancouver,-1,-1,,CAD,"We innovate | We have tenacity |We Empower | We get things done | We are Unique |We have fun
Who we are:
GSL Group includes a wide range of businesses including Real Estate Development, Holdings and Construction (Commercial, Industrial, Residential and Sports & Entertainment Facilities), E-Commerce, Sports and Entertainment, Travel & Hospitality, Food & Beverage, and Agriculture.
We are looking for a full-time, experienced Data Scientist who will support our product, sales, marketing and leadership teams with insights gained from analyzing company and external data. While we are based in Vancouver, our team has the option to work from our head office in Vancouver or remotely anywhere in BC.
Have we got your attention yet? Good! Now let’s get into the details:
A day in the life:
Enhance our machine learning software with the latest in machine learning algorithms
Employ machine learning and statistical modeling to generate value to our users
Discover new predictive insights in our dataset and design systems that regularly compute new predictive models
Read and conduct research to develop mathematical solutions to our most pressing problems
Engineer to put your research into practice
Work with stakeholders throughout the organization to identify opportunities for leveraging company and external data to drive business solutions
Assess the effectiveness and accuracy of new data sources and data gathering techniques
Coordinate with different functional teams to implement models and monitor outcomes
You own this if you have:
BS or MS in Computer Science, Computer Engineering, Statistics or related field
3+ years of experience in machine learning, algorithm development and feature engineering
Knowledge of data management and visualization techniques
A knack for statistical analysis and predictive modeling
Proven experience on deploying machine learning models into the cloud, preferably AWS
Proficiency in Python and knowledge of R
Experience with Microsoft Excel, SQL and NoSQL databases
Strong analytical and problem-solving skills
Ideally you will have:
Strong experience using a variety of data mining/data analysis methods
Is comfortable with ambiguity and change; enjoys working in a self-directed entrepreneurial work environment
Self-motivated, detail-oriented and results-driven
Positive outlook, curious, desire to learn and grow
Works with a sense of urgency
Excellent written and verbal communication skills
Benefits, perks & other cool stuff:
Competitive salary
Employer paid dental & extended health coverage
Life insurance and disability coverage
Employee and Family Assistance Program (EFAP)
Compensation: Will be commensurate with experience
Job Location: Vancouver
GSL is proud to be an equal opportunity employer. We value diversity and are dedicated to providing a work environment that is free from harassment and discrimination. All employment decisions are made based on qualifications, job requirements and business needs. GSL is passionate about being known for an inclusive culture where talented people of all backgrounds want to work.",,,2022-09-04T00:00:00,2022-10-16,FULL_TIME
Senior Data Scientist,Cascadia Scientific,British Columbia,Surrey,-1,-1,,CAD,"SUMMARYCascadia Scientific is excited to be adding a Senior Data Scientist to our team. Cascadia is a clean-tech company and leader in the application of machine learning in the mining industry with clients spanning five continents and including some of the largest mining companies in the world. We deliver an IIOT platform that measures and reports high accuracy fuel consumption in a mining haulage environment and delivers insights to drive efficiencies in operations. Cascadia is headquartered near Vancouver, Canada with employees based in several countries around the world.As the Senior Data Scientist on the team you will be responsible for maintaining data quality, exploring and developing new analytic tools, delivering custom analytics that address business improvement initiatives and working with other Data Scientists on the team. The role will require close collaboration with the software development and account management teams to drive projects through ideation to deployment.PRIMARY RESPONSIBILITIES:Performing custom analysis to answer specific business questionsEngaging with clients as a technical expert to understand problems and communicate resultsInvestigating anomalies and performing cleaning to maintain data healthExploring new analytic features and assisting the software development team with deployment on our client facing portalREQUIRED EXPERIENCE:Extensive experience with Python, SQL, and Machine Learning5 years working with linear regression, random forest and boosted trees modelsK-Means and Density-based ClusteringClassical time series analysis including ARIMAAnomaly detection for identification of eventsExplaining model feature attribution through SHAP valuesAdvanced Degree in data science, statistics, computer science or a related field with equivalent experienceManaging Data Scientists and AnalystsPREFERRED QUALIFICATIONSWorking with AWS code commit, S3 buckets and ECS instancesDeveloping visualizations and dashboards with Power BIWork experience in mining or mining supplyKnowledge of diesel engines and high horsepower equipmentAbility to speak Spanish would be an assetJob Types: Full-time, PermanentSalary: $80,000.00-$110,000.00 per yearBenefits:Dental careExtended health careVision careSchedule:8 hour shiftAbility to commute/relocate:Surrey, BC: reliably commute or plan to relocate before starting work (required)Education:Bachelor's Degree (required)Experience:Machine learning: 5 years (preferred)",,,2022-09-12T00:00:00,2022-10-16,FULL_TIME
"Data Scientist, Statistician",Data Interview Pro,Ontario,Toronto,-1,-1,,CAD,"About USAn online education company looks for a statistician for long-term collaboration (more than 1 year). We help data scientists land their dream jobs by being strategic and efficient in their interview preparation. We believe everyone deserves their dream career.Our website https://www.datainterviewpro.com/Our YT channel https://www.youtube.com/channel/UCAWsBMQY4KSuOuGODki-l7AResponsibilityThis is a full-time contractor role that requires at least 35hr / week.You will work with our content manager closely to create technical content (mainly video scripts and text lessons).You’ll meet with our content manager on a weekly basis to go over requirements and comments and brainstorm content ideas together.You have at least 30 hr a week on average to create content (scripts, slides, and text lessons).Must be experienced with statistics. A ph.D. in statistics or related quantitative fields is a must. To be the best fit for this project you needHave experience doing research, i.e reading technical papers and blog posts. Being able to create high-quality technical content. You can see some examples on our YT channel.Have teaching experience in school, know how to explain complicated technical concepts to students.Have a willingness to learn new things including industry best practices, new technology, and skillsets.Having knowledge in the areas below is a plusCausal inferenceMachine LearningSQLBenefitsThis role is fully remote so it does not require a commute. You have the flexiblity to work during weekdays and weekends.Starting hourly rate is $40/hr.We review compensation twice a year for full-time roles, so there’s room for an increase every six months.Long termOther than technical content creation, you’ll become a coach for some of our digital courses.Answer students' technical questions and host office hours. You only really know something when you can explain it to others using your own words.If you are interested in this job, please apply and send over some working samples that you think might be helpful for us to evaluate your qualifications.Job Type: Full-timePay: From $40.00 per hourFlexible Language Requirement:French not requiredSchedule:8 hour shiftEducation:Doctoral Degree (required)",,,2022-09-10T00:00:00,2022-10-16,FULL_TIME
Data Scientist Intern,Nestle,Ontario,North York,-1,-1,,CAD,"A little bit about us

Good Food, Good Life is the very essence of Nestlé. This philosophy can be traced back to our beginnings. The Nestlé Company was founded in 1867 by Henri Nestlé, who developed the first milk-based baby formula. Today, 150 years later, we are recognized as the world’s largest Food and Beverage Company employing around 280,000 people and have factories or operations in almost every country in the world. Nestlé Canada has a wide variety of food, beverage and nutrition products to help you and your family live happier and healthier lives including: Gerber and Good Start, Nescafé, KitKat, Smarties, Aero, Delissio, Häagen-Dazs, Boost, Purina, and Nestlé Waters. Nestlé Canada supports your personal growth with a people-focused culture and a flexible and diverse working environment. Our aim is to create a unique career experience for talented young professionals like you. Join us to find out why, There is more to Life at Nestlé…

Position Snapshot

Business areas: Nestle Canada

Job title: Data Scientist Intern

Location: North York, ON (Hybrid Role)

Position Summary

We are looking for a Finance Data Scientist Intern based at our North York Location from May to August 2023. This role will be responsible for engaging with stakeholder to understand the business needs to produce insightful, actionable analytics and KPI’s.
A day in the life of a Finance Data Scientist Intern

As a Data Scientist Intern you will be working on the Analytics team, to empower business partners by providing powerful tools and insightful analytics.
You will also:
Explore data, answering questions and finding new business opportunities. You will perform ad hoc analysis producing valuable insights to business stakeholders
Engage with stakeholders to understand the business needs to produce insightful, actionable analytics and KPIs
Add value to the business by working on key decision support solutions from various facets of our business
Build your business acumen and leadership capabilities and support your development and long-term success.
What will make you successful?

As the successful candidate, you will have a passion for solving challenging issues, through seeing a story behind the numbers. You are curious for discovery, able to think outside the box, and can understand the user needs and translate the tech language.

You will also:
Currently enrolled in a Computer Science program or a related discipline.
A proactive creative thinker who can generate new ideas/solutions to meet end user requirements.
Ability to cultivate business relationships with strong interpersonal, communication and presentation skills.
Fast learner, and must be comfortable working within a dynamic, challenging environment.
Results oriented with proven exceptional analytical and critical thinking skills.
Good foundational understanding of statistical, predictive modelling, machine learning.
Strong coding skills.
Experience with data visualization tools is a plus (QlikView, Microsoft BI)
We have a friendly, supportive team with a coaching and mentoring environment. There are real opportunities for future development and progression – this really could be a move towards the exciting Financial career you’ve always wanted.
What you need to know
Applications close on October 14, 2022
If you are selected to move forward in the process, you will be contacted for a video interview by October 21, 2022
You will have access to excellent training and development programs as well as opportunities to grow within the company.
Through your term, you will receive developmental feedback to ensure that you are learning and understanding the importance of Human Resources within the world’s largest food company.
You will also build your business acumen and leadership capabilities and support your development and long-term success.
The closing date for applications is October 14. We will be considering applicants as they apply, so please don’t delay in submitting your application.

Nestlé is an equal opportunity employer committed to diversity and inclusion. If you are selected to participate in the recruitment process, please inform Human Resources of any accommodations you may require. Nestlé will work with you in an effort to ensure that you are able to fully participate in the process.

#NestléCAHiring",Manufactura,,2022-09-15T00:00:00,2022-10-16,OTHER
Associate Data Scientist,Manulife,Ontario,Toronto,-1,-1,,CAD,"Are you looking for a supportive, collaborative workplace with great teams and inspiring leaders? You’ve come to the right place. We’re looking for ambitious people who share our values and want to make every day better for people around the world. If this sounds like you, and the career below sounds exciting, we’d like to hear from you.
Working Arrangement
Hybrid
Job Description
Manulife’s bold ambition is to become a digital, customer leader. As part of this ambition, we have made a significant investment in Advanced Analytics and AI capabilities. The goal of the Group Advanced Analytics & AI team is to research, build, and deliver cutting edge capabilities to better support our external customers as well as provide actionable insights to our internal corporate stakeholders.
As Associate Data Scientist, you will play a key role in achieving this ambitious mission. The successful candidate will bring their strong communication skills, innovation, a mindset for critical thinking, strategic and functional expertise, leveraged through data management and analytics to drive success across multiple corporate functions such as Digital Marketing, Human Resources, Procurement, Corporate Real Estate, IT Operations and Strategic Portfolio Optimization.
What motivates you?
You obsess about customers, listen, engage and act for their benefit
You think big, with curiosity to discover ways to use your agile mindset and enable business outcomes
You thrive in teams, and enjoy getting things done together
You take ownership and build solutions, focusing on what matters
You do what is right, work with integrity and speak up
You share your humanity, helping us build a diverse and inclusive work environment for everyone
We are looking for someone with:
Master’s or Ph.D. in a quantitative discipline (Business Statistics, Applied Mathematics, Computer Science, etc.).
3+ years of experience in developing probabilistic models, data mining, and machine learning algorithms, including real world experience of applying analytics models and techniques in the marketing and customer value management area.
Proficiency in languages used for querying, data processing, statistical analysis, model building, and monitoring, including Python, SQL, graph databases (Neo4j/Cypher, Cosmos DB/Gremlin).
Strong understanding of the foundation of machine learning algorithms and statistical methods, including bagging, boosting, neural network, etc.
Comfort with visual art and design to turn statistical and computational analysis into user-friendly graphs, charts, and animations. Create insightful data visualizations (e.g., motion charts, word maps) that highlight trends.
Preferably knowledge of the insurance industry and exposure to sales/marketing domains.
Passionate about continuously learning in the ever-evolving ML domain and exploring new methodologies to solve business problems.
Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations.
Strong collaboration and elaboration skills; demonstrates a strong commitment to organizational success; shares resources and leverages knowledge across the organization.
Adaptable and open to change
Individual Accountabilities:
Develop and manage AI and Analytics driven projects that span the breadth of Group Functions (Corporate Functions) with high impact on expense efficiency, operational insights, workforce retention, business profitability, client retention and customer satisfaction
Consult with internal business leaders and bring analytics driven insights to solve business challenges
Develop and implement analytics enabled solutions to improve customer experience, drive customer engagement, and increase customer value.
Work with Group Functions’ Business Stakeholders, Business Operations and IT teams to bring your ideas to production and bring real change in customer experience
Review and analyze existing processes to identify customer opportunities. Work with large amounts of call center, web and other data sources to build holistic view of customer journey
Innovate and find creative ways to source customer data to support modeling efforts, utilizing structured and unstructured data using Big Data technologies and NLP
Calculate model impact/return on investment and communicate value analysis to partners
Peer review other Data Scientists’ work and participate in model and code reviews
What can we offer you?
A competitive salary and benefits packages.
A growth trajectory that extends upward and outward, encouraging you to follow your passions and learn new skills.
A focus on growing your career path with us.
Flexible work policies and strong work-life balance.
Professional development and leadership opportunities.
Our commitment to you
Values-first culture - We lead with our Values every day and bring them to life together.
Boundless opportunity - We create opportunities to learn and grow at every stage of your career.
Continuous innovation - We invite you to help redefine the future of financial services.
Delivering the promise of Diversity, Equity and Inclusion - We foster an inclusive workplace where everyone thrives.
Championing Corporate Citizenship - We build a business that benefits all stakeholders and has a positive social and environmental impact.
Every career at Manulife/John Hancock provides the opportunity to learn new skills and move your career forward. Ready to make an impact somewhere? What are you waiting for? Apply today.
About John Hancock and Manulife
John Hancock is a unit of Manulife Financial Corporation, a leading international financial services group that helps people make their decisions easier and lives better. We operate primarily as John Hancock in the United States, and Manulife globally, including Canada, Asia and Europe. We provide financial advice, insurance and wealth and asset management solutions for individuals, groups and institutions. Assets under management and administration by Manulife and its subsidiaries were CAD$1.3 trillion (US$1.1 trillion) as of June 30, 2021. Manulife Financial Corporation trades as MFC on the TSX, NYSE, and PSE, and under 945 on the SEHK. Manulife can be found at manulife.com .
One of the largest life insurers in the United States, John Hancock supports more than 10 million Americans with a broad range of financial products, including life insurance , annuities , investments , 401(k) plans , and education savings plans . Additional information about John Hancock may be found at johnhancock.com .
Manulife is an Equal Opportunity Employer
At Manulife /John Hancock , we embrace our diversity. We strive to attract, develop and retain a workforce that is as diverse as the customers we serve and to foster an inclusive work environment that embraces the strength of cultures and individuals. We are committed to fair recruitment, retention, advancement and compensation, and we administer all of our practices and programs without discrimination on the basis of race, ancestry, place of origin, colour , ethnic origin, citizenship, religion or religious beliefs, creed, sex (including pregnancy and pregnancy-related conditions), sexual orientation, genetic characteristics, veteran status, gender identity, gender expression, age, marital status, family status, disability, or any other ground protected by applicable law.
It is our priority to remove barriers to provide equal access to employment. A Human Resources representative will work with applicants who request a reasonable accommodation during the application process . All information shared during the accommodation request process will be stored and used in a manner that is consistent with applicable laws and Manulife/John Hancock policies . To request a reasonable accommodation in the application process, contact recruitment@manulife.com .",Finanzas,,2022-09-13T00:00:00,2022-10-16,FULL_TIME
Data Scientist (remote),Ample Insight Inc.,Ontario,Toronto,-1,-1,,CAD,"Company Description
You will join a world-class team of engineers and data scientists from Facebook, Uber, Amazon and Google. We are a fast growing consulting firm based in Toronto with clients ranging from leading startups building impactful technologies to Fortune 500 companies looking to scale their engineering and data capabilities.

Job Description
We are looking for Data Scientists who are passionate about Machine Learning, and have deep knowledge in Statistics and Computer Science. You enjoy doing data science projects with structured and/or unstructured data and are motivated to productize scalable machine learning models. We will also rely on you to build data products to extract valuable business insights. Critical thinking and problem-solving skills are essential for this role.

Qualifications

BS (or higher, e.g., MS, or PhD) in Computer Science or related engineering field involving coding
Experienced implementing and scaling machine learning models in production environments
Strong understanding of machine learning theory
Hands on experience with Statistics
Capable of quickly implementing prototypes of cutting-edge research papers
Proficient in Python (i.e. Pandas, Numpy, scikit-learn, etc), R, TensorFlow, amongst other data science related tools and libraries
Analytical mind and strong business acumen
If you're passionate about data science and is hungry to learn, please apply!

Additional Information
We have very competitive compensation.
Work on cool projects based on your interests and skills. We believe in accountability and NOT micro-management.",,,2022-09-12T00:00:00,2022-10-16,FULL_TIME
"Junior Associate Data Science, Class of 2023",Publicis Sapient,Ontario,Toronto,-1,-1,,CAD,"Company Description
Publicis Sapient is a digital transformation partner helping established organizations get to their future, digitally-enabled state, both in the way they work and the way they serve their customers. We help unlock value through a start-up mindset and modern methods, fusing strategy, consulting and customer experience with agile engineering and problem-solving creativity. United by our core values and our purpose of helping people thrive in the brave pursuit of next, our 20,000+ people in 53 offices around the world combine experience across technology, data sciences, consulting and customer obsession to accelerate our clients’ businesses through designing the products and services their customers truly value.

Job Description
As a Junior Associate in our Data Science practice, you will develop a deep understanding of how customers engage with our client brands and digital experiences. You will leverage data and your analytics/data science skills to make recommendations that will drive incremental revenue, reduce cost and optimize the customer experience.
You will develop new technical data science and machine learning skills as you build models, begin working with digital analytics platforms to collect and analyze customer data. Then you will harness data to deliver personalized experiences to customers and report on their performance. After developing a thorough understanding of the performance of our clients’ business you will develop and testing hypotheses for driving incremental value from personalized marketing initiatives.
Through your exposure to project work, you will familiarize yourself with many areas of our practice, developing expertise and a specialization.
As part of our new graduate program, you will be on-boarded into a variety of digital analytics tools and will be working with clients by month 2. You’ll also receive on-going structured learning during your first three years that is tailored to you, and you will also be supported with your growth & progression.
Your Impact:
You will function as part of a world class Data Science team to support various AI and machine learning initiatives
Contribute to solving complex marketing and business challenges by accessing, integrating, manipulating, mining and modeling a variety of data sources
Use distributed computing systems to ingest, access and integrate various big data sources
Perform exploratory data analysis, data cleansing and imputation, feature generation in preparation to the modeling process
Apply various quantitative techniques to build predictive models and uncover patterns in data
Build scalable data pipelines and models for real-time modeling frameworks
Document and visualize your work and outputs for technical and non-technical audiences
Contribute to the Data Science capability through presenting work, mentoring talent, helping form best practices and point of views on various AI-related topics

Qualifications
We recognize that you might not meet 100% of the requirements listed below and that’s okay! We’d love to hear from you anyways.
Required Qualifications
Experience conducting data analysis through coursework, coop, and/or volunteer organizations
Fluency in a data programming language such as SQL, Python, R, SAS
Ability to integrate multiple methods to accomplish specific objective/project and apply techniques and learnings from past projects to new projects
Great written and verbal communication and the ability to work closely with senior stakeholders
Broad awareness of data science concepts including, linear regression, logistic regression, correlation variance, standard dev, dimensionality reduction, unsupervised learning, parameter tuning, cross-validation, boot strapping, forecasting and imputation
Hands on evaluation experience with understanding of data exploration, visualization, model comparison, model evaluation, insights/interference, and data Interpretation / insight analysis.
Broad understanding of digital landscape and martech principles
Strong presentation and communication skills clearly developing client communications using tools such as PowerPoint, Excel and email
A demonstrated willingness to learn (a successful candidate will be supported through the certification process of relevant tools for their accounts)
BS/BA degree in Business and Mathematics, Economics, Statistics, Physics, Engineering, Bioinformatics, Computer Science, or other areas where analytics and business are applied
Graduating between August 2022 and July 2023
Willingness to travel up to 80-100% of the time
Desired Qualifications
Prior experience in data science
Direct experience working with cloud platforms
Additional Information
As part of our dedication to an inclusive and diverse workforce, Publicis Sapient is committed to Equal Employment Opportunity without regard for race, color, national origin, ethnicity, gender, protected veteran status, disability, sexual orientation, gender identity, or religion. We are also committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, you may contact us at hiring@publicissapient.com or you may call us at +1-617-621-0200.",Administración y consultoría,,2022-09-14T00:00:00,2022-10-16,FULL_TIME
Associate Data Scientist,Swiss RE,Ontario,Toronto,-1,-1,,CAD,"About Swiss Re

Swiss Re is one of the world’s leading providers of reinsurance, insurance and other forms of insurance-based risk transfer, working to make the world more resilient. We anticipate and manage a wide variety of risks, from natural catastrophes and climate change to cybercrime. Combining experience with creative thinking and cutting-edge expertise, we create new opportunities and solutions for our clients. This is possible thanks to the collaboration of more than 14,000 employees across the world.

Our success depends on our ability to build an inclusive culture encouraging fresh perspectives and innovative thinking. We embrace a workplace where everyone has equal opportunities to thrive and develop professionally regardless of their age, gender, race, ethnicity, gender identity and/or expression, sexual orientation, physical or mental ability, skillset, thought or other characteristics. In our inclusive and flexible environment everyone can bring their authentic selves to work.


About the role
We are seeking a highly motivated, entry level Data Scientist to join a global team of advanced analytics professionals who support the digital transformation of Swiss Re and the insurance industry. You will be primarily based in Toronto, collaborate closely with teams based in New York, and stakeholders around the globe.
Your main responsibilities are:
Support stakeholders to ideate, develop and deploy innovative analytics solutions
Build prototypes, run experiments, train new models, and support developing data science products that solve real-world business problems.
Support the data science team in deploying machine learning models, using Python, through all phases of development, from design, build, automate, test, deploy, and maintain ML products.
Model monitoring to ensure stable performance and adherence to standards.

About the team
The Advanced Analytics Center of Expertise (AA CoE) team supports Swiss Re's business functions and clients in developing state of the art technology solutions leveraging our advanced analytics and data engineering capabilities. AA CoE works with all business units to implement Swiss Re's tech strategy by generating unique insights, improving operational efficiency, and developing innovative technology driven value propositions. Our integrated global team of analytics consultants, analytics specialists and data engineers enables us to facilitate end-to-end solutions delivery from ideation and prototyping to deployment and run. As Swiss Re's center of expertise for advanced analytics, the team further enables the proliferation of advanced data handling capabilities throughout the company.

About You
Technical Requirements:
Master's degree with quantitative background (computer science, data science, statistics, engineering, econometrics, or another related field) or relevant professional experience. PhD preferred.
Applied knowledge in Python, R, Matlab, Julia, other functional or scripting languages.
Familiarity with various aspects of data preparation, feature engineering, model training and knowledge of evaluation metrics.
Interest in deploying, monitoring and learning about end-to-end machine learning products
Knowledge in developing ML solutions in a public cloud such as AWS (Amazon Web Services), Azure, or Google Cloud is a plus.
Knowledge of other programming languages like PySpark, experience with large data sets and distributed computing is desirable.
Excellent English language skill is required.
Flexibility to travel

Soft Skills:
Team player with strong interpersonal skills and experience of working in cross-functional teams
Ability to communicate complex problems with clarity and effectiveness to expert and non-expert audience
Ability to initiate and drive projects to completion with minimal guidance
Track-record of creative problem solving as well as openness and curiosity to learn

Swiss Re is an equal opportunity employer. It is our practice to recruit, hire and promote without regard to race, religion, color, national origin, sex, disability, age, pregnancy, sexual orientations, marital status, military status, or any other characteristic protected by law. Decisions on employment are solely based on an individual's qualifications for the position being filled.

During the recruitment process, reasonable accommodations for disabilities are available upon request. If contacted for an interview, please inform the Recruiter/HR Professional of the accommodation needed.

As the COVID-19 pandemic continues to impact the world, it is our responsibility to help keep our employees, customers, partners and communities healthy and safe. SwissRe will require all candidates interviewing in person in Canada to provide evidence of vaccination when arriving at our offices.

Keywords: Data Scientist
Reference Code: 119745",Seguros,,2022-09-14T00:00:00,2022-10-16,OTHER
Junior Data Scientist,"VassuTech Services Inc.,",Ontario,Midtown Toronto,-1,-1,,CAD,"Looking for an extremely bright and budding Data Scientist who can work closely with a solid Engineering core teamKEY RESPONSIBILITIESProvide data-based solutions of core problems with the help of AI and Machine Learning tools.Take ownership of building data modelling pipelines for scalable and continuous systems.Closely monitor and provide expertise on creating industry best Data Science curriculum and creating exciting project problem statementsKEY SKILLSSharp problem-solving skills with urgency to deliver best quality products along with an alignment with long-term vision of the companyVery good hands-on with python and SQL (postgresql)Good working knowledge of backend development in REST Frameworks (Django)Good knowledge and hands-on with different Machine Learning tools and modelling frameworks (Pandas, Keras/Tensorflow, scikit learn, NLP)Excellent inter-personal skills to communicate and present ideas to different verticals and stakeholders. Good written and communication skills.Working knowledge of Data pipeline and data-science model deploymentBonus Points:  * Ability to write great documentationsAbility to make data driven decisions for any small thingOur Way Of Working*An opportunity to work on something that really matters.A fast-paced environment to learn and grow.High transparency in decision making.High autonomy; freedom to take risks, to experiment, and to fail.We promise a meaningful journey with smart people, with opportunities to learn & grow. Plus, you can sleep peacefully knowing you are impacting lives in a big way, every day!Job Types: Full-time, Permanent, Fixed term contractContract length: 6 monthsSalary: $30,000.00-$60,000.00 per yearSchedule:8 hour shiftExperience:Junior Data Scientist: 2 years (required)Licence/Certification:Canadian PR/Citizenship (required)Expected start date: 2022-07-04",,,2022-09-15T00:00:00,2022-10-16,FULL_TIME
Senior Data Scientist,Wayfair,Ontario,Toronto,-1,-1,,CAD,"Who We Are

Wayfair Data Science powers automation & decision support across all Wayfair business units. Our algorithms tackle a varied & broad spectrum of challenges in the Wayfair marketplace; from empowering suppliers to easily add products to our catalog, to enabling our customers to discover and purchase a vast & diverse assortment of home goods.

The Data Science Search & Recommendations team is looking for an experienced Senior Data Scientist to deliver industry-leading product search solutions. In this role, you’ll work with a group of talented data scientists, and partner with fellow engineers, analysts, and product managers to bring to life our next generation search technologies, such as semantic search. You’ll develop and explore state-of-the-art machine learning/deep learning techniques on Wayfair’s extensive customer and product data. You’ll build search relevance models to retrieve and rank products to optimize for user experience and business metrics. You’ll scale solutions to serve billions of searches each day, invent solutions to keep the models up-to-date with newly added products and trendy search languages, and think about how to wrangle with real-time inference constraints. The models you develop will have tremendous business impact, directly measurable through our online A/B test platform.

What You’ll Do

Build search relevance models with user/query intent understanding, product understanding, user targeting and ranking
Own the full Data Science life-cycle from conception to prototyping, testing, deploying, and measuring its overall business value
Develop quantitative models, leveraging machine learning and advanced data analysis techniques
Uncover deep insights hidden in our vast repository of raw data, and provide tactical guidance on how act on findings
Provide a strong partnership with business and engineering teams

What You'll Need

3+ years of experience in a quantitative or technical work environment with MS or PhD degree (Prefered) in a quantitative field (e.g. mathematics, economics, computer science, engineering, physics, neuroscience, operations research, etc.)
Machine Learning experience (such as supervised/unsupervised learning, deep learning, learning-to-rank, NLP, etc.)
Industry experience in Search/Ranking with deep learning and NLP technologies strongly preferred
Ability to effectively work with business leads: strong communication skills, ability to synthesize conclusions for non-experts and desire to influence business decisions
High comfort level with Python (preferred), or with other languages such as Java, C++, etc.
An analytical, creative, and innovative approach to solving difficult problems
Bonus points for intellectual curiosity and a strong desire to always be learning

About Wayfair Inc.

Wayfair is one of the world’s largest online destinations for the home. Whether you work in our global headquarters in Boston or Berlin, or in our warehouses or offices throughout the world, we’re reinventing the way people shop for their homes. Through our commitment to industry-leading technology and creative problem-solving, we are confident that Wayfair will be home to the most rewarding work of your career. If you’re looking for rapid growth, constant learning, and dynamic challenges, then you’ll find that amazing career opportunities are knocking.

No matter who you are, Wayfair is a place you can call home. We’re a community of innovators, risk-takers, and trailblazers who celebrate our differences, and know that our unique perspectives make us stronger, smarter, and well-positioned for success. We value and rely on the collective voices of our employees, customers, community, and suppliers to help guide us as we build a better Wayfair – and world – for all. Every voice, every perspective matters. That’s why we’re proud to be an equal opportunity employer. We do not discriminate on the basis of race, color, ethnicity, ancestry, religion, sex, national origin, sexual orientation, age, citizenship status, marital status, disability, gender identity, gender expression, veteran status, or genetic information.

We are interested in retaining your data for a period of 12 months to consider you for suitable positions within Wayfair. Your personal data is processed in accordance with our Candidate Privacy Notice (which can found here). If you have any questions regarding our processing of your personal data, please contact us at dataprotectionofficer@wayfair.com. If you would rather not have us retain your data please contact us anytime at dataprotectionofficer@wayfair.com.",Ventas al mayoreo y al menudeo,,2022-09-09T00:00:00,2022-10-16,OTHER
