Job_title,Company,State,City,Min_Salary,Max_Salary,unitText,SalaryCurrency,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
Data Analyst,Compest solutions,,,-1,-1,,CAD,Expert in data analysis using SQLProficient in conducting analysis via ExcelHadoop/Bigquery experience is a plus4+years in data analysisAbility to understand business requirements and self-start analysis in client setupGood communicator to demo analysis resultsKnowledge about Tableau is a plusJob Type: Fixed term contractContract length: 6 monthsFlexible Language Requirement:French not requiredSchedule:8 hour shiftDay shiftExperience:Data analysis skills: 7 years (required),Tecnologías de la información,,2022-09-12T00:00:00,2022-10-16,OTHER
Data and Modelling Analyst,Financial Services Regulatory Authority of Ontario (FSRA),Ontario,Toronto,-1,-1,,CAD,"Job Description:
PURPOSE OF POSITION
Accountable for the analysis, development, and automation of Ontario insurance related data reporting on rating and risk classification systems, predictive models, and other insurance products in support of the regulation and supervision of the Ontario Auto Insurance industry.
KEY RESPONSIBILITIES
Leads the development of a suite of automated reporting dashboards leveraging various internal and external data sources and works in consultation with key internal and external stakeholders to enable evidence-based, outcomes focused regulatory decision-making efforts.Conducts data analysis and assessment of Ontario Auto Insurance data, risk classification systems, and related data products from the auto insurance industry to support evidence-based decision making within FSRA’s governance framework.Conducts advanced statistical analysis, natural language processing, machine learning, artificial intelligence, and data mining to identify trends and issues with respect to consumer sentiment in the Ontario Auto Insurance marketplace.Ensures compliance with FRSA’s regulatory mandate, assesses and interprets data, measures model performance and interpretability, and draws business inferences related to auto insurance rate filings, rate changes, model changes.Maintains data mining tools, platforms and reporting suite for the Risk Classification Systems and Analytics Team while making recommendations for enhancements based on observations of the tools utilized and current processes followed.Collaborates with various internal FSRA teams to seek advice regarding the auto insurance pricing framework and to seek input, understand and document requirements for the development of new and improved data reporting and visualization tools.Collaborates with Actuarial Services to discuss and resolve issues regarding the overall performance of models or segments of the models, including but not limited to biases, weaknesses in models, areas not meeting the expectation of FSRA’s model governance framework, changes in pricing and to provide recommendations for change and resubmission of insurer models for underwriting, pricing and rates or to validate model results.Provide recommendations to FSRA’s data collection strategy, review data collected, and identify market trends, emerging issues, and emerging technologies that can be leveraged as part of the overall FSRA data and analytics strategy.
QUALIFICATIONS
Education and Experience
University or Post-Graduate degree in mathematics, actuarial sciences, statistics, or another relevant quantitative field.1-2 years’ experience in data analytics, data modeling, segmentation, data visualization and the analysis of large, complex datasets.Experience within the auto insurance industry is considered an asset.
Knowledge and Skills
Knowledge of, and skills in analytical and advanced statistical analyses, actuarial methods, predictive analytics, machine learning techniques.Advanced dashboard development and analytical reporting skills.Skilled in statistical and data models and methodologies.Oral and written communication skills to work collaboratively with internal stakeholders and to provide issues identification and resolution in dashboard and reporting development.Proficiency in the use of data mining, reporting and data visualization technologies
Job Posting End Date:
09/21/2022
Job postings close at 11:59pm on the date noted.
Compensation Grade:
Grade 05-AMAPCEO
Compensation Range:
$69,425.00
$100,036.00
Bargaining Unit:
AMAPCEO
Job Code:
Job Code: 5A001F
Employment Type:
Regular
Scheduled Weekly Hours:
36.25
FSRA is committed to ensuring equity in employment. Our goal is to create a diverse, inclusive workforce that reflects the communities we serve and to ensure our services and communications are accessible to all individuals. Accommodation is available under the Ontario Human Rights Code.
FSRA is committed to the health and safety of our employees. To demonstrate our commitment to this critical priority and further protect against the spread and risks of COVID-19, and its variants, full vaccination against COVID-19 is required as a condition of employment for individuals hired by FSRA, subject to any duty to accommodate in accordance with the Ontario Human Rights Code. Fully vaccinated is defined as having received all of the required doses of a Health Canada approved vaccine and having received the final dose at least 14 days before commencing employment with FSRA.
NOTE: ONLY QUALIFIED CANDIDATES WILL BE CONSIDERED",,,2022-09-07T00:00:00,2022-10-16,FULL_TIME
"Analyst, Performance Measurement And Evaluation Strategy",Alcohol and Gaming Commission of Ontario,Ontario,Toronto,-1,-1,,CAD,"The I&IT division of the AGCO has an exciting opportunity within the Business Optimization and Insights (BOI) team for an Analyst, Performance Measurement and Evaluation Strategy. Reporting to the Director, Business Optimization and Insights and collaborating with the Lead and the Consultant of Performance Measurement and Evaluation Strategy, you will provide support in developing frameworks, strategies, and processes to measure the agency's performance related to its policies, activities, and desired outcomes. You will also contribute to quantitative, economic, and regulatory-based research assist in defining organizational performance outcomes and evaluation strategies and support the development and maintenance of key performance indicators.

What can I expect to do in this role?
In this role, the successful candidate will:

Supports the design and delivery of a robust performance measurement strategy that measures the agency's internal and external priorities

Supports the formulation of an organization-wide performance measurement framework that includes consistent processes, standards, and supporting documentation

Assists in the development and maintenance of organizational, program, and project performance measures

Contributes to and supports the development of reports, dashboards, and other data products for various business areas

Formulates business insights through trend analysis, proactive monitoring, and communicates findings to the relevant business areas

Supports in the development, assessment, and communication of complex quantitative models, through close collaboration with the Lead and the Consultant

Further evolve organizational performance measurement through the measurement and analysis of external outcomes and the agency's influence on them

Support the review and evaluation of internal and external impacting programs, strategies, and their effectiveness through data collection, synthesizing, and analyzing

Provide support in briefing senior leadership stakeholders on lessons-learned, conclusions and recommendations from analysis and develop clear and concise finding reports

Develop effective relationships with stakeholders to support performance measurement and quantitative evaluation priorities
How do I qualify?
The ideal candidate will have:
University degree in one of the following fields: Statistics, Economics, Business Analysis, Public Policy, and/or relevant experience that develops critical and strategic thinking

Solid knowledge and demonstrated related experience in performance measurement, data analytics and reporting to support evidence-based decision-making

Solid knowledge and application of business intelligence solutions (i.e. MS Power BI), SQL, R, and/or Python

A demonstrated experience in supporting the development and implementation of performance measurement strategies and frameworks

A good understanding of policy development

The ability to assess the effectiveness of policies, intervention strategies, and other regulatory activities through a quantitative lens.

Experience in public-sector program evaluation

Strong relationship-management abilities to facilitate meaningful ongoing collaboration with stakeholders

Excellent communication (both written and verbal), collaboration and interpersonal skills to prepare and present complex, authoritative analyses

Excellent ability to conceptualize, evaluate, and problem-solve. Strategic thinker. Sound judgement and sensitivity to issues and ability to work with a diverse client group and staff at all levels of the Agency

Excellent organizational skills with the ability to prioritize work in order to meet time sensitive deadlines

Superior knowledge of Microsoft Office suite of products, with demonstrated mastery of Excel to deliver timely analysis and reporting

Good knowledge of and/or ability to acquire understanding of legislation, regulations, and policies pertaining to alcohol, gaming, cannabis and horse racing regulation
The successful candidate must be eligible to work in Canada and will be subject to a criminal background check.

To apply to this vacancy please submit your application online at our Careers Webpage located at https://www.agco.ca/careers by September 23, 2022.

The AGCO has a mandatory COVID-19 vaccination policy that requires all staff, including prospective new employees, be fully vaccinated by a Health Canada approved COVID-19 vaccine. Individuals with valid medical or other human rights-based exemptions will be considered for appropriate accommodation within the policy

The AGCO is an inclusive and equal opportunity employer.
The AGCO has the responsibility to lead by example in advancing racial equity and to build a diverse, inclusive, accessible and respectful workplace where every employee has a voice and the opportunity to fully contribute. To this effect, you are encouraged to reflect upon the diversity you would bring to the role within your application including, but not limited to, individuals identifying with one or more of the under-represented groups identified within Ontario's Human Rights Code.

Disability related accommodation during the recruitment process is available upon request.
Additional Information:
Address:
1 Permanent - Full Time, 90 Sheppard Ave E, Toronto, Toronto Region, Criminal Record Check

Compensation Group: Excluded

Understanding the job ad - definitions
Schedule: N/A

Category: Information Technology

Posted on: Wednesday, September 14, 2022

Note:

In accordance with the Ontario Public Service (OPS), Employment Screening Checks Policy (ESCP), the top candidate(s) may be required to undergo a security screening check. Refer to the above to determine the screening checks that are required for this position.

Required security screening checks along with your written consent, will be sent to the Transition and Security Office (TSO), Corporate Talent Programs Branch, Talent and Leadership Division to evaluate the results. If applicable, the TSO, with your written consent, will request and obtain any additional employment screening checks that were not obtained directly by you.

A record under the Criminal Code and/or other federal offence record(s) does not automatically mean you will be ineligible for the position. The employment screening check(s) will only be reviewed and evaluated by the TSO for the purpose of making a security clearance decision. The details of an individual's employment screening check(s) will be considered in specific relation to the duties and responsibilities of the position being filled. Employment screening check records will be maintained by the TSO and kept strictly confidential.",Gobierno y administración pública,,2022-09-13T00:00:00,2022-10-16,FULL_TIME
Data Analyst,SaskEnergy,Saskatchewan,Regina,-1,-1,,CAD,"SaskEnergy is seeking a qualified and motivated individual to join our team. The Data Analyst researches, analyzes and develops reporting to monitor operational benchmarks and recommend strategies to improve operational effectiveness. The Data Analyst will build, maintain and support enterprise reporting to provide users with efficient and functional tools and data to optimize their business.
Position Details
Union –This position is temporary full time for up to 12 months.
Qualified Applicants Will Possess
Grade 12 or equivalent.
A recognized bachelor’s degree in the STEM field (Science, Technology, Engineering, Mathematics), Economics or Business.
Two (2) years of experience in a reporting or analytics role, using SQL, Power BI, SSIS and experience manipulating, processing, and extracting value from a variety of datasets and working with relational databases.
Excellent written and verbal communication skills for coordinating across teams and presenting ideas to stakeholders.
Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.
Application Instructions
Please apply online with your cover letter and resume outlining your qualifications.
For more information on this position, please contact Human Resources at 306-777-9091.
Closing Date
September 29, 2022
Hourly Rate Range
$29.85 ($4,540.19) - $37.91 ($5,766.11)","Energía, minería e infraestructura pública",,2022-09-14T00:00:00,2022-10-16,FULL_TIME
Data Warehouse Analyst,TransLink,British Columbia,Vancouver,-1,-1,,CAD,"Marketing Statement
A career at TransLink and our family of companies means working with people with a wide range of skills and perspectives, all teaming up towards a common goal: preserving and enhancing the region's world-envied quality of life. Together, we connect the region and enhance its livability by providing a sustainable transit and transportation network, embraced by our communities and people.
At TransLink we are dedicated to building a workforce that reflects the diversity of the communities in which we live. We’re committed to fostering an inclusive, equitable and accessible workplace, recognizing the unique value and skills every individual brings.
Looking for a great place to work where your contributions are valued and you can make a difference in a vibrant city? At TransLink, one of BC’s Top Employers, you'll help make Metro Vancouver a better place to live, built on transportation excellence. Put your future in motion!

Responsibilities

Works with stakeholders to analyse business requirements and offers technical expertise on Enterprise Data Warehousing (EDW) solutions. Designs, develops and implements EDW solutions to ensure the accessibility, functionality, integrity, and security of the data warehouse. Supports, maintains and optimizes EDW process and all related components. Researches development technologies and tools to support and improve the implementation of EDW strategies and business intelligence services.
Qualifications
EDUCATION:
Diploma in computer science from a recognized institute of technology including courses in database design, programming, business and systems analysis.
EXPERIENCE:
Requires three (3) years recent related experience in data warehousing, business intelligence, information management or analytics. Must have experience producing information products for clients with a variety of BI tools. A further period of up to one (1) year in the position is required to become familiar with Translink information systems, policies, procedures, environment and its user requirements, as well as corporate road maps and corporate data models.
Other Information
Recruitment Process: An applicant will be required to demonstrate their suitability for this position by meeting the minimum level of qualifications and experience in order to be invited into the selection process. A standard interview format will be used including general, scenario and behavioural descriptive interview questions.
COVID-19 Safety Vaccination Policy
To support public health, and protect the health and safety of our employees, customers, and their families, Coast Mountain Bus Company employees will be required to be fully vaccinated against COVID-19 and will need to provide proof of full vaccination status in compliance with the employer’s COVID-19 Safety Vaccination Policy.
Accommodations may be applicable under the BC Human Rights Code. Should an applicant be unable to provide proof of full vaccination and should an accommodation be requested, additional information will be required to determine whether the individual is entitled to be accommodated.
Work Schedule
37.5 hours per week.
Work Designation
Remote
This positions offers the ability to work predominately in a remote capacity within B.C. The business will request onsite presence at times for operational reasons.
Rate of Pay
Salary starting from: $7,044 per month.

The Total Compensation Package includes Extended Health, Dental, Transit Pass and enrollment in the Public Service Pension Plan. Focus on your development through tuition reimbursement, training, and mentorship programs. Enjoy a variety of health and wellness programs, including access to gym facilities. Speak to us to know more about what we offer.
How to Apply
Please click the 'Apply' button at the top right corner of the page or go to http://www.translink.ca/careers to apply for this position and view instructions on the process.
INSTRUCTIONS: Please save your (1) cover letter, and your (2) resume as one pdf document prior to uploading your application on-line.
Posting Date: August 23

Closing Date: Open until filled
Please note that only those short listed will be contacted.
Having trouble applying? Please view the System Requirements & FAQ's by going to http://www.translink.ca/careers.
Equal Employment Opportunity
We are an equal opportunity employer committed to creating and supporting a diverse and inclusive workforce that is free of all forms of discrimination. We are committed to providing reasonable accommodations and will work with you to meet your needs. If you are a person with a disability and require assistance during the application process, please reach out! We celebrate our inclusive work environment and welcome members of all backgrounds, skills and perspectives.
Accommodations are available on request for candidates taking part in all aspects of the selection process. For a confidential inquiry, simply email us at jobs@translink.ca.",Gobierno y administración pública,,2022-08-23T00:00:00,2022-10-16,FULL_TIME
Data Analyst,Brik partners,Ontario,Ottawa,-1,-1,,CAD,"Job briefWe are looking for a passionate certified Data Analyst. The successful candidate will turn data into information, information into insight and insight into business decisions.Data Analyst Job DutiesData analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will also monitor performance and quality control plans to identify improvements.ResponsibilitiesInterpret data, analyze results using statistical techniques and provide ongoing reportsDevelop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and qualityAcquire data from primary or secondary data sources and maintain databases/data systemsIdentify, analyze, and interpret trends or patterns in complex data setsFilter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problemsWork with management to prioritize business and information needsLocate and define new process improvement opportunitiesRequirements and skillsfreshers also can applyTechnical expertise regarding data models, database design development, data mining and segmentation techniquesStrong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks)Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc)Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracyAdept at queries, report writing and presenting findingsBS in Mathematics, Economics, Computer Science, Information Management or StatisticsTraining will be providedJob Type: Full-timeSalary: $24.76-$47.85 per hourSchedule:8 hour shiftAbility to commute/relocate:Ottawa, ON: reliably commute or plan to relocate before starting work (required)",,,2022-09-08T00:00:00,2022-10-16,FULL_TIME
Data Analyst (EC-03) and Data Management Officer (EC-04),Environment and Climate Change Canada,,,-1,-1,,CAD,"Environment and Climate Change Canada - Human Resources Branch - Human Resources Business Transformation Directorate

Various locations

EC-03, EC-04

$68,666 to $85,778
For further information on the organization, please visit Environment and Climate Change Canada
Closing date: 26 September 2022 - 23:59, Pacific Time
Who can apply: Persons residing in Canada, and Canadian citizens and Permanent residents abroad.
Apply online
Important messages
We are committed to providing an inclusive and barrier-free work environment, starting with the hiring process. If you need to be accommodated during any phase of the evaluation process, please use the Contact information below to request specialized accommodation. All information received in relation to accommodation will be kept confidential.
Assessment accommodation
Work environment
The Human Resources Branch’s Human Resources Business Transformation Directorate works in collaboration with all of the Department’s sectors to provide HR data services, including creating database structures, preparing and presenting results stemming from data analyses, developing and implementing data visualization reports and tools as well as software and tools for communicating data.

We are looking for individuals excited to work in a changing environment and willing to take challenges head on.
Intent of the process
The intent is to staff an EC-03 and an EC-04 position. It is also intended to create a pool of qualified or partially qualified candidates that could be used to staff similar positions at the same group and level, with various language requirements and different terms of employment (acting, assignment, secondment, deployment, term, indeterminate) within Environment and Climate Change Canada.
Positions to be filled: Number to be determined
Information you must provide
Your résumé.
In order to be considered, your application must clearly explain how you meet the following (essential qualifications)
EC-03 and EC-04

Education:
Graduation with a degree from a recognized post-secondary institution with acceptable specialization in economics, sociology or statistics.
Degree equivalency
EC-03

Experience:
Experience working on large scale* projects related to database development.
Experience with data management and analysis, visualization, and data reporting tools.
Experience working with relevant programming languages such as Python and R.

Large scale is based on data records numbering in the thousands
EC-04

Experience:
Significant* experience performing research and analysis on complex quantitative and qualitative data sets and making recommendations on findings
Experience in manipulating and analyzing data using software tools (such as but not limited to: SSAS, SSRS, R, Excel, Cognos 8, SPSS, DASH3)
Experience preparing a variety of documents for senior management (e.g., reports, briefing notes, memoranda, correspondence, and presentations).

Significant experience is defined as the depth and breadth of experience working on a wide-range of activities, for approximately two (2) years.
If you possess any of the following, your application must also clearly explain how you meet it (other qualifications)
Asset qualifications

EC-03

Education:
Post-secondary degree or certificate in Data Science
Degree equivalency
EC-03

Experience:
Experience using data visualization software such as Tableau Desktop, Tableau Server or Power BI
The following will be applied / assessed at a later date (essential for the job)
Various language requirements
English essential, French essential, English or French essential, Bilingual Imperative BBB/BBB or Bilingual Imperative CBC/CBC
Information on language requirements
EC-03

Knowledge:
Knowledge of techniques and practices related to statistics as well as information research.
Knowledge of programming languages (JavaScript, R, Python, SAS, SPSS, STATA or SQL) and techniques used to present complex data to technical and non-technical audiences.
EC-04

Knowledge:
Knowledge of project management principles, technique and tools
Knowledge of SQL and Data Analysis & Visualization tools (such as but not limited to PowerBI)
EC-03 and EC-04

Abilities:
Ability to communicate effectively orally.
Ability to communicate effectively in writing.
EC-03

Ability:
Ability to verify and validate diverse complex statistic data using visualization tools and reports.
EC-04

Abilitiy:
Ability to synthesize and interpret complex qualitative and quantitative information.
EC-03 and EC-04

Personal Suitabilities:
Initiative
Judgement
Effective Interpersonal Relations
Integrity and Respect
Thinking things through
The following may be applied / assessed at a later date (may be needed for the job)
Organizational Need(s)

In support of achieving a diverse workforce, consideration may be given to candidates self-identifying as belonging to one of the following Employment Equity groups: Aboriginal peoples, persons with disabilities, members of visible minorities, and women.
Operational requirement:
Ability and willingness to do overtime on short notice.
Conditions of employment
Reliability Status security clearance
Other information
The Public Service of Canada is committed to building a skilled and diverse workforce that reflects the Canadians we serve. We promote employment equity and encourage you to indicate if you belong to one of the designated groups when you apply.
Information on employment equity
All communication relating to this process, including email correspondence as well as conversations in person and by telephone, may be used in the assessment of qualifications.

Persons are entitled to participate in the appointment process in the official language(s) of their choice.

Reference checks may be sought.

An interview may be administered.

A test may be administered.
Preference
Preference will be given to veterans first and then to Canadian citizens and permanent residents, with the exception of a job located in Nunavut, where Nunavut Inuit will be appointed first.
Information on the preference to veterans
We thank all those who apply. Only those selected for further consideration will be contacted.",,,2022-09-12T00:00:00,2022-10-16,OTHER
Data Analyst,Combined Metal Industries,Ontario,Vaughan,-1,-1,,CAD,"Vaughan – Keele/Langstaff
Competitive Salary based upon experience

Did you know that 34,000+ Canadians are directly employed in the recycling industry? Interested in becoming part of Canada’s workforce that’s shaping our environment?

HERES WHAT WE DO…
As one of the fastest growing metal recycling and management organizations across North America, Combined Metal Industries (CMI for short!) sources and processes recycled ferrous and non-ferrous metals and ensure they do not end up in a landfill or go to waste. Our recycling stream ensures that all metals that enter our yards will create something new again! We have multiple sites, located in North York, Vaughan and Cambridge.
HERE’S WHERE YOU COME IN!
As a Data Analyst, you will create and execute the collection, aggregation, and analysis of key data reports to guide the activities of CMI. You will provide meaningful data and reporting to ensure key business decisions are made correctly.

SOUND GOOD SO FAR? HERES WHAT YOU WILL BE RESPONSIBLE FOR IN THIS ROLE…

Develop, maintain and present detailed and accurate reports for stakeholders using various methods (e.g. charts, graphs, dashboards, tables). These reports will provide visibility into performance against key business objectives.
Perform complex analyses of developmental, financial, organizational and/or planning data. Verify the correctness of the data submitted. Make recommendations based on these analyses.
Find trends using mathematical models.
Provide timely summaries of data collected and escalation of key issues.
Monitor data health to detect, escalate and fix issues.
Conduct benchmarking, target-setting and continuous improvement activities relating to controllable variance and propose actions to meet goals and objectives.
Facilitation of strategic discussions with key decision makers.
Exhibit sound judgement with keeping data safe and publishing wisely.
Other tasks as required

WHAT WILL MAKE YOU A VALUED MEMBER OF OUR TEAM?

Post-secondary education in business, finance or applied mathematics/analytics
3+ years of experience in a similar analytical role
Experience with reporting tools is required
Exposure or experience in a manufacturing or logistics environment (preferred but not necessary)
Excellent mathematics and statistical analysis skills
Programming skills would be an asset (Visual Basic, Python)
Strong with Microsoft products, particularly in Excel
Strong attention to detail
Ability to develop relationships with key stakeholders in various departments
Communication skills – verbal and written fluency in English, effective presentation skills
Effective planning skills with prioritizing, time management skills

A FEW THINGS ABOUT US/WHAT WE OFFER……

We want to provide you with the best including:

Competitive salary with an opportunity to realize a bonus based on performance
Excellent benefits
Performance-based salary increases
A great team to learn from and unlock growth and career opportunities
An inclusive, friendly and multicultural environment
A progressive and approachable leadership team focused on winning and continuous improvement
Brand-new state of the art recycling facility and offices in Vaughan (240,000 square feet)
Games room & collaboration café
Free CMI Academy webinars and workshops to accelerate your personal and professional development
A commitment to your health and safety and those CMI impacts
A chance to give back to the environment and contribute to sustainability

Already picturing yourself in this role? We thought you might be! Send us your resume and let us know how you would make an impact at CMI.
To learn more about us visit www.combinedmetal.com

We look forward to hearing from everyone but please note that due to the volume of resumes submitted, only those selected for the next steps will be contacted. To stay in touch with CMI and keep up to date on all open opportunities, follow us on LinkedIn and Indeed!

CMI is committed to providing reasonable accommodations for people with disabilities. If you require accommodation, we will work with you to meet your needs in all stages of the hiring process.*","Energía, minería e infraestructura pública",,2022-09-13T00:00:00,2022-10-16,FULL_TIME
Data Analyst,Project Whitecard,Manitoba,Winnipeg,-1,-1,,CAD,"We are currently looking for a Data analyst to join our company as soon as possible.Job Type: Full-timeSalary: $62,848.00-$67,667.00 per yearBenefits:Dental carePaid time offSchedule:Monday to Friday",,,2022-09-15T00:00:00,2022-10-16,FULL_TIME
Data Analyst (Pyspark and Snowflake),Software International,Ontario,Brampton,-1,-1,,CAD,"Our client is a world wide , Fortune 500 IT Consulting company and they are looking to add a Data Analyst (Pyspark & Snowflake) to one of their teams working with one of Canada's largest telecom carriers.
Collects and documents requirements and processes
Document requirements and manages validation process
Performing ad hoc analysis, interpreting and communicating results in a clear manner
Work with engineering team to automate daily monitoring of models in production , help troubleshoot issues and make necessary improvements as needed.
Processing, cleansing and verifying the integrity of data used for analysis
Cleary communicate design & development strategies to all stake holders, educate them as and when needed.
Establishes, supports and maintains standards of the analytics and data analytics process

Have 5+ years of professional experience as a Data Analyst mining large scale data and transform data points to knowledge.
Must be hands-on on data analysis tools and frameworks such as Hive, Spark SQL or Python to analyze any amount of data to both solve business requirements and feed in to engineering team to build data transformations.
Familiar with technologies relevant to the data such as Hadoop, OLAP databases and visualization tools such as Tableau or Looker or similar
Extensive big data analysis and come up with logic to build analytical dimensions and metrics using Hive, Spark QL or Scripting Languages such as Python
General understanding of databases (MySQL, SQL Server & Snowflake)
General understanding of reporting solutions (Tableau, PowerBI, Looker, …)",Tecnologías de la información,,2022-09-13T00:00:00,2022-10-16,FULL_TIME
