Job_title,Company,State,City,Min_Salary,Max_Salary,unitText,SalaryCurrency,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
Senior Data and Analytics Systems Analyst,Royal Canadian Mint,Ontario,Ottawa,-1,-1,,CAD,"The System Analyst interfaces and interacts with clients to analyze, interpret and understand their requirements.
The incumbent conceives and recommends technical and business solutions, provides guidance on the efficient use of various software products involved, resolves software problems, provides technical expertise and participates in system-related projects and software development applications, leads and/or participates in system development projects and participates in technical projects. The System Analyst also plans, organizes, coordinates and recommends efficient and effective manual, automated or computerized system solutions, maintains in-depth knowledge of the RCM hardware/software environment, as well as a current knowledge of the state-of-the-art in computer sciences and development and applicability of new technologies while keeping informed of interrelated technologies and directions.
Requirements
English is essential. Bilingualism is an asset.

Education and Previous Experience:
Bachelor’s Degree in either Computer Science or Business (with information technology courses) or Information Technology Diploma or equivalent experience (Microsoft developer certifications highly desirable);
Minimum 5 years of experience encompassing all aspects of the system implementation life cycle in a medium to large size computing environment;
Minimum 5 years experience managing and administering SQL Server Database Systems.
Minimum 5 years experience designing, modeling, and implementing physical database designs.
ITIL and/or MOF certifications is highly desirable;
Must be able to demonstrate experience and proficiency in authoring and reviewing technical documentation including; public API documentation, functional specifications, test plans, system workflow diagrams, threat model diagrams and class diagrams in UML;
Strong system programming skills using MS platforms is required;
Experience in designing and developing SQL based reports, OLAP cubes and have knowledge working with internal and external data sources, data warehousing and data interfacing elements (e.g. tool integration strategy; source system data ETL strategy, data staging, movement and aggregation; information and analytics delivery; and data quality strategy).
Extensive hands-on technical and functional experience with a corporate grade Enterprise Resource Planning system (Microsoft Dynamics AX would be highly desirable);
Extensive experience with manufacturing, shipping/warehouse management, sales and marketing or financial systems;
Experience leading specialized development team resources, project and status reporting to PMO, working as a member of a team focused on building and delivering features with defined and documented business requirements.


Abilities and Skills:
Proven analytical abilities for both technical and business issues;
Ability to exercise judgment and initiative, to maintain effective and harmonius working relationships;
Ability to exercise tact and discretion;
Ability to set priorities and to solve conflicting situations, and to work well under pressure to meet deadlines;
Proven ability to coordinate and plan the activities of assigned project resources.
Skilled in installation, configuration, support and maintenance of downloadable open source software, off-the-shelf software packages, and enterprise applications system software.
Skilled in order processing, marketing, manufacturing, shipping/warehouse management or financial applications;
Demonstrated project planning and tracking techniques skills;
Demonstrated interpersonal and communication skills;
Demonstrated problem solving and organizational skills;
Must be able to work well in a team environment.
Must be proficient in the following technologies:
SQL Server Management Studio 2017;
SQL Server Reporting Services 2016;
SQL Server Analysis Services 2016;
SQL Server Integration Services 2008/2016;
Power BI Desktop and Server;
SQL Server Job scheduling, management, and configuration;
Database Indexing and performance troubleshooting;
Database security configuration utilizing Roles, Groups, Schemas, and Policies;
Dev Ops Portal
Knowledge:
Must be proficient in MS Business Intelligence platform and development (SSAS, SSIS, SSRS);
Extensive experience with database design concept, data modeling methodology (OLTP, OLAP), data warehouses (Kimball methodology), ETL Visual Studio;
Hands-on experience on MS SQL Server development (T-SQL, UDF, Views, Stored Procedures)
Knowledge of the following technologies is an asset; Sharepoint Online, Azure Data Factory, Azure Data Lake, Synapse, Power Apps.
Experience in configuration, support and maintenance of applications system software and off-the-shelf software solutions;
Knowledge of Enterprise Resource Planning concepts and application;
Knowledge regarding Microsoft technology foundations;
Knowledge of formal system development methodology (e.g. Agile software development) and documentation standards/techniques;
Knowledge of structured analysis and design techniques.

At the Mint you will collaborate with a diverse group of people and be a part of an iconic Canadian organization. We pay competitive salary and offer a range of benefits that support employees and their families. The Mint supports its employees by focusing on their growth and development. Selected candidates will be required to complete a background check facilitated by the Mint, in order to obtain Secret Clearance status.

The Mint is committed to building a team that represents a variety of backgrounds, perspectives, and skills. We value diversity and aim to provide an inclusive, barrier-free recruitment, selection and onboarding process to ensure that each candidate is treated respectfully. You are welcome to self identify with one of the four employment equity groups (women, Indigenous peoples, persons with disabilities and members of visible minorities) in your application.

If you need accommodation at any point in the application or interview process, please let us know; we are committed to being an inclusive employer.

Ready to mint your career? Please forward your resume to careers@mint.ca by September 30, 2022. We thank all candidates who apply, however, only those selected for further consideration will be contacted.

We look forward to receiving your application",Gobierno y administración pública,,2022-09-12T00:00:00,2022-10-16,FULL_TIME
"Data Analytics, Senior BI Analyst",Paper,Quebec,Montreal,-1,-1,,CAD,"Driven by the mission to democratize education, Paper is the largest provider of educational support, supporting millions of students through partnerships with thousands of school districts. Paper helps deliver true educational equity through their category leading Educational Support System (ESS) that offers virtual access to 24/7 tutors and essay reviewers. Founded in 2014, Paper philosophically believes that all students should be given the tools and resources to reach their academic potential, independent of socio-economic status, geography, language or other barriers. We are headquartered in Montreal, Quebec with remote employees across the US and Canada. Paper is proud to have been named by GSV as one of the most transformational growth companies in digital learning.
Reporting to the Director of Analytics, this is an individual contributor role that is responsible for identifying insights and trends to support assigned product squads. You will work closely with product managers and data engineers to determine project-specific KPIs and ensure data is available at launch. You will also consult with our standard reporting team on how to scale and structure our ecosystem of dashboards to ensure adoption.

Responsibilities:

Collaborate with product squads on data measurement requirements within a formal SDLC framework.
Effectively communicate insights in the form of write-ups and weekly/quarterly review sessions.
Collaborate on data needs with product squads from problem discovery through release and measure activities.
Identify and analyze trends and shifts in student behaviour, both independently and in collaboration with business stakeholders.
Glean insights from minimally structured data and provide guidance on appropriate transformation into a standard schema.
Partner with report developers to translate analytical insights into a standard dashboard and reporting assets.

Qualifications:

Bachelor's degree required.
4+ years of experience in an analytical role within e-commerce, marketing, finance, or product management.
Advanced SQL and reporting skills (Tableau required).
Experience simplifying complex information and explaining to broader audiences, including presenting results and insights to senior leadership.
Ability to segment and cohort data to perform root cause analysis.

Job perks:

Work with a dynamic team that provides support whenever you get stuck.
Remote first environment.
Annual company-wide meetup.
Opportunity for career development with a fast-growing company.
A unique opportunity to make an impact by making education more equitable.
Stipend to help support the growth of your home office.
Unlimited access to tutoring for children of Paper employees.
#LI-Remote #LI-ST01
About Paper

Paper offers an exciting, dynamic, inclusive work environment putting excellence at the center of everything we do. Our mission is woven into the fabric of our culture, challenging our team to build meaningful and creative solutions.

We thrive when we collaborate with each other, and use integrity and selflessness to align our business decisions with our mission. We approach every challenge with positivity, achieving the outcome we want regardless of what gets in the way. Our tenacity propels our hyper-growth, where trust is key and we all strive to make an impact every day.

We believe that diverse teams build better products. Paper does not and will not discriminate on the basis of race, color, religion, gender, gender orientation, gender expression, age, national origin, disability, marital status, sexual orientation, or military status in any of its activities or operations.

Nobody checks every box, but the Paper team is built by passionate and innovative people who share our mission for democratizing education. If you don't think you meet all of the requirements above but are still interested in the job, please apply.

PS. Equity is our mission! We make sure to treat all candidates equally: If you are interested please apply through our job board - our amazing talent team will reach out! Our team isn't able to pass on any calls/ emails our way - and this makes sure that the candidate experience is smooth and fair to everyone.",Educación,,2022-08-26T00:00:00,2022-10-16,OTHER
Senior Business Analyst,Jerry,,,-1,-1,,CAD,"We’d love to hear from you if you are looking for a tech company with the following:
Huge market ($2T market size), we are building the first AI-powered super app to help people owning a car
Innovative product with the combination of cutting edge mobile, AI, and big data technologies
Start-up energy - come join one of LinkedIn’s Top 50 Tech Start-ups
Hypergrowth - 17x revenue growth in the past two years
Best user experience: #1 ranked app in the insurance comparison category
Strong leadership: from Amazon, Microsoft, Facebook, Nvidia, Alibaba, etc. and experienced colleagues
About the Opportunity:
The Data and Analytics (DNA) team owns data at Jerry and drives intelligent business decision-making through analytical insights and advanced models. As a Senior Business Analyst, you use data to tell stories and make actionable recommendations to help the business. You will join a team of data engineers, analysts, and data scientists. We are passionate about our mission to build a car ownership super app. We work hard, and we also like to have fun.
How you will be contributing:
Transform and refine raw production data for analytical needs
Develop reports, visualization, and business insights using data
Perform deep-dive analysis on business opportunities and challenges
Partner with other analysts and scientists to build analytical models
About you:
Bachelor’s degree in Mathematics, Statistics, Economics, or a related quantitative discipline
Hands-on experience and intermediate knowledge of SQL
Excellent communication and problem-solving skills
A few more specifics about you:
Master’s degree in Mathematics, Statistics, Economics, or a related quantitative discipline
3+ years of relevant experience in an analytical role
Hands-on experience with ETL and data warehouse
Knowledge of a modern programming language (Java, Python, etc.)
Experience with analytical and visualization platforms (Tableau, Qlik, Power BI, etc.)
Strong written communication and data presentation skills
About Jerry:
Jerry is building the first Super App to save car owners time and money on all their car expenses. Drivers deserve better. That’s why we’re committed to making shopping for insurance, financing, maintenance, repairs, parking and more just a few clicks, texts, or swipes away.
Jerry is taking processes that haven’t substantively changed in decades and reimagining and redesigning them. Using artificial intelligence, machine learning and bots, Jerry eliminates the need for long forms and phone calls while providing personalized services for all car-owners’ needs.
Today, Jerry is the #1 rated and most downloaded app in its category and the fastest way to compare and buy car insurance. We have more than 2M customers and we are just getting started. Join our team of curious and passionate people who love tackling real-world problems and be a part of building a revolutionary product that’s disrupting a massive market.
Jerry was founded in 2017 by serial entrepreneurs and has raised more than $130 million in financing.",Seguros,,2022-09-13T00:00:00,2022-10-16,FULL_TIME
Senior Data Analyst,Unity Technologies,Ontario,Toronto,-1,-1,,CAD,"The Opportunity

The Unity Create Data & Analytics Team is seeking an experienced Data Analyst to support our efforts in data-driven decision making, product development and monitoring key business health metrics. You will work very closely with multi-functional business stakeholders, product marketers, product managers and customer success team members.

In this role, you will translate business problems to practical analytics tasks. Ideal candidates should have strong exploratory data analysis and data visualization skills, great attention to detail and confidence in presenting findings to diverse groups of users!

As a member of our team, you become part of a strong (growing!) community of passionate data analysts/engineers/scientists/stewards, and work side by side with an outstanding bunch of designers, engineers, product managers, and program managers that are In it together to enhance and transform Creation journeys for anyone from architects, to artists, to game developers, and many more.

What you'll be doing

Work with business leaders to define core business metrics and create dashboards and tools to monitor health of the business
Visualization domain expert with BI Platforms and various data visualization tools
Reconcile data between diverse set of tools, assure accuracy and drive data flow improvements, and maintain data quality and integrity of the data in partnership with Enterprise Data Warehouse Team and Data Engineers
Work directly with internal collaborators to understand data needs and develop scalable solutions with rapid development and re-usability in mind
Experienced in delivering results/managing projects on-time with respect to SLA's and managing expectations via JIRA

What we're looking for

Formal qualifications (BSc, MSc, PhD) in economics, engineering, natural sciences, or equivalent
Extensive practice with data processing for large datasets
Experience with addressing large audiences and senior partners
Exposure to cloud computing environments, e.g. Google Cloud Platform

You might also have

Strongly preferred: Experience with Unity's creation suite and/or employment within the gaming industry
Professional experience as a Data Analyst, Data Scientist, or similar

Life at Unity

Unity (NYSE: U) is the world's leading platform for creating and operating real-time 3D (RT3D) content. Creators, ranging from game developers to artists, architects, automotive designers, filmmakers, and others, use Unity to make their imaginations come to life. Unity is the foundation upon which the world's most powerful digital content is created. Specifically, Unity's platform provides a comprehensive set of software solutions to create, run and monetize interactive, real-time 2D and 3D content for mobile phones, tablets, PCs, consoles, and augmented and virtual reality devices.

In the fourth quarter of 2021, Unity had, on average, 3.9 billion monthly active end users who consumed content created or operated with its solutions. The applications developed by these creators were downloaded, on average, five billion times per month in 2021. For more information, please visit www.unity.com.

Unity is a proud equal opportunity employer. We are committed to fostering an inclusive, innovative environment and celebrate our employees across age, race, color, ancestry, national origin, religion, disability, sex, gender identity or expression, sexual orientation, or any other protected status in accordance with applicable law. Our differences are strengths that enable us to support the growing and evolving needs of our customers, partners, and collaborators. If there are preparations or accommodations we can make to help ensure you have a comfortable and positive interview experience, please let us know.

Headhunters and recruitment agencies may not submit resumes/CVs through this website or directly to managers. Unity does not accept unsolicited headhunter and agency resumes. Unity will not pay fees to any third-party agency or company that does not have a signed agreement with Unity.

#LI-BM1 #SEN",Tecnologías de la información,,2022-09-09T00:00:00,2022-10-16,OTHER
Sr. Data Analyst,Electronic Arts,British Columbia,Vancouver,-1,-1,,CAD,"We are a group of Business Analysts, Data Analysts, and Engineers who work with multiple teams to provide insight about our online services that enhance the game experience. We support a multi-billion-dollar video game ecosystem and non-development departments within EA – our portfolio is wide. Our environments are challenged by marketing promotions, game launches, and security threats. We are passionate about automation. You will report to the Director of Business Operations, inside the Production, Infrastructure, and Engineering team.
Your Skills
The systems we support are diverse, produced by dozens of teams from around the world. You will have a diverse skill set and always be eager to expand it. More importantly, you can apply your conceptual understanding to new technologies. The below is a representative but non-exhaustive list of the skills we are looking for in you.
Partner, liaise, and translate technical requirements to spend with teams across the organization
Leverage data visualization software packages, e.g., Looker, Power BI, Tableau to empower the organization with interactive dashboards to perform on-demand analysis
Build executive reports and infographics for senior management, to review financial performance across multiple business lines and make data-driven decisions
Perform advanced SQL querying, data mining, and data cleansing
Collaborate effectively with Data Engineering to develop production ready data models and purpose-built data pipelines
Provide strategic insights to partners and leadership, optimizing our products
Experience working with Infrastructure cost and usage, including Cloud Financial Management (AWS, GCP, Azure)
Experience with SQL: including experience querying complex data sets
Advanced knowledge of experiment design
Advanced visualization and presentation skills
Strong grasp of statistics and experience conducting rigorous data analyses
Familiarity with Python
A B.A./B.S. in Mathematics, Statistics, Economics, Computer Science, or Engineering Sciences
5+ years of experience in related fields

Electronic Arts is the leading interactive entertainment company, powered by innovative technology. We create incredible experiences for millions of players around the world. But what matters most is our people who inspire us, and the world, to play. As we bring new forms of entertainment to people around the world, we need creative, collaborative, diverse and adaptable people to keep making Electronic Arts better.",Audiovisual y medios de comunicación,,2022-09-07T00:00:00,2022-10-16,FULL_TIME
Senior Data Analyst,Roofr,Ontario,Toronto,-1,-1,,CAD,"We're growing quickly, and we're looking for exceptional people to join us on this incredible journey.We are obsessed with building the most trusted roofing platform in the world so our customers can power their growth with intelligence. Roofr is the all-in-one sales toolbox for roofers, including instant customizable aerial roof measurements with a drone, satellite, or blueprints imagery! In addition, our clients have the ability to immediately create visually stunning, robust and automated proposals that help create a great client experience leading to a higher close rate. Our future roadmap is clear and filled with exciting products such as payment processing, consumer financing, workflow automation, and more!Our Mission is to ensure every family has access to protect their home with an affordable roof. We have amazing culture, great founders, and strong financials (profitable unit economics, strong revenue growth and best-in-class company metrics - including CAC payback of a few months!!). This is a great opportunity to be a part of an extraordinary start-up that is already successful, yet early enough to offer its team members significant growth, equity, and an opportunity to make an impact.Building a powerful user experience is what sets Roofr apart from all other roofing platforms. As an Engineer in an early stage and high growth company, you will have a large impact on both technical implementation and help steer our technology roadmap.What You'll Get to Do: Interpret data and analyze results and provide ongoing and expanding reportingImplement, maintain, clean, and transform data sources into well organized data structures for fast, repeatable reporting and analysisCleaning and reorganizing data for analysisIdentify, analyze, and interpret trends or patterns in complex data setsPresenting findings in an easy-to-understand way to inform data-driven decisionsWhat You'll Bring to the Role: 4+ years of proven working experience as a Data Analyst or Business Data AnalystTechnical expertise regarding data models, database design development, data mining and segmentation techniquesStrong knowledge of and experience with reporting packages (Metabase, Tableau, Looker, Business Objects, etc), databases (PostgreSQL, MySQL, SQL etc), programming (Python, Javascript, or ETL frameworks)Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracyWho You Are: A strong communicator with great presentation skillsAnalytical with a demonstrated ability to utilize data to make informed decisionsHighly organized and able to prioritize and juggle multiple projects at onceYou are a critical thinker who doesn't settle for the status quoYou are obsessed with customer experienceWhat we offer: When you join our team, you're not just accepting a job. You're making a career move. Here's how we'll support you in doing some of the most impactful work of your career:Start your journey with Roofr with 1 week of paid vacation1 Friday off per month (we call those our laundry days!)Flextime, recognition, and support for autonomous work: Flexible time off with ample learning and development opportunities to continue growing your careerCompetitive compensation and equityRemote-first culture with home office set-up & internet reimbursementHolistic health benefits from day 1;and wellness benefits: Company-paid medical, dental, and visionMonthly coworking space reimbursementEven if we are remote, we still manage to host 2 killer retreats per year and great team building activities!At Roofr, we celebrate individuality and uniqueness. Roofr is proud to be an equal opportunity employer. We are committed to building an organization that empowers inclusion and diversity. We encourage candidates and employees to be true to themselves and express all aspects of their identities. We believe that the convergence of fresh perspectives and experiences from all walks of life is what makes our product and culture so great. We do not discriminate against employees based on race, color, religion, sex, national origin, gender identity or expression, age, disability, pregnancy (including childbirth, breastfeeding, or related medical condition), genetic information, protected military or veteran status, sexual orientation, or any other characteristic protected by applicable federal, state or local laws.Job Type: Full-time",,,2022-09-03T00:00:00,2022-10-16,FULL_TIME
Sr. Business Application Analyst,TD Bank,Ontario,Toronto,-1,-1,,CAD,"TD Description
Tell us your story. Don't go unnoticed. Explain why you're a winning candidate. Think ""TD"" if you crave meaningful work and embrace change like we do. We are a trusted North American leader that cares about people and inspires them to grow and move forward.
Stay current and competitive. Carve out a career for yourself. Grow with us.
Department Overview
Business Application Ownership and Management at TD is part of an enterprise-wide data and analytics ecosystem. We strive to be the better bank, and in this role, we'll count on you to be our interface between business and technology.
We're looking for highly analytical, collaborative and agile professionals who can merge and translate data to build business momentum and deliver results.
Using professional and experiential knowledge, the Business Application Ownership and Management team works in close partnership with corporate functions and technology, as well as aligns to project management, business analysis, business management, strategy and governance.
If you get business application management, its potential and power, we think you'll love working with like-minded and innovative experts at TD, where you can help drive the business forward and take your own career to new heights.
Job Description
About this Role
Are you a conceptual and analytical thinker, comfortable working solo or together with a team? Are your leadership abilities emerging and ready to embrace bigger challenges? In this expert level professional role, you will lead specialized business application management activities for a designated functional area. You'll plan, manage and lead the team for gathering requirements for key projects and programs, supporting application change through the application lifecycle.
As a Senior Business Application Analyst, you will:
Lead business testing and business operational support and change management initiatives for integration into business application processes
Be the authority within your area of specialty, with in-depth knowledge and expertise and as a resource for others
Liaise with business partner groups to provide expert analytical and problem-solving skills after analyzing multiple, complex variables
Provide expert technical knowledge of applications management, supported by the team, in relation to system components, functionality, interfaces, data flows and business rules
Lead project intake and major initiatives of moderate to complex risk; provide project management support
Document all business-owned artifacts that are required for projects and major initiatives under TD's Project Delivery Lifecycle (PDLC) methodology
Provide day-to-day operations process management to ensure delivery according to service level agreements; provide support on deployment and initiatives related to owned/managed applications
Identify and recommend workflow enhancements, process improvement, automation
Be responsible for all Business Acceptance Test (BAT) documentation, working closely with Test Lead, adhering to PDLC and Bank's Data Governance Framework
Establish partnership with Technology to review, discuss and ensure all business requirements are met
Raise issues, provide feedback and keep team informed and up to date about project status
Job Requirements
What can you bring to TD?
Share your most relevant experience, credentials and knowledge for this role, as well as these essential requirements and attributes:
Undergraduate degree or technical certificate
Five (5) or more years relevant experience
Expert knowledge of business-supported applications and PDLC methodology along with policies, procedures and practices, competitors and market trends
Proficiency in using analytical software tools, MS Office, data analysis methods and reporting techniques
Ardent to work multi-functionally and independently, communicate (both speaking and writing), provide direction or assistance and build positive working relationships across teams and functions through strong analytical and problem-solving skills
Inclusiveness
At TD, we are committed to fostering an inclusive, accessible environment, where all employees and customers feel valued, respected and supported. We are dedicated to building a workforce that reflects the diversity of our customers and communities in which we live and serve. If you require an accommodation for the recruitment/interview process (including alternate formats of materials, or accessible meeting rooms or other accommodation), please let us know and we will work with you to meet your needs.
Job Family
Business Application Ownership Management
Job Category - Primary
Enterprise Data & Analytics
Job Category(s)
Enterprise Data & Analytics
Hours
37.5
Business Line
Other
Time Type
Full Time
Employment Type
Regular
Country
Canada
**Province/State (Primary)
Ontario
City (Primary)
Toronto
Work Location
1595 Telesat Court, TD Centre - North - 77 King Street West
ProvState 2
Ontario
City(s) 2
Ottawa
Job Expires
31-Oct-2022",Finanzas,,2022-09-02T00:00:00,2022-10-16,FULL_TIME
Sr Business Systems Analyst,Moneris Solutions,Ontario,Toronto,-1,-1,,CAD,"Who we are
Moneris was created as a joint investment between RBC and BMO Bank of Montreal (including Harris Bank) in December 2000. By maintaining the tradition of security and strength of our parent banks, today we are Canada's #1 payment processor, and one of North America's largest.
We are re-imagining commerce and shaping the future of FinTech. To do that, we empower our teams to redefine what's possible, enable them with the right tools and resources, and support them every step of the way.
Connect. Impact. Grow. Join one of Canada's top employers and make your mark at Moneris.
What you'll do
Lead the data and reporting work with business groups to elicit, and review requirements. Analyze and translate the business requirements into functional requirements for the platform, always keeping in mind the optimal user experience.
Enhance the project lifecycle by adding insights on data constraints, data flow, and business requirements. Be the expert on what is possible and how changes to products and services will impact the data and data services available.
Determine high level impact on various products and services, and communicate such in a timely manner to the appropriate team within the Moneris technology team
Read, review, and analyze new technology bulletins, specifications, compliance requirements and other documents from relevant associations and vendors and providing written recommendations and analysis as well as creating technical requirements documentation
Effectively communicate the designed changes to both business and technical groups to ensure a common understanding. This requires working directly with QA and software development teams to ensure what is developed and tested meets the business requirements and working with the business groups to show them how the solution fulfills their needs.
Update key performance indicators and highlight challenges.
What you bring
Must-have experience, knowledge, skills & abilities
Bachelor's degree required, masters considered an asset (or equivalent work experience)
Minimum 5 years of experience working in a data or technology role supporting application or data requirements
Experience with database querying language such as SQL; data visualization and reporting tools such as Tableau and Powerbi ;
Excellent communication, negotiation and stakeholder management skills
Proficient in reviewing, analyzing, writing, and maintaining documentation and data querying
Highly proficient in leading large scale projects or significant project steps and communicating progress/approach with technical/non-technical peers/clients and leaders
Experience in profiling data and creating traceability from system to use case.
Can engage a senior level audience to drive strategy and motivate action on governance initiatives
Expert level of communication skills
What you get
The chance to be part of one of Canada’s top employers and leader in FinTech
Competitive pay and annual bonus program based on individual performance and productivity
Emphasis on Wellness - Meeting Free Fridays (MF2), company-wide holiday closure, just to name a few
RRSP matching & defined contribution pension plan
Flexible benefits package starting from day 1
Thrive in a Hybrid or Remote Model - including a tech peripheral rebate!
Extensive learning & development programs and resources - plus unlimited free access to LinkedIn Learning and Udemy courses!
Lots of opportunities to advance your career – 30% of Moneris' roles are filled internally
EAP (Employee Assistance Program), Educational Assistance and Recognition Program
Employee perk program with incredible discounts for over 2,400 vendors!
Get involved in one or many of our Moneris Committees and Employee Resource Groups - Inclusive Workplace Council (IWC), Black Employee Network, just to name a few
Who you'll work with
Our Technology team's goal is to connect ideas and technology to create solutions that shape the way people pay. Connection is in our DNA, and we are a team enabling our merchants, business partners, and each other with the tools we need to thrive. We're a team of over 400+ people, broken into six functions, who oversee all technology aspects at Moneris, including software, infrastructure engineering, cyber security, data analytics, and project management.
Learn more about how Moneris is striving to be at the forefront of Fintech!
Note: We welcome and encourage applications from Indigenous peoples, people of colour, people with disabilities, people of all genders, sexual orientation and intersectional identities.",Finanzas,,2022-09-16T00:00:00,2022-10-16,FULL_TIME
"Senior Analyst, Data Engineer, MRM",Worldgroup Careers MWT,Ontario,Toronto,-1,-1,,CAD,"MRM creatively engineers total human experiences. Through purposeful, dynamic intersections between strategy, creative, technology and data sciences, MRM operates in a borderless, integrated way, to allow for greater collaboration and velocity— all to the service of helping businesses grow meaningful relationships with people. MRM has 35-plus offices across North America, Latin America, Europe, the Middle East and Asia Pacific. For more information, please visit www.mrm.com.


About the Role:

The Sr Analyst, Data Engineer role will be responsible for developing and maintaining necessary data flows for ingestion into the real time customer data platform and the outputs into the appropriate systems. In this role, the Data Engineer will help with the configuration, deployment, and quality assurance of the required data as well as the customer journey.


Responsibilities
Collaborate with multiple teams to build and maintain connectors between multiple systems and data platforms
Configure and monitor pipelines to ensure the quality of data and the required outputs are being delivered
Help to drive the customer journey and experience using the Real Time Customer Data Platform and the Adobe Journey Optimizer
Continuously look for improvements, monitor quality levels, and manage quality problems
Being a leader in conversations related to ongoing initiatives where you embody our team’s “we’ll figure it out” mindset

Required Skills

Education and Experience
Highly accountable self-starter with the ability to work well within a group, as well as independently
Bachelor’s degree in computer science, Mathematics, Information Technology preferred
Must have strong communication skills, both verbal and written.
Experience with JSON, APIs, and other data connectors
Demonstrated ability to learn new technologies and evolve as business requirements change
Must be able to handle multiple projects simultaneously with high attention to detail
Ability to identify and resolve problems associated with production grade large scale data workflows
Experience & knowledge with Customer Data Platform (CDP) or Data Management Platform (DMP)
Working knowledge of data schemas, relatable datasets, customer profiles, profile stitching, and id resolution
Understanding of data pipelines, data warehousing, and data lake concepts as well as the integration databases and marketing platforms
Previous experience with Adobe Marketing Platform, such as the Real Time Customer Data Platform as well as Adobe Journey Optimizer preferred


NO THIRD PARTY RESUMES ACCEPTED.


MRM is an EEO/AA employer and does not discriminate on the basis of race, color, religion, creed, gender, sexual orientation, age, gender identity, marital status, citizenship, disability, genetic information or veteran status or any other basis prohibited by applicable federal, state, or local law. MRM participates in e-Verify.


If you require reasonable accommodation for any part of the application or hiring process, please submit your request through one of the following methods listed below:


a) Dedicated Fax - 917-661-6310
b) Dedicated E-mail – Careers@mwgdetroit.com
c) US Mail – ATTN: Human Resources, 360 W. Maple Birmingham, MI 48009
d) Dedicated Phone – 248-203-8000


NOTE: Disability accommodation requests only.
Required Experience",Audiovisual y medios de comunicación,,2022-08-25T00:00:00,2022-10-16,FULL_TIME
Sr. Business Operations Analyst,AppLovin,Ontario,Toronto,-1,-1,,CAD,"AppLovin’s leading marketing software platform provides app developers with a powerful, integrated set of solutions to solve their mission-critical functions like user acquisition, monetization and measurement. AppLovin is headquartered in Palo Alto, California with several offices globally.
AppLovin was named one of the Hottest Adtech Companies of 2021 by Business Insider, as well as a Certified Great Place to Work in 2021 and 2022. Fortune recognized AppLovin as one of the Best Workplaces in the Bay Area 2022, alongside The San Francisco Business Times and Silicon Valley Business Journal who have also awarded AppLovin one of the Bay Area’s Best Places to Work for the past four years. Our team members are regularly recognized for their work and leadership, including recent award wins for San Francisco Business Times’ Outstanding LGBTQ+ Leaders 2022, Business Insider’s Rising Stars of Adtech 2022, Glassdoor’s Top CEOs 2019, and the Women in Content Marketing Awards 2021.
We are looking for a hungry and data-oriented Sr. Analyst to join our Business Operations team. In this role, you will partner with various internal teams, from Business Development to Product, to drive meaningful growth for our top gaming partners. You will also have a chance to work directly with AppLovin’s leadership - including VPs and Directors across several teams, and to learn from many thought leaders in the industry, including our founders.
Responsibilities:
Apply data driven problem solving to find and execute top growth opportunities for the company
Define and analyze metrics to achieve success for our partners
Monitor daily performance against key metrics to identify opportunities and anomalies
Become a mobile advertising guru and expert on our suite of products
Stay relevant on industry trends and work with product team to develop high impact features
Help define and shape companies business intelligence products and tools
Basic Qualifications:
Passion for mobile games
2-5+ years experience working with data or technology
Bachelor’s degree or higher in Computer Science, Information Systems, Business, Economics, or equivalent analytical degree
Demonstrate outstanding analytical ability, comfort working with numbers, and strategic grasp of the “big picture”
Have experience prioritizing competing demands
Proficiency in Excel, and comfortable working with large data sets
Flexible team-player who can use drive, creativity and initiative to move the organization forward
Demonstrated experience applying statistical methodologies to real world problems
Ability to communicate complex results with clarity to both technical and non-technical audiences
Preferred Qualifications:
Previous experience in a start-up environment
Basic understanding of SQL and data structures
Proven interest in technology
#LI-MJ1
AppLovin is an equal opportunity employer and considers qualified applicants without regard to race, gender, sexual orientation, gender identity or expression, genetic information, national origin, age, disability, medical condition, religion, marital status or veteran status, or any other basis protected by law.",Tecnologías de la información,,2022-08-26T00:00:00,2022-10-16,FULL_TIME
