Job_title,Company,State,City,Min_Salary,Max_Salary,unitText,SalaryCurrency,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
Machine Learning Engineer,Moonshot Brands,,,-1,-1,,CAD,"About Moonshot Brands
We are Moonshot Brands, a Y-combinator-backed company (W21) with $160M in debt and equity funding from leading Silicon Valley VC firms, including Victory Park Capital, Liquid 2 Ventures (Joe Montana), and Garage Capital. Among our founding team of MIT Sloan and Wharton graduates, we have operated and sold five businesses and have come together as Moonshot Brands to acquire, operate, and grow profitable e-commerce brands.
From our experience, we want to build the acquisition process that we wish we could have had and to provide the post-acquisition resources to grow your business to its fullest potential. As entrepreneurs ourselves, we believe in empowering our founders, giving them a stake in Moonshot’s continued success, and collaborating with an all-star team to change the e-commerce landscape. We connect our portfolio to growth capital, data, and expertise in operations, marketing, supply chain management, and product development to provide owner-operators with infrastructure to grow and compete at scale. Moonshot is building a technology-centric ecosystem to provide our portfolio with cutting-edge tools and data-driven insights to succeed in global marketplaces. From inventory forecasting to performance marketing and automation, we are building the technology that allows brands to achieve peak performance and win in their markets.
If you’d like to be part of this Moonshot which will be a fun fast-paced rocketship that will drive the future of e-commerce brands and you think you add significant value to our mission we’d love to hear from you.
About The Role
Moonshot Brands is seeking a high-performing Machine Learning Engineer to support both our internal and portfolio company operations. In this role you will work to uncover patterns and generate insights by building and deploying predictive machine learning models that assist with our sourcing and optimization of portfolio company sales, marketing and operations. The candidate will have exposure across all of Moonshot’s portfolio companies and create broad top-down strategies as well as brand specific solutions based on analytical rigor. The Data Scientist will also provide perspective on Moonshot’s collection of data that will be analyzed to inform future business decisions. This role requires a high level of autonomy.
As Machine Learning Engineer, you will:
Solution architecture and design for services that use machine learning and AI algorithms to predict and optimize e-commerce outcomes
Development of tools to facilitate data science and AI model research and testing
Work with business owners to gather requirements, and propose solutions
Build data pipeline to integrate data sources in various formats, warehouse them for downstream applications
Additional responsibilities as requested
Who we looking for:
6+ years of experience working as a professional software developer, at least 2 years of which includes experience in data science or AI solution development
Experience with system design
Strong Python with experience using some subset of the Python ML ecosystem (numpy/scipy/pandas, Tensorflow/PyTorch, etc.)
Strong SQL
Experience choosing and writing machine-learning models for deployment at scale.
Desire to work in a collaborative environment focusing on continuous learning; participating in code review and pair programming
Experience in financial modelling, or advertising is a plus
Experience deploying containerized machine learning services
Experience designing workflow automation
Experience with data integration from external data sources
Experience with Google Cloud Platform
Moonshot Brands welcomes all and is proud to be an equal opportunity employer and values diversity at our company. We do not discriminate based on race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, disability status, or other applicable legally protected characteristics.",Ventas al mayoreo y al menudeo,,2022-08-16T00:00:00,2022-10-16,FULL_TIME
Machine Learning Scientist,DarkVision,British Columbia,Ciudad de North Vancouver,-1,-1,,CAD,"DarkVision's ultrasound imaging system collects huge datasets on the order of hundreds of gigabytes that are several kilometers long where a defect may be on the order of a few mm. It is essential that we develop algorithms for automated processing, measuring, classification and visualization of this data since manual processing is both time consuming and inconsistent.

As a Machine Learning Scientist, you will be involved in researching, designing and implementing deep learning architectures that learn efficient generalizable representations for several tasks including classification, regression, segmentation and object detection. You will report to our Director of Machine Learning and be responsible for developing machine learning pipelines for continuous training, evaluation and deployment of deep learning models.

Our management process is light and generally milestone driven, using pseudo-agile sprints derived from our quarterly and yearly goals. All goals are internally generated with plenty of room for feedback.

Responsibilities: (included, but not limited to)

Data Analysis: Work closely with experts of our Data team to explore & organize data, write required preprocessing code.
Research: Research & develop new deep learning architectures and responsible for end-to-end training of our AI models such as CNNs, Autoencoders, and Transformer models etc. targeting object detection, instance segmentation, semantic segmentation and many more.
Development: Develop cloud-based iterative pipelines for image pre-processing, data-augmentation, training, post-processing and inference.
Deploy: Deploy ML algorithms in conjunction with other members of the Software Team for our Data Team to use and implement tools to monitor the performance.
Monitor: Continuously monitor success matrices of the assigned ML project and make continuous improvements for increasing model robustness & efficiency.

Expectations:

Master's degree in computer science, Electrical Engineering or equivalent, PhD preferred.
Strong analytical skills in linear algebra, geometry, and statistics.
Experience developing Image Processing and conventional Computer Vision algorithms (OpenCV).
Experience developing Deep Learning Models for Computer Vision tasks.
Good working knowledge of one or more Machine Learning Frameworks (TensorFlow, Keras, PyTorch etc.)
Experience with Python beyond basic Machine Learning scripting (i.e., Numpy and Pandas).
Strong communication and data presentation skills.

Opportunities to learn:

AWS services like Sagemaker, Batch, Lambda.
Training models with imbalanced datasets.
Training semantic and/or instance segmentation models.
Latest advancements in Computer Vision.
Developing with C++.

What's in it for you?

Competitive salary or higher (Top $ for top talent)
Full benefits package.
Competitive vacation allotment
Flexible work environment.

About DarkVision

DarkVision Technologies Inc. is a BC-based tech company that has been disrupting the industrial imaging market since 2013. We have created the world's most advanced acoustic-based imaging platform and are packaging it into multiple new product lines, revolutionizing how our clients quantify and visualize the integrity of their critical assets.

Backed by Koch Industries, the largest privately held company in North America, DarkVision's team of Mechanical, Skunkworks, Electrical, Software, and Machine Learning Engineers is rapidly expanding to meet the demand for the company's current and upcoming products.

We provide employees the opportunity to work on cutting-edge technologies that blend science with real-world applications and invite you to join our team for the exciting journey ahead as we become the global leader in industrial imaging.

Why DarkVision:

Here are 4 reason's you'll like working at DarkVision:

Well-Funded: We are backed by Koch Industries - North America's largest privately held company and are actively working with top-tier operators across North America.
'A' Players: Our team is made up of talented, intelligent, and hardworking people. If you're an 'A' player, you'll enjoy the intellectually stimulating, challenging and respectfully competitive atmosphere.
Growing Quickly: We are in the process of launching several new product lines and as a result have more than doubled our headcount over the last year.
Lots of Opportunities: We are transitioning into a much larger organization and will soon be expanding into a 52,000 sq ft facility in Vancouver. We have recently opened a larger Calgary office and have expanded into the US with offices in Houston and Midland, TX.","Energía, minería e infraestructura pública",,2022-08-28T00:00:00,2022-10-16,OTHER
Machine Learning Engineer,Motion Metrics International Corp.,British Columbia,Vancouver,-1,-1,,CAD,"Machine Learning Engineer
Vancouver, BC, Canada
 Motion Metrics International is a technology development and commercialization company with the vision to inspire the next generation of safe, sustainable, and intelligent resource mining. Our products leverage machine learning, computer vision, and sensors to address tough mining challenges.
We are looking for a Machine Learning Engineer who is passionate about applying machine learning techniques to solve real-world computer vision and big data problems. The successful candidate will work alongside other data scientists and software developers to research and deploy new algorithms into our products.
 What you will do:
Review the literature for the state-of-the-art computer vision and machine learning methodologies.
Design and implement proprietary machine learning algorithms and optimize them based on runtime system requirements and constraints.
Propose, implement, and monitor validation and performance metrics for the proprietary algorithms.
Conduct code reviews and work closely with the software/hardware teams to transfer the prototyped models to the production environment.
Must have:
Master’s Degree or higher in Computer Science or a related technology/engineering field.
3+ years of hands-on experience in developing and implementing and evaluating machine learning models/algorithms.
Solid understanding of statistical learning algorithms, including (self, semi) supervised, unsupervised and transfer learning and computer vision algorithms.
Proficiency in Python and version control.
Solid Experience with TensorFlow, PyTorch and OpenCV.
Basic familiarity with object- and service-oriented design, API development, containerization, and complexity analysis.
Familiarity with image processing algorithms.
Strong analytical, communication and presentation skills.
Nice to have:
Published papers in top conferences or journals such as CVPR/ICCV/NeurIPS/IEEE Transactions
Experience with cloud architecture design and deployment
Experience with web API design and development
Familiarity with software design patterns
Hands on C++ programming
Motion Metrics offers an excellent, diverse, and knowledge-sharing workplace and a generous performance-based compensation package with extended benefits.",Tecnologías de la información,,2022-08-20T00:00:00,2022-10-16,OTHER
Machine Learning Scientist/Engineer,MetaOptima,British Columbia,Vancouver,-1,-1,,CAD,"What do you envision your next career to look like? Join MetaOptima to make a difference in the lives of millions as we revolutionize the dermatology industry with artificial intelligence-powered software solutions for faster, more effective, and affordable care. MetaOptima is full of passionate, innovative people who thrive on working together as a team to build smart, life-saving technologies for medical professionals and their patients. We have customers all over the world with staff situated to support them from Canada to the US, to Australia and New Zealand, you will have the chance to have an impact on the lives of medical professionals and their patients all around the globe!
Join our fast-growing startup to add your voice to our vision while working with a cool group of people set on making their mark on the world. We take pride in what we’ve accomplished together, and can’t wait to see how you’ll help us grow.
A team who works together, wins together. We’re excited to share some of our accomplishments with you:
A BCIC New Ventures Competition Winner
Plug and Play Startup Showdown Winner
BCIP Innovation Challenge Award Winner
Coast Capital Savings Venture Prize Winner
A Ready To Rocket Winner 2018 & 2019
Winner of ISIC Disease Classification AI Competition 2018
Member of Canada’s Digital Technology Supercluster
Winner of ITAC Ingenious of the Year Awards, 2019
Requirements
Master’s or PhD degree in Computer Science, or equivalent experience
Proficient in Python and visualization libraries (matplotlib, plotly, seaborn)
Experience using a deep learning framework (PyTorch, Keras, Tensorflow, Caffe) and machine learning/scientific computing libraries (scikit-learn, scipy, numpy)
Able to determine the correct evaluation metric for a given problem and evaluate various models against it to determine performance
Able to work in a fast-paced environment
Self-starter and self-motivated worker
Strong communication, documentation and presentation skills
Comfortable looking at medical images
Computer Vision experience is a strong plus
Enjoying reading academic papers is a plus
Responsibilities:
Understanding business problems and brainstorming ideas as a team to come up with AI solutions.
Able to work on all stages of a problem from data cleaning and acquisition all the way to implementation and deployment.
Fast prototyping of research ideas and estimation of the effort required to develop an MVP.
Develop any tools required to clean and label data.
Able to take an MVP and analyse the performance to determine how to scale it up for a full-scale cloud deployment.
Working closely with our Tech team and cloud engineers to deploy systems into production.
Compiling and presenting research efforts in a clear and understandable way for the rest of the team and other non-technical staff members.
Benefits
We offer a competitive salary, vacation, stock options, and a comprehensive benefits package (including extended health, vision, and dental). If you are interested and passionate about doing things that really matter send us your resume and join us on this amazing journey.",Tecnologías de la información,,2022-09-11T00:00:00,2022-10-16,FULL_TIME
"Staff Data Engineer, Machine Learning Systems",Course Hero,British Columbia,Vancouver,-1,-1,,CAD,"Course Hero is scaling! We are looking for a Staff Data Engineer, ML Systems to work alongside our Machine Learning engineers to develop machine learning models and deploy them to production to enhance the Course Hero service. You will build pipelines, scale machine learning training jobs, and enhance the platform used by the Machine Learning team.

Here are some ways you'll make an impact:

Help our Machine Learning team develop, test, and deploy advanced ML models to our high traffic application.
Develop tools that make ML development more efficient, allowing ML Engineers to focus on modeling rather than technology platforms.
Collaborate across teams including Product Management, Machine Learning, Data Analytics and Engineering to plan projects that enhance the Course Hero user experience.

Requirements:

Experienced with Spark on AWS EMR and/or Databricks
Abie to optimize execution of large scale distributed data jobs.
Experienced with typical ML workflows and MLOps
Fluent in Python and SQL

Bonus Points:

Systems design and thinking
Experience with Kubernetes and Docker
Experience with Airflow
Knowledgeable on the various AWS ML services, including Sagemaker and friends.
Operational experience in areas such as permissions, secret management, observability, etc

Benefits & Perks:

Competitive salary, annual bonus, and RSUs
Medical coverage, including full dental and vision
Life and disability benefits
401(k) program (US) / retirement savings plan (Canada) with company match
One month paid sabbatical after 5 years at the company
Education reimbursement
Professional development workshops & industry conferences
Paid parental leave
Flexible work schedule
Social responsibility program (volunteer time off and donation matching)
Annual wellness stipend
Monthly tech stipend
Annual family planning stipend
Monthly snack boxes delivered to your door
Cell phone allowance
Research shows that candidates from underrepresented backgrounds often don't apply for roles if they don't meet all the criteria. We strongly encourage you to apply if you're interested: we'd love to learn how you can amplify our team with your unique experience!

#USCanada #LI-Hybrid
Equal Employment Opportunity Statement (EEO)

We are an equal opportunity employer and value diversity and inclusion within our company. We will consider all qualified applicants without regard to race, religion, color, national origin, sex, gender identity, gender expression, sexual orientation, age, marital status, veteran status, or ability status. We will ensure that individuals who are differently abled are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment as provided to other applicants or employees. Please contact us to request accommodation.


About Course Hero:

Course Hero is on a mission to help students graduate, confident and prepared. The online learning platform offers over 60 million course-specific study resources created by and for students and educators, as well as 24/7 tutor help. More than 65,000 verified college educators use Course Hero to collaborate with other faculty and share resources to hone new strategies for instruction. Everyday, students, educators and tutors help more than 20 million students make every study hour count.


We have an awesome team and a truly engaging culture. We are customer-focused, collaborative, responsible, gritty, and we love to learn. Our bold mission is to help students graduate confident and prepared!


We are not the only ones that think we're onto something big. Course Hero has been recognized as one of the 2021 Top 100 Best Places to Work in the Bay Area, Top 50 Best Paying Companies in the Bay Area, Top 100 Most Transparent Companies, and in the Top 50 Most Transformational Companies in Education Technology. Read up on some of our recent news coverage, blog, and learn more about us to see what it is like to work with our team.


Join us on our mission!",Tecnologías de la información,,2022-08-24T00:00:00,2022-10-16,OTHER
Machine Learning Geoscientist,DATACLOUD,British Columbia,Vancouver,-1,-1,,CAD,"The Role
MinePortal from DataCloud is the groundbreaking cloud-based intelligent platform that powers geotechnical knowhow of the rock in the mining industry for operational intelligence. Our mission is to push the envelope in Artificial Intelligence (AI), Geophysical IoT sensors, Machine Learning (ML), Data Management, Signal Processing, and Grade Engineering, in order to provide the best-possible blast outcomes for our customers. We are looking for a Geology, Statistics, and ML Specialist to help build industry-leading modeling technologies that the world’s largest mines will adopt.
Key Responsibilities
Reporting to the VP Software, the Machine Learning Geoscientist role will include following broad responsibilities and any other assigned work from time to time

Apply domain expertise in the development and implementation of machine learning models within the hard rock and coal mining industry

Teach internal and client teams how to integrate machine learning software into existing workflows to optimize blast design, blasthole spacing, and other engineering applications

Study and transform data science prototypes for the geoscience specific data streams

Feature extraction and identification over large data sets to feed automated algorithm development

Apply knowledge in geology, geosciences, applied mathematics, and quantitative analysis to sensor solutions for challenges facing our sponsors.

Explore promising research and maintain/gain the technical edge required for projects. Share and develop new approaches and methods.

Design machine learning systems that can automatically recognize features, extract features, and create volume models out int and sparse data

Research and implement appropriate ML algorithms and tools for mining domain specific applications

Select appropriate datasets and data representation methods

Run machine learning tests and experiments

Perform statistical analysis and fine-tuning using test results

Train and retrain systems when necessary

Extend existing ML libraries and frameworks

Keep abreast of developments in the field

Contribute to analysis of algorithmic computational complexity and memory requirements.

Work with Hardware Engineers to specify and optimize sensor and IoT device design and configuration for multiple sensing use cases.

Interface closely with Application and UX Engineers to develop compelling analytical use cases to utilize ML outputs and insights.
Key Qualifications


Master’s degree in Geosciences, statistics, mathematics, applied physics, or a related field.

Comprehensive expert level knowledge of programming and experience in C, C++, Python, R, Golang, or similar language used in geo-stat, ML, and computer vision sciences.

Proficient verbal and written communication skills necessary to effectively collaborate in a team environment and present and explain technical information.

Experience in working in distributed teams in the research, development, and implementation of machine learning, spatial modeling, and geo-stat algorithms.

Takes initiative, independent worker

Ability to manage multiple concurrent major projects with different tactical and strategic objectives

Can effectively assume an array of roles as appropriate in various kinds of organizations. These may entail different responsibilities, forms of leadership, team work, and project management.

Experience leading in environments that are highly volatile, cross-functional, and cross-organizational

Work Hours & Location


Full time, Flexible working hours, 15 days/year vacation

Work from home office and DataCloud’s office in Vancouver

Some travel to Seattle, Palo Alto, and Client offices world wide
DataCloud is an Equal Opportunity Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, disability, military status, or national origin or any other characteristic protected under applicable local law. The Candidate must be authorized to work in Canada.
About DataCloud
Founded in 2016, DataCloud delivers high-resolution rock mass characterization data to our clients in real-time. Our innovative measurement and analysis platform provides invaluable orebody insights during drill and blast operations. Our technologies help mine planning teams to dramatically improve their extraction efficiencies.
With our unique combination of skills in both mining and technology, DataCloud is helping to solve many of the problems that have challenged the mining industry for decades. Our founders come from institutions such as Stanford, UC-Berkeley and Cambridge, who have expertise in geosciences and cloud architecture.


Our portfolio of products and services span the latest in Geo-Statistics, Geo-Physics, and advanced digital and artificial intelligence technologies, including cloud computing, machine learning, advanced visualization, and new sensor technology enabled by IoT systems.",,,2022-08-18T00:00:00,2022-10-16,FULL_TIME
Biosignal Experimental Researcher,Interaxon,Ontario,Toronto,-1,-1,,CAD,"At Interaxon, we develop engaging experiences using brain-sensing technology. We are a passionate team of researchers, technical experts and scientists building the world’s leading science-based brain platform to empower personal transformation through human-centred innovation. Our Muse headbands are designed to make meditation easier and provide real-time audio and visual feedback on your meditative state through the Muse companion app. www.choosemuse.comAs a Biosignal Experimental Researcher at Interaxon, you’ll help us carry out studies to extract insights from brain and biosignal data at large scale and build meaningful experiences based on these insights. You are a skilled engineer/scientist, passionate about neurotechnology, eager to have a positive impact on people's lives through technology, and who has experience with signal processing, machine learning and biosignal analysis.This role is remote-friendly, with a preference for candidates based in Canada.*What you’ll do: *Coordinate and support research activities with clinical and academic partners.Manage prospective and retrospective in-house research studies.Run cloud studies on our large-scale EEG database.Perform statistical analysis, modeling, and visualization of data collected from retrospective and ongoing research projects.Develop offline and real-time algorithms for processing EEG, PPG and other biosignals.Contribute to the development of internal research tools.Your skills and experience: Masters and/or PhD. in Biomedical Engineering or any related field including computer science, engineering, mathematics or neuroscience.Strong experience with Python for time series analysis, time frequency analysis, algorithm development and machine learning.Practical experience and theoretical understanding of statistics.Experience creating algorithms and tools for EEG, PPG or other biosignal analysis.Detail-oriented and enthusiastic with good communication skills and a great work ethic.Creative problem solver and solution developer when presented with conflicting requirements, business demands and technical risks.Additional Qualifications (assets, but not required): Knowledge of neuroscience.Familiarity with cloud computing platforms such as GCP.Comfortable with Git and software development tools.Experience with SQL.What we offer: Our collaborative culture is an extension of our vision to empower personal transformation to improve lives and change the world. We have a flexible working environment, on-going work from home options, a great benefits package, weekly team meditations, and a commitment to keeping connected while working apart. Join a team passionate about making a difference.Interaxon is a company fueled on innovation and inclusion. We believe that diversity is an essential part of our workplace culture, and we continue to grow our team through equal opportunity and barrier-free recruitment. Additionally, if you require any accommodations during the selection process, please let us know!Note: We suggest adding ""apps.bamboohr.com"" to your contact list so you don't miss any emails from us regarding your application.Job Type: Full-timeSalary: $75,000.00-$95,000.00 per year",Ventas al mayoreo y al menudeo,,2022-09-13T00:00:00,2022-10-16,FULL_TIME
Token Economic Researcher,weybridge,Alberta,Calgary,-1,-1,,CAD,"Company SnapshotWeybridge is a team of quantitative traders, researchers, economists, and engineers working in traditional financial markets, cryptocurrency markets, and blockchain technology. We develop sophisticated blockchain systems, analytics, signals, trading strategies, and economic models that drive our business. Our team applies the latest, most advanced concepts to analyse financial crypto markets and blockchain systems’ economies using data science analytics, machine learning, and modeling methods to help solve very complex challenges in investment, technology, economics, and venture capital.Weybridge is looking for a Token Economics Researcher for our Venture Capital’s Accelerator division. Through its venture arm and accelerator, Weybridge makes strategic investments in companies applying blockchain technology in unique and novel ways to disrupt existing industries in gaming, music, fashion, sport, and others. The Accelerator division helps incubate and accelerate these companies, grow and optimise their execution by leveraging the Weybridge team’s unique set of skills, experience, deep-rooted technology knowledge, industry connections, and expertise.If you want access to the forefront of Web3 powered virtual words, and the new blockchain economy financial rails that power them, this is the place for you. We invite you to come and explore the opportunity.How We WorkWe have team members working worldwide, from Europe, North America, to the Middle East and Asia. We leverage agile methodologies to move quickly and stay focused. Communication is vital to us, and we rely heavily on various digital communication technologies and platforms to help us stay in sync and coordinate all activities.This role is a full-time remote position offering the flexibility to work from anywhere. You have the option to work in one of our office locations if it is local to you.Role OverviewIn your role as our Token Economics Researcher in our Venture Capital accelerator program, you will join our team and focus on helping us design, optimise, or evolve virtual platform economic systems of a diverse set of companies and projects that Weybridge partners with. You will develop economic designs that align optimal market operations and liquidity targets along with optimal platform evolution and network growth targets, taking into consideration unique factors and constraints that are associated with each clients’s geography, industry, market position, goals, and other unique parameters.What We’ll Offer YouAn unparalleled opportunity to apply your economic expertise in an area on the leading edge of economic innovation. You will create – systems, models, relationships, strategy and culture. An environment where your voice will be heard and your impact deeply felt. A sense of belonging where your work is appreciated and rewarded.You’ll get exposure to a variety of inspiring and disruptive applications in blockchain technology and digital assets across numerous markets and industries. You will be a part of an expert team of talented scientists, engineers, financial professionals, creators, supporters, advocates, strategists with diverse backgrounds - all of whom are eager to collaborate and grow alongside you.Key ResponsibilitiesDesign, optimisation, and analysis of virtual economies in the gaming, music, financial, media, sport, and other verticalsAnalyse all relevant economic data, economic agents interaction details, mechanics, and other features of of the platform economy, taking into consideration the initiative’s goals, unique parameters and constraints, and apply them to economic model considerationsConduct research for key economic topics in the blockchain and cryptocurrency industry in alignment with key company economic projectsPerform fundamental and applied economic research, identify applications of classic macro economic models and concepts, optimise, evolve and apply them to create or measure existing virtual blockchain-based platform economies to facilitate balanced, stable, and sustainable economiesApply econometric analysis using various statistical packages, running simulations, testing, and stress-testing the overall design as well as various components, iterating and optimizing the designProduce rigorous academic economic analyses reflecting models developed, results produced and optimizations implemented, providing data, observations and computational simulations backed analyses, and recommendations about specific economic design elementsDevelop statistical economic models to analyse, monitor, and track virtual economy metrics, indicators, and mechanismsWhat You’ll Bring To The TeamWe’re looking for a highly analytical individual who is able to think creatively and apply rigorous economic analysis, theories, mechanisms, and policies to the analysis, design, and optimisation of virtual economies based on novel blockchain technology applications, fine-tuning classic models to the unique factor and constraints that are associated with each target economy’s unique parameters.The candidate should combine in-depth knowledge of economic theories and their application, a good understanding of blockchain technology and its various applications to be able to modify and advance economic concepts to account for unique factors associated with companies in the blockchain industry, as well as advanced programming skills to apply analytical methods, such as statistical analysis, complex systems modeling, and simulation to develop and extensively test virtual economy models with complex and dynamic economic systemsAt Weybridge, we value all the dimensions of diversity, including diversity of experience. We recognise that candidates applying for this role will be most successful if they bring the following with them:A PhD/master’s degree in Economics or in a quantitative science field with an economics concentration or experience. Quant fields Mathematics, Applied Mathematics, Operations Research, Physics, Computer Science, Software/Computer/Electrical Engineering, or other similar science fieldsPostgraduate research in economics an advanced degree in economics, published works, and research in scientific journals and repositories is a preferredExperience in applying analytical methods, such as statistical analysis, modeling, forecasting, and simulationProficiency in econometric and statistical packages, including but not limited to STATA, Eviews, Matlab, SPSS, AMPL, etc., and programming languages like Python, R, etc.Applied knowledge of behavioral economicsUnderstanding of game economies, mechanisms and simulation of users behaviour a plusExperience applying stochastic methods to modeling economic concepts and systems preferredKnowledge of smooth and non-smooth optimization methods, exact and approximation algorithms, as well as heuristic methods for optimization problemsGood understanding of Web3, blockchain technology, digital assets, smart contracts, Defi, Metaverse, game theory, and other related concepts a plusExcellent understanding/ experience developing monetization mechanisms in the metaverseExcellent critical thinking and analytical skillsAbility to work well independently and within a teamThe tenacity to push past obstacles on the path to deliveryIf this sounds like the kind of environment you thrive in, we would love to hear from you!The Fine PrintWeybridge celebrates the diversity of thought, race, national origin and culture, age, experience, religion, economic and social status, gender identity and expression, sexual orientation, marital status, veteran status, or disability status. Building a culture of inclusion allows us to create and share experiences with each other, and with our virtual communities. We always seek to maintain a diverse and welcoming workplace, and candidates from all backgrounds are encouraged to apply.Weybridge does not accept unsolicited resumes from headhunters and recruitment agencies through our website, job posting, or directly to our talent team. We will not pay fees to any third-party agency, headhunter, or company that does not have a signed agreement for this position in place.The statements herein are intended to describe the general nature and level of work being performed by employees in this job. They are not intended to be construed as an exhaustive list of all responsibilities, duties, and skills required of personnel so classified.Job Type: Full-timeSchedule:8 hour shiftEducation:Bachelor's Degree (preferred)",,,2022-08-16T00:00:00,2022-10-16,FULL_TIME
Computational Biologist,SBX BioSciences Inc.,British Columbia,Vancouver,-1,-1,,CAD,"COMPUTATIONAL BIOLOGISThttps://www.sbx-biosci.com/Position Available - Full-time/Part-time, Remote - OKWe are looking for a Computational Biologist to create our data analytic engine in biological and healthcare and to develop a valuable solution in science and business. The role’s main goal would be to drive scientific discovery in the field of biology, healthcare and more alongside our multidisciplinary colleagues, associates and clients. Critical thinking and problem-solving skills are essential for interpreting data.Fluency in speaking, reading and writing English is a required skill as you are expected to communicate information in a clear and professional manner. Fluency with Japanese is an additional preferred asset. This role will require you to be highly analytical while being proficient in standard and cutting-edge analytic techniques of biological data such as omics data. You should also be knowledgeable and passionate about the application related to machine-learning, computational simulation, and the integration of these two.*ResponsibilitiesDeveloping AI and/or simulation models to generate hypothesis in biology and beyondPropose strategy to solve scientific and business problem based on our bio-inspired and AI/ML engineExpand our research engine by deep research on valuable data sources, cutting-edge and state-of-the-art research and technologiesCollaborate with engineering and product development teamsCommunicating with teams and reporting progressPresent information using data visualization techniquesRequirementsOutstanding experience of machine-learning and computational mathematical modelingExperience with R and Python; familiarity with Java or C++ is an assetAnalytical mind, business acumen and problem-solving aptitudePh.D. in Computational Biology, Computer Science, Bioinformatics, Bioengineering or relevant field; graduate degree in Data Science or outstanding experience in the related field will be considered*Job Types: Full-time, Part-timePart-time hours: 15 per weekSalary: $40,000.00-$85,000.00 per yearBenefits:Dental careExtended health careVision careFlexible Language Requirement:French not requiredSchedule:Monday to FridayEducation:Bachelor's Degree (required)Language:Japanese (preferred)",,,2022-09-08T00:00:00,2022-10-16,FULL_TIME
Data Scientist (remote),Ample Insight Inc.,Ontario,Toronto,-1,-1,,CAD,"Company Description
You will join a world-class team of engineers and data scientists from Facebook, Uber, Amazon and Google. We are a fast growing consulting firm based in Toronto with clients ranging from leading startups building impactful technologies to Fortune 500 companies looking to scale their engineering and data capabilities.

Job Description
We are looking for Data Scientists who are passionate about Machine Learning, and have deep knowledge in Statistics and Computer Science. You enjoy doing data science projects with structured and/or unstructured data and are motivated to productize scalable machine learning models. We will also rely on you to build data products to extract valuable business insights. Critical thinking and problem-solving skills are essential for this role.

Qualifications

BS (or higher, e.g., MS, or PhD) in Computer Science or related engineering field involving coding
Experienced implementing and scaling machine learning models in production environments
Strong understanding of machine learning theory
Hands on experience with Statistics
Capable of quickly implementing prototypes of cutting-edge research papers
Proficient in Python (i.e. Pandas, Numpy, scikit-learn, etc), R, TensorFlow, amongst other data science related tools and libraries
Analytical mind and strong business acumen
If you're passionate about data science and is hungry to learn, please apply!

Additional Information
We have very competitive compensation.
Work on cool projects based on your interests and skills. We believe in accountability and NOT micro-management.",,,2022-09-12T00:00:00,2022-10-16,FULL_TIME
