Job_title,Company,State,City,Min_Salary,Max_Salary,unitText,SalaryCurrency,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
Quantitative Developer,"Connor, Clark & Lunn Financial Group",British Columbia,Vancouver,-1,-1,,CAD,"Quantitative Developer
Connor, Clark & Lunn Investment Management Ltd.
Vancouver, BC

We are a special software team embedded in a top performing quantitative equity fund that manages $23 billion in financial assets. This is a fantastic opportunity in the exciting intersection of finance and technology where investment decisions are made using technology. Quantitative equity funds use programmed investment strategies and as a result, our developers are crucial to its success.

The team is headquartered and deeply rooted in West Coast Vancouver. We place high value on maintaining an entrepreneurial spirit and creating a culture where each of us has opportunities to succeed.

What You Will Do

Developers play an essential role through innovative technologies: machine learning, cloud computing, optimization engines, non-traditional high performance databases, custom applications and data visualization. You own the entire software life cycle:
Collaborate with portfolio managers, analysts and researchers to analyze interesting financial problems.
Design, plan and implement solutions in an entrepreneurial spirit.
Keep investment systems running smoothly through enhancements and support.
What You Bring
Programming Knowledge – you have an undergraduate, graduate, or post-graduate degree in a computer-related field OR exceptional programming skills gained through your work experience.
Deeply Analytical – you possess an analytical mind and enjoy mental challenges. An ability to perform deep thoughtful analysis is required for this role.
Passion for Technology – we work with several programming languages (Kdb+/Q, Python, R, Java, C#, Angular/Typescript) and upfront knowledge is not required. If you are passionate about technology, learning new languages and concepts is natural and fun.
Collaborative Communication – you have a collaborative spirit that helps you to work well with others and you communicate effectively.
Interest in Investment Management – this is key. Your interest will help you learn about our complex domain.
About Connor, Clark & Lunn Financial Group
Connor, Clark & Lunn Financial Group Ltd. (“CC&LFG”) provides a broad range of traditional and alternative investment products and services to individuals, advisors and institutional investors. Our business comprises of eleven institutional investment affiliates that are responsible for investment decision making and client service, as well as distribution affiliates including Connor Clark & Lunn Private Capital, which provides multi-asset class investment solutions and Connor, Clark & Lunn Funds which distributes single-strategy investments to individual investors. CC&LFG partners with each of its affiliates by contributing world class operations, product development expertise, broad distribution, and business management. We have grown from $29 billion in assets and 200 people in 2008 to over $96 billion in assets and over 700 people today. This has been accompanied by a high level of change in technology, types of assets managed, trading activity and geographic growth. As we look forward, we can see both opportunities and challenges for further growth that only reinforce our commitment to attracting, retaining and motivating the most talented people.
This is best achieved by:
A High-Quality Environment: To work with people who we hold in high regard; to enjoy the time that we spend at work; to focus on productive activities without the distraction of politics and bureaucracy; to treat each other with respect.
An Opportunity to Succeed: To do work that has value and which presents the opportunity for professional growth and development.
Recognition and Reward: To recognize each person’s contribution and to align compensation with contribution.
CC&L is committed to creating a diverse and inclusive environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to gender, ethnicity, religion, sexual orientation or expression, disability, or age.
We are looking for junior/intermediate/senior developers. To apply for this position, please submit your resume and cover letter as one PDF.
We thank all applicants in advance for their interest, but only those candidates shortlisted for interviews will be contacted. No telephone calls or recruitment agencies will be accepted.
#CCL1",Finanzas,,2022-08-31T00:00:00,2022-10-16,OTHER
Junior Software Engineer - System Integration,Sanctuary AI,British Columbia,Vancouver,-1,-1,,CAD,"Your New Role and TeamOur System Integration team is looking to hire a Junior Software Engineer. Reporting to the System Integration Team Lead, you'll gain a comprehensive understanding of the design, architecture, and implementation of our platform and machine learning systems that power our general-purpose robots.The ideal applicants for this position enjoy thinking broadly and are eager to learn and develop technical skills while gaining valuable industry experience. Ultimately, you'll be a valued part of the team as you learn and adapt to new, complex development environments, own solutions from design and execution through to deployment and support, and innovate best practices that drive continuous improvements in our robotic systems.*Our Success Criteria*Bring hands-on experience working with high-performing teams on academic group projects and/or internshipsGain cutting-edge career experience while automating our workflows/processes, managing, optimizing, and securing on-robot, edge computers, and cloud environmentsExpand your career capabilities as you refine build, deploy, and monitor component subsystems, ensuring that all segments work together as a coherent unitAchieve company-wide visibility as you partner with developers to ensure the smooth deployment of these tools, provide technical support to end users, and structure and keep technical documentation updated*Your Experience*QualificationsBachelor's degree in Computer Science or related fieldsKnowledge of engineering best practices, including coding standards, testing, and operations1-3 Years of engineering experience with Python, Java, C++, or equivalentProven ability to design, implement, and test in a fast-paced environment*Skills*Familiarity with distributed system design and multithreadingUnderstanding of fundamentals of computer science, compilers and operating systems, data structures, and networking*Traits*Above all else, a consistently positive attitude and a willingness to do whatever it takes to create robust solutions to complex problemsStrong communication and interpersonal skillsSelf-motivated and able to solve problems independentlyObsession with bringing human-like intelligence to machinesWorking at SanctuarySanctuary is an equal opportunity employer; employment with Sanctuary is governed based on skills, competence, and qualifications and will not be influenced in any way by race, color, religion, gender, national origin/ethnicity, veteran status, disability status, age, sexual orientation, gender identity, marital status, mental or physical disability, or any other legally protected status.BenefitsMedical/dental/vision, life insurance, wellness programs, stock options, paid time off (vacation, paid holidays, sick time, and parental leave), scheduling and worksite flexibility by role, and more.*About Sanctuary*Founded in 2018 by Geordie Rose, Suzanne Gildert, Olivia Norton, and Ajay Agrawal, Sanctuary is a Vancouver, Canada-based company. Sanctuary is on a mission to create the world’s first human-like intelligence in general-purpose robots that will help us work more safely, efficiently, and sustainably. And in the not-too-distant future, help us explore, settle, and prosper in outer space.Members of the Sanctuary team founded D-Wave (a pioneer in the quantum computing industry), Kindred (first use of reinforcement learning in a production robot), and the Creative Destruction Lab (pioneered a revolutionary method for the commercialization of science for the betterment of humankind). The team has experience launching market-defining innovations rooted in previously unsolved and deep scientific problems.Job Type: Full-time",Tecnologías de la información,,2022-08-26T00:00:00,2022-10-16,FULL_TIME
Junior Data Scientist - Data Science & Advanced Analytics (Perm FT),St. Michael's Hospital,Ontario,Toronto,-1,-1,,CAD,"The Data Science and Advanced Analytics (DSAA) team at Unity Health Toronto houses a team of Data Scientists devoted to applying data science to advance patient care and health system efficiency at Unity Health Toronto. DSAA is looking for a Data Scientist who will focus on machine learning applications in healthcare.
DSAA works closely with physicians and administrators at St. Michael’s Hospital and researchers at the University of Toronto in a team-based environment. The Data Scientist will use the Enterprise Data Warehouse at St. Michael’s Hospital as the primary data source to provide data-driven insights into key drivers of patient outcomes and hospital performance. The Enterprise Data Warehouse at St. Michael’s Hospital is one of the most comprehensive inpatient databases in Canada.
As part of the data science team, the successful candidate will support Sr. Data Scientists in all stages of DSAA projects. Responsibilities will include importing, manipulating and cleaning raw data, exploring and creating data summaries including data visualization and tabular reports. Additionally, the candidate will contribute to building, validating, and deploying models using a variety of techniques that span classification and regression problems. Other responsibilities will include contributing to manuscripts and ethics applications, ad hoc report generation and support of data management activities, which may involve helping build data and analysis platforms, database validation, data review, and quality control. Data Scientists at the DSAA have areas of specialization within machine learning, simulation modeling, statistics/biostatistics, and/or medical imaging. The possible areas of specialization for this Data Scientist position are high frequency time series (waveforms, signals), graphical methods, and/or medical imaging.
DUTIES & RESPONSIBILITIES:
Extract and process data from multiple possible source systems in St. Michael’s Hospital (e.g., Enterprise Data Warehouse (EDW), Picture Archiving and Communications Systems (PACS))
Use specialized software for large and complex data sets including tools for preprocessing, registering, and viewing imaging or waveform data.
Curate, validate, and preprocess large and complex data sets This includes cleaning and merging data from multiple sources (e.g., PACS and the EDW), as well as understanding overall data quality.
Create pipelines to feed real time imaging and/or waveform data to models
Conducting analysis with basic supervised and unsupervised machine learning methods is an asset, including: Linear regression, logistic regression, GLM, penalized regression, SVM, random forest, xgboost, and neural networks
Perform descriptive and inferential statistical analysis in R, Python, and/or Julia. Write HTML/PDF/Microsoft Word reports summarizing the analysis with RMarkdown, Quarto, or other notebooks
Validate output tables, listings or figures generated to ensure accuracy and reliability of analyses
Produce high quality ad hoc and standardized reports customized per project, using R/Python/Julia procedures, tailored to different end-users (e.g. clinicians, researchers, senior management, and hospital executives)
Develop efficient programs, algorithms, or systems to reduce programming time of standardized data analyses and reports
Assist with writing project protocols, including: data extraction, cleaning, predictive modelling, and validation plans
QUALIFICATIONS:
A Master's degree quantitative, health/clinical, or informatics disciplines, with at least 1 year of relevant work experience
Expert level programming with either R (preferred) or Python is required. Experience in Julia is a plus.
Experience working with and manipulating large datasets
Familiarity with databases such as: Netezza, SQL, Oracle, etc.
Familiarity with version control (git, Github, GitLab).
Experience writing reproducible reports using R Markdown and/or Jupyter Notebooks
A deep understanding and experience with regression and classification tasks using generalized linear models, penalized regression, decision tree learning, random forest, support vector machines
Experience with time series modeling and waveform/signal processing and modelling is an asset.
Experience with graphical methods would be an asset
Experience with Bayesian methods would be an asset
Experience with ML/ModelOps would be an asset
Experience with medical imaging would be an asset
Experience with specialized platforms (e.g., XNAT, MONAI, MDai) would be an asset
Familiarity with pretrained models for imaging or waveform data would be an asset
Experience in healthcare is an asset
Demonstrated ability to manage statistical programming activities
Proficient with MS Office software (Word, Excel, PowerPoint, Outlook, etc.)
In order to be considered for this position, please include links to any public-facing code and tools you have created (e.g., personal or institutional Github repositories, your website).
We will also consider other degrees and disciplines in conjunction with applied experience
“As a condition of employment, all external hires will be required to submit proof of COVID-19 vaccination or documentation unless a valid accommodation under the Ontario Human Rights Code exists. All internal candidates must be in compliance with Unity Health Toronto's COVID-19 Vaccination Policy.”",Salud,,2022-08-30T00:00:00,2022-10-16,FULL_TIME
Staff Machine Learning Engineer,PagerDuty,Ontario,Toronto,-1,-1,,CAD,"We are interviewing and onboarding 100% virtually at this time. PagerDuty is focused on inclusion and employee well-being by building a culture that isn't location specific and gives equal opportunity to everyone—regardless of where you are working. Unless your job requirements make it necessary to be in a company office, you may choose to work in-office, remotely, or hybrid.
Why We Need You:


We're looking for a staff-level engineer and a proven technical leader passionate about successfully collaborating with data scientists and engineers to run machine learning models in production. We expect you to understand requirements from the data science and data engineering team and drive alignment with Engineering teams on design patterns and best practices to support the business.


You are expected to anticipate data science & engineering-related bottlenecks, suggest escalation and investment wherever necessary, communicate immediate and long-term technical as well as strategic solutions and trade-offs, and will possess an excellent capacity to manage time. In addition, you will demonstrate emotional intelligence as you navigate stakeholder relationships championing the organization's data science and machine learning initiatives.

How you contribute to our vision: Key Responsibilities
Build and improve the capabilities of the data platform that enable and accelerate the production of machine learning (ML) based solutions
Drive and define standards for data engineering across the organization.
Provide guidance, technical leadership, and mentoring to other members of the team
Proactively recommend improvements and new approaches addressing potential systemic pain points and technical debt
Anticipate technical demands on the data platform based on the organization's roadmap and systematically drive the evolution of the architecture towards those ends
Mentor junior members and participate in scaling up the existing team
Develop a long-term plan for data science investments
Minimum Requirements
You have 8+ years of experience building, designing, and evolving data architecture for large-scale systems
Experience working with Product teams ensuring and driving a timely delivery
Have a deep understanding of the trade-offs to be considered when designing and delivering machine learning solutions to production
Demonstrated experience with data modeling, database design, extract transform load (ETL) processes, working with unstructured data, and cloud-based data infrastructure
Awareness of and experience with ML processes (exploration, training, deployment), technologies (services, packages), and infrastructure (AWS)
Passionate about data/ML engineering and interested in driving discussions with stakeholders and executives
Not sure if you qualify?

Apply anyway! We extend opportunities to a broad array of candidates, including those with diverse workplace experiences and backgrounds. Whether you're new to the corporate world, returning to work after a gap in employment, or simply looking to transition or take the next step in your career path, we are excited to connect with you.

PagerDuty Offers

We are dedicated to providing a culture where our people are happy, enabled and inspired to do their best. One of the ways we do this is by developing a comprehensive total rewards approach that supports employees and their loved ones. As a global organization, our programs are competitive with industry standards and aligned with local laws and regulations.

Your package may include:
Competitive salary and company equity
Comprehensive benefits package from day one
ESPP (Employee Stock Purchase Program)
Retirement or pension plan
Paid parental leave - up to 22 weeks for pregnant parent, up to 12 weeks for non-pregnant parent (some countries have longer leave standards and we comply with local laws)
Generous paid vacation time
Paid holidays and sick leave
Paid employee volunteer time - 20 hours per year
Bi-annual company-wide hack weeks
Mental wellness programs
Dutonian Wellness Days - scheduled company-wide paid days off in addition to PTO and scheduled holidays
HibernationDuty - a week each year when everyone at PagerDuty, with the exception of a small, coverage crew, is asked to take a much needed break to truly disconnect and recharge
About PagerDuty

PagerDuty, Inc. (NYSE:PD) is a global leader in digital operations management, serving over 14,000 customers and 850,000 users worldwide, including 65% of the Fortune 100.

For the teams who build and run digital systems, PagerDuty is the best way to manage the urgent, mission-critical work that is essential to keeping digital services always on. We make it easy to handle any unplanned task, event, or opportunity, right away.

Led by CEO Jennifer Tejada, 50% of our board of directors is comprised of women, 45% of our managers are from underrepresented groups, and we are a proud member of the Pledge 1% Movement, committed to donating 1% Equity, 1% Employee time, and 1% Product to accelerate change in our communities. We are Great Place to Work-certified™ and our product is top rated in its category on TrustRadius.

From how we build our teams to who sits in the boardroom, we hope you can see yourself at PagerDuty.

Learn more: Social Impact; Inclusion, Diversity, & Equity; Culture

Additional Information

PagerDuty is committed to creating a diverse environment and is an equal opportunity employer. PagerDuty does not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, parental status, veteran status, or disability status.

PagerDuty is committed to providing reasonable accommodations for qualified individuals with disabilities in our job application process. Should you require accommodation, please email accommodation@pagerduty.com and we will work with you to meet your accessibility needs.

PagerDuty verifies work authorization in accordance with the requirements of your local jurisdiction.",Tecnologías de la información,,2022-09-01T00:00:00,2022-10-16,PART_TIME
Junior Automation Engineer,Fresh Prep,British Columbia,Vancouver,-1,-1,,CAD,"This internship is funded by the Government of Canada and work terms are under the Digital Skills for Youth (DS4Y) Program. DS4Y, an initiative from Innovation, Science and Economic Development Canada (ISED), provides an opportunity for youth to gain valuable training and work experience needed for today’s digital economy.

Who We Are
Fresh Prep is Vancouver’s homegrown meal kit delivery service. We help people throughout B.C. make world-class dinners with fresh, pre-cut and pre-portioned ingredients along with an extended menu of over 100 add-ons from local suppliers delivered weekly to your door.

From sourcing quality local goods, to delivering in reusable, recyclable and compostable packaging, we believe it’s possible to make convenient eating healthy and sustainable for the community we live in.

In the past few years, we have collected first place awards for The Georgia Straight’s Golden Plates (2019 and 2020) in addition to winning the 23rd and 24th Annual Best of Vancouver award for Best Meal Kit Service as voted by readers (2018 and 2019). Fresh Prep also placed on the Canadian Business and Maclean’s Magazine STARTUP LIST 2020 as a high-growth Canadian startup.
Who You Are

Phenomenal Teammate. You work well with others and enjoy contributing to a fantastic team. Do others enjoy working with you?
Ultra Reliable. Since we work in teams, we need team members who are engaged and seeking to contribute in a positive manner. Are you willing to show up on time and work hard?
Responsible. You have the ability to work independently as needed. Can you be trusted to act without needing strict supervision?
Self Starter. You are comfortable owning a task from start to finish and you take initiative to make continual process improvements. You observe strict deadlines and hold yourself accountable to your deliverables.

What You'll Be Doing

Automate systems through design, analysis, programming, and building components to integrate with production machines
Design, source, and implement new robotic systems (Internal and External) to improve operational efficiency
Test programming and configurations of the new systems built
You will assist the engineering team with setting up equipment for operational expansion and R&D purposes.
You will be responsible for the Project Management and completion of paperwork including, projects, budget, status reports, timesheets, and required engineering documentation
You will follow and complete equipment work instructions for various equipment while testing and ensuring a high quality of work for all documentation released
Perform other duties as assigned.

What We Are Looking For

Technician diploma / Engineering degree (Mechatronics preferred)
Basic skills with Solidworks assemblies and working with sheet metal
Ability to wire, crimp, and solder prototype electronics in a safe and efficient manner
Comfortable working with Excel, Solidworks, and learning new software
Mechanical Aptitude and knowledge of manufacturing processes
Able to work in a fast-paced environment with strict deadlines.
Comfortable occasionally working in a temperature controlled environment. The warehouse is kept at between 0 to 10 degrees Celsius
Familiarity with Automation controls like SCADA to do testing of mechanical systems
Ability to push, pull, squat, bend, and reach above and below shoulders; repetitive use of hands

What You Can Expect

An inclusive, fun workplace filled with fantastic colleagues. We’re a certified B-Corporation and our team is passionate about making a positive difference (and also about food!)
The ability to work from home or from our HQ located in beautiful East Vancouver
Competitive pay and bonuses, as well as the opportunity to participate in our Employee Stock Option Plan.
$1000.00 budget allotted to professional development training
Comprehensive health benefits (including medical, dental, vision and life-insurance) after 90 days of successful employment.
Free food! A Fresh Prep meal plan for 2 meals per week and sample meals from our test kitchen at our HQ!

Research shows that while men apply to jobs when they meet an average of 60% of the criteria, women and other marginalized folks tend to only apply when they check every box. So if you think you have what it takes, but don’t necessarily meet every single point on the job description, please still get in touch. We’d love to have a chat and see if you could be a great fit.

Fresh Prep is an Equal Opportunity Employer (EOE) and prohibit discrimination of any kind. We value diversity at our company and at all job levels our goal is to be diverse, inclusive and representative of the communities we operate in. We endeavour to recruit, develop and retain the best talent from a diverse candidate pool and truly believe that diversity, equity and inclusion among our team members is vital to our success as a company. We trust that in applying for a role with us you value this as well!",Manufactura,,2022-09-09T00:00:00,2022-10-16,FULL_TIME
Software Developer (Golang),Fortinet,British Columbia,Burnaby,-1,-1,,CAD,"The new developer will be primarily working on the Web Content Filter.
Include exists system maintain and new feature develop. The basic requirement is having some Python or Golang programming knowledge. Our ideal candidate will be smart/eager to learn. We are considering junior/new graduates for this role but also open to a strong candidate at the intermediate or senior level.
Must have skills:
 Experience with Python and software development methodology
 Experience Linux, MySQL
 Strong problem solving and analytical skills
Desired skills:
 Experience with Python, Go and software development methodology.
 Experience with operating system interfaces for threads, process control
 Experience with Linux platforms
 Experience MySQL
 Experience Machine Learning
 Experience with scripting languages (PHP, Shell etc) is a plus
 Experience with Java, C is a plus.
Educational qualifications:
 BS or MS degree in Computer Science, Electrical Engineering or related field
#GD
#LI-MIMI",Tecnologías de la información,,2022-08-26T00:00:00,2022-10-16,FULL_TIME
Head of Machine Learning,AstraZeneca,Ontario,Mississauga,-1,-1,,CAD,"The Center for Artificial Intelligence (CAI) is a lab focused on applying machine learning research to the toughest challenges at AstraZeneca. We are a team of experts from different disciplines including Machine Intelligence, Data Science, Real World Evidence and Bioinformatics. We innovate together with our leading biologists, chemists, and clinicians to close the gap between today's challenges and the forefront of machine learning. If you want to have an impact on transforming patients' lives by accelerating new medicines to patients, this may be the position for you!
What you’ll do
In this role, you will manage several projects simultaneously and a team of researchers and engineers working on the development of machine learning models aimed at delivering the strategic priorities of the Center for AI. More specifically, you will be responsible for an effective execution of the strategy agreed with the Head of Machine Intelligence and progression of projects through different stages (feasibility, discovery, development, and deployment). You will interact closely with stakeholders across the organization and external partners while realizing these goals. You will ensure that teams are adhering to established engineering standards, coding practices, and way of working. The role will also require mentorship of junior AI researchers and creating an environment for their growth and development. You will also be expected to define your own research agenda and collaborate with the Head of Research to drive forward a cohesive program of basic, fundamental, and applied research. The role gives you an opportunity to realize your ideas in products and services used in clinical trials and across the drug development pipeline.
Accountabilities
Partner closely with business partners to develop carefully engineered machine learning projects using modern ML methods
Lead teams of 3-10 machine learning researchers to successful project delivery using modern engineering standard methodologies and collaboration tools
Define (in collaboration with the Leadership Team) standards and ways of working
Drive alignment to these standards across the team
Mentor and develop more junior AI Researchers, including directing basic research
Continue to actively engage in ML research with and through the broader ML research community. Publish papers at the major ML conferences, contribute technical blogs and forge strategic alliances with academia and other industry
Remain at the cutting edge of ML research, especially in a chosen subfield (e.g., deep learning, generative models, causal inference, reinforcement learning).
Contribute ideas and provide creative input to machine learning projects
Adhere to CAI standards and ways of working
Examples of projects this team works on are de-novo design of biologics, generative synthetic data models of our clinical trial data, and multi-modal domain translation.
Essential for the role
PhD degree in computer science, electrical engineering, statistics, applied mathematics, or a related field.
At least 6 years of experience in developing machine learning models (a minimum of 2 years industry experience after completion of PhD studies).
ML Ops experience: model tracking, model governance, multiple models in different production contexts
End-to-end experience leading collaborative ML/data science projects in an industry setting.
Desirable for the role
A research program demonstrated by 5 or more journal and conference publications in prestigious venues (with at least 3 publications as a leading author). Examples include but are not limited to: NeurIPS, ICML, UAI, COLT, AAAI, ICLR, JMLR. Leadership in high impact model deployment (e.g., developed over a period of 2+ years) or 2+ small-to-medium scale deployments.
3+ years of experience within the pharmaceutical industry with either extensive knowledge of clinical trial process (all phases) and associated regulatory activities or the discovery pipeline and accompanying investment decisions.
Deep understanding of drug development and clinical trial process and data (all phases).
Participation and activity in the scientific community on program committees, editorial boards, organizing workshops.
Demonstrated leadership potential in research and capability in expanding the frontier of addressable problems.
Track record of collaborating successfully with AI engineering teams to deliver complex machine learning models.
Why AstraZeneca?
At AstraZeneca we’re dedicated to being an excellent Place to Work. Where you are empowered to push the boundaries of science and unleash your ambitious spirit. There’s no better place to make a difference to medicine, patients and society. An inclusive culture that champions diversity and collaboration, and always committed to lifelong learning, growth and development. We’re on an exciting journey to pioneer the future of healthcare.
So, what’s next?
Are you already imagining yourself joining our team? Are you ready to bring new insights and fresh thinking to the table? Good, because we can’t wait to hear from you.
#DSAI #DataAI",Farmacéutica y biotecnología,,2022-09-14T00:00:00,2022-10-16,FULL_TIME
Junior Data Scientist,"VassuTech Services Inc.,",Ontario,Midtown Toronto,-1,-1,,CAD,"Looking for an extremely bright and budding Data Scientist who can work closely with a solid Engineering core teamKEY RESPONSIBILITIESProvide data-based solutions of core problems with the help of AI and Machine Learning tools.Take ownership of building data modelling pipelines for scalable and continuous systems.Closely monitor and provide expertise on creating industry best Data Science curriculum and creating exciting project problem statementsKEY SKILLSSharp problem-solving skills with urgency to deliver best quality products along with an alignment with long-term vision of the companyVery good hands-on with python and SQL (postgresql)Good working knowledge of backend development in REST Frameworks (Django)Good knowledge and hands-on with different Machine Learning tools and modelling frameworks (Pandas, Keras/Tensorflow, scikit learn, NLP)Excellent inter-personal skills to communicate and present ideas to different verticals and stakeholders. Good written and communication skills.Working knowledge of Data pipeline and data-science model deploymentBonus Points:  * Ability to write great documentationsAbility to make data driven decisions for any small thingOur Way Of Working*An opportunity to work on something that really matters.A fast-paced environment to learn and grow.High transparency in decision making.High autonomy; freedom to take risks, to experiment, and to fail.We promise a meaningful journey with smart people, with opportunities to learn & grow. Plus, you can sleep peacefully knowing you are impacting lives in a big way, every day!Job Types: Full-time, Permanent, Fixed term contractContract length: 6 monthsSalary: $30,000.00-$60,000.00 per yearSchedule:8 hour shiftExperience:Junior Data Scientist: 2 years (required)Licence/Certification:Canadian PR/Citizenship (required)Expected start date: 2022-07-04",,,2022-09-15T00:00:00,2022-10-16,FULL_TIME
Staff Machine Learning Infrastructure Engineer,Forethought,Ontario,Toronto,-1,-1,,CAD,"Founded by a team of Facebook, Dropbox, and LinkedIn alumni in 2017, Forethought's mission is to ""unlock human potential through AI."" Forethought is a leading AI company providing human-centered AI solutions that transform the customer experience. Our products enable seamless customer experiences by infusing intelligence at each stage of the customer support journey: resolving common cases instantly, predicting and prioritizing cases, and assisting agents with relevant knowledge—all from one AI platform.

Forethought has grown 22x in the past two years and has raised over $92M in VC funding from top investors including STEADFAST Capital Ventures, New Enterprise Associates (NEA), Ashton Kutcher and Guy Oseary's Sound Ventures, Gwyneth Paltrow, NBA Vet Baron Davis, Robert Downey Jr., Sean ""Diddy"" Combs, LL Cool J, and the CEOs of Robinhood, Carta, and Qualtrics. In 2018, Forethought launched and won at TechCrunch Disrupt—the world's most prestigious startup competition—and was featured in Forbes 30 Under 30. More recently, Forethought was listed as one of Forbes' Next Billion-Dollar Startups.
We're looking for world-class Machine Learning Infrastructure Engineers to join our team! We're looking for folks with a growth mindset who love to solve the world's hardest problems and want to have an impact on the world by building next-generation AI solutions for customer support.

As a member of the infrastructure team, you will focus on applying MLOps methodologies with infrastructure that enables machine learning product teams to develop advanced NLP solutions that power state-of-the-art models for our customers. This includes deploying and maintaining a next-generation experimentation platform for our Machine Learning Engineers to experiment with the latest technologies.

What You'll Be Doing (Responsibilities):

Design, build and maintain optimized and scalable ML platforms for machine learning and data science teams.
Design and develop production backend microservices and infrastructure to perform scalable machine learning training and inference and monitoring in the cloud.
Build and manage a next-generation ML experimentation platform for our Machine Learning Engineers and Scientists.
Deploy and manage third-party annotation solutions to empower engineers to collect, sanitize and, anonymize the data needed for training.
Participate in building data pipelines going from our databases into data lakes.

Who You Are (Skill):

5+ years of experience in software engineering
Proficiency in writing production-quality code in Python
Good understanding of large-scale processing frameworks such as Kafka, Spark, sparkSQL, and Airflow
 Familiarity with Ray, Kubeflow, MLFlow, and AWS Sagemaker or GCP AI Platform
Familiarity with containerization, MLOps, and DevOps (Docker, Kubernetes)
Familiarity with Terraform for Infrastructure as Code

What You Get (Benefits):

A chance to be an early member of a hyper-growth startup with equity to match
An opportunity to help us define a new market within AI
Ability to solve challenging problems with a world-class team
A low-ego company culture that is obsessed with feedback and helping each other grow
Hybrid work structure that allows you to choose where you get your best work done
Competitive medical, dental, and vision coverage
Paid maternity, paternity, & adoption leave
Unlimited paid time off",Tecnologías de la información,,2022-09-15T00:00:00,2022-10-16,OTHER
Software Developer - 249107*,Siemens,Saskatchewan,Saskatoon,-1,-1,,CAD,"Company: Siemens EDA (formerly known as Mentor Graphics)
Job Title: Software Developer (Python/C++)
Job Location: Saskatoon, Saskatchewan
Reference Number: 249107
We are looking for talented junior and senior software developers to join our technical team at the Saskatoon research & development site of Siemens EDA. We develop leading-edge chip design software that is used by some of the world's largest technology companies, recently highlighted here: https://aws.amazon.com/partners/success/arm-siemens-eda/.
At Siemens EDA, we develop custom software (https://eda.sw.siemens.com/en-US/ic/solido/) to solve problems in circuit verification, design automation, and other specialized fields within the semiconductor industry. Solutions are found through approaches such as machine learning, statistical analysis, and advanced (and patented!) techniques. You will be working at the cutting-edge of software development with industry-leading customers at one of the largest companies in the world. This position is located in brand-new and state-of-the-art offices at Innovation Place in Saskatoon, SK, Canada.
Job Duties:
Use Python and/or C++ to develop software that addresses some of the world's most challenging problems.
Work with a top-notch technical team, here in Saskatoon and around the world, to ensure our leading electronic design automation products evolve to meet the changing expectations of our customers.
Collaborate directly with technology experts at major semiconductor companies to define, develop, and deliver new products and product features.
Job Qualifications:
Demonstrated ability to effectively develop high-quality software in a collaborative environment (school or work).
Demonstrated expertise in some or all of the following: object-oriented programming (Python and/or C++), Linux, testing, source control (Git), algorithms, debugging, profiling, GUI design (Qt).
Excellent written and verbal communication skills; demonstrated through software documentation (commit messages, docstrings, etc), collecting customer requirements, and communicating with team members.
A team player; an ability to provide and be receptive of constructive feedback (through code reviews, design iteration, and the verification process); mentor and teach others on the team.
Customer-focused; have the ability to prioritize tasks based on customer experience and ROI.
Willingness to learn and interested in new challenges.
Nice-to-have expertise: Statistics (Monte Carlo analysis), test automation, transistor-level circuit design, EDA CAD tools, SQL, and release management.
Must be available to work from our Saskatoon facility.
Employment with Siemens EDA requires you to be fully vaccinated against the COVID-19 virus. Proof of vaccination will be required as a part of our background check process. An individual who is unable to be vaccinated due to a disability or sincerely held religious belief or practice may request a reasonable accommodation by contacting your Talent Acquisition Partner
#LI-EDA
#LI-CF1
#MGC
#DISW
At Siemens we are always challenging ourselves to build a better future. We need the most innovative and diverse Digital Minds to develop tomorrow’s reality. Find out more about the Digital world of Siemens here: www.siemens.com/careers/digitalminds
Organization: Digital Industries
Company: Siemens Electronic Design Automation ULC
Experience Level: Experienced Professional
Full / Part time: Full-time
Siemens is committed to creating a diverse environment and is proud to be an equal opportunity employer. Upon request, Siemens Canada will provide reasonable accommodation for disabilities to support participation of candidates in all aspects of the recruitment process. All qualified applicants will receive consideration for employment.

By submitting personal information to Siemens Canada Limited or its affiliates, service providers and agents, you consent to our collection, use and disclosure of such information for the purposes described in our Privacy Code available at www.siemens.ca.
Siemens s’engage à créer un environnement diversifié et est fière d’être un employeur souscrivant au principe de l’égalité d’accès à l’emploi. Tous les candidats qualifiés seront pris en considération pour ce poste.

Sur demande, Siemens Canada prendra des mesures d’accommodement raisonnables pour les personnes handicapées, dans le but de soutenir la participation des candidats dans tous les aspects du processus de recrutement.

En transmettant des renseignements personnels à Siemens Canada limitée ou à ses sociétés affiliées, à ses fournisseurs de services ou à ses agents, vous nous autorisez à recueillir, à utiliser et à divulguer ces renseignements aux fins prévues dans notre Code de protection de la confidentialité, que vous pouvez consulter au www.siemens.ca.",Manufactura,,2022-08-21T00:00:00,2022-10-16,FULL_TIME
