Job_title,Company,State,City,Min_Salary,Max_Salary,unitText,SalaryCurrency,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
Analista de Afiliación y Elegibilidad Classicare,"MCS HEALTHCARE HOLDINGS, LLC",Puerto Rico,San Juan,-1,-1,,USD,"Analista de Afiliación y Elegibilidad Classicare (Temporero)
TEMPORERO
NO EXENTO
Responsable de analizar y determinar el prospecto elegible a los Programas de Medicare Advantage administrados por MCS. Esta determinación estará basada en las normas y políticas de Elegibilidad establecidas por CMS (Center of Medicare and Medicaid Services, Capítulos 2 y 3 del Manage Care Manual), Ases (Administración de Servicios de Salud de Puerto Rico) y Medical Card System (MCS)
FUNCIONES ESENCIALES:
Recibe y procesar las solicitudes de Afiliación, Desafiliación, Cancelación y Cambios de Producto recibidas en la Unidad de Elegibilidad en un término no mayor de 7 díasEvalúa, analiza y determina que los documentos de afiliación enviados por los Representantes de Ventas y Agentes Independientes cumplan con las regulaciones estatales, federales y de negocio establecidasDetermina la elegibilidad del prospecto en los sistemas de CMS y Ases, realiza la entrada o corrección de datos en los sistemas de Voyager y On Base, determina el periodo de elegibilidad aplicable, realiza notas y envia las cartas correspondientesIdentifica casos que no puedan ser procesados debido a la falta de información, en donde inicia el proceso de devoluciones. Este proceso incluye documentación en sistema de la razón de devolución, notificación por carta al prospecto y notificación interna a las áreas de ventasGenera reporte semanal de todos los casos en sistema en espera de información, asegurando que su determinación final no exceda los 7 o 21 días aplicables, a fin de cumplir con la regulación federal vigenteTrabaja el reporte de auditoria semanal para asegurar que ningún caso haya sido procesado o denegado sin su respectiva carta de notificación. Toda carta requerida deberá ser enviada en un término no mayor de 10 díasCumple con el proceso de Desafiliaciones OFA(Out of Area) , las cuales deberán ser realizadas durante los primeros 3 días de cada mes. De recibir alguna petición de Retractación de Desafiliación OFA analiza y evalua si el caso cumple con los criterios necesarios para someter la misma además de generar la carta aplicable en un término no mayor a 7 díasMonitorea, analiza y documenta diariamente los casos bajo el proceso de LEP (Late Enrollment Penalty) en las aplicaciones de Lep Track y VoyagerAnaliza los casos referidos por la Unidad de Querellas y Apelaciones relacionadas a los procesos de afiliaciones y desafiliaciones. Provee la información solicitada y ofrece recomendaciones de acciones a seguir en un término no mayor a 48 horasPrepara un informe de Reconciliación de Ventas diariamente, esto con el fin de identificar discrepancias entre la cantidad ventas reportadas por cada región de venta y lo recibido en el área de AfiliacionesResponsable de recibir, ponchar, clasificar y digitalizar toda la correspondencia interna y externa recibida en la Unidad de Afiliaciones. De la documentación recibida requerir acción alguna de la Unidad de Elegibilidad deberá ejecutar y documentar en los sistemas de Elegibilidad de MCS las acciones tomadasOrganiza en cajas según fecha de recibido y efectividad todas las solicitudes de afiliación recibidas. De igual forma asignara a cada caja un número único y mantendrá un control de todo el inventario enviado a los almacenes de ElectraPrepara y entrega informes de productividad, según sean requeridos en donde detalla descripción y el volumen de cada tarea completadaParticipa en la búsqueda de datos y/o preparación de informes solicitados por las diferentes agencias reguladoras, auditores externos e internos, como parte de los procesos de Auditorias Trimestrales y AnualesRealiza las transferencias de proveedores en los sistemas de Voyager y PMHS. Este proceso se realiza en coordinación con el Departamento de Proveedores y deberá cumplir con el tiempo establecido por CMS y OPPCoordina y aprueba él envió de las Cartas de Notificación al Afiliado que se desprenden del proceso de Transferencias de PCP(Primary Care Provider)Analiza los rechazos del Reporte de Capitation Semanal y el Reporte de Ajustes de Capitation mensual referidos por el departamento de Finanzas Estratégicas. Identifica la razón del error y realiza el ajuste correspondiente en los sistemas de PMHS y VoyagerAnaliza y corrige de ser necesario los casos reflejados en los Reportes Calidad, Reporte de PCP Overlapping, Reporte IPA-PCP Segment, Reporte IPA-PCP No Segment. Esto con el fin de prevenir errores en los pagos de CapitationTrabaja los cambios de PCP referidos por las Áreas de Servicio y Premium Management en los sistemas de PMHS y Voyager. Estos cambios serán de acuerdo a las reglas de asignación IPA- PCP aprobada por MCSReconcilia los Cambios de PCP recibidos a través de ECR( Enrollment Change Reques) en los sisttemas de PMHS y Voyager. De identificar casos con discrepancias realiza las debidas correcciones en ambos sistemasResponde en un periodo no mayor de 48 horas las peticiones de servicio referidos por los diferentes departamentos de MCS a través de los diferentes “distribution list” manejados en la unidadTrabaja continuamente reportes de mantenimiento en los sistemas de PMHS y Voyager
REQUISITOS MÍNIMOS:
Educación: 60 créditos universitarios equivalentes a dos (2) años de estudios o grado asociado Administración de Empresas o Facturacion Servicios de Salud preferiblemente
Experiencia: mínimo de un (1) año de experiencia en procesos de afiliaciones grupales e individuales preferiblemente en la Industria de Seguros de Salud
“La experiencia comprobada podrá ser reemplazada por requisitos previamente establecidos.”
Otros: Conocimiento en productos advantage es preferible
Idiomas:
Español – Intermedio (gramatical, conversacional y comprensión)
Inglés – Intermedio (gramatical, conversacional y comprensión)
“Somos un patrono con igualdad de oportunidad en el empleo y tomamos Acción Afirmativa para reclutar a Mujeres, Minorías, Veteranos Protegidos y Personas con Impedimento”",,,2022-09-13T00:00:00,2022-10-16,OTHER
ANALISTA DE ESTADISTICA / CALL CENTER W 3416,Outsourcing S.A.S. BIC,District of Columbia,Washington,-1,-1,,USD,"Descripción empresa:
Somos el primer Contact Center y BPO de Colombia, con más de 28 años ofreciendo soluciones integrales a empresas del sector público y privado para la atención y gestión de sus clientes.
Gracias a nuestra trayectoria y cumplimiento de nuestro propósito ""Mejorar vidas, nuestro compromiso"", desde 2021 somos una empresa BIC (Beneficio de Interés Colectivo) reforzando nuestro interés y trabajo constante en generar bienestar y eficiencias en nuestros clientes y colaboradores, así como nuestra intención en contribuir en temáticas sociales y ambientales de nuestro país.
Contamos con más de 6.500 colaboradores, la #FamiliaOS, en todo el territorio nacional que trabajan para las empresas e instituciones más importantes de Colombia y Latinoamérica para transformar experiencias.

Misión del cargo:
Administrar procesos de generación y presentación de información operativa referente al desempeño, evolución y control de las campañas.

Funciones del cargo:
1. Generar informes estadísticos referentes al comportamiento de la operación.
2. Generar y administrar archivos históricos de estadísticas con el objetivo de realizar reportes comparativos y conocer el desempeño de las diferentes operaciones a través del tiempo.
3. Revisar continuamente el correcto funcionamiento los procesos involucrados dentro de su gestión.
4. Garantizar la integridad en los datos a suministrar desde el área de estadística entregando información precisa y representativa.
5. Generar alarmas ante situaciones atípicas que puedan determinarse a partir de la construcción y análisis de diversos tipos de informes de acuerdo con los requerimientos del cliente y de la compañía.

Oferta:
Cargo: Analista de estadistica -Insight
Salario: $1.425.870 + $117.172 Auxilio de trasporte + prestaciones de ley
Contrato: Termino Fijo por tres meses, con probabilidad de ser renovado de acuerdo a desempeño.
Horarios laborales: lunes a sábado- 7:00 am a 6:00 pm, Domingo - 7:00 am a 3:00 pm con un día compensatorio a la semana.
contratación inmediata.

NOTA:
Es indispensable completar proceso de selección a través de AIRA, de lo contrario, tu postulación no será tenida en cuenta.

TRABAJO 100% PRESENCIAL.

Si estas interesado y cumples con las condiciones postúlate!

Requisitos:

técnico, tecnólogo/ profesional en ingeniería o análisis estadístico
Mínimo 1 año de experiencia en call center o analista de estadistica
Manejo de herramientas ofimáticas, análisis y gestión de información.

Condiciones Oferta:
Sueldo neto mensual: 1425870

Beneficios:

Plan carrera
Programas de crecimiento personal y espiritual
Descuentos con diferentes aliados
Afiliación a fondo de empleados

Descripción Proceso de Selección:
El proceso de selección se realiza a través de Aira - plataforma de reclutamiento diseñado para mejorar tu experiencia de postulación.

Para postular solo necesitas:
1. Postular a la oferta
2. Revisar tu email
3. Ingresar a Aira y contestar las preguntas y/o pruebas solicitadas

Luego, si vemos que tu perfil se ajusta a lo que estamos buscando, te contactaremos por email (a través de Aira) para seguir a la etapa presencial.",,,2022-09-13T00:00:00,2022-10-16,FULL_TIME
Analista de Reconciliación y Encuentros I,"MCS HEALTHCARE HOLDINGS, LLC",Puerto Rico,San Juan,-1,-1,,USD,"Analista de Reconciliación y Encuentros I
REGULAR
EXENTO
Genera y modifica reportes rutinarios o solicitados por la Unidad de gran impacto en la Prima de la Compañía Asegura que la información ofrecida sea exacta, completa y precisa de acuerdo con las especificaciones solicitadas. Ejecuta y monitorea el proceso de sometimiento de los archivos a CMS. Interpreta, evalúa e identifica defectos de archivos.
FUNCIONES ESENCIALES:Ejecuta y monitorea el proceso de someter los archivos a CMS al igual que el envío de los archivosResponsable de modificar informes de reconciliación de los envíos a CMS al igual que mantiene documentación de estaAnaliza, interpreta e identifica errores en el formulario 837 y/u otros archivos propietarios de entrada y salida necesarios para el envío de encuentros a CMS.Analiza, interpretar documentos EDI en los procesos de logística y creación de base para la trasformación de datos.Realiza pruebas de intercambio de archivos con agencias delegadas y CMS según sea necesario y ayuda a crea soluciones en los procesos según los resultados de estas.Monitorea las operaciones de EDI de la unidad de EDSProvee apoyo al área de Sistema de Informática, para el realizar pruebas de las herramientas utilizadas en el proceso de envío de encuentros a CMS. Ej. pruebas de usuarios y su documentación y otros.Genera y modifica reportes rutinarios o según sean solicitados por la Unidad, entiéndase que integra dos o más fuentes de información, o que una sola fuente de información con múltiples tablas o bases de datos a integrar. Ej. PMHS / AS400Actualiza reportes ya creados y modifica los mismos conforme a las necesidades de la unidadGenera reportes de complejidad básica que requieran cambios de parámetros o conexiones básicas a las bases de datos y la cantidad de tablas a utilizarse para facilitar los procesos operacionalesActualiza reportes ya creados a los que añade otros elementos para propósitos de análisisRealiza presentaciones de reportes y datos creados por él mismo o por un analista con nivel más avanzado, de ser necesario
REQUISITOS MÍNIMOS:
Educación y Experiencia: Grado de Bachillerato, preferible en Sistemas de Información, Ciencias en Computadora, Administración de Empresas, Estadísticas y/o Ciencias Naturales con especialización en Matemáticas. Mínimo de dos (2) años de experiencia en el análisis y manejo de bases de datos y preparación de análisis de utilización e informes que incluya experiencia en EDI, preferiblemente en la industria de seguros de salud.
O
Educación y Experiencia: Mínimo de dos (2) de estudios universitarios equivalentes a 60 créditos aprobados o Grado Asociado en Sistemas de Información. Mínimo de cuatro (4) años de experiencia en el análisis de utilización e informes que incluya experiencia en EDI, preferiblemente en la industria de seguros de salud.
Otros: Conocimiento y manejo de Excel a nivel intermedio. Conocimiento en ACCES. Conocimiento e interpretación de transacciones de EDI (ANSI ASC X12N 837 Health Care Claims (837), 835 Files.
Idiomas:
Español –Intermedio (gramatical, lectura, conversacional y comprensión)
Inglés –Intermedio (gramatical, lectura, conversacional y comprensión)
“Somos un patrono con igualdad de oportunidad en el empleo y tomamos Acción Afirmativa para reclutar a Mujeres, Minorías, Veteranos Protegidos y Personas con Impedimento”",,,2022-09-14T00:00:00,2022-10-16,OTHER
Analista de Calidad Carolina y Las Piedras,Pac Tech Int.,Puerto Rico,Carolina,-1,-1,,USD,"Descripción del Puesto

Realizar análisis rutinarios y no rutinarios de materiales en proceso, materias primas, muestras ambientales. Interpretar el resultado de la prueba, compararlos con las especificaciones establecidas y los límites de control, y hacer recomendaciones sobre la idoneidad de los datos para su liberación. Inspecciones visuales previas de productos terminados. Compilar los datos de las pruebas de laboratorio y realizar los análisis apropiados. Documentación completa necesaria para soportar los procedimientos de prueba incluyendo formularios de captura de datos, cuadernos de registro de equipos o formularios de inventario. Calibrar, validar o mantener el equipo de laboratorio. Participar en investigaciones fuera de especificación y fallas y recomendar acciones correctivas. Proporcionar los datos de control de calidad necesarios para las presentaciones reglamentarias. Recibir e inspeccionar las materias primas. Investigar o informar un resultado cuestionable de la prueba. Importante disponibilidad para turnos nocturnos.

Requerimientos:

Bachillerato en Biología, Química o campo relacionado.

1 año de experiencia en posición similar.
Disponibilidad completa.
Certificado de buena conducta y salud vigente.
Disponibilidad para trabajar de pie y levantar un peso aproximado de 50 libras.

Pac-Tech International, Inc. is proud to be an Equal Employment Opportunity Employer and takes affirmative action to employ Women, Protected Veterans, People with Disabilities and Minorities regardless gender identity and sexual orientation and any other legally protected status.",,,2022-08-30T00:00:00,2022-10-16,FULL_TIME
Analista de Datos,Sodimac Colombia,District of Columbia,Washington,-1,-1,,USD,"Descripción empresa:
Somos una empresa colombo chilena, con más de 25 años de experiencia en el país y con cobertura en 25 ciudades. Estamos orgullosos de ser una organización diversa, de vocación global donde nuestros múltiples estilos culturales se constituyen en un verdadero aporte para alcanzar nuestro propósito: Juntos Construimos Sueños y Proyectos de Hogar.

Misión del cargo:
Ejecutar actividades de análisis, gobierno y calidad de datos para soportar la toma de decisiones, conocimiento y comunicación con clientes.

Funciones del cargo:

Implementar los procesos de captura de datos y generación e integración de nuevas fuentes de información asociadas a clientes desde canales online y offline, en lineal con los acuerdos con las áreas implicadas (marcas, contenidos, digital, VAD, IT, Adessa, Sodimac Corporativo), para robustecer y asegurar la calidad de los análisis del área analítica.
Apoyar la implementación de proyectos de innovación de tecnología del resorte del área de Business Intelligence, de acuerdo a las prioridades y recursos definidos con Sodimac Corporativo, IT Colombia y Holding BI Falabella, con el fin de generar mayor conocimiento del cliente, comportamientos del negocio y personalización de cara al cliente.
Monitorear el funcionamiento y mantenimiento de las plataformas tecnológicas del área de Business Intelligence, a partir de la definición de los procesos que permitan la disponibilidad de la información y aseguren su calidad.

Requisitos:
Educación: Ing. Sistemas, Estadistica, Ing. Electrónica, Ing. Telecomunicaciones y/o afines.
Experiencia: 1+ años en Integración, calidad y análisis de datos, reportes y tableros de control.
Conocimientos: Programación ETL, consultas en bases de datos, análisis descriptivo y predictivo.
Software: PL/SQL, Excel, Bases de Datos, Python, CGP, QlikSense o similares.

Condiciones Oferta:
Sueldo neto mensual: 4684000

Descripción Proceso de Selección:
El proceso de selección se realiza a través de Aira - plataforma de reclutamiento diseñado para mejorar tu experiencia de postulación.

Para postular solo necesitas:
1. Postular a la oferta
2. Revisar tu email
3. Ingresar a Aira y contestar las preguntas y/o pruebas solicitadas

Luego, si vemos que tu perfil se ajusta a lo que estamos buscando, te contactaremos por email (a través de Aira) para seguir a la etapa presencial.",Ventas al mayoreo y al menudeo,,2022-09-08T00:00:00,2022-10-16,FULL_TIME
Analista SEO (Remoto),Convierte Más,,,-1,-1,,USD,"En Convierte más estamos buscando un analista de SEO para trabajar con el Depto. de Marketing en la optimización de todos los contenidos en líneas, para asegurar la mayor visibilidad y capacidad de búsqueda para y lograr una gran presencia en internet. Se requiere de una persona que esté familiarizado con las técnicas y herramientas de SEO actuales y tener capacidades analíticas excelentes. Garantizará las estrategias de SEO efectivas para atraer y captar nuestro público objetivo hasta convertirlos en clientes.
Responsabilidades que tendrá el Analista en Automatización de Marketing:
Realizar investigaciones de palabras clave mediante el uso de diversas herramientas (como Keyword Planner y Moz)
Realizar análisis competitivos e identificar lagunas en nuestro contenido o áreas que se puedan mejorar en el diseño de nuestro sitio web
Hacer un seguimiento de métricas de SEO importantes incluido el tráfico orgánico, las tasas de conversión y el tiempo de permanencia en una página
Actualizar el contenido más antiguo y agregar llamadas a la acción (CTA) eficaces para mejorar la captación de usuarios
Informar sobre las métricas de rendimiento y compararlas con nuestros objetivos en materia de SEO y datos de referencia
Optimizar páginas para dispositivos móviles
Implementar estrategias de creación de enlaces y gestionar backlinks para crear autoridad en Internet
Monitorizar campañas de búsquedas de pago
Seguir las tendencias en materia de SEO y estar al día de las nuevas herramientas y prácticas
Competencias para la posición de Analista en Automatización de Marketing:
Experiencia laboral como analista de SEO o puesto similar en el ámbito del marketing digital
Experiencia en Google Analytics
Familiaridad con herramientas usadas para la gestión e investigación de palabras clave
Experiencia en campañas por email y publicidad de pago
Conocimiento de los factores que influyen en la clasificación de los resultados y prácticas de optimización aplicables a los motores de búsqueda
Enormes capacidades analíticas
Grado en Marketing o diploma en área similar",,,2022-09-10T00:00:00,2022-10-16,OTHER
ANALISTA DE IMPORTACION Y EXPORTACION MERCANTIL,Claro - Puerto Rico,Puerto Rico,Guaynabo,-1,-1,,USD,"Preparación Académica: Bachillerato preferiblemente en Administración de Empresas, o su equivalente evaluado en preparación académica y/o experiencia.Experiencia: Tres (3) años de experiencia en cualesquiera o una combinación en funciones de las siguientes áreas: tráfico mercantil, rutas de tráfico de cargas (marítimas, aéreas y terrestres), negociación de fletes, compras o subastas.En ausencia de candidatos se considerarán aquellos con tres (3) años de experiencia en funciones de: recibo y registro de facturas de fletes en sistemas financieros, y/o trámite de pago de facturas por concepto de servicios de importación y exportación domesticas e internacionales de proveedores de cargas aéreas, marítimas o terrestres.Conocimientos y Habilidades: Conocimiento general de los conceptos y reglamentaciones que rigen los transportes marítimos, aéreos y terrestres, Reglamentos de Aduana Federal, Comisión Marítima Federal y Leyes de Arbitrios Federales y Estatales. Conocimiento de administración y consolidación de carga. Conocimiento de las aplicaciones Word y Excel. Habilidad analítica y para realizar cómputos matemáticos. Habilidad para preparar informes. Habilidad para establecer y mantener relaciones interpersonales efectivas. Dominio amplio de los idiomas español e inglés (oral y escrito). Aprobar los exámenes administrados por el Departamento de Recursos Humanos.Resumen de las funciones: Solicita cotizaciones de tarifas de fletes para coordinar las importaciones o exportaciones, vía aérea, terrestre o marítima, de equipo y material comprado por PRTC, Inc./Claro. Asigna los servicios de transporte a las compañías seleccionadas y prepara toda la documentación relacionada y requerida. Da seguimiento a las diferentes Compañías de transporte de la carga que está en tránsito y pendiente por entregar. Coordina con las diferentes agencias gubernamentales federales, estatales y privadas todo lo referente a la información y gestión requerida para el levante de carga. Asigna y coordina el movimiento de carga con el transportista. Coordina con las agencias correspondientes la entrada de mercancía a territorio doméstico (EU y PR). Verifica y se cerciora que los datos de los movimientos de cargas locales e internacionales, y documentación asociada al servicio de transporte y/o aduana sean los correctos. Asegura el cumplimiento de las leyes, estipulaciones y normas internacionales de embarques (marítimo, aéreo y terrestre). Asesora a las direcciones en todo lo relacionado con el movimiento de mercancía, tarifas, empaques, normas, estipulaciones y leyes de transporte de carga marítima, aérea y terrestre, así como de aduanas, arbitrios y fletes relacionados al movimiento y levante de embarques. Revisa, informa y aplica cambios en leyes, normas y procedimientos internacionales y domésticos de transportes. Refiere a su supervisor inmediato información sobre tarifas y posibles suplidores de servicios de transportes marítimos, aéreos y terrestres.SOMOS UN PATRONO CON IGUALDAD DE OPORTUNIDADES EN EL EMPLEO Y TOMAMOS ACCION AFIRMATIVA PARA RECLUTAR A MUJERES, VETERANOS PROTEGIDOS Y PERSONAS CON IMPEDIMENTOS. PATRONO LIBRE DE DROGAS.Job Type: Full-timeSalary: From $30,000.00 per yearSchedule:8 hour shiftWork Location: One location",Telecomunicaciones,,2022-08-24T00:00:00,2022-10-16,FULL_TIME
Analista de planeación financiera,Laika Mascotas,District of Columbia,Washington,-1,-1,,USD,"Descripción empresa:
Laika es la tienda online más completa para mascotas creada por pet lovers para pet lovers! Somos la tienda en línea de mascotas con mayor variedad de productos y servicios a domicilio en Colombia, contamos con más de 4.000 productos (alimentos, dietas naturales, snacks, medicinas, higiene y accesorios) y más de 17 servicios como (medicina veterinaria prepagada, veterinario a domicilio, vacunación, baños, funeraria, entrenador, gaticuidadores, información de colegios, fundaciones, entre otros.
Para Laika, la salud y bienestar de tu mascota es lo más importante. Nos esforzamos día a día por dar la mejor experiencia y servicio a los pet lovers y para que a tus peluditos no les falte nada para su cuidado y salud. Es por esto que también contamos con una línea veterinaria gratuita en donde cualquier persona puede llamar para resolver dudas al 3009108496.

Misión del cargo:
Mejorar la confiabilidad de la información mediante la creación de políticas contables y administrativas.

Funciones del cargo:
Mejorar la confiabilidad de la información mediante la creación de políticas contables y administrativas.
Clasificar mejor la información, con centros de costo
Estar al día con todas las herramientas de visualización de data y creación de reportes (SQL, Power BI, Databricks)
Control detallado de KPI’s
Modelar estrategias que ayuden a mejorar LAIKA – Evaluaciones Financieras
Análisis financiero de inventarios
Reportes por bodegas
PPTO por áreas (ejecutándose parcialmente)
Mayor nivel de análisis (identificación de fortalezas y debilidades), menor ajuste de datos y de ver que todo cuadre.
Evaluación PPTO vs Metas por áreas

Requisitos:
Profesional en economía, finanzas, negocios internacionales
Experiencia laboral 1 años en áreas de planeación financiera

Condiciones Oferta:Beneficios:

Mascotas bienvenidas
Día de cumpleaños
Descuentos en productos

Descripción Proceso de Selección:
El proceso de selección se realiza a través de Aira - plataforma de reclutamiento diseñado para mejorar tu experiencia de postulación.

Para postular solo necesitas:
1. Postular a la oferta
2. Revisar tu email
3. Ingresar a Aira y contestar las preguntas y/o pruebas solicitadas

Luego, si vemos que tu perfil se ajusta a lo que estamos buscando, te contactaremos por email (a través de Aira) para seguir a la etapa presencial.",,,2022-09-14T00:00:00,2022-10-16,FULL_TIME
Analista de Nómina,"Pepsi Cola PR Distributing, LLC",Puerto Rico,Toa Baja,-1,-1,,USD,"Responsabilidades del Puesto: Verificar asistencia, horas trabajadas, ajustes de pago y publicar información en los registros designados.Calcular salarios, deducciones y someter datos en las computadoras.Mantener registros de licencias tales como vacaciones, personal, enfermedad y otras licencias para los empleados.Realizar verificaciones de empleo.Completar hojas del horario de los empleados con el tiempo de llegada y salida.Requerimientos del puesto:El puesto requiere conocimiento de procedimientos administrativos y sistemas tales como procesamiento de textos, manejo de archivos, registros y otros procedimientos de oficina y terminología.El puesto requiere conocimiento de los principios y procedimientos de reclutamiento de personal, selección, adiestramiento, compensación y beneficios, relaciones laborales, negociación y sistemas de información de personal.Requisitos: Bachillerato en Administración de Empresas, Contabilidad o área relacionada.1 año o más de experiencia en el área de nóminaConocimiento de los programas de Microsoft (Excel, Word, PP)Dominio del idioma InglésJob Type: Full-timeSalary: $26,000.00 - $28,000.00 per yearBenefits:401(k)Dental insuranceHealth insurancePaid time offSchedule:Monday to FridayEducation:Bachelor's (Required)Experience:Payroll management: 1 year (Required)Microsoft Excel: 1 year (Preferred)Work Location: One location",,,2022-08-30T00:00:00,2022-10-16,FULL_TIME
ANALISTA DE TRANSICIÓN,Sodimac Colombia,District of Columbia,Washington,-1,-1,,USD,"Descripción empresa:
Somos una empresa colombo chilena, parte de la organización Corona y del Grupo Falabella, con más de 25 años de experiencia en el país y con cobertura en 25 ciudades. Estamos orgullosos de ser una organización diversa, de vocación global donde nuestros múltiples estilos culturales se constituyen en un verdadero aporte para alcanzar nuestro propósito: Juntos Construimos Sueños y Proyectos de Hogar.

Misión del cargo:
Gestionar la implementación de los Cambios de TI (Errores, Mejoras y Proyectos), mediante la ejecución el proceso de Transición

Funciones del cargo:

Tu proceso de selección se realizará a través de una plataforma online, revisa tu correo electrónico*

Sodimac Colombia se encuentra actualmente en busca de un ANALISTA DE TRANSICIÓN para realizar las siguientes funciones:

Gestionar la implementación de los Cambios de TI (Errores, Mejoras y Proyectos), mediante la ejecución el proceso de Transición (Planeación, Alistar /Configurar, Pruebas y Entrega a la Operación), asegurando la puesta en producción y estabilización exitosa de los Servicios de TI para que cumplan las funcionalidades requeridas por el negocio e impacten al mínimo la disponibilidad.


Realizar y Gestionar el plan de transición de Proyectos y mejoras de acuerdo a las etapas definidas en el Proceso (Planeación, Alistar/Configurar y Entrega a la Operación) y los lineamientos del proyecto (cuando apliquen) para apoyar y facilitar el cumplimiento de los hitos establecidos
Gestionar el alistamiento y despliegues del ambiente de QA y producción, mediante la revisión y aseguramiento de la completitud de los RFCs y solicitud a las áreas responsables de las diferentes plataformas para garantizar las lineas base y disponibilidad de las aplicaciones.
Realizar la entrega funcional y técnica de la aplicación, sus integraciones y/o cambios de TI mediante la apropiación del conocimiento en etapa de diseño y pruebas, documentación y capacitación al equipo funcional y técnico involucrado para facilitar la estabilización de la operación y el soporte de la misma.

Requisitos:
Profesional en ingeniería de sistemas o electrónica
Manejo de Bases de Datos (ORACLE, SQL,… )
Experiencia en Desarrollo de Software Calidad, Gestión de Infraestructura o Soporte TI
Experiencia en Desarrollo Proyectos de Software
Conocimientos y experiencia en Transición del Servicio de TI
Conocimientos y experiencia Metodologías de Pruebas de Software

Condiciones Oferta:Beneficios:
Extralegales

Descripción Proceso de Selección:
El proceso de selección se realiza a través de AIRA - plataforma de reclutamiento diseñado para mejorar tu experiencia de postulación.

Para postular solo necesitas:
1. Postular a la vacante
2. Revisar tu mail
3. Ingresar a AIRA y contestar las preguntas y/o pruebas solicitadas

Luego, si vemos que tu perfil se ajusta a lo que estamos buscando, te contactaremos por mail (a través de AIRA) para seguir a la etapa presencial.",Ventas al mayoreo y al menudeo,,2022-08-18T00:00:00,2022-10-16,FULL_TIME
