Job_title,Company,State,City,Min_Salary,Max_Salary,unitText,SalaryCurrency,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
Analytics Engineer,SonderMind Careers,Colorado,Denver,-1,-1,,USD,"At SonderMind, we know that therapy works. SonderMind provides accessible, personalized mental health care that produces high-quality outcomes for individuals. SonderMind's individualized approach to care starts with using innovative technology to help people not just find a therapist, but find the right, in-network therapist for them.

How you'll make an impact

As an Analytics Engineer, you will help build, maintain, and scale SonderMind's analytics data models and platform. Our analytics platform allows the organization to see a holistic view of the business from disparate data sources, enabling fast insights and driving product decisions.


Success looks like
Making meaningful contributions to our team's long-term roadmap and strategy, scoping and leading projects and helping balance proactive and reactive workstreams
Owning a subset of our core data models end to end, from raw data ingestion via Fivetran to backend Looker data structures
Managing data projects from start to finish: we don't just build new datasets, we collaborate cross-team to provide input on data structure, identify edge cases, write data quality tests, and document business logic


What you'll do
Design and build scalable, performant, and user-friendly data models in dbt that drive business insights and product decisions
Leverage software development best practices to deliver documented, tested, and code-reviewed data products
Iterate on our Looker backend to improve usability and minimize user error
Collaborate with analysts, data scientists, engineers, product managers, and stakeholders to integrate new product features and data sources into Snowflake
Contribute to the Analytics Engineering team's roadmap and drive forward our vision for SonderMind's analytics platform
What you'll bring with you
Required Experience
3+ years of experience as an Analytics Engineer and/or Data Analyst
Experience working with Snowflake, Looker, and dbt
Advanced SQL skills
Understanding of data modeling best practices and data structure tradeoffs
Preferred Experience
Bachelor's degree in a technical field (e.g. computer science, mathematics, finance)
Experience with compliance-based data privacy
Healthcare industry experience
What we value
Curious: Seek to understand and pull the thread
Courageous: Takes action, even when uncomfortable
Lightful: Assume positive intent in others
Authentic: Say what you mean, mean what you say, act accordingly
Bucketworthy: Don't let your bucket leak


Our Benefits

The anticipated salary range for this role is $80,000- $100,000. This role is eligible to participate in our equity incentive plan. Actual compensation is based commensurate with qualifications and experience.
As a leader in redesigning behavioral health we are walking the walk with our employee benefits package. We focus on meeting SonderMinders wherever they are and supporting them in all facets of their life with both mental and physical aspects in mind.

Our benefits include:

Therapy coverage benefits to enable our employees to get the care they need
Medical, Dental, and Vision coverage with plans to meet your needs including HSA and FSA options.
A flexible PTO policy, 8 company paid holidays, company shutdown last week of the year
Employer-paid disability & AD&D to cover life's unexpected - not only that, we cover the difference in salary for up to Eight weeks of short-term disability leave
Eight weeks of paid parental leave (if the parent also qualifies for STD, this benefit is in addition)
Competitive market salary, up-to 4% salary company match on 401K, professional development and advancement opportunities as we rapidly scale, and so much more.

Mental wellness impacts people of every community. At SonderMind, building and supporting a diverse workforce is foundational to our goal to redesign behavioral healthcare to be more approachable and accessible. SonderMind is a committed equal opportunity employer and provides a workplace that will not tolerate discrimination or harassment on the basis of race, religion, national origin, gender identity or expression, sexual orientation, age, or marital, veteran, or disability status.",,,2022-08-22T00:00:00,2022-10-16,OTHER
Business Intelligence Engineer,Amazon,,,-1,-1,,USD,"We are looking for high caliber and tested Senior Business Intelligence Engineer (BIE) to start a project with high exposure to VP and SVP level business decision making support. In this role you will define scalable processes and frameworks leveraged by multiple cross-functional teams. You will apply both business and technical acumen in a fast-paced, ambiguous and innovative environment. Our ideal teammate possesses a natural curiosity, sharp analytical skills and is excited to pioneer on behalf of customers.Basic QualificationsBA/BS in Computer Science, Engineering, Mathematics or related field5+ years of relevant work experience in a role requiring application of analytic skills to integrate data into operational/business planningPreferred qualificationsAdvanced degree in computer science, mathematics, statistics, economics, or other quantitative fieldExperience using AWS technologies (Redshift, S3)Experience working in very large data warehouse environmentsStrong project management skills to coordinate projects across cross-functional teams, including business intelligence, engineering, marketing, product management, and finance.Demonstrated ability to influence across a large, multi-faceted organizationExperience in consumer-facing industryExcellent written and verbal skills to effectively communicate to both business and technical teams, including defining business requirements and conveying key insights from complex analysis.Be self-driven, and show ability to deliver on ambiguous projects with limited dataAmazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.Job Type: Full-timeSalary: $117,000.00 - $180,000.00 per yearBenefits:401(k)Dental insuranceHealth insurancePaid time offVision insuranceSchedule:8 hour shiftMonday to FridaySupplemental pay types:Signing bonusEducation:Bachelor's (Preferred)Experience:analytical skills: 5 years (Preferred)business planning: 5 years (Preferred)aws technology: 1 year (Preferred)Redshift: 1 year (Preferred)Data warehouse: 1 year (Preferred)consumer facing: 1 year (Preferred)project mangement skillls: 1 year (Preferred)Work Location: Remote",Tecnologías de la información,,2022-09-15T00:00:00,2022-10-16,FULL_TIME
SQL Engineer,Energy Worldnet,,,-1,-1,,USD,"SQL EngineerDepartment: Systems Engineering (Data Systems)General DescriptionThe SQL Engineer is a mid-level position and part of the Data Systems Team and reports to the Manager, Data Systems.The SQL Engineer is responsible for ensuring database stability, reliability, and performance. The SQL Engineer will troubleshoot and correct all issues related to EWN’s SQL Server instances.The SQL Engineer is responsible for creating reliable, scalable, and performant stored procedures and functions within Energy Worldnet, Inc. (EWN) databases in support of EWN’s application platform. The SQL Engineer I is also responsible for designing and creating data structures to support business processes using data modeling best practices.The SQL Engineer will complete code reviews for Data Systems team members ensuring code adheres to EWN standards and practices and is robust, scalable, and performant.The SQL Engineer must have a strong passion for excellence, focusing on execution, and influencing innovation, quality, and predictability for continuous improvement.Essential Job Functions and ResponsibilitiesMaintain system integrity with routine refactoring and optimization of stored procedures and user-defined functionsAdhere to coding standards and contribute to enhancing them as neededParticipate in project requirements reviewDocument new and existing processesResearch new technology and present ideas to the teamPerform code reviews for projects of any level of complexityTroubleshoot performance issues and design and implement effective indexing and performance tuning strategies to create and maintain a performant code baseWork with Product Innovation and Software Engineering to translate business requirements into technical specificationsWork with non-technical EWN teams to assist in providing necessary technical insight when drafting business requirementsAttend technical calls with clients that involve Data Transfers (imports/exports) or custom development workShare daily updates with the systems engineering team via SCRUM (work completed, work pending, and/or impediments)Create data structures (tables, keys, and constraints), views, stored procedures, user-defined data types and functions, and other SQL Server objects as needed to create robust, scalable, and performant solutions to implement technical specifications and support future, anticipated requirementsCollaborate with other team membersPerform other related job functions as assignedMinimum QualificationsAssociates or Bachelor’s degree or Microsoft certifications relating to data development for SQL Server 2016 or later or comparable experienceSix (6) years of experience with Microsoft SQL Server; with most recent experience using 2016 or laterSix(6) years of experience using software development methodologiesKnowledge, Skills, and AbilitiesKnowledge of:Expert-level knowledge of T-SQL developmentStrong understanding of SQL Server DBA troubleshooting and maintenance activitiesStrong understanding of data modeling concepts and practicesStrong understanding of query plan analysis, indexing, and performance tuning concepts and practicesStrong understanding of working with DMVs, Query Store, and other SQL Server resources to troubleshoot performance and stability issuesStrong understanding of OLAP vs OLTP design patterns and practicesUnderstanding of the fundamentals of working with a Service BrokerUnderstanding of the fundamentals of SQL Server internalsSource control methodologySkilled in:DBA operations including backups, maintaining data and log files, identifying and correcting performance and connectivity issues, security, and other tasks as requiredCreating and modifying complex stored procedures, views, triggers, and user-defined functionsCreating efficient and scalable physical data models using tables, keys, and constraintsDesigning and implementing effective, efficient indexing strategiesAnalyzing query plans to identify and correct complex performance problemsCommunicating effectively and respectfully both written and orallyCritical thinking, problem-solving, and providing workable solutionsAbility to:Organize and plan work independentlyMulti-task and context-switch effectively between different activities and teamsCollaborate effectively to achieve stated goals and resultsPlan resource requirements from high-level specificationsTroubleshoot common database issuesPrepare program specifications; to code, test, and debug computer programsInterpret technical information related to computer programming and other areas of data processingPreferred Qualifications and KSAsBachelor’s degree in related fieldAgile development model (SCRUM, work assignments, timelines, and team structure)Microsoft certifications relating to database development for SQL Server 2016 or laterKnowledge of Agile development model (SCRUM, work assignments, timelines, and team structure)Knowledge of Subversion and Git source controlExperience with Microsoft Azure SQL Managed InstanceOil, Gas, or Energy industry experienceJob SpecificationsFLSA Classification (Exempt, Non-exempt)- ExemptFull Time, Part Time, Temporary- Full TimeTravel Requirement (% of 40-hour workweek)- Up to 30% Quarterly meetings; EventsRemote work-eligible (yes, no)- YesTelecommute eligible (yes, no)- YesShift (note time and days)- 8 hr shifts between 7 am–5 pm, M-FEnvironment- Home Office, with some field workJob Type: Full-timePay: $100,000.00 - $120,000.00 per yearBenefits:401(k)401(k) matchingDental insuranceHealth insuranceLife insurancePaid time offVision insuranceSchedule:8 hour shiftApplication Question(s):Will you now or in the future require sponsorship for employment visa status?Do you have experience with Microsoft Azure SQL Managed Instance?In what state do you reside?Education:Bachelor's (Preferred)Experience:Microsoft SQL Server 2016 or newer: 6 years (Required)Software Development Methodologies: 6 years (Required)T-SQL: 6 years (Required)Work Location: Remote",,,2022-09-15T00:00:00,2022-10-16,FULL_TIME
Analytics Engineer,Alto Experience,Texas,Dallas,-1,-1,,USD,"Alto is a destination for innovative, intellectually curious, and forward thinking people - we are disrupting the rideshare industry with a revolutionary, elevated experience and sustainable business model! What makes Alto different is that we hire W-2 employee drivers, maintain a branded fleet of vehicles, and are transitioning to an all-electric fleet in 2023. We are rapidly growing, having raised a $45M Series-B in 2021 and accelerating towards a nationwide expansion. Today, we operate in Los Angeles, Dallas, Washington D.C., Miami, San Francisco, and Houston. Check out more about us here.As an Analytics Engineer, you will design and implement analytics to drive growth and efficiency as we enter the next phase of the company's evolution. You will have the opportunity to solve challenging macro business problems, collaborate with cross functional teams, and have direct ownership in driving value across the organization.What you will do: Define and Develop Key Business Metrics from and Engineering perspective. You'll collaborate with business partners to implement metrics across organizational initiatives ranging from Operations, to Sales, to Marketing and beyond; you'll work with the central data organization in modeling and maintaining KPIs.Enable functional analytics team to deliver key dashboards and reports. You'll own the development of metrics, data models and the underlying logic that powers the dashboards and reporting designed by our functional data partners, which in turn supports strategic decision-making by leadership.Serve as a Cross-Functional Data Subject Matter Expert. You'll act as both the technical and business expert to help streamline decision-making between our data engineering team, and core business functions, including sales, finance and operations.Support Data Integrity. You'll identify and debug issues with core KPIs, and coordinate with fellow data practitioners and stakeholders to utilize one source-of-truth.What you bring to the table: 3+ years experience working in analytical capacity modeling and/or interpreting data (e.g. data analyst, reporting/analytics engineer, data science, data engineer, consultant)Highly skilled at writing and interpreting complex SQL queriesUnderlying understanding of databases and data structuresFamiliar with modern data stack, such as BigQuery, cloud based databases and warehouses, data engineering / transformation tools, etc.Familiar with modern analytics and visualization tools, such as Looker, Data Studio, Tableau, etc.Working knowledge of scripting language (e.g. Python, R) used in data modeling and engineeringAbility to precisely and effectively communicate the results of your analyses directly to both technical and non-technical stakeholdersPossess an intuition for understanding underlying business needs and a knack for dealing with ambiguityA degree with a quantitative focus (e.g. economics, statistics, engineering)Nice To HavesExperience working with customer data platforms / CRM (Salesforce, Hubspot, etc) software and data, or have worked on measuring sales performance indicators.Experience working with data ingestion / streaming data pipelinesExperience designing / implementing Notebook-based models (ex. Jupyter, etc.)What's in it for you: Base salary, bonus and equity in a rapidly growing companyHealth/dental/vision insurance and 401k with employer matchingHybrid remote/onsite flexibilityUnlimited PTOEngineering 20% Time$1,000 annual professional development reimbursementMonthly credit to ride Alto, and complimentary membershipJob Type: Full-time",Tecnologías de la información,,2022-08-29T00:00:00,2022-10-16,FULL_TIME
Analytics Engineer,Zelis,,,-1,-1,,USD,"Sapphire Digital, now a part of Zelis, is looking for a data-driven Analytics Engineer who will work closely with the Business Intelligence and Data Engineering & Services teams. This position will lead efforts in transforming, maintaining & QAing structured and unstructured enterprise data into actionable information.Proof of Covid-19 vaccination is required upon hire.In this position, you'll be responsible for: Overseeing data QA functions to ensure accuracy of business rules defined and data integrityIdentifying, verifying and analyzing data defects/issues and communicating with the team to determine the root cause for issue resolution.Developing and sequencing jobs and processes to transform data into data lake and data warehouseCreating SQL queries for reporting and support troubleshootingWorking with SQL, Python and Apache Spark to perform analysis and interpret data.Monitoring, reviewing, and analyzing inbound and outbound dataProactively identifying issues and trends through data analysis and manipulationPresenting findings in reports and utilizing various visual techniques and tools like Power BIInitiating ad-hoc data processing jobs.Coordinating with Data Engineers to build data environments providing data identified by Data Analysts, Business Intelligence Developers, Machine Learning Engineers, and the business.Communicating effectively with cross functional teamsYou might be a good fit if you have: Strong health care data knowledge (medical claims data, clinical data, pharmacy data, and eligibility data) preferred.Bachelor’s degree (Statistics, Math, Computer Science, or related field) and a minimum of 2 to 5 years related experience and/or training; or equivalent combination of education and experience as a data engineer/analyst.Strong technical skills to extract and analyze Big Data using Python, SQL and Apache SparkStrong technical skills for data visualization such as using Microsoft Power BIKnowledge of SQL Server, PostgreSQL/SSIS/SSRS, Python, Git, JIRA, Docker, and advanced MS Excel skills are required.Experience with version control software (Git preferred), agile development experience, and knowledge of design patterns.Experience working independently, contributing as a member of the team and result driven.Strong presentation skill to explain and present advanced statistical methods using non-technical language to key business stakeholderJob Type: Full-timePay: $85,000.00 - $140,000.00 per yearBenefits:401(k)Dental insuranceHealth insurancePaid time offVision insuranceSchedule:8 hour shiftEducation:Bachelor's (Required)Experience:Python and Apache Spark: 2 years (Preferred)Data Analysis and SQL: 3 years (Required)Git: 3 years (Preferred)Cloud architecture: 3 years (Preferred)Python: 3 years (Required)Work Location: Remote",Salud,,2022-08-29T00:00:00,2022-10-16,FULL_TIME
Analytics Engineer,kraken,,,-1,-1,,USD,"About Kraken
As one of the largest and most trusted digital asset platforms globally, we are empowering people to experience the life-changing potential of crypto. Trusted by over 8 million consumer and pro traders, institutions, and authorities worldwide - our unique combination of products, services, and global expertise is helping tip the scales towards mass crypto adoption. But we’re only just getting started. We want to be pioneers in crypto and add value to the everyday lives of billions. Now is not the time to sit on the sidelines. Join us to bring crypto to the world.
To ensure Kraken is the right fit for you, please ensure you read Kraken Culture Explained to find out more about us!
We are looking for Analytics Engineers who will play a key role in driving decision making in building cutting-edge products at Kraken. You will set up data infrastructure, write ETL pipelines, transform large datasets from complex systems, develop custom apps and generate actionable insights. You will partner and lead projects with data analysts, data scientists, product management, engineering, client engagement, finance and other enterprise level teams.

You are a self-starter, results driven and passionate to drive success of products at Kraken using the power of analytics engineering.

Great benefits, amazing perks, remote work, stock incentives, and a flexible PTO policy make Kraken a great place to work.

This is a fully remote role, we will consider applicants based in North America, South America and Europe.
Responsibilities
Own core data infrastructure and platforms including 3rd party tools, make recommendations on evolving our tech stack.
Build scalable data models necessary to facilitate reporting (e.g., data integrity) and analytics.
Develop and automate reporting of key performance indicators of various Kraken’s products and services at scale, solving for business priorities.
Apply software engineering best practices to analytics code (e.g., version control, testing, continuous integration)
Collaborate with engineering teams and stakeholders to build key datasets and data pipelines using dbt/Python/ETL frameworks.
Be a data evangelist and help Kraken improve its products and services.
Minimum Requirements
3+ years of experience in data analytics, engineering or warehousing
3+ years of experience using a scripting language (Python, R, Javascript, etc) and/or experience with a programming language (Java, Scala, Golang, etc)
3+ years of experience with BI Software (Superset / Tableau / etc)
3+ years of experience interacting with APIs
Familiarity with data warehouse development and best practices
The ability to clearly communicate complex results to technical and non-technical audiences.
Preferred Requirements
BA/BS or MA/MS degree in Mathematics, Statistics, Information Systems, Computer Science, Business Analytics, Data Science or related technical field
3+ years of experience of SQL, dbt, and data warehousing concepts
Strong understanding of statistical concepts
Familiarity with cryptocurrency ecosystem
Have experience or willingness to learn ML modeling and deployment.
Location Tagging: #EU #US #CANADA #LI-Remote
We’re powered by people from around the world with their own unique and diverse experiences. We value all Krakenites and their talents, contributions, and perspectives, regardless of their background. We encourage you to apply for roles where you don't fully meet the listed requirements, especially if you're passionate or knowledgable about crypto!
As an equal opportunity employer we don’t tolerate discrimination or harassment of any kind. Whether that’s based on race, ethnicity, age, gender identity, citizenship, religion, sexual orientation, disability, pregnancy, veteran status or any other protected characteristic as outlined by federal, state or local laws.
Stay in the know
Kraken Culture Explained
Follow us on Twitter
Catch up on our blog
Follow us on LinkedIn",Tecnologías de la información,,2022-09-14T00:00:00,2022-10-16,FULL_TIME
Desktop Support Engineer,Full Potential Solutions,Missouri,Kansas City,-1,-1,,USD,"About US: Full Potential Solutions (FPS) is a global, US-based company that helps contact centers around the world better engage with their customers. Our offices are in Boston, MA, Kansas City, MO, Chennai, India and Manila, Philippines. We are building cloud-based analytics products and services to enhance the end-to-end customer journey via omnichannel engagement (voice, email, SMS, chat and conversational AI) and to optimize agent performance.Here are some of the exciting initiatives we are working on:Creating AI driven conversational experiences for a wide spectrum of global enterprisesDesigning and developing amazing user experiences across data visualization and analyticBuilding Salesforce solutions to drive customer engagement by leveraging ML to enhance contact strategyDeveloping standardized ML models to optimize customer engagement and agent performance across all our customers using various Python frameworks and AWS services (Transcribe, Comprehend, Sagemaker, etc.)Building a set of tools to complement Amazon Connect which is the fastest growing Contact Center as a Service in the industry.Developing a comprehensive Data, Analytics, and Reporting platform to integrate, measure, and analyze millions of daily customer interactions/metrics across all our clientsBuilding web/mobile apps to improve agent/manager performance across thousands of agents (metrics, gamification, collaboration)Deploying cutting-edge services with AWS, including microservices and serverless architecture, event notification services, and lots moreOur team has successfully built and scaled analytics-focused products and services at companies such as Salesforce, Demandware, IBM and Sprint. We have strong backgrounds in computer science, math and engineering from top universities such as Harvard, Yale and IIT. We strongly believe that empowered people are the key to building a great company. Our mission as a company is to create an environment where our people THRIVE.About YOU: We are looking to hire a skilled desktop support engineer to assist our clients with computer hardware and software issues. You will be required to work on-site in Bogota, Colombia and assist with hardware installations, software upgrades, systems integrations, and resolve basic IT-related issues.To ensure success as a desktop support engineer, you should have extensive knowledge of home and office systems, good problem-solving skills, and high-level technical skills. A top-class desktop support engineer provides fast and effective support for clients experiencing basic hardware and software issues.Responsibilities: Troubleshooting hardware and software issues raised.Installing and maintaining hardware and computer peripherals.Installing and upgrading operating systems and computer software as needed by the client.Implementing site-wide solutions as determined by the client and/or management.Troubleshooting networking and connection issues.Advising on software or hardware upgrades.Providing basic training in computer operation and management.Responding to client support requests.Contacting users to find out the nature of the problem.Delivering relevant and correct technical support on a case-by-case basis.Coordinating on-site outages to necessary groups or third parties.Properly prioritizes and escalates unresolved queries as required to ensure customer satisfaction.Deploying tech tools as needed by the client and/or organization.Be the main point of contact for any IT issues reported on-site.QUALIFICATIONS: Bachelor’s Degree in Information Technology or Computer Science, or any related field (e.g. Computer Engineering)Three or more years of Desktop Support experience (hardware, software, network and related technologies)Advanced knowledge of computer hardware systems, chipsets, memory modules and peripherals.Knowledge of popular operating systems, software applications and remote connection systems.Ability to solve complex hardware and software issues.Experience in handling a global service center and operations.Must be willing to work on a shifting schedule (dictated by client needs).Experience in supporting Windows Desktop, Virtual Desktops, MAC and notebook computersFamiliarity with ITILFamiliarity with Cloud ComputingA proactive thinker with the ability to anticipate problems, troubleshoot and proactively resolve themGood verbal and written communication skillsGood customer service, relational and can interact with various people at different levels in the organizationAbility to manage high-stress situations calmly and effectively.Strong attention to detail and well organized.Job Type: Full-timePay: $50,000.00 - $60,000.00 per yearBenefits:Life insuranceSchedule:Monday to FridayAbility to commute/relocate:Kansas City, MO 64116: Reliably commute or planning to relocate before starting work (Required)Experience:Desktop Support: 3 years (Required)Active Directory: 3 years (Required)Networking: 3 years (Required)Work Location: One location",Recursos humanos,,2022-09-13T00:00:00,2022-10-16,FULL_TIME
Data Engineer,Devcare Solutions,,,-1,-1,,USD,"Job Description :RemoteAt least 3 years experience in multiple projects doing:Required:Data catalog curation; landing page, articles, tags, profiling, search, conversations, endorsements, notifications, deprecationsTraining/mentoring of data catalog stewardsWriting, maintaining, executing data catalog processes, maintain it run bookPreferred:Data catalog administration; add and configure data sources, metadata extract, query log ingestion, data sampling and compose query editorExperience establishing, monitoring, reporting data catalog metrics for Alation AnalyticsJob Type: ContractPay: $55.00 - $70.00 per hourBenefits:Dental insuranceHealth insuranceVision insuranceSchedule:8 hour shiftMonday to FridayExperience:Training/mentoring of data catalog stewards: 3 years (Required)Writing, maintaining, executing data catalog: 3 years (Required)Data catalog curation: 3 years (Required)Work Location: Remote",Tecnologías de la información,,2022-09-13T00:00:00,2022-10-16,OTHER
Analytics Data Engineer,John Deere,Illinois,Moline,-1,-1,,USD,"There are over 7 billion people on this planet. And by 2050, there will be 2 billion more... many moving into urban centers at an unprecedented rate. Making sure there is enough food, fiber and infrastructure for our rapidly growing world is what we're all about at John Deere. And it's why we're investing in our people and our technology like never before! Here the world's brightest minds are tackling the world's biggest challenges. If you believe one person can make the world a better place, we'll put you to work. RIGHT NOW.
John Deere is an equal opportunity employer. All qualified applicants will receive consideration for employment without regards to, among other things, race, religion, color, national origin, sex, age, sexual orientation, gender identity or expression, status as a protected veteran, or status as a qualified individual with disability.
Primary Location: United States (US) - Illinois - Moline
Function: Data & Analytics (CA)
Title: Analytics Data Engineer - 90594
Onsite/Remote:Remote Position
Visa sponsorship is NOT available for this position
Your Responsibilities
As an Analytics Data Engineer within the Enterprise Aftermarket & Customer Support (A&CS) Data & Analytics Organization, you will develop, deploy, maintain, and continuously improve aftermarket analytics data products. These analytics data products deliver insights to end-users and/or production applications which help drive aftermarket growth and an improved customer experience over the lifetime. More specifically, you will follow the Aftermarket Analytics Delivery Process in order to:
Develop proof-of-concept projects into robust production data products, ensuring:
Processing efficiency at scale
Clean, concise, organized, and comprehensible code
Thorough validation and reliable output
Clear and useful documentation of the end product
Lead code review and design review activities to verify and demonstrate high-quality output for new or revised analytics data products
Execute deployment, support, maintenance, and continuous improvement projects related to one or more analytics data products
Proactively identify innovative improvement ideas and actively participate in strategic roadmap planning related to analytics data products
What Skills You Need
2 or more years of experience with a statistical programming language (R, Python or similar)
2 or more years of experience of advanced SQL programming
2 or more years of experience with a business intelligence visualization tool (e.g. Tableau)
2 or more years of experience working with data, database design, administration and performance
Skill in interpersonal communications and ability to communicate complex topics to non-technical audiences
What Makes You Stand Out
Experience using Spark
Experience using Databricks
Knowledge of dealers, products, customers, markets, and companies in the heavy equipment industry
Advanced understanding of dealer channel aftermarket processes, digital solutions, and metrics
MS degree
Education
Ideally, you will have a degree or equivalent related work experience in the following:
BS degree or equivalent experience in a related career field
What You'll Get
At John Deere, you are empowered to create a career that will take you to where you want to go while working in an inclusive team environment. Here, you'll enjoy the freedom to explore new projects, the support to think outside the box and the advanced tools and technology that foster innovation and achievement. Additionally, we offer a comprehensive reward package to help you get started on your new career path, including:
Flexible work arrangements
Highly competitive base pay and performance bonuses
Savings & Retirement benefits (401K and Defined Benefit Pension)
Healthcare benefits with a generous company contribution in the Health Savings Account
Adoption assistance
Employee Assistance Programs
Tuition assistance
Fitness subsidies and on-site gyms at specific Deere locations
Charitable contribution match
Employee Purchase Plan & numerous discount programs for personal use
Click Here to find out more about our Total Rewards Package.
The information contained herein is not intended to be an exhaustive list of all responsibilities and qualifications required of individuals performing the job. The qualifications detailed in this job description are not considered the minimum requirements necessary to perform the job, but rather as guidelines.
The terms of the applicable benefit plans, and all company actions administering or interpreting these plans, continue to control. Deere & Company reserves the right to suspend, amend, modify, or terminate the Plan(s) in any manner at any time, including the right to modify or eliminate any cost-sharing between the company and participants. Changes, which can be made at any time, are made by action of the company's board of directors, or to the extent authorized by resolution of its board of directors, or by the Deere & Company Compensation Committee. In the event of a conflict between the language of the official Plan Documents and this document, the language of the official Plan Documents will control.
ACA Section 1557 Nondiscrimination Notice
The John Deere Health Benefit Plans for Salaried Employees and The John Deere Benefit Plan for Wage Employees comply with applicable Federal civil rights laws and do not discriminate on the basis of race, color, national origin, age, disability, or sex.",Manufactura,,2022-09-15T00:00:00,2022-10-16,OTHER
Analytics Engineer,Swyft Filings,,,-1,-1,,USD,"Analytics Engineer (US- Remote)
Do you love solving complex problems using data? Are you someone who brings clarity to nuanced and complicated business problems? Would you like to be part of a culture that values and appreciates employees? We are seeking an experienced Analytics Engineer to join our team to develop next generation data pipelines, models and products to elevate our growth marketing initiatives. This high-impact role will inform and influence our product and business decisions through data playing a critical role in our fast growing performance marketing org, working with cross functional teams to drive business growth.
Who We Are
Swyft Filings is an online filing service for business formations. More importantly, we're a company that has helped budding entrepreneurs start over 300,000 new businesses (and counting). Our mission is to empower the aspirational - and by that we mean we take a complex process and automate it to make it easier for small businesses and individuals to launch their business dreams without having to hire high-priced professionals or worrying about administrative headaches.
Since 2015, we've grown from a lawyer and two online entrepreneurs into a team over 100 people strong – and you can bet we're not done yet. We're proud to have been ranked as one of the fastest-growing companies in Houston, nationally by the Inc 5000, and we're also listed as a Top Workplace by the Houston Chronicle.
What You'll Do:
Create and maintain scalable databases, datasets, pipelines and our Customer Data Platform (CDP) to enable growth initiatives through sophisticated segmentation, targeting, automation, advanced analytics, and company-wide reporting.
Identify and define innovative data solutions that meet evolving business objectives, unearth insights that drive key business decisions, and support cross-departmental core metrics and data dependencies.
Manage the process from beginning (data modeling) to end (interactive UI via PowerBI) and optimization in between (ETL-ing). Working closely with marketing, analytics, finance, and product teams.
Build relational semantic layers and aggregate datasets in Snowflake through solid ETL principles. Compiling a variety of sources including but not limited to: CRM data, Product data, Marketing data, order flow data, and more.
Bring vision to a developing space, improving the current data architecture, data quality, monitoring and data availability. Finding ways to automate and scale repeated ad-hoc requests while building flexibility into reporting.
Create highly intuitive and effective dashboards that deliver meaningful and actionable insights across executive and management levels through effective data visualizations.
What You'll Need:
Bachelor's Degree in Computer Science, Engineering, Statistics, Mathematics or similar required. Master's degree preferred.
6+ years of relevant, hands-on experience in data modeling, data engineering and delivering business intelligence and dashboard solutions.
Hands-on experience working with modern data technologies stack such as Snowflake, Data Bricks, Google Big Query, Redshift, RDS, or similar solutions.
Experience building robust and scalable data pipelines, utilizing multi-step ETL/ELT processes - compiling, cleansing, interpreting, joining, analyzing, and staging data. Experience working with SDKs and 3rd party APIs for data ingestion a plus.
Expertise in programming and data manipulation/wrangling technologies (SQL, R and/or Python) with competencies in version control (Github, Stash, etc.).
High proficiency in data visualization design and technologies (Microsoft PowerBI preferred).
Understanding of subscription business models and digital marketing technologies (Martech Stacks).
Proven ability to collaborate with key partners and stakeholders to define metrics, identify requirements and solve problems. Relaying your findings and solutions across technical and non technical audiences.
Strong project management skills. Must be able to meet critical deadlines and deliverables, handling multiple tasks with changing priorities, and effectively communicating changes in scope and schedule to stakeholders.
Willingness to learn quickly and autonomously in a fast-paced environment, pro-actively taking initiative with excellent problem-solving skills.
Benefits/Compensation:
Eligible for Medical, Dental, Vision, Life, and Disability Insurance on first day of employment
100% employer-covered medical, dental, and vision insurance for employee-only plans
401(k) w/ company match
Company issued laptop + Home office stipend
Competitive Paid Time Off
Hybrid Work Model (in-office and remote)
Parental Leave
Casual Dress Code
Free Branded SWAG
Healthy Snacks in Office
Company Events
Peer recognition and rewards with Bonusly",Administración y consultoría,,2022-09-16T00:00:00,2022-10-16,FULL_TIME
