Job_title,Company,State,City,Min_Salary,Max_Salary,unitText,SalaryCurrency,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
Data Engineer with Azure Synapse,4urHires INC,,,-1,-1,,USD,Azure EngineerStrong experience in SynapseJob Type: ContractSalary: $55.00 - $60.00 per hourSchedule:8 hour shiftExperience:Azure Synapse: 5 years (Required)Data engineer: 10 years (Required)Work Location: Remote,,,2022-09-16T00:00:00,2022-10-16,OTHER
Data Engineer,MARS Group,,,-1,-1,,USD,"Description: Data is a critical driver of this approach, and a cornerstone for how client engages with its customers.Are you a self-motivated and active learner Software Engineer who is eager to dive into new technologies? If so, come join us! You can help with our continued growth and enterprise data transformation.Responsibilities:Works within an Agile development team to craft and implement enterprise data capabilities and services utilizing cloud compute technologies such as Amazon Web Services (AWS).Enables modern data pipelines using workflow management applications and distributed computing frameworks such as Apache Spark.Builds and tests CI/CD deployment pipelines for data platform components.Develops and supports build solutions for cloud-based data ecosystem.We are looking for: B.S. degree in Computer Science or related field.2+ years of experience in data engineering with Java programming skills, Scala experience is a plus.Good at writing clean, modular, readable, and testable code. Experience with Docker, Kubernetes, and AWS cloud services.Advocate of Test Driven Development, with experience using unit testing frameworks.Familiar with enterprise software architectural patterns: microservice, integration, and messaging patterns.Proficient with GIT and CI/CD practices and agile development methodologies.This person will work with business partners and technical teams to build, test and deliver for electronic communications compliance also do some light design work.What are the must haves for this role? Must be able to design and build integration solutions based on documented business and technical requirementsStrong written and verbal communicationKey attention to detailConsistent follow-throughBackground in Data AnalysisWhat are the nice to haves for this role?Experience coordinating with vendor solutionsSubject area expertise in Compliance technologyJob Types: Full-time, ContractPay: $39.68 - $60.00 per hourSchedule:8 hour shiftMonday to FridayApplication Question(s):Can you work on W2/1099??Experience:Java: 1 year (Preferred)AWS: 1 year (Preferred)Data warehouse: 1 year (Preferred)Work Location: Remote",,,2022-09-14T00:00:00,2022-10-16,FULL_TIME
Data Engineer - ENTRY LEVEL,PCS Global Tech,California,Los Angeles,-1,-1,,USD,"Responsibilities· Analyze and organize raw data· Build data systems and pipelines· Evaluate business needs and objectives· Interpret trends and patterns· Conduct complex data analysis and report on results· Prepare data for prescriptive and predictive modeling· Build algorithms and prototypes· Combine raw information from different sources· Explore ways to enhance data quality and reliability· Identify opportunities for data acquisition· Develop analytical tools and programs· Collaborate with data scientists and architects on several projectsRequirements· Previous experience as a data engineer or in a similar role· Technical expertise with data models, data mining, and segmentation techniques· Knowledge of programming languages (e.g. Java and Python)· Hands-on experience with SQL database design· Great numerical and analytical skills· Degree in Computer Science, IT, or similar field (STEM)This opportunity is a career starter, what we offer an opportunity that starts with an intensive bootcamp followed by a full-time employment, we offer in house legal support for international students. At PCS Global Tech we care about the professional growth of our employees, we will make your professional career successful.Job Types: Full-time, Contract, InternshipSalary: $60,000.00 - $70,000.00 per yearSchedule:8 hour shiftMonday to FridayNo nightsNo weekendsWork Location: Multiple Locations",Tecnologías de la información,,2022-09-15T00:00:00,2022-10-16,FULL_TIME
Sr. Data Engineer,Optiv,Kansas,Leawood,-1,-1,,USD,"At Optiv, we’re on a mission to help our clients make their businesses more secure. We’re one of the fastest-growing companies in a truly essential industry. Join us.
Works closely on the Optiv Data Platform being implemented in Microsoft’s Azure Databricks environment.
Requirements
Requires BS in Computer Science, or related field.
5 yrs exp in BI Intelligence software development, or MS in Computer Science and 3 yrs exp.
3 yrs exp working with big data,
5 yrs exp developing source code preferably in C#, Python and/or experience with SQL
Employee may live anywhere in US and telecommute.
With Optiv you can expect:
A company committed to championing Diversity, Equality, and Inclusion through our Affinity groups including, Black Employee Network, Disabled Employee Network, Latino Employee Network, Optiv Pride (LGBTQIA+), Veterans Support Network, and Women's Network.Work/life balance. We offer “Recharge” a flexible, time-off program that encourages eligible employees to take the time they need to recharge
Professional training resources, including tuition reimbursementCreative problem-solving and the ability to tackle unique, complex projectsVolunteer Opportunities. “Optiv Chips In” encourages employees to volunteer and engage with their teams and communities.
The ability and technology necessary to productively work remote/from home (where applicable)
If you are seeking a culture that supports growth, fosters success, and moves the industry forward, find your place at Optiv! As a market-leading provider of cyber security solutions, Optiv has the most comprehensive ecosystem of security products and partners to deliver unparalleled services. Our rich and successful history with our clients is based on trust, serving more than 12,000 clients of varying sizes and industries, including commercial, government, and education. We have the proven expertise to plan, build, and run successful security programs across Risk Management, Cyber Digital Transformation, Threat Management, Security Operations - Managed Services, and Identity and Data Management.
Optiv is an equal opportunity employer. All qualified applicants for employment will be considered without regard to race, color, religion, sex, gender identity, sexual orientation, national origin, status as an individual with a disability, veteran status, or any other basis protected by federal, state, or local law. By submitting your information through this page, you consent to Optiv collecting, using, and processing your personal data as part of Optiv’s selection and recruitment activities. If you sign up to receive notifications of job postings, you may unsubscribe at any time. Optiv respects your privacy. For additional details on how Optiv uses and protects your information, click here to view our Privacy Policy.",Tecnologías de la información,,2022-09-15T00:00:00,2022-10-16,FULL_TIME
Entry-Level Azure Data Engineer,"Antra, Inc",,,-1,-1,,USD,"About usAntra, Inc is a leading IT consultancy business based in Dulles, VA which is 30 mins away from DC.We provide IT services to our clients, and most of our clients are Fortune 500 companies like Wells Fargo , World Bank, Apple, Microsoft, Tesla and also some federal contract organizations, etc.An Azure Data Engineer will be expected to perform duties such as: evaluating the performance of current data solutions, designing and implementing cloud and hybrid data solutions. Ability to adapt and learn new technologies per business requirements is also needed.Responsibilities: Design and implement data solutions using industry best practices.Performs ETL, ELT operations and administration of data and systems securely and in accordance with enterprise data governance standards.Monitor and maintain data pipelines proactively to ensure high service availability.Works with Data Scientists and ML Engineers to understand mathematical models and optimize data solutions accordingly.Continuous development through training and mentorship programs.Create scripts and programs to automate data operations.You meet our “must haves” for this role if you have: Minimum Bachelor’s degree in Data Science, Business Intelligence, Computer Science or related fields, or the equivalent combination of education, professional training, and work experience.0-3 years of experience working with one or more languages commonly used for data operations including SQL, Python, Scala and R.Experience working with relational databases such as SQL Server, Oracle and MySQL.Experience working with NoSQL databases such as Redis, Mongo DB, Cosmos DB.Excellent problem-solving skills and ability to learn through scattered resources.Thorough understanding of the responsibilities and duties of a data engineer, as well as established industry standards/best practices and documentation guidelines.Outstanding communication skills, and the ability to stay self-motivated and work with little or no supervision.Authorization(s) to work lawfully in the United States (OPT/CPT is acceptable).Willing to relocate to any US location on Antra projects location.Plus, if you meet any the of requirements: Experience with cloud-based data technologies.Experience with distributed systems utilizing tools such as Apache Hadoop, Spark or Kafka.Working experience in Agile Scrum environments.Experience with source control tools such as Git, SVN and TFS.Work AuthorizationUS work authorization is required, but the employer is willing to sponsor candidatesJob Type: Full-timePay: $62,000.00 - $70,000.00 per yearBenefits:401(k)Dental insuranceFlexible scheduleHealth insurancePaid time offRelocation assistanceVision insuranceSchedule:Monday to FridayApplication Question(s):Will you now, or in the future, require sponsorship for employment visa status (e.g. H-1B visa status)?Are you willing to relocate if required in the first contract year ?Experience:Python: 1 year (Preferred)Work Location: Remote",Tecnologías de la información,,2022-09-13T00:00:00,2022-10-16,FULL_TIME
Data Engineer only for OPT EAD,CloudBig Technology,,,-1,-1,,USD,"Work with Technical and business team to understand the business requirements, functional and technical specificationsDesign, code and maintain new and existing complex SQL stored procedures and functionsPerformance tune existing stored procedures, tables and indexesWork with other engineers to troubleshoot, repair and performance tune databasesReview SQL code written by other developers to ensure compliance to coding standards and best practices as well as maximum performanceCreate SSIS packages for data transformation, cleansing, caching, aggregation, staging, and transferTroubleshoot problems that may come up with database environments: performance issues; replication issues; or operational issuesPerform data analysis and data profiling tasks to provide support and recommendations for development and design decisionsAnalyze and define data flow requirements and prepares applicable system documentation and operation manuals as neededSupport production data loads and ongoing refreshes of the database systemsDefine, prepare, execute and implement data validation and unit testing methods to ensure data qualityMaintain re-usable development standards that help implement each solution and/or enhancements to existing systems to meet current and future needsPerform enhancements and bug fixes as requiredPerform any additional duties as assignedJob Type: Full-timeSalary: $50.00 - $60.00 per hourSchedule:8 hour shiftEducation:Master's (Preferred)Experience:Informatica: 1 year (Preferred)SQL: 1 year (Preferred)Data warehouse: 1 year (Preferred)Work Location: Remote",,,2022-09-15T00:00:00,2022-10-16,FULL_TIME
Data Engineer,AppLab Systems,,,-1,-1,,USD,"Job Description: We are looking for Data Engineers to build data pipelines for the Data Center business group's Data Science team at the largest social media organization using its next generation data tools. As a member of a centralized Data Science/Data Engineering team you will contribute to a variety of projects and technologies, depending on partner needs.ResponsibilitiesPartner with leadership, engineers, program managers and data scientists to understand data needs.Design, build and launch extremely efficient and reliable data pipelines to move data across several platforms including Data Warehouse, online caches and real-time systems.Build data expertise and own data quality for your areas.Qualifications2+ years Data Engineering experienceAdvanced SQL coding - Expert in SQL with good understanding of how relational databases workExperience querying massive datasets using Presto, Hive etc.Good Python Programming ExperienceExperience with Data Warehousing ArchitectureExperience with workflow management engines like Airflow, Dataswarm, Luigi etc.2+ years’ experience in custom ETL design, implementation and maintenanceExperience with data quality and validation.Experience with SQL performance tuning and e2e process optimizationRAKESH KUMARDirect : +1 201 565 12974365 Route 1 South, Suite 105Princeton, NJ 08540www.applabsystems.comJob Types: Contract, Full-timeSalary: $75.00 - $85.00 per hourSchedule:8 hour shiftWork Location: Remote",Tecnologías de la información,,2022-09-16T00:00:00,2022-10-16,FULL_TIME
Entry Level Data Engineer - 482013,I28 Technologies Corporation,,,-1,-1,,USD,"Azure Data platform implementation, Managing projects through the entire project lifecycle.Azure Data Factory, Azure Data Lake, Azure DevOps, Azure DataBricks, AzureSQLUnderstanding in Azure data migration patternsKnowledge in Python, C# is mandatoryJob Type: Full-timePay: $50,000.00 - $55,000.00 per yearBenefits:Health insuranceSchedule:8 hour shiftWork Location: Remote",Finanzas,,2022-08-23T00:00:00,2022-10-16,FULL_TIME
Data Engineer,Devcare Solutions,,,-1,-1,,USD,"Job Description :RemoteAt least 3 years experience in multiple projects doing:Required:Data catalog curation; landing page, articles, tags, profiling, search, conversations, endorsements, notifications, deprecationsTraining/mentoring of data catalog stewardsWriting, maintaining, executing data catalog processes, maintain it run bookPreferred:Data catalog administration; add and configure data sources, metadata extract, query log ingestion, data sampling and compose query editorExperience establishing, monitoring, reporting data catalog metrics for Alation AnalyticsJob Type: ContractPay: $55.00 - $70.00 per hourBenefits:Dental insuranceHealth insuranceVision insuranceSchedule:8 hour shiftMonday to FridayExperience:Training/mentoring of data catalog stewards: 3 years (Required)Writing, maintaining, executing data catalog: 3 years (Required)Data catalog curation: 3 years (Required)Work Location: Remote",Tecnologías de la información,,2022-09-13T00:00:00,2022-10-16,OTHER
Data Engineer,Academic Analytics Llc,,,-1,-1,,USD,"We’re seeking an experienced data engineer to help us modernize our data pipelines as we enter an aggressive growth phase of our products. This position will be critical for the successful launch and adoption of our new faculty record system, and for laying the foundation of our long-term strategy of becoming the enterprise platform of choice in higher education.
Who We Are:
Academic Analytics was founded in 2005 by a former senior administrator who understood the challenges leaders face and saw opportunities to use data and analytical tools to build a stronger research enterprise. We have grown into a team of 80+ very smart, very dedicated individuals who work 100% remotely across the country.
What We Do:
We collect, aggregate, cleanse, deduplicate, disambiguate, and transform scholarly productivity data from a variety of sources. These data serve as the backbone for comparative and custom analyses that drive our SaaS products. Our next phase of growth seeks to leverage our data warehouses in building full-scale faculty record systems that service users across institutional silos.
What Our Culture Looks Like:
As a 100% remote, distributed company, our team members are both highly autonomous and highly collaborative. As a smaller organization, we don’t have rigid hierarchies and by necessity work cross-functionally. We value open communication, respect for one another, and fostering unparalleled relationships with our clients. Our product development team adheres to the spirit of agile without being dogmatic—we’re quick, nimble, and count on change.
What You Would Do In This Role:
Propose, architect, and implement ETL pipelines to ingest heterogeneous data from a variety of sources
Create strategies to reduce complexity and increase scale for existing internal data processes
Collaborate with other data engineers and developers to execute modernization strategies
Develop cloud data platform solutions for external consumption
Work directly with client engineers to facilitate integration and implementation
You May Be A Great Fit If:
You love data and you really like code
You’re a self-starter who dislikes micromanagement
You want your work to make a noticeable impact
You’re constantly on the lookout for better ways to do things
You are flexible
3+ years’ experience
Adept at T-SQL and MS SQL Server
Experience with Azure
Experience with ETL tooling
Comfortable with .Net and C#
Nice To Haves:
Familiarity with cloud data platforms (e.g., Snowflake)
Bachelor’s in Computer Science",Tecnologías de la información,,2022-09-15T00:00:00,2022-10-16,FULL_TIME
