Job_title,Company,State,City,Min_Salary,Max_Salary,unitText,SalaryCurrency,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
Junior Data Engineer,N9 IT SOLUTIONS,,,-1,-1,,USD,"Job Title: - Jr. Data EngineerLocation: - 100% RemotePosition: - W2 Employment ( Should work on our W2 )Eligibility: - (Authorized to work anywhere in the USA and for only those who are staying in the USA)Duration: - Long-term contractJob Description: -Bachelor's Degree or Master’s Degree in Computer Science, Mathematics, Statistics.3+years of experience as a DataStage Developer.3+ years of Complex SQL/PL SQL development experience.1+ years of experience in Writing scripts using Unix or Python.Experience working in Agile Framework.2+ years of experience in Migration from the Data Stage to other technologies.Working experience on AWS.Benefits: -Competitive salaryFlexible work schedule & part-time offE-verifiedH1B and GC fillingOn-job technical supportSkill EnhancementGuesthouse facilities are also availableOpportunity to work with Fortune 500 CompaniesThanks, regardsN9 IT SolutionsJob Type: Full-timePay: $40.00 - $50.00 per hourSchedule:8 hour shiftWork Location: Remote",Tecnologías de la información,,2022-08-29T00:00:00,2022-10-16,FULL_TIME
Junior Data Center Engineer,IMC Financial Markets,New York State,New York,-1,-1,,USD,"LIFE AT IMC AS A JUNIOR DATA CENTER ENGINEER
WHO WE ARE AND WHAT WE DO
IMC is a leading global market maker, using algorithmic trading and advanced technology to buy and sell securities on multiple trading venues worldwide. We provide liquidity to the financial markets, driving efficiencies for buyers and sellers.
Founded in 1989, we are an ambitious, innovative company and identified early on the importance technology would play in the fast-paced evolution of trading. This entrepreneurial spirit still drives us today and can be found in all of our offices around the world.
OUR TEAM
We now operate globally from offices in Europe, the US and Asia Pacific. Our employees work closely together in multidisciplinary teams, making our success possible.
Technology - At IMC, technology is not a department, it is at the heart of everything we do. Our technologists push the limits of possibility, and then look beyond. In our fast-paced environment, short feedback loops mean projects worked on in the morning can enter production the next day.
Trading – Although our traders come from many backgrounds they all have one thing in common: they are at their best solving complex problems. Their insight into global events, market shifts and pricing ensure we are trading in the right place, at the right time.
Business Support - Around the world, IMC’s business support teams are essential for sustaining our success. In our dynamic environment, we have many exciting challenges and multidisciplinary opportunities to shape our operations and make a real impact.
OUR CULTURE
Our employees are our greatest asset so we give them lots of responsibility and the support they need to make a difference. Our flat structure fosters a culture of openness and collaboration, encouraging the sharing of ideas and knowledge. It makes no difference if you have been with us for three days or three years, the best idea wins.
While we work hard, we also have a lot of fun; whether solving complex challenges or in team building, leisure and sporting activities. IMC also enables its employees to contribute towards a better society through our foundation.
We are looking for an entry level to experienced individual to join our team as a Junior Data Center Engineer who will play a critical role in system and application administration of our technical environment. This role will be part of highly experienced team and be provided new challenges on a daily basis. The possibility to make a large impact as part of a dedicated, dynamic team at IMC, both locally and globally, is unlike any other. Our flat culture encourages not only knowledge and best practice sharing, but also the opportunity to have your voice heard.
Key Accountabilities:
Using a ticket system to track work.
Coordinate, Install, and Troubleshoot equipment.
Racking, Cabling, and Provision equipment.
Responsible for the organization, documentation, and inventory in IMC’s Data Centers.
Responsible for the Logistics in shipping/receiving.
Proactively suggesting alternatives for improvements in the IMC Data Center processes, configuration, or procedures.
General understanding of a Data Center Environment and proper usage of Data Center best practices.
Project Management of Data Center related tasks.
Requirements:
1-3 years working in a Data Center is preferred but not requried
Experience with installation, testing, and cleaning of Fiber Optic cabling
Strong documentation skills for creating Standard Operating Procedures in the Data Center.
A Valid Driver’s License
Travel to suburbs of Chicago and New Jersey area.
Communication skills between team members and external vendors.
Lift objects 60+ pounds
Experience with Data Center Facilities Management tools for Power and Cooling.
Basic Bash and Python knowledge is preferred.
Success Factors:
Highly motivated and organized self-starter that enjoys technology.
Able to work flexible hours when required including evening and weekends
High analytical and interpersonal skills
Knowledge of Network and Server Operating Systems.
Dependable and able to work independently.
Ability to manage competing job responsibilities.
OUR HIRING PROCESS
To set you up for success, you can find our hiring process including tips on applying and interviewing with us on our website. Now it’s up to you! Apply today to start an amazing journey with IMC.",Finanzas,,2022-09-08T00:00:00,2022-10-16,FULL_TIME
Cyber Security Fusion Center / Data Derived Intelligence - Junior Data Engineer- AVP,Citi,Florida,Tampa,-1,-1,,USD,"About Citi:
Citi, the leading global bank, has approximately 200 million customer accounts and does business in more than 160 countries and jurisdictions. Citi provides consumers, corporations, governments, and institutions with a broad range of financial products and services, including consumer banking and credit, corporate and investment banking, securities brokerage, transaction services, and wealth management.
As a bank with a brain and a soul, Citi creates economic value that is systemically responsible and in our clients’ best interests. As a financial institution that touches every region of the world and every sector that shapes your daily life, our Enterprise Operations & Technology teams are charged with a mission that rivals any large tech company. Our technology solutions are the foundations of everything we do from keeping the bank safe, managing global resources, and providing the technical tools our workers need to be successful to designing our digital architecture and ensuring our platforms provide a first-class customer experience. We reimagine client and partner experiences to deliver excellence through secure, reliable, and efficient services.
Our commitment to diversity includes a workforce that represents the clients we serve from all walks of life, backgrounds, and origins. We foster an environment where the best people want to work. We value and demand respect for others, promote individuals based on merit, and ensure opportunities for personal development are widely available to all. Ideal candidates are innovators with well-rounded backgrounds who bring their authentic selves to work and complement our culture of delivering results with pride. If you are a problem solver who seeks passion in your work, come join us. We’ll enable growth and progress together.
As a bank with a brain and a soul, Citi creates economic value that is systemically responsible and, in our clients’, best interests. As a financial institution that touches every region of the world and every sector that shapes your daily life, our Enterprise Operations & Technology teams are charged with a mission that rivals any large tech company. Our technology solutions are the foundations of everything we do. We keep the bank safe and provide the technical tools our workers need to be successful. We design our digital architecture and ensure our platforms provide a first-class customer experience. Our operations teams manage risk, resources, and program management. We focus on enterprise resiliency and business continuity. We develop, coordinate, and execute strategic operational plans. Essentially, Enterprise Operations & Technology re-engineers’ client and partner processes to deliver excellence through secure, reliable, and controlled services.
Trust is part of our DNA at Citi. As such, we take safeguarding our customer data very seriously. The Chief Information Security Office (CISO) is made up of deeply dedicated and talented colleagues who work together to ensure the safety of Citi’s and our clients’ assets and information. We manage information security as an end-to-end program – one with a clear mandate and accountability. Our mission is to continually execute and enhance a global security program that is fully anchored to modern control and security frameworks, fully aligned with the technology of the firm, threat-focused and data-driven, and deeply integrated across all Citi businesses globally.
Being talent-driven, we are focused on attracting, developing, and retaining diverse and inclusive talent with a high technical skill level. As a member of our team, we will provide you with career development opportunities at all stages of your career. Our employees model a passion for protecting Citi and our clients and believe in treating others with dignity and respect.
A strong enterprise Cyber Security Operations (CSO) organization is necessary to enable Citi businesses to operate safely. This organization is responsible for all cyber security operations, including assessment, monitoring and detection, intelligence, and incident response and recovery.
Our commitment to diversity includes a workforce that represents the clients we serve globally from all walks of life, backgrounds, and origins. We foster an environment where the best people want to work. We value and demand respect for others, promote individuals based on merit, and ensure opportunities for personal development are widely available to all. Ideal candidates are innovators with well-rounded backgrounds who bring their authentic selves to work and complement our culture of delivering results with pride. If you are a problem solver who seeks passion in your work, come join us. We’ll enable growth and progress together.
In support of the Cyber Security Fusion Center (CSFC) mission, the Data Derived Intelligence team is responsible for researching, developing, and deploying cybersecurity related big data solutions. As such, staff members develop data science solutions to support the analysis of cyber security data that is gathered from a variety of heterogeneous sources.
In order to achieve the above results, this position will be responsible for supporting the CSFC data lake (big data) operations. Including but not limited to implementing and managing data pipelines, analyzing data, providing statistical and visual interpretations to support stakeholders in making data driven decisions.
Responsibilities and Skills:
Experience working with Hadoop, Splunk or Cloud (AWS) ecosystems
Experience supporting and troubleshooting data engineering/ETL processes in production environments
Knowledge of data engineering concepts and experience with associated tool sets to support data wrangling from across a wide array of disparate data sources
Experience processing large amount of structured and unstructured data
Strong understanding of data management controls
Proficiency designing and developing data pipelines across multiple ecosystems
Work as individual contributor and collaboratively as part of a team of teams
The ability to effectively use data to visualize and communicate findings to senior leadership
Programming expertise, ideally in Python, Spark, Java, and Shell/Bash scripting but not limited to them
Proficiency in any variant of SQL
An inquisitive nature and a sense of satisfaction from solving complicated problems
Familiarity with Machine Learning models and statistical data mining techniques
Knowledge of the Hadoop ecosystem and Big Data technologies (HDFS, MapReduce, Hive, Pig, Impala, Spark, Kafka, Oozie, Sqoop)
Experience working in Linux environments (bash, zsh, writing cron jobs, use of systemctl for maintenance, setting of environment variables, etc.).
Data analysis skills, including but not limited to use of Excel, MS Access and business intelligence tools (Tableau, Microsoft PowerBI, Microstrategy) to analyze static data sets
Supports data architecture and modeling design by analyzing client operations, applications, and programming
Academic or working experience in the Cyber domain
Qualifications:
1-3 years of relevant experience
Certifications or willingness to earn within 12 months of joining
Consistently demonstrates clear and concise written and verbal communication
Proven influencing and relationship management skills
Proven analytical skills
Education:
Bachelor’s degree/University degree or equivalent experience
This job description provides a high-level review of the types of work performed. Other job-related duties may be assigned as required.
Excellent organizational, interpersonal, and project management skills
Excellent communication skills both written and oral.
Strong customer and quality-focus is a must.
Self-starter and ability to work in a team environment
Persistence and tenacity in chasing down elusive issues across multiple layers of a complex ecosystem
-
Job Family Group:
Technology
-
Job Family:
Information Security
-
Time Type:
Full time
-
Citi is an equal opportunity and affirmative action employer.
Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.
Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.
View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.
View the EEO Policy Statement.
View the Pay Transparency Posting
-
Effective November 1, 2021, Citi requires that all successful applicants for positions located in the United States or Puerto Rico be fully vaccinated against COVID-19 as a condition of employment and provide proof of such vaccination prior to commencement of employment.",Finanzas,,2022-08-30T00:00:00,2022-10-16,FULL_TIME
Jr. Data Engineer (REMOTE),IntelliBridge LLC,District of Columbia,Washington,-1,-1,,USD,"Title: Jr. Data Engineer
Clearance: Public Trust clearance will be applied for upon acceptance
Location: Remote
Overview:
IntelliBridge is an award-winning national security company looking for a Jr. Data Engineer to support our contract with the U. S. Customs and Immigration Service (USCIS) on the Records DevSecOps program.
As a Jr. Data Engineer at IntelliBridge, you will be part of an integrated project team delivering scalable and secure systems. You will perform the full suite of DevSecOps tasks in AWS cloud environment to support the continuous development, deployment, integration, and monitoring of the server and client-side solutions. As a member of a project delivery team, you will collaborate with project and product managers, user experience designers, and business analysts.
As a direct employee of IntelliBridge, you would receive a benefit package that includes health/dental/vision insurance coverage, 401K with company match, PTO & paid holidays, and annual tuition/training assistance. For more information, please visit our website.
Clearance:
Public Trust clearance requires a background investigation (BI) and entry on duty (EOD) status. This must be applied for upon acceptance of employment offer. Candidates with existing or recently completed Public Trust background investigations are preferred.
Responsibilities/Duties:
Expected to possess proficiency in manipulating financial data for analytical assessments; be proficient with Microsoft tools, specifically Excel; possess experience with programing languages such as Python, java script, and SQL.
 Required Skills and Qualifications:
Bachelor’s degree is preferred.
Minimum of 2 years of analytical experience, or 3 years of experience with a bachelor’s degree.
Minimum of 2 years SQL programming.
Exceptional communication skills with emphasis on effectively communicating detailed analysis and recommendations.
Strong analytical and problem-solving skills.
Experience working in collaborative sessions, while demonstrating strong verbal communication and presentation skills.
Experience producing varied written documentation products.
Ability to recognize problems and opportunities and evaluate strengths and weaknesses of potential solutions to problems.
Shall also have three (3) years of experience in troubleshooting software which may overlap with the experience requirements above.
Shall have experience working in AWS, software containerization and Agile development processes.
Experience and proficiency with Microsoft Office Suite – Excel, Access, Word, and PowerPoint.
About Us:
IntelliBridge delivers IT strategy, cloud, cybersecurity, application, data and analytics, enterprise IT, intelligence analysis, and mission operation support services to accelerate technical performance and efficiency for Defense, Civilian, and National Security & Federal Law Enforcement clients.",Gobierno y administración pública,,2022-08-31T00:00:00,2022-10-16,FULL_TIME
Junior Data Engineer,Calpine Corporation,Texas,Houston,-1,-1,,USD,"Calpine Corporation is America's largest generator of electricity from natural gas and geothermal resources with operations in competitive power markets. Its fleet of 76 power plants in operation and one under construction represents nearly 26,000 megawatts of generation capacity. Through wholesale power operations and its retail businesses, Calpine serves customers in 22 states, Canada and Mexico. Its clean, efficient, modern and flexible fleet uses advanced technologies to generate power in a low-carbon and environmentally responsible manner.
The company was established on the premise that a strong commitment to the environment is inextricably linked to excellence in power generation and corporate responsibility. Since its founding in 1984, Calpine has led the power industry in its unwavering commitment to environmental stewardship. In addition, its renewable geothermal plants use steam generated deep below the earth's surface to produce clean, renewable electricity.
Job Summary (includes but is not limited to the following, other duties may be assigned)
At Calpine IT, we are strategic problem solvers. Our mission is to create world-class technology solutions to support Calpine business, lead in the innovative use of data and emerging technologies to redefine the customer experience, and help ""Calpine's business growth"". To continue building our hard-working IT Team, we are seeking candidates who champion innovation, operate effectively in an agile environment, challenge the status quo, and are empowered to take risks. The Calpine Technology Associates Program is a talent development program sought at recruiting small cohorts of highly skilled early-career professionals.
This Junior Data Engineer is crafted to:
Develop associates in the program to well-rounded technologists.
Infuse our technology teams with fresh, innovative thinking.
Increase collaboration and partnerships across the tech organization.
Involve in suggesting/delivering solutions to solve critical business problems
Job Responsibilities
The Junior Data Engineer will be responsible for creating reports to be consumed by end users using the SSRS and Power BI Platform.
Documentation of all SQL Server objects referenced in code.
Creation of SQL Objects in development environment to allow the job to complete successfully
Apply predefined database security roles to enable jobs to run successfully.
Collaborates with program managers, team members and developers on specific project business objectives to determine database or reporting requirements.
Designs and builds reports and stored procedures in adherence with organizational architectural standards.
Job Requirements
Bachelor’s degree in Computer Science, Information Systems, or related field preferred
0 - 3 years’ experience in a SQL development or Data Analyst Writer role; or a combination of directly related education and experience required.
Proficiency in Microsoft Office Suite, Windows, Microsoft SQL Tools, and SQL Server.
Excellent customer service, problem solving, and communication skills with the ability to effectively identify and translate business user needs, and to convey technical information in a clear and concise manner.
Strong organizational skills with the ability to manage timelines and prioritize workload in a high-pressure, results-oriented environment.
Self-starter with the ability to work independently while supporting a team environment.
Data analysis and mapping skills with strong attention to detail and concern for data accuracy.
Intermediate knowledge of SQL commonly used concepts, practices and procedures related to relational databases.
Additional Calpine Information
Vaccination Information: Calpine requires an individual who is newly hired into this position to be vaccinated for COVID-19 within the first 28 days of employment - if not already vaccinated prior to starting employment. If you have any concerns regarding compliance with this requirement, you will need to discuss your concerns with Calpine’s HR department after a decision has been made about whether or not to make you a conditional offer of employment. Calpine does not require applicants to discuss vaccination status prior to receipt of a conditional offer of employment and complies with all applicable laws requiring reasonable accommodation.
Equal Opportunity Employer of Minorities, Females, Protected Veterans, and Individuals with Disabilities.
Calpine is committed to Equal Employment Opportunity and providing reasonable accommodations to applicants with physical and/or mental disabilities. If you are interested in applying for employment and need special assistance or an accommodation to use our website or to apply for a position, please send an e-mail with your request to hrrecruitment@calpine.com. Determination on requests for reasonable accommodation are made on case-by-case basis.
Please view Equal Employment Opportunity Posters provided by OFCCP here
Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities
The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 CFR 60-1.35(c)","Energía, minería e infraestructura pública",,2022-08-18T00:00:00,2022-10-16,FULL_TIME
Jr. Data Engineer,MediaAgility,New Jersey,Princeton,-1,-1,,USD,"Jr. Data Engineer
Experience Level

Location
Princeton, NJ, United States Of America Onsite
Skills
python SQL
Qualifications
Bachelors/ Masters degree or equivalent work experience

Job Role
About MediaAgility
MediaAgility is a premier global digital consultancy on a mission to engineer solutions to help innovators succeed. The company is headquartered in Princeton, NJ with a presence in 5 countries. We are committed to -
a. Delivering exceptional services to our clients
b. Building a people-first company
c. Being global, diverse, and inclusive in all our operations
As a premier Google Cloud partner, we take our clients from idea to impact with ‘Strategic Thought Partnership’ and ‘Intelligence Solutions’. We offer a full spectrum of services from Digital Advisory (consulting), Digital Transformation (implementation), and Digital Operations (continuous improvement). We do this through a unique Braintrust engagement model, Agile development, and deep expertise on the latest technologies.
Job Description
Design and Develop end to end streaming and batch data analytics pipelines. From data ingestion, processing, storage, analysis, machine
Understand big-data principles and best practices. Deliver projects in data analytics, machine learning and AI.
Perform code reviews, ensure code quality and encourage a culture of excellence.
Be a front face of the company in front of customers and prospects.
Required Skills
Good SQL Experience
Good in Python OR Java programming.
Should understand Data Analytics and Machine Learning systems.
Experience in Agile Methodologies
Excellent communication skills
Desired Certification:
Google Cloud Certified Professional Data Engineer",Tecnologías de la información,,2022-08-31T00:00:00,2022-10-16,OTHER
"Junior Data Engineer-Buckhead, GA",Cortland,Georgia,Atlanta,-1,-1,,USD,"Intro:

At Cortland, you map the story of your success. We don't adhere to the status quo, we love outside industry perspective, and we thrive on exploring possibilities and reimagining solutions. As an innovative leader in multifamily, our high performance continues to drive exponential growth – and we invite you to join us on our journey towards real estate excellence. With tools and guidance to sharpen your skills, you can forge your own career path, love what you do, and let it show.
Job Overview:

As a Junior Data Engineer, you help build and maintain a state-of-the-art analytic platform, positioning Cortland for a future state of continuous global growth and market entry in which data science and analytics spearhead data-driven strategy across all company verticals and platforms.
Roles You Will Play:

The Researcher
Collaborate to architect and implement end-to-end cloud infrastructure (analytics, compute, databases, DevOps, identity, integration, management, networking, security, and storage)
Leverage technologies such as the Azure BI Stack, BI and GIS visualization platforms, and modern developer tools to execute innovative solutions that facilitate data-driven analysis, automation, and data science
Apply dimensional data modeling to solve business problems
The Data Expert
Analyze, develop, and maintain data pipelines from internal and external sources, utilizing Databricks, Python and Azure Data Factory
Profile and analyze data in designing scalable solutions
Apply and build automated test-driven development, continuous integration/delivery, and version control best practices
The Impact You Can Make
Technical problems have met their match with you – your problem-solving prowess can tackle any issues!
You make everyone’s lives easier by providing them with highly accurate and timely reports, keeping the whole team on the same page.
Since you’re passionate and endlessly curious about technology, there is no aspect of new technology that doesn’t interest you – and you have an uncanny knack for understanding all of it with ease.

Building Blocks of Success:

Requirements:
Degree in Computer Science, Engineering, Mathematics, Statistics or related quantitative field
1+ years of experience in RDBMS systems, data warehousing, advanced SQL Server Analytical development, and sophisticated data analysis
1+ years of experience with Azure Cloud Technologies (Data Factory, PowerShell, Data Lake and Data Lake Analytics)
1+ years of experience in Python
Experience with Data Modeling and ETL tools, Business Intelligence platforms, API Integration, and Object-Oriented Programming (OOP)
Ability to thrive in a cross-functional environment utilizing modern technologies (Python, Git, Jenkins, Octopus Deploy, Tensorflow, Domo, ArcGIS, E/R Studio, RedGate DLM Automation, and other tools)
Experience with messaging/event processing tooling and frameworks such as Azure Event Hub, Kafka, Kinesis
Working knowledge of Azure HDInsight + Spark, Azure Databricks, Azure Stream Analytics
Outro:

At Cortland, we create, reimagine, and manage apartment communities for residents nationwide. Headquartered in Atlanta, GA, we have communities and regional offices all over the country, as well as overseas. From product design and procurement to general contracting and property management, we do it all – to make sure our communities are the perfect setting for living life to its fullest.
Our success is fueled by our belief in a better life – where hospitality is always a given, each detail is worth a second thought, and every open door is a new opportunity to go beyond expectations. We come to work every day to create possibilities for people – possibilities that translate into superior living spaces and experiences designed to inspire our residents, associates, and investors to live a better life focused on what matters most to them.
Cortland is an equal opportunity employer, and we’re proud to support and celebrate diversity in the workplace. We are committed to equal consideration for all qualified applicants regardless of race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, disability, protected veteran status, genetic information, or any other characteristic protected by applicable law. If you have a disability and need an accommodation or assistance with the application process and/or using our website, please email talentresources@cortland.com or call 404.965.3988.
Cortland is a drug-free workplace.
Cortland participates in e-verify to verify the employment status of
all persons hired to work in the United States.",Bienes raíces,,2022-09-07T00:00:00,2022-10-16,FULL_TIME
Junior Scientific Data Engineer,OpenTeams,Massachusetts,Boston,-1,-1,,USD,"Who We Are

OpenTeams is the services marketplace where open source software users can find, vet, and contract with service providers. At OpenTeams we believe in a culture of do-ers, learners, and collaborators. We are looking for people who are motivated, humble, curious, and respectful of others. In order to meet the demands of our high growth business, we are looking for talented individuals to provide insights, solutions, and strategy to our internal leadership team and client partners.
What You Will Do
The Junior Scientific Data Engineer will be responsible for the implementation
of the Data Pipelines and custom data models for new clients. This entails execution
on the project scope to ensure that we meet or exceed client expectations and fulfill their
requirements.

Additional duties include research and prototype of data acquisition strategies for scientific lab
instrumentation along with file parsers for instrument output files (.xlsx, .pdf, .txt, .raw, .fid, many
other vendor binaries). Based on project scope, design and build data models, Python data
pipelines, unit tests, integration tests and utility functions.

Requirements
3+ years experience working within Python and scientific data modelingElasticsearch, science background, or experience with scientific instrumentsExcellent verbal and written communications skills; ability to explain technical information in
non-technical language to drive progress
Bachelor's degree in Computer Science, Statistics, Chemistry, or related field or equivalent
work experience

Additionally an ideal candidate would be:
Passionate about science and building solutions to make the data more accessible to the
end-users.
Intellectually curious: Unwavering drive to learn and know more every day.Able to think creatively about how to solve project risks without reducing quality.A team player who is willing to ""roll up your sleeves"" and do what it takes to make the team
successful.
Experienced in Life Sciences and Pharma workflows, especially with drug design and
development, biologics, automation or new modalities.
Knowledgeable of GxP compliance-related activities such as Good Laboratory
Practices (GLP) is ideal
AWS certification preferred
Why You Should Join

You'll become an important part of a collaborative, remote-first team. We are a passionate and ambitious team, with a proven record of success building multiple companies. We strive to provide a working environment that gives you room to learn and grow. OpenTeams is committed to creating a diverse and inclusive work environment and is proud to be an equal opportunity employer.

We offer competitive compensation, and comprehensive benefits package including:

100% of employee's medical, dental, and vision premiums
Company contributions toward employee HSA's
401K plan
6 weeks of PTO a year (Vacation time is not just encouraged, but celebrated and modeled.)

All qualified applicants will receive equal consideration for recruitment, interviews, employment, training, compensation, promotion, and related activities without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, veteran status or any and all other protected classes and in accordance with all applicable laws.",,,2022-09-14T00:00:00,2022-10-16,OTHER
Junior Data Engineer - 22-03044,"Evergreen Technologies, LLC.",Minnesota,Minneapolis,-1,-1,,USD,"Role: Junior Data Engineer

Location: Remote Role

QUALIFICATIONS, SKILLS, AND EXPERIENCE:

Strong organizational and project management skills
Python basic to intermediate
Azure cloud - basic
Databricks basic or ability to quickly learn how to work within Databricks
Jupyter notebooks basic to intermediate
Git version control basic to intermediate
Linux, basic comfortability to work on the command line
Ability to edit JSON files
Good interpersonal and communication skills
1 or more years of experience working within a highly technical team

Key Responsibilities:

Schedule and execute the template jobs required to optimize pricing for each grocery category
Move data files from cloud environment to on-prem servers
Edit existing code, where necessary, to establish pricing specific business rules provided by Client stakeholders
Load data files into a Dash based interactive dashboard used by EPP and Client stakeholders to facilitate pricing optimization
Running batch scripts
Collaborate with 84.51 EPP consultants to appropriately deploy pricing optimization solution within each scheduled grocery category; attend meetings, in-take business requirements, translate requirements to code, align on and complete action items
Adhere to stringent quality assurance and documentation standards (e.g., git, markdown, Confluence)",,,2022-09-09T00:00:00,2022-10-16,OTHER
Data Engineer,"Deutsche Boerse Systems, Inc",Illinois,Chicago,-1,-1,,USD,"Deutsche Börse Group has a vacancy for aJunior Data Warehouse / Big Data Operations EngineerDivision/sectionStatistiX OperationsField of activityStatistiX® is the Data Warehouse of Deutsche Börse Group. StatistiX® provides external and internal users worldwide with statistical information on financial markets. Aim of the position is not only to support the StatistiX DevOps Team of the classical Data Warehouse, but also to support the journey to a state-of-the-art data lake. The job position requires a high interest in IT operations of both, a grown solution and a new technology stack that keeps evolving.This is an exciting opportunity to dive deep into the challenges of modern data ingestion, data processing and data analytics. The position will give insights and hands-on experience in classic data warehouse technologies such as Oracle SQL and Informatica PowerCenter as well as in open-source big data technologies and components such as Spark, Kafka, NoSQL databases, APIs and Notebooks. All of this comes with a fast-paced environment and a highly committed, collaborative and diverse team.Tasks/responsibilitiesGet to know the concept of large-scale Data Warehousing and Data LakesTake over first own responsibilities, such as execution of deploymentsSupport in daily batch processing, e.g. creation and distribution of pre-defined standard reports to Business UnitsReact, analyse, solve and document issues in the automatic processingImplement own suggestions for solutions or optimization of existing processesQualifications/required skillsUniversity degree in «Computer Science» and/or a comparable trainingAn affinity for analyses and problem solvingProficiency in written and spoken English is mandatory; German language skills will be an assetDesirable: first experience with relational or non-relational databases / SQL and/or Linux shellLocation: Chicago, ILInterested?Please follow the link below to apply:⁣Junior Data Warehouse / Big Data Operations Engineer (f/m/d) (Frankfurt am Main) › Deutsche Börse Group (deutsche-boerse.com)Job Type: Full-timeBenefits:401(k)401(k) matchingDental insuranceFlexible spending accountHealth insuranceLife insurancePaid time offParental leaveVision insuranceSchedule:8 hour shiftSupplemental pay types:Bonus payAbility to commute/relocate:Chicago, IL 60606: Reliably commute or planning to relocate before starting work (Required)Experience:Informatica: 1 year (Preferred)SQL: 1 year (Preferred)Data warehouse: 1 year (Preferred)Work Location: One location",,,2022-09-13T00:00:00,2022-10-16,FULL_TIME
