Job_title,Company,State,City,Min_Salary,Max_Salary,unitText,SalaryCurrency,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
Entry Level Data Analyst,TRESUME,North Carolina,Charlotte,-1,-1,,USD,"We are seeking an Entry level Data Analyst to become an integral part of our Team. You will analyze data to understand business and Market Trends in order to increase company revenue and efficiency.Must be willing to relocate.Responsibilities: Use data to understand Business patterns and trends.Analyze internal and external data through quantitative researchPerform data cleanups and document processesInvestigate and resolve any data discrepancies in a timely manner and present findings to managementReview and update reconciliation reportsManage and update customer information using the CRM systemAssist with internal technical support and special projects as neededQualifications & Skills: Bachelor's degree or relevant.0-2 years of experience in a data support roleStrong attention to detail and organizational skillsExperience with advanced Microsoft Excel and Salesforce software preferredAbility to work independently, under supervision, and in a creative environmentExcellent interpersonal & Communication skillsJob Type: Full-timePay: $27.00 - $30.00 per hourSchedule:8 hour shiftMonday to FridayAbility to commute/relocate:Charlotte, NC: Reliably commute or planning to relocate before starting work (Required)Work Location: One location",,,2022-09-02T00:00:00,2022-10-16,FULL_TIME
Data Analyst,Lake Geneva Business Improvement District,,,-1,-1,,USD,"We are seeking a Data Analyst to become an integral part of our Team. You will analyze data to understand business and Market Trends in order to increase company revenue and efficiency.Must be willing to relocate.Responsibilities: Use data to understand Business patterns and trends.Analyze internal and external data through quantitative researchPerform data cleanups and document processesInvestigate and resolve any data discrepancies in a timely manner and present findings to managementReview and update reconciliation reportsManage and update customer information using the CRM systemAssist with internal technical support and special projects as neededQualifications & Skills: Bachelor's degree or relevant.1-10 years of experience in a data support roleStrong attention to detail and organizational skillsExperience with advanced Microsoft Excel and Salesforce software preferredAbility to work independently, under supervision, and in a creative environmentExcellent interpersonal & Communication skillsJob Type: Full-timePay: $20.00 - $40.00 per hourSchedule:8 hour shiftMonday to FridayJob Type: Full-timePay: $47,434.30 - $110,129.49 per yearBenefits:401(k)Dental insuranceFlexible scheduleHealth insurancePaid time offVision insuranceSchedule:8 hour shiftSupplemental pay types:Signing bonusExperience:SQL: 1 year (Preferred)Work Location: Remote",,,2022-08-24T00:00:00,2022-10-16,FULL_TIME
Business Analyst - Remote Work,BairesDev,,,-1,-1,,MXN,"Who We are

BairesDev is proud to be the fastest-growing company in America. With people in five continents and world-class clients, we are only as strong as the multicultural teams at the heart of our business. To consistently deliver the highest quality solutions to our clients, we only hire the Top 1% of the best talents and nurture their professional growth on exciting projects.
Business Analyst at BairesDev
We are looking for a Business Analyst to join our Development team and participate in different projects made up of multicultural teams distributed throughout the world. We are looking for proactive people, team players passionate about programming in this language and oriented to provide the best experience to the end user. This is an excellent opportunity for those professionals looking to develop in one of the fastest growing companies in the industry!

These developers will face numerous technical challenges, so they must use current technologies, get involved in the mobile world, web applications, devices, etc.
What You’ll Do:
Be the link between users and technical development teams.Be responsible for identifying the business needs.Generate the specific functional documentation.Translate the requirements into requirements for development teams.
Here’s what we are looking for:
Extensive experience working on computer products requirements.Very good management of interpersonal communication and customer management.Very good multidisciplinary teamwork skills.Advanced English level.
How we do make your work (and your life) easier:
100% remote work.Hardware setup for you to work from home.
- Flexible hours - make your schedule.
Paid parental leave, vacation & holidays.Diverse and multicultural work environment.An innovative environment with the structure and resources of a leading multinational.Excellent compensation — well above the market average.Here you can grow at the speed of your learning curve.
Our people work remotely but with a consistent and robust culture that promotes diversity and teamwork. To continue being the leading software development company in Latin America, we want to ensure that every BairesDev member gets the best growth and professional development opportunities in a diverse, welcoming, and innovative environment.

Every BairesDev team member brings something unique to our company.
We want to hear your story. Apply now!",Tecnologías de la información,,2022-09-05T00:00:00,2022-10-16,OTHER
Data Analyst,Devcare Solutions,Ohio,Columbus,-1,-1,,USD,"Job Description :ITC1- Data AnalystPreferred EducationCollege DegreeJob DescriptionInsurance is seeking a Data Analyst to join our IT Team. We are seeking someone who has Data warehouse experience with ETL data flows, data analysis, understands dimensional/tabular tables and building business intelligence solutions such as dashboards, dynamic reports and AI applications.Mandatory skillsMS SQL Server, SSIS, SSAS, SSRS, Oracle 12c;Strong SQL, understands DB structures and ER diagrams. Power BI and SSRS reportingNice To Have SkillsMS AI, Tableau, AlteryxJob Type: ContractPay: $80.00 - $90.00 per hourBenefits:Dental insuranceHealth insuranceVision insuranceSchedule:8 hour shiftMonday to FridayApplication Question(s):Have you worked on DW projects and if so what was your role and what did you do?Do you have experience with ETL and if so what type?Have you created Power BI reports? If so what type?Experience:MS AI, Tableau, Alteryx: 1 year (Required)Work Location: Multiple LocationsSpeak with the employer+91 +14847274025",Tecnologías de la información,,2022-08-21T00:00:00,2022-10-16,OTHER
Data Analyst (Remote),pulseData,New York State,New York,-1,-1,,USD,"Join us as we pursue our vision to eliminate preventable sickness. We are a distributed team filled with people who are passionate about our product and seek to deliver the best experience for our customers. At pulseData, we’re committed to our work, our customers, having fun, and each other’s success.
pulseData leverages data science and machine learning for Hospitals and Healthcare companies, to identify patients at risk of costly and avoidable medical outcomes. Our bespoke suite of products not only impacts our customers, but it prevents the suffering of thousands of patients who can receive the care they need before they know they need it. The work you'll do here has a massive impact.
The Role:
You'll be making our data more accessible, understandable, and usable and assisting with client deliverables.
You'll be cleaning and scrubbing medical record data and claims data to ensure it can be used in our data pipelines.
You'll be delivering the data in a useful and appealing way to technical and non-technical audiences.
You'll create robust methods to detect missing or poor data.
Your Background:
Bachelors Degree in a computer science or a quant degree.
Experience working in Python (Pandas) is preferred; SQL is okay.
Demonstrated ability to troubleshoot complex issues and find resolutions in a fast-paced, startup environment.
Bonus points for any experience in Spark.
Strong willingness to learn new technologies.
The Perks:
Compensation between $60k to $80k plus potential bonuses
A remote working environment - we work ET hours but you can tune in from anywhere.
Awesome benefits including top tier medical, dental, and vision insurance - 85% of which is covered by pulseData.
Unlimited PTO - so you can stay at your best year round!
Fun gym discounts, a 401k, and a new laptop + equipment.
Company offsite adventures throughout the US each year.
Tons of room for growth and the ability to learn new things.
An awesome tribe of smart and inclusive people that believe in diversity of thought and disrupting the status quo.
This role NOW offers sponsorship.
Chronic Kidney Disease (CKD) is a substantially under-diagnosed condition that affects 37 million people in the US. Today, clinical and care management teams use our platform to identify the most at risk-individuals and proactively deliver care in advance of adverse events, delivering better clinical outcomes at a lower cost. Our clients are risk-bearing healthcare enterprises: ACOs, kidney clinics and nephrology practices, large health systems, managed care and health insurance companies. Together, we use data science to deliver more human care.
pulseData is backed by some of the best investors in the industry, recently raising a $16.5M Series A led by Bain Capital and Two Bear Capital.",Salud,,2022-08-24T00:00:00,2022-10-16,FULL_TIME
Data Entry Analyst,Nava,,,-1,-1,,USD,Data Entry AnalystRemote4-6 month contractThe Data Entry Analyst will have experience working with SAP Master Data environments and will help input data into the customer material information records. This is a data entry person that has worked in an SAP environment. We can use H1B’s on C2C and this can be 100% remote.Must Have experience with:SAP environmentSAP Master DataCustomer Material or Customer Information recordsJob Type: ContractPay: $21.77 - $22.91 per hourSchedule:8 hour shiftExperience:Data Entry Analyst: 6 years (Preferred)SAP environment: 3 years (Preferred)SAP Master Data: 3 years (Preferred)Customer Material: 3 years (Preferred)Customer Information records: 3 years (Preferred)Work Location: Remote,,,2022-09-06T00:00:00,2022-10-16,OTHER
Data Analyst,Storm Search,Wisconsin,Milwaukee,-1,-1,,USD,"Hybrid/Remote role (3 days on-site, 2 days remote)The ideal candidate will use their passion for big data and analytics to provide insights to the business covering a range of topics. They will be responsible for providing the Business and Finance with actionable reporting and analysis to support informed decision making.ResponsibilitiesProvide reporting and analytical supportDevelop, analyze, validate and publish information needed to support the Business and Finance in taking informed decisions.Work closely with IT on the realization of the best solutions using tools as SQL, Qlik Sense and Power BIPresent data and reporting analysis resultsIdentify areas of opportunity for improved data managementLeverage technology, like Qlik Sense and PowerBI to provide regular and ad hoc reporting and analysis of key performance indicators to allow the business to manage resultsOther Duties as assignedJob Type: Full-timePay: $90,000.00 - $100,000.00 per yearBenefits:401(k)Dental insuranceHealth insurancePaid time offVision insuranceSchedule:8 hour shiftAbility to commute/relocate:Milwaukee, WI 53220: Reliably commute or planning to relocate before starting work (Required)Application Question(s):Are you a US Citizen or Green Card Holder?Experience:Large Data Sets or Data Warehouse: 3 years (Required)Power BI: 2 years (Required)Work Location: Hybrid remote in Milwaukee, WI 53220",,,2022-09-15T00:00:00,2022-10-16,FULL_TIME
Junior Data Analyst (Remote),Social Factor,,,-1,-1,,USD,"Social Factor is looking for a digitally savvy data practitioner. In this role, the Junior Data Analyst will be dedicated to the reporting of social media metrics. Providing reporting and insights for major players in the social space. This person will be passionate about deriving insights from data with a keen understanding on how to correlate performance to marketing and business initiatives to inform strategic decisions.
""A day in the life of"" will include:
Providing a range of reporting, including individual posts, campaign performance, monthly digital performance, audience insights, competitive analysis and custom reporting as needed.
Pulling metrics, creating data visuals and presenting clear analysis for custom reporting in collaboration with internal teams.
Creating presentation visuals to quickly and clearly represent the key insights from underlying data, leveraging templates and workflows as communicated.
Developing actionable insight to inform strategic decisions as well as day-to-day content.
Defining and maintaining social media benchmarks and relevant KPIs by industry and client.
Requirements:
Skills in PowerPoint Excel; strong numbers acumen.
Strong drive to problem solve and figure out the “Why?” behind the data we are analyzing.
2+ years of experience in the field
Minimum of Windows 10 and macOS 12.X
Internet speed requirement of a minimum of 50 mbps
Our ideal candidate will have:
Relevant degree (Marketing, Economics, Statistics, or other comparable degree)
Deep interest in social and online marketing strategy.
Ability to thrive in a fast-paced, dynamic environment.
Agency or brand experience is a plus
Problem-solving instincts with a knack for identifying meaningful and creative solutions.
Bonus experience:
SQL or other coding language
Data Visualization tools (Tableau, Data Studio, Looker, etc.)
Social Media Platform Data (YouTube, Facebook, Instagram, Pinterest, Twitter, TikTok, LinkedIn)
Social Factor Culture
Here at Social Factor, we encourage our employees to embrace the casual atmosphere of a growing dynamic agency. Our team members are humble yet bold, motivated and hardworking, ready to serve and help others, and always interested in the latest the digital world has to offer. If this describes you, we'd love to hear from you!",Audiovisual y medios de comunicación,,2022-09-14T00:00:00,2022-10-16,FULL_TIME
Data Analyst (Remote),"Stefanini, Inc",Florida,Tampa,-1,-1,,USD,"Stefanini Group is hiring!
Do you want to be a part of a highly innovative, digitally transformative team and work on cutting-edge, state-of-the-art technologies? If yes, then this is for you!

An exciting opportunity awaits, let us help you get started!
Click Apply now or call: (248) 936-5005 / email: Venus.Vinoya@stefanini.com for faster processing!
 Open to W2 candidates only!
Job Description & Summary/About the Team:
We are seeking a data analyst to join our team to provide meaningful insights across multiple global applications to aid and support stakeholders in strategic decision making to increase ROI, improve current business operations/processes, support feature decommission and investment as well as create and provide data models and meaningful visualizations that create transparency of trends to fuel technical design and strategic roadmap planning for future initiatives. We are particularly keen to attract people with experience from across multiple sectors such as financial services, technology and IT.

Common duties and responsibilities of a Data Analyst:
Collecting data through means such as analyzing business results or by setting up and managing new studies
Transferring data into a new format to make it more appropriate for analysis
Creating new, experimental frameworks to collect data
Building tools to automate data collection
Searching through large data sets for usable information across multiple applications
Creating reports and presentations for business uses
Correlating similar data to find actionable results
Work with data analyst on researching certain data figures in relation to site overlays and guides
Identify recurring issues or potential business opportunities


Key Skills and Experience:
Undergraduate degree (e.g. BA, BSc).
Tools and systems: Power automate, Power BI, Microsoft suite of tools including Flow, Power point, Microsoft teams, Word, Excel, Outlook and one drive/Microsoft 365
Experience of working as a Business Analyst within complex project environments across multiple applications.
Good technical understanding of Business Analysis frameworks, value cycles, business processes, business requirements and UAT methodologies.
Exceptional technical writing skills
Has a curious nature and takes a proactive approach to telling a story with data insights
Ability to communicate complex data in a simple, actionable way
Ability to visualize data in the most effective way possible for a given project or study
Analytical and problem-solving skills
Familiarity and experience with data management tools; Pendo, Google analytics, Abode analytics
Ability to work independently and with team members from different backgrounds
Excellent attention to detail
Develop the approach to translate this into actionable insights
Interpret data (from primary and secondary research), formulate reports and make recommendations segmented and customized for our stakeholders
Who We Are
The Stefanini Group is a global provider of offshore, onshore, and nearshore outsourcing, IT digital consulting, systems integration, application, and strategic staffing services to Fortune 1000 enterprises around the world. Our presence is, and Asia. More Americas, Europe, Africa, and Asia, and more than 400 clients across a broad spectrum of markets, including financial services, manufacturing, telecommunications, chemical services, technology, public sector, and utilities. Stefanini is a CMM level 5, IT consulting, company with a global presence. We are CMM Level 5 company.",Tecnologías de la información,,2022-09-12T00:00:00,2022-10-16,FULL_TIME
Data Warehouse Analyst,Softnice Inc,,,-1,-1,,USD,"(1) Optimize, develop and maintain integration solutions using SQL Server SSIS and ETL Framework(BIDS) as necessary to connect legacy data stores, the data warehouse(2) Develops, maintains and optimizes al effort related to Data Warehouse (SSIS, Stored procedures, Views etc.)(3) Creates data warehouse components using best practices methodologies(4) Builds and maintains through documentation of the data and how it is moved through layers(5) Perform data conversion from OLTP to DW using tools like SSIS/Data Factory(6) Identify and analyze data discrepancies and data quality issues and work to ensure data consistency and integrity(7) Ensure the stabilization and high performance of existing ETL processes(8) Troubleshoot and complex data related issues as well as provide support to production(9) Develop and deploy ETL job workflow with reliable error/exception handling and rollback(10) Must have experience working on SSRS(11) Power BI experience is preferred(12) Experience with Crystal Report will be beneficial(13) API Development experience is preffered(14) May be involved with manual testing(15) Perform other related dutirs as requiredJob Types: Contract, TemporarySalary: $45.00 - $53.00 per hourSchedule:8 hour shiftExperience:Data modeling: 1 year (Preferred)ETL (Including SSIS or other ETL tools): 6 years (Required)Data Analytics: 6 years (Required)Data Warehouse: 6 years (Required)MS SQL Reporting Server (SSRS: 4 years (Required)Power BI: 3 years (Required)Web API development: 3 years (Required)Work Location: Remote",Tecnologías de la información,,2022-08-30T00:00:00,2022-10-16,OTHER
