Job_title,Company,State,City,Min_Salary,Max_Salary,unitText,SalaryCurrency,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
Junior Data Scientist,T-Mobile,Washington State,Bellevue,-1,-1,,USD,"Be unstoppable with us!
T-Mobile is synonymous with innovation–and you could be part of the team that disrupted an entire industry! We reinvented customer service, brought real 5G to the nation, and now we’re shaping the future of technology in wireless and beyond. Our work is as exciting as it is rewarding, so consider the career opportunity below as your invitation to grow with us, make big things happen with us, above all, #BEYOU with us. Together, we won’t stop!
The Jr. Data Scientist, Consumer Research Analysis is responsible for delivering consumer insights through data analytics and actionable recommendations to T-Mobile Marketing leadership that enhance brand and acquisition strategy. Must have 1) an ability to structure, analyze and synthesize large survey datasets, 2) experience influencing business decision-making through story-driven, visually compelling presentations and 3) ability to produce new insights leveraging advance analytical methods.
Responsibilities:
Mine and synthesize brand tracking data at both the National and Market level to deliver insights on company and competitor brand health, brand perceptions, customer satisfaction, and purchase behavior
Assist and lead Advanced Research Analytics Center of Excellence team to produce custom analytics from large consumer-survey datasets, including text analytics and predictive modeling techniques
Design and execute advanced analytics to solve business problems; preprocess and perform exploratory data analysis on structured and unstructured data; use predictive modeling techniques and statistical analysis to predict outcomes and behaviors of wireless consumers
Act as data lead for ad-hoc, cross-sectional, and longitudinal studies
Work with research vendor to develop sampling plan
Determine appropriate data delivery expectations
Process survey data files, depositing them in structured data environment
Interacts directly with key Marketing stakeholders to:
Assess analytics needs and prioritize requests
Select appropriate data source and analytic methods
Deliver impactful communication of insights and recommendations via infographic, newsletter, and presentations as appropriate
Qualifications:
3+ years marketing analytics experience
Proficiency in applying statistical, advanced analytics, machine learning, and/or AI, deep learning concepts, and techniques to solve business problems. Strong programming skills using Python, SAS, R
Ability to visualize survey data in Tableau or similar strongly preferred
Advanced skills in Microsoft Excel
Intermediate skills in PowerPoint
Familiarity with data integration, data transformation, and data management techniques using relational database languages (SQL, PostgreSQL) and software solutions (Alteryx, Teradata, Snowflake)
Experience in leading analytic projects independently, from needs assessment through final reporting
Education
Minimum Required
Bachelor’s degree required. Advanced degree preferred (MBA, MS, or MA)At least 18 years of ageLegally authorized to work in the United StatesT-Mobile requires all employees in this position to be fully vaccinated for COVID-19, unless precluded from doing so by applicable law. The CDC currently defines “fully vaccinated” as two weeks after the second dose for Pfizer and Moderna, and two weeks after the single dose of Johnson & Johnson. T-Mobile will require proof of vaccination, and will consider requests for exemption from this requirement during the offer phase (1) as a reasonable accommodation for medical reasons or sincerely held religious beliefs where the accommodation would not cause T-Mobile undue hardship or pose a direct threat to the health and safety of others, or (2) for other reasons under applicable law.

Travel:
Travel Required (Yes/No):No

DOT Regulated:
DOT Regulated Position (Yes/No):No
Safety Sensitive Position (Yes/No):No

T-Mobile's Commitment
Never stop growing!
T-Mobile doesn’t have a corporate ladder–it’s more like a jungle gym of possibilities! We love helping our employees grow in their careers, because it’s that shared drive to aim high that drives our business and our culture forward.

If you’d like to receive more information about careers at T-Mobile, sign up for the T-Mobile Talent Community today! https://www.tmobile.careers/profile/join/

T-Mobile USA, Inc. is an Equal Opportunity Employer. All decisions concerning the employment relationship will be made without regard to age, race, ethnicity, color, religion, creed, sex, sexual orientation, gender identity or expression, national origin, religious affiliation, marital status, citizenship status, veteran status, the presence of any physical or mental disability, or any other status or characteristic protected by federal, state, or local law. Discrimination, retaliation or harassment based upon any of these factors is wholly inconsistent with how we do business and will not be tolerated.

Talent comes in all forms at the Un-carrier. If you are an individual with a disability and need reasonable accommodation at any point in the application or interview process, please let us know by emailing ApplicantAccommodation@t-mobile.com or calling 1-844-873-9500. Please note, this contact channel is not a means to apply for or inquire about a position and we are unable to respond to non-accommodation related requests.",Telecomunicaciones,,2022-09-13T00:00:00,2022-10-16,FULL_TIME
Data Scientist,NexWave Talent Management Solutions Pvt Ltd.,California,Elk Grove,-1,-1,,USD,"Job Title: Data ScientistLocation: Elk Grove, CADuration: Long TermDetails:o Use Tableau to create visualizationso Use SQL to build tableso Use python to manipulate and analyze dataJob Type: ContractSalary: $77,529.47 - $191,113.77 per yearSchedule:8 hour shiftAbility to commute/relocate:Elk Grove, CA 95624: Reliably commute or planning to relocate before starting work (Required)Experience:Python: 1 year (Preferred)SQL: 1 year (Preferred)Work Location: One location",Tecnologías de la información,,2022-09-15T00:00:00,2022-10-16,OTHER
Data Scientist,eJAmerica,California,Elk Grove,-1,-1,,USD,"Job position: EEP Data Analytics — Data Scientisto Use Tableau to create visualizationso Use SQL to build tableso Use python to manipulate and analyze dataJob Types: Contract, Full-timeSalary: $55.07 - $60.80 per hourSchedule:8 hour shiftExperience:Python: 4 years (Preferred)SQL: 4 years (Preferred)Tableau: 4 years (Preferred)Work Location: On the road",,,2022-09-15T00:00:00,2022-10-16,FULL_TIME
Applied Scientist,Microsoft,Washington State,Bellevue,-1,-1,,USD,"Azure Cognitive Services in Bellevue, WA, is hiring an Applied Scientist.
It has never been a more exciting time at the Azure Cognitive Services Division at Cloud & AI! We continue to advance the state of the art in the areas we choose to study, and we impact Microsoft by transferring great research results to products. The Azure Cognitive Services Division is tasked to improve our odds of betting on the “next big thing” and impact various products in the areas of cloud and edge intelligence such as Microsoft Cognitive Services. We work in the general areas of human understanding, environment understanding, and decision intelligence.
This team offers a comprehensive family of AI services and cognitive APIs to help customers build intelligent applications. We are looking for highly motivated and self-driven individuals who are passionate about advancing the state of the art while making business impact.
Responsibilities
The Azure Cognitive Services Division in Microsoft Cloud & AI is looking for applied scientists in Computer Vision, Natural Language Processing, Multimodal Analysis, and Machine Learning, broadly defined. In this position, you will conduct deployment-driven research in computer vision/natural language processing/multimodal analysis, prototype and demonstrate, and work closely with product teams to transfer research to products/services to delight customers.
Qualifications
Required Qualifications:
At least three years’ research experience in Computer Vision, Natural Language Processing, Deep Learning, Machine Learning, or a related field.
Publication(s) in top-tier conferences or journals in related fields (e.g., CVPR, ECCV, ICCV, ALP, EMNLP, NeurIPS, ICML, ICLR, etc.).
At least 1 year of hands on experience and proficiency with open-source tools such as PyTorch, Tensorflow.
Preferred Qualifications:
Ideal candidates would have one or more of the additional qualifications:
Strong algorithmic problem solving and software development skills (C/C++/Python).
Proficiency with open-source tools such as PyTorch, Tensorflow.
Demonstrated capability as an independent researcher and engineer.
Experience collaborating with teams of diverse technical and cultural backgrounds.
Excellent communication and writing skills.Microsoft is an equal opportunity employer.
All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",Tecnologías de la información,,2022-09-14T00:00:00,2022-10-16,FULL_TIME
Data Scientist,Reveille Technologies,California,Santa Clara,-1,-1,,USD,"Programming Skills: Proficiency in Python is required along with hands-on experience of ML/DL libraries like Numpy, Pandas, scikit-learn, TensorFlow, pytorch, Mathplotlib, etcGood knowledge in statistics and probability distributionsExperience in handling image data using python libraries like OpenCV, scikit-image etcDeep understanding on common Machine Learning techniques related to Time series, Regression, Classification, Clustering, etc.(e.g. KNN, SVM, Random Forest, GBM, XGBoost, ARIMA, etc) and their applicationsProficiency with at least one deep learning framework such as PyTorch, TensorFlow, Keras, etc.Experience in Optical Character Recognition and Document Digitization problems preferredWorking knowledge in deep learning with different NN architectures like CNN, RNN, LSTM, GANs Auto encoders, Transformers, YoLo etc.Should be able to adopt available models from open source domain and implement research papers based on use-case requirementsWorking experience in end to end data science project life cycles from use case framing, data collection, data exploration, model building, deploymentNice to have understanding of big data related technologies and DevOps (Dockers, Singularity)Other skills/ expectationsGood communication and presentation skillProven ability be creative and analytical in trouble shooting issuesAbility to work in a fast-paced and high-pressure environment to manage competing prioritiesJob Type: ContractSalary: $37.94 - $70.00 per hourBenefits:Dental insuranceFlexible scheduleHealth insurancePaid time offSchedule:4 hour shiftSupplemental pay types:Bonus payCommission payExperience:Python: 1 year (Preferred)SQL: 1 year (Preferred)Work Location: On the road",,,2022-09-13T00:00:00,2022-10-16,OTHER
Data Scientist,Hireups,,,-1,-1,,USD,"Data ScientistHireups Inc. – RemoteResearch Scientist | Computational Protein Engineer | Remote Job Overview: Research Scientist | Computational Protein Engineer - Consultant | Full-Time Possible | Flexible Schedule, C2C, 100% Remote, 1099Intro: As a data scientist, you will be at the forefront of developing cutting-edge technology. Be a part of the collaborative and emerging scientific evolution. Hireups Inc. works alongside top engineers to build services for our clients. Join our team of data, science, and cloud professionals. Hireups provides an alternative work environment where you will have substantial opportunities to make a tangible and positive impact across various technologies.Protein engineering is the conception and production of unnatural polypeptides, often through modification of amino acid sequences that are found in nature. Synthetic protein structures and functions can now be designed entirely on a computer or produced through directed evolution in the laboratory.The position calls for research scientists/computational protein engineers. The ideal candidate is responsible for writing research papers and collaborating with developers. Candidates should have a background in data science, immersedResponsibilities: Writing research papers on different methods of protein-foldingWorking with flow cytometry(a cell-analysis technique)Screening involving DNA sequencingDeveloping computational pipelines for protein engineering utilizing PyRosetta/sequence-based approachesEngage in detailed research and collaboration with a team of scientists/developersRequired: Excellent programming skills and mastery of one or more programming languages, including Unix, PowerShell, or Python (PyRosetta preferred)PhD or equivalent in molecular biology, biochemistry, bioengineering, biophysics, physics, computer science, computational biology, quantitative biology, or related field2+ years of experience with any of the following technologies: Python, Protein Folding, Data ScienceSignificant hands-on technical experience with modeling software such as Rosetta, Molecular Operating Environment (MOE), and/or SchrodingerFamiliarity with machine learning algorithms applicable to model dataMust be familiar with Jupyter Notebooks, Bayesian, and/or common statistics found in other Biology related projects.Preferred: US Citizen with core daylight hoursThe ability to design and develop a rich, comprehensive protein engineering pipelineStrong communication skills with the ability to articulate technical details to different audiences * Hands-on experience in the compilation, assembly, and development of protein structuresFive years plus of demonstrated experience working for a company in a similar roleJoin the Team!Hireups jobs offer flexible hours with tremendous career growth. Moonlighters are welcome. Employees are offered comprehensive and beneficial training relative to their field. Here at Hireups, we focus on the health and growth of our team members.We are an equal opportunity employer and considers all qualified applicants equally without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran status, or disability status.LGBTQ+ friendly workplaceAge-inclusiveJob Types: Part-time, ContractPay: $70.00 per hourBenefits:Flexible schedule",,,2022-09-15T00:00:00,2022-10-16,FULL_TIME
"Data Scientist, Junior",Booz Allen Hamilton,Virginia,Arlington,-1,-1,,USD,"The Challenge:
Are you excited at the prospect of unlocking the secrets held by a data set? Are you fascinated by the possibilities presented by the IoT, machine learning, and artificial intelligence advances? In an increasingly connected world, massive amounts of structured and unstructured data open new opportunities. As a data scientist, you can turn these complex data sets into useful information to solve global challenges. Across private and public sectors — from fraud detection to cancer research, to national intelligence — you know the answers are in the data.
We have an opportunity for you to use your analytical skills to improve a DoD client. You’ll work closely with your client to understand their questions and needs, then dig into their data-rich environment to find the pieces of their information puzzle. You'll develop algorithms, write scripts, build predictive analytics, use automation, apply machine learning, and use the right combination of tools and frameworks to turn that set of disparate data points into objective answers to help senior leaders within the client office to make informed decisions. You’ll provide your customer with a deep understanding of their data, what it all means, and how they can use it. Join us as we use data science for good in Personnel and Readiness.
Empower change with us.
You Have:
Experience with machine learning, data mining, statistics, data structures, or graph algorithms in an academic or internship environment
Knowledge of systems integration
Knowledge of data analysis or data visualization
Secret clearance
HS diploma or GED
Nice If You Have:
Experience with data wrangling tools, including StreamSet or Trifacta
Experience with Big Data analysis programming techniques and technologies, including Hadoop
Experience with relational databases and data pipeline
Possession of excellent data gathering, analytical, and problem-solving skills
Possession of excellent verbal and written communication skills
Bachelor's degree in CS, Computer Engineering, or Systems Engineering
Clearance:
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; Secret clearance is required.
Build Your Career:
 At Booz Allen, we know the power of analytics and we’re dedicated to helping you grow as a data analysis professional. When you join Booz Allen, you’ll have the chance to:
access online and onsite training in data analysis and presentation methodologies, and tools like Hortonworks, Docker, Tableau, and Splunk
change the world with the Data Science Bowl—the world’s premier data science for social good competition
participate in partnerships with data science leaders, like our partnership with NVIDIA to deliver Deep Learning Institute (DLI) training to the federal government
You’ll have access to a wealth of training resources through our Analytics University, an online learning portal specifically geared towards data science and analytics skills, where you can access more than 5000 functional and technical courses, certifications, and books. Build your technical skills through hands-on training on the latest tools and state-of-the-art tech from our in-house experts. Pursuing certifications that directly impact your role? You may be able to take advantage of our tuition assistance, onsite boot camps, certification training, academic programs, vendor relationships, and a network of professionals who can give you helpful tips. We’ll help you develop the career you want as you chart your own course for success.
We’re an equal employment opportunity/affirmative action employer that empowers our people to fearlessly drive change – no matter their race, color, ethnicity, religion, sex (including pregnancy, childbirth, lactation, or related medical conditions), national origin, ancestry, age, marital status, sexual orientation, gender identity and expression, disability, veteran status, military or uniformed service member status, genetic information, or any other status protected by applicable federal, state, local, or international law.",Administración y consultoría,,2022-09-08T00:00:00,2022-10-16,OTHER
Sr Data Scientist,Ericsson,California,Santa Clara,-1,-1,,USD,"Santa Clara, CA or Bay Area
About this opportunity
Ericsson Global AI Accelerator (GAIA) is a unit that has been set up to accelerate our AI and Machine Learning offerings. This central unit is chartered with the responsibility of building a high-end competence center that brings together a team of high-end Data Scientists, Data Engineers, Software Engineers, and Machine Learning Architects towards the goal of enhancing Ericsson’s products and services portfolio with AI capabilities.
We are currently looking for a Data Scientist to work in one of our Global AI Accelerator units. This position is based on Santa Clara, CA, USA.
This role has individual contribution and tech leadership scope covering the complete lifecycle of feature & functionality development, from use case definition, systemization, AI/ML functionality prototyping, and development to implementation in Ericsson product portfolio.

What you will do
Responsibilities:
Collect and preprocess data
Design and train machine learning models
Contribute to rapid and iterative development of minimum viable products
Show technical leadership in AI/ML project proposal and development
Contribute to IP creation for Ericsson in AI/ML

You will bring
MS or PhD in Computer Science/Engineering, Machine Learning, or equivalent
4+ (MS) or 1+ (PhD) years’ professional experience in computer vision projects using deep learning
Proven skills in development of AI/ML applications on TensorFlow and PyTorch
A knowledge in programming skills in various languages (e.g., Python, C++, or Java) with proficiency in Python and OpenCV
Strong analytical skills and ability to acquire new knowledge
An interest to constantly learn, communicate, interact, share information, and willingness to help others
Good communication skills in written and spoken English

Preferred Qualification:
Experience in writing and presenting papers, journal articles, and technical blogs: Publications in CVPR, ICCV, ECCV is a big plus
Knowledge in telecommunication is a plus
This position reports to the Director Data Science
Why join Ericsson?
At Ericsson, you´ll have an outstanding opportunity. The chance to use your skills and imagination to push the boundaries of what´s possible. To build never seen before solutions to some of the world’s toughest problems. You´ll be challenged, but you won’t be alone. You´ll be joining a team of diverse innovators, all driven to go beyond the status quo to craft what comes next.
What happens once you apply?
Click Here to find all you need to know about what our typical hiring process looks like.
Encouraging a diverse and inclusive organization is core to our values at Ericsson, that's why we nurture it in everything we do. We truly believe that by collaborating with people with different experiences we drive innovation, which is essential for our future growth. We encourage people from all backgrounds to apply and realize their full potential as part of our Ericsson team. Ericsson is proud to be an Equal Opportunity and Affirmative Action employer, learn more. If you need assistance or to request an accommodation due to a disability, please contact Ericsson at hr.direct.mana@ericsson.com
DISCLAIMER: The above statements are intended to describe the general nature and level of work being performed by employees in this position. They are not an exhaustive list of all responsibilities, duties and skills required for this position, and you may be required to perform additional job tasks as assigned.
Primary country and city: United States (US) || United States : California : Santa Clara",Telecomunicaciones,,2022-09-13T00:00:00,2022-10-16,OTHER
Data Scientist,Sunixa Solutions,,,-1,-1,,USD,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.ResponsibilitiesIdentify valuable data sources and automate collection processesUndertake preprocessing of structured and unstructured dataAnalyze large amounts of information to discover trends and patternsBuild predictive models and machine-learning algorithmsCombine models through ensemble modelingPresent information using data visualization techniquesPropose solutions and strategies to business challengesCollaborate with engineering and product development teamsSkillsProven experience as a Data Scientist or Data AnalystExperience in data miningUnderstanding of machine-learning and operations researchKnowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an assetExperience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop)Analytical mind and business acumenStrong math skills (e.g. statistics, algebra)Problem-solving aptitudeExcellent communication and presentation skillsBSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferredJob Type: ContractSalary: From $20.11 per hourSchedule:8 hour shiftExperience:Python: 1 year (Preferred)SQL: 1 year (Preferred)Work Location: Remote",,,2022-08-25T00:00:00,2022-10-16,OTHER
Data Scientist,Hyperspace Ventures,North Carolina,Durham,-1,-1,,USD,"Durham, NC | Austin, TX | Remote | Full Time
Data Scientist

We're looking for Data Scientists to work on our core and business products to help shape the future of what we build at Hyperspace Ventures. You will enjoy working with various data sets, cutting edge technology, and the ability to see your insights turned into real products on a regular basis. The perfect candidate will have a background in a quantitative or technical field, will have experience working with large data sets, and will have some experience in data-driven decision making. You are focused on results, a self-starter, and have demonstrated success in using analytics to drive the understanding, growth, and success of a product.
Responsibilities:
Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with both our consumer and business products
Partner with Product and Engineering teams to solve problems and identify trends and opportunities
Inform, influence, support, and execute our product decisions and product launches
The Data Scientist Analytics role has work across the following four areas:
Product Operations
Forecasting and setting product team goals
Designing and evaluating experiments
Monitoring key product metrics, understanding root causes of changes in metrics
Building and analyzing dashboards and reports
Building key data sets to empower operational and exploratory analysis
Evaluating and defining metrics
Exploratory Analysis
Proposing what to build in the next roadmap
Understanding ecosystems, user behaviors, and long-term trends
Identifying new levers to help move key metrics
Building models of user behaviors for analysis or to power production systems
Product Leadership
Influencing product teams through presentation of data-based recommendations
Communicating state of business, experiment results, etc. to product teams
Spreading best practices to analytics and product teams
Data Infrastructure
Working in Hadoop and Hive primarily, sometimes MySQL, Oracle, and Vertica
Automating analyses and authoring pipelines via SQL and python based ETL framework
Minimum Qualifications:
2+ years experience doing quantitative analysis
BA/BS in Computer Science, Math, Physics, Engineering, Statistics or other technical field
Experience in SQL or other programming languages
Development experience in any scripting language (PHP, Python, Perl, etc.)
Experience communicating the results of analyses with product and leadership teams to influence the strategy of the product
Knowledge of statistics (e.g., hypothesis testing, regressions)
Experience manipulating data sets through statistical software (ex. R, SAS) or other methods
Preferred Qualifications:
Advanced degrees
Experience with distributed computing (Hive/Hadoop)",Tecnologías de la información,,2022-08-25T00:00:00,2022-10-16,FULL_TIME
