Job_title,Company,State,City,Min_Salary,Max_Salary,unitText,SalaryCurrency,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
Associate Machine Learning Engineer,Lucasfilm,California,San Francisco,-1,-1,,USD,"Job Summary:
The Lucasfilm Advanced Development Group (ADG) is looking for Software Engineers to join our team. As an Associate Machine Learning Engineer at the ADG, you will apply your knowledge and expertise to real production issues facing our creative clients across Lucasfilm, ILM, and ILMxLAB. We are seeking engineers with deep technical knowledge in this rapidly- advancing field to join ADG to push the boundaries of ILM’s Virtual Production tools and empower the creation of Disney’s Metaverse.
Responsibilities:
Maintain and support cutting edge machine learning solutions in production projects
Maintain and support solutions for content and artist-facing problems across our global studios, such as our ML-based appearance transfer pipeline
Maintain, support and document the accumulation of training data for ML application at the company
Design, develop, test, deploy, maintain and improve software and training models
Provide front-line support for end-users and assist with technical issues, coach system use and raise any usability or bugs with the Pipeline team to resolve
Collaborates with the ADG DevOps and other ILM technology departments to build scalable and robust systems for all ILMxLAB, Virtual Production and Virtual Art Department productions
Creates and maintains clear and concise documentation outlining the use of products and solutions in production
Participate in special projects as needed
Basic Qualifications:
Bachelor’s degree in Computer Science or related technical field or equivalent professional experience
0-3 years of relevant experience
Academic experience of machine learning and artificial intelligence, with knowledge of generative models, GANS, neural networks (CNNs, RNNs) , gradient based optimization
Academic experience with one or more general purpose programming languages including but not limited to: C/C++, Python
Applying ML techniques specifically in the visual/image space, e.g. ML encoded image processing, differentiable rendering, inverse rendering
Excellent 3D math skills including linear algebra and vectors
Driven and self-motivated individual with excellent problem-solving skills
Must be detail-oriented and organized, possess strong communication skills, and be able to handle a variety of tasks in an efficient and decisive manner
Preferred Experience
Familiarity with DCC packages such as Maya
Familiarity with real-time game-engine development such as Unity or Unreal
JoinTheForce",Audiovisual y medios de comunicación,,2022-09-14T00:00:00,2022-10-16,OTHER
Machine Learning Engineer,PayPal,California,San Jose,-1,-1,,USD,"At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives.
Job Description Summary: We are looking for a Machine Learning Engineer to work on developing large scale big-data machine learning & solution automation toolkits and libraries. In this role you will work with a talented engineering and data science team to develop a state-of-the-art data science automation framework that will enable hundreds of solutions and users, while also having the opportunity to research latest machine learning techniques in industry and academic and then bring into PayPal data scientist community.
Job Description:
PayPal is a global leader in online payments and democratization of financial services, providing payment solutions for hundreds of millions of customers all over the world. As a team member of PayPal’s Global Data Science organization, you will have an impact on PayPal’s product all around the world.
We are currently recruiting a machine learning engineer to work on developing large scale big-data machine learning & solution automation toolkits and libraries. If you have exceptional skills and passion in both software engineering development and machine learning algorithm, we’d like to meet you! In this role you will work with a talented engineering and data science team to develop a state-of-the-art data science automation framework that will enable hundreds of solutions and users, while also having the opportunity to research latest machine learning techniques in industry and academic and then bring into PayPal data scientist community.
About You
2+ years’ work experience as a Machine Learning Engineer or similar role.
Understanding of various advanced analytical and machine learning methods. Excellent understanding of machine learning frameworks (Keras/Tensorflow/PyTorch etc.) and libraries (scikit-learn, etc.).
Passionate to learn the state-of-the-art machine learning framework and algorithm in academic and industry.
Excellent understanding of computer science fundamentals, data structures, and algorithms.
Familiar with object-oriented design methodology and application development in Python.
Familiar with Big Data related technologies to manage large volumes of complex data (SQL, pyspark, BigQuery).
Good communication skills in oral and written English.
Think outside of the box. Willing to have both hard work and have fun.
Ability to work in a team and highly collaborative
Working experience in multi-national company is a plus.
BS, MS, or PhD in Computer Science or related technical discipline (or equivalent).
Our Benefits:
At PayPal, we’re committed to building an equitable and inclusive global economy. And we can’t do this without our most important asset—you. That’s why we offer benefits to help you thrive in every stage of life. We champion your financial, physical, and mental health by offering valuable benefits and resources to help you care for the whole you.
We have great benefits including a flexible work environment, employee shares options, health and life insurance and more. To learn more about our benefits please visit https://www.paypalbenefits.com

Who We Are:
To learn more about our culture and community visit https://about.pypl.com/who-we-are/default.aspx

PayPal has remained at the forefront of the digital payment revolution for more than 20 years. By leveraging technology to make financial services and commerce more convenient, affordable, and secure, the PayPal platform is empowering more than 400 million consumers and merchants in more than 200 markets to join and thrive in the global economy. For more information, visit paypal.com.
PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com.

As part of PayPal’s commitment to employees’ health and safety, we have established in-office Covid-19 protocols and requirements, based on expert guidance. Depending on location, this might include a Covid-19 vaccination requirement for any employee whose role requires them to work onsite. Employees may request reasonable accommodation based on a medical condition or religious belief that prevents them from being vaccinated.",Tecnologías de la información,,2022-08-28T00:00:00,2022-10-16,FULL_TIME
"Machine Learning Engineer, Early Career",Viasat,Arizona,Tempe,-1,-1,,USD,"Job Description
One team. Global challenges. Infinite opportunities. At Viasat, we’re on a mission to deliver connections with the capacity to change the world. For more than 35 years, Viasat has helped shape how consumers, businesses, governments and militaries around the globe communicate. We’re looking for people who think big, act fearlessly, and create an inclusive environment that drives positive impact to join our team.
Job Responsibilities
As a Machine Learning Engineer, you will be part of a diverse team of engineers developing next-generation, vertically integrated products and services at Viasat. You will develop new, novel algorithms and techniques for analyzing complex data sets collected during Viasat’s product and service lifecycles. You will be responsible for defining and developing models that produce new inferences and enable action by adjacent teams. You will work with software engineers to create new tools, libraries, and services that can expand Viasat’s ability to understand complex data sets. You will be part of a growing team developing cloud-based solutions for tackling problems found at the cutting edge of technological development.
On this team, you’ll build a breadth of knowledge including distributed systems, predictive analytics, and machine learning. You will design, develop, and deploy analytic pipelines to answer questions across multiple business areas and disciplines for Viasat’s broad but vertically integrated products. We encourage learning through immersion, collaboration and action. We value adaptability and curiosity. Our ideal candidate is someone focused on solving tough problems using data and loves doing so. You will have a role in the training and education of your peers by providing technical guidance and supporting team member growth.
As a Machine Learning Engineer, you will contribute with:
Maintains responsibility for translating business requirements into objectives and problems to be solved using data science and machine learning optimization
Architect, design, and build data analysis pipelines working with large and complex data sets to monitor and analyze metrics
Use statistical tools to design experiments and determine causality
Design and create predictive and decision-making algorithms for various business needs
Transforming and understanding data from many systems
Presents technical solutions to business partners using their strong communication skill
Maintains responsibility for ensuring the delivered software product remains operational and that fresh data is ingested continually
RequirementsBachelor's degree or higher in a highly quantitative field (Computer Science, Engineering, Statistics, Mathematics, Physics or related field)Experience in software development, machine learning and/or distributed systems.Experience with leading initiatives from inception to production.Experience with Python/Spark, C/C++ and SQLExperience with visualization frameworks such as plot.ly/D3, Matplotlib, bokeh/seaborn, or similar.Experience working with diverse and disparate datasets.Ability to communicate and present data to technical & non-technical audiences
PreferencesExperience building ML/DL models & supporting infrastructure (training & inference).Experience with spatial/GIS processing (postgis, rasters/GDAL, pyproj, shapely)Experience with docker, ansible, airflowKnowledge of communication & networking protocolsExperience with visualization frameworks such as plot.ly/D3, Matplotlib, bokeh/seaborn, or similar


Additional Requirements and Information
Minimum Education
Bachelors Degree
Years of Experience
0-2 years
Travel
Up to 10%
Citizenship
None
Clearance
None
Worker Classification
Employee
At Viasat, we consider many factors when it comes to compensation, including the scope of the position as well as your background and experience. For Colorado-based jobs only: The minimum for this position is $104,400 annually; however, base pay may vary depending on job-related knowledge, skills, and experience. Additional cash or stock incentives may be provided as part of the compensation package, in addition to a range of medical, financial, and/or other benefits, dependent on the position offered. Learn more about Viasat’s comprehensive benefit offerings that are focused on your holistic health and wellness.
104,400",Telecomunicaciones,,2022-09-14T00:00:00,2022-10-16,OTHER
Machine Learning Engineer,"JPMorgan Chase Bank, N.A.",New York State,New York,-1,-1,,USD,"As part of Asset Management (AM) Research Technology, you will partner with our Global Data Science teams to design, develop, deploy and operate innovative data pipelines and machine learning driven applications.


Key responsibilities include:

building and operating highly sophisticated end-to-end data and Machine Learning pipelines
designing production APIs, data delivery processes
integrating unstructured and timeseries data into production pipelines
collaborating with Devops engineers to plan and deploy data storage and processing systems, especially for text, timeseries or financial data

Requirements:

Software Engineering experience
Experience building and operating pipelines for processing and ML inference for text, timeseries or financial data
Experience architecting, developing, and operating within AWS
Proficiency in Python programming
History of successfully collaborating with internal stakeholders and clarifying requirements
Proven ability to iterate quickly
(preferred) Experience working with Kubernetes, Airflow (or similar schedulers) and Machine Learning frameworks
(preferred) Knowledge of Machine Learning algorithms such as common Deep Learning based Natural Language Processing (NLP) and Unsupervised Clustering
(preferred) Experience working with ElasticSearch
JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.
We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.
The health and safety of our colleagues, candidates, clients and communities has been a top priority in light of the COVID-19 pandemic. JPMorgan Chase was awarded the ""WELL Health-Safety Rating"" for all of our 6,200 locations globally based on our operational policies, maintenance protocols, stakeholder engagement and emergency plans to address a post-COVID-19 environment.
As a part of our commitment to health and safety, we have implemented various COVID-related health and safety requirements for our workforce. Employees are expected to follow the Firm's current COVID-19 or other infectious disease health and safety requirements, including local requirements. Requirements include sharing information including your vaccine card in the firm's vaccine record tool, and may include mask wearing. Requirements may change in the future with the evolving public health landscape. JPMorgan Chase will consider accommodation requests as required by applicable law.
Equal Opportunity Employer/Disability/Veterans",Finanzas,,2022-09-13T00:00:00,2022-10-16,FULL_TIME
"Software Engineer III, Machine Learning, Fitbit",Fitbit,California,San Francisco,-1,-1,,USD,"Note: Google’s hybrid workplace includes remote and in-office roles. By applying to this position you will have an opportunity to share your preferred working location from the following:

In-office locations: San Francisco, CA, USA.
Remote location(s): United States.
Minimum qualifications:

Bachelor’s degree or equivalent practical experience.
2 years of experience with software development in one or more programming languages, or 1 year of experience with an advanced degree.
2 years of experience with data structures or algorithms in either an academic or industry setting.

Preferred qualifications:

Master's degree or PhD in Computer Science or related technical field.
2 years of experience with machine learning algorithms and tools (e.g., TensorFlow), artificial intelligence, deep learning and/or natural language processing.
Experience developing accessible technologies.
About the job
Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.

With your technical expertise you will manage project priorities, deadlines, and deliverables. You will design, develop, test, deploy, maintain, and enhance software solutions.

Fitbit’s wide range of innovative products, including smartwatches, trackers, and a smart scale, help people lead healthier, more active lives by empowering them with data, inspiration, and guidance to reach their health and fitness goals. Coupled with our leading software and Fitbit Premium, our immersive platform experience delivers personalized experiences, insights, and guidance to support our users’ health and wellness. Fitbit’s mission has always been to help make everyone in the world healthier and now, as part of Google we’ll be able to make health even more accessible to everyone.
Additional Information:
(Colorado only*) Minimum full-time salary range between $142,000 - $153,000 + bonus + equity + benefits. *Note: Disclosure as required by sb19-085 (8-5-20) of the minimum salary compensation for this role when being hired into our offices in Colorado.
Responsibilities
Write product or system development code.
Participate in, or lead design reviews with peers and stakeholders to decide amongst available technologies.
Review code developed by other developers and provide feedback to ensure best practices (e.g., style guidelines, checking code in, accuracy, testability, and efficiency).
Contribute to existing documentation or educational content and adapt content based on product/program updates and user feedback.
Triage product or system issues and debug/track/resolve by analyzing the sources of issues and the impact on hardware, network, or service operations and quality.
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.",Manufactura,,2022-09-15T00:00:00,2022-10-16,FULL_TIME
Machine Learning Engineer,Visual Concepts,California,Novato,-1,-1,,USD,"At Visual Concepts, we believe great games are made by diverse and empowered teams with a shared passion for play. As one of the world's top game development studios, we have shipped over 100 multi-sku titles to critical acclaim and commercial success. Our teams are independent and entrepreneurial. Our studios in Agoura Hills, Novato, Orange County, Budapest, Shanghai, Austin, San Jose, Vancouver and Seoul are committed to artistry and technical innovation, offering top candidates the opportunity to learn and grow with some of the smartest and most creative minds in the industry.

What we need:

Want to be a key part of one of the most successful and beloved video game franchises in history? If so, the NBA 2K team at Visual Concepts team would love to talk to you. We're looking for a passionate ML engineer who has specifically focused on computer vision, simulations, and overall creative applications of groundbreaking technology. Your work will directly impact the game.

What You Will Do:
Help design and develop machine learning models to solve classification, pose estimation, character transition, and mesh generation problems
Implement data processing, scraping, and annotation procedures to prepare model training data
Work with our internal game engine to integrate and visualize model inference results
Who Will Be A Great Fit:
Professional experience implementing computer vision techniques and systems to improve important game-related development
CNNs are your jam, specifically in the context of extracting information from images, videos, and animation
Bachelor's degree in Computer Science, Maths, or related field
3+ years of programming experience in Python with specific experience using NumPy and OpenCV
Experience solving supervised learning problems with modern Machine Learning libraries such as TensorFlow and PyTorch
Strong understanding of 3D Maths including quaternions, linear algebra, and 3D matrix transformations
Some experience in C/C++
Love for video games (not just ours!)

To learn more about Visual Concepts and our studio locations, check out our website at www.vcentertainment.com",Tecnologías de la información,,2022-09-13T00:00:00,2022-10-16,OTHER
"Machine Learning Engineer, Applied ML - SPG",Apple,California,Cupertino,-1,-1,,USD,"Summary
Posted: Mar 12, 2022
Role Number:200355879
Apple Special Projects Group is seeking software engineers to develop scalable machine learning approaches for autonomous systems. You will directly contribute to ML approaches using rich data. You will work closely with specialists across high-performance computing, machine learning, and autonomous system development to identify needs and deliver new capabilities. You will share every stage of development from concept to deployment. We are a team of hardworking engineers and researchers with deep experience in robotics, machine learning, and software engineering. We work on exciting new technologies and balance exploration of new problems with result-driven project planning and execution. In our daily work, the team stays effective, productive, and fun by sharing some key values: • Passion for the mission: We’re here to make something extraordinary. We seek whatever work is right and strive for the best possible results. • Humility: The right answer is more significant than being right. We search for solutions as a team and value clear-eyed feedback. • Lean habits: You can’t grow without limits. Time constraints and big goals encourage us to sharpen our focus and learn to make phenomenal decisions.
Key Qualifications
Significant full-time experience building end to end data systems as an ML Engineer, Platform Engineer, or equivalent
Solid software engineering skills in complex, multi-language systems. Fluency in Python.
Experience working with cloud data processing technologies (Spark, Dask, ElasticSearch, Presto, SQL, etc.)
Expertise in ML algorithms and practices for working with deep learning systems
Proficiency with ML modeling frameworks (PyTorch, Tensorflow, etc.)
Ability to serve as a technical lead — building technical requirements, software design, implementation, and clear communication
Strong overall software development approach. You deliver clean, well-tested code.
Description
• Build and integrate end to end lifecycles of large-scale, distributed machine learning systems using the latest open source technologies • Build software that improves your rate of experimentation and helps you make better decisions about what to try next • Train, evaluate, and debug deep learning models for complex tasks • Develop tools and services for improving ML systems beyond modeling choices — data distribution editing, data quality improvements, and representation learning with self-supervision • Improve distributed cloud GPU training approaches for deep learning models • Collaborate with engineers across functions to solve complex data problems at scale • Identify and evaluate new patterns and technologies to improve performance, maintainability and elegance of our machine learning systems • Lead technical projects to completion. • Communicate with peers to build requirements and track progress • Mentor fellow engineers in your areas of expertise • Contribute to a team culture that values effective collaboration, technical perfection, and innovation
Education & Experience
Bachelors, Masters, or PhD Degree in Computer Science/Machine Learning or equivalent professional experience.
Additional Requirements",Tecnologías de la información,,2022-09-13T00:00:00,2022-10-16,FULL_TIME
Machine Learning Engineer,Vanguard,Pennsylvania,Malvern,-1,-1,,USD,"Job Description Summary
Vanguard’s Center for Analytics and Insights is seeking a Machine Learning Data Engineer with a desire to join a fast and versatile team focused on cutting-edge machine learning and deep learning technologies. We provide our clients with immediate business impact through technology solutions that are tailored to their data and business needs. You will work with a dynamic team of researchers, engineers, and data scientists, collaborating on delivery of new machine learning algorithms and their applications. We are looking for individuals who are excited about being exposed to new problems and challenges while working in a flexible environment.
RequirementsCreates sophisticated data solutions to business problems.Translates business specifications into design specifications and code. Ensures that all code is developed in a well-structured and modularized fashion.Continues to discover and implement new data sources and data integration techniques that are beneficial to clientsKeen on learning about various tools and techniques for data wrangling and pipelining. Heavy focus on ML and AI aspects of data engineering.Partners with internal clients to enhance understanding of business functions and informational needs. Maintains a broad understanding of Vanguard’s technologies, tools, and applications, including those that interface with business area and systems.Understands, complies with and enforces team policies and procedures, especially those for quality and productivity standards that enable the team to meet established milestonesHelp drive optimization, testing, and tooling to improve qualityPrototype new approaches and production-ize solutions at scaleCollaborate with a cross functional agile team spanning user research, design, data science, product management, and engineering to build new product features
QualificationsMS or higher preferred in the fields of Computer Science, Data Science, Information Technology etc.Strong SQL and query performance tuning skills. Proficient in any of the scripting languages (Python, R,Scala, Java etc. )Strong problem solving, planning, and communication skillsFamiliarity with Dockers, REST APIs, Web Scraping, AWS or similar cloud services is a mustFamiliar with big data frameworks such as Hadoop, Spark in Java/Python/ScalaKnowledge of parallel processing and distributed computing is a mustHands-on experience in deep learning frameworks such as TensorFlow and Keras is a plus
About Vanguard
We are Vanguard. Together, we’re changing the way the world invests.
For us, investing doesn’t just end in value. It starts with values. Because when you invest with courage, when you invest with clarity, and when you invest with care, you can get so much more in return. We invest with purpose – and that’s how we’ve become a global market leader. Here, we grow by doing the right thing for the people we serve. And so can you.
We want to make success accessible to everyone. This is our opportunity. Let’s make it count.
Special Factor
Vanguard is not offering visa sponsorship for this position.
About Vanguard
We are Vanguard. Together, we’re changing the way the world invests.
For us, investing doesn’t just end in value. It starts with values. Because when you invest with courage, when you invest with clarity, and when you invest with care, you can get so much more in return. We invest with purpose – and that’s how we’ve become a global market leader. Here, we grow by doing the right thing for the people we serve. And so can you.
We want to make success accessible to everyone. This is our opportunity. Let’s make it count.
Inclusion Statement
Vanguard’s continued commitment to diversity and inclusion is firmly rooted in our culture. Every decision we make to best serve our clients, crew (internally employees are referred to as crew), and communities is guided by one simple statement: “Do the right thing.”
We believe that a critical aspect of doing the right thing requires building diverse, inclusive, and highly effective teams of individuals who are as unique as the clients they serve. We empower our crew to contribute their distinct strengths to achieving Vanguard’s core purpose through our values.
When all crew members feel valued and included, our ability to collaborate and innovate is amplified, and we are united in delivering on Vanguard's core purpose.
Our core purpose: To take a stand for all investors, to treat them fairly, and to give them the best chance for investment success.
Future of Work
During the pandemic, we transitioned to a work from home model for the majority of our crew and we continue to interview, hire, and on-board future crew remotely.
As we have developed the path forward, we have taken a thoughtful approach that both maximizes the advantages of working remotely and the many benefits of coming together and collaborating in a shared workspace. We believe that in-person interactions among our crew are important for preserving our unique culture and advantageous for the personal development of our crew.
When our Crew return to the office, many will work in our hybrid model. A smaller proportion of our crew will operate in the Work from Home work model (for example, field sales crew); or in the Work from Office model (for example, portfolio managers).
The working model that your role falls into will be communicated to you in the interview process – please do ask if you are unsure. We encourage you to make the decision regarding your job interview and offer knowing which model your role will fall into. We will test and learn as our ways of working evolve and will continue to evaluate working models along the way.",Finanzas,,2022-09-16T00:00:00,2022-10-16,OTHER
Machine Learning Engineer,Volvo Cars,California,Sunnyvale,-1,-1,,USD,"We are people who want to make a difference.
Everything we do starts with people. It’s what makes us different from all other car companies. If you share our belief in the power of people and our passion for human-centric innovation, you will thrive together with brilliant, like-minded colleagues who are committed to making a true difference?


What We Can Offer
Our human-centric focus is what makes us different from all other car companies, and it’s at the heart of everything we create. Volvo Cars is on an ambitious journey to redefine the customer experience in automotive through digital technology.

Our vision is simple – creating the freedom to move in a personal, sustainable and safe way – and the goals we’ve set up to support it are bold and ambitious. We’re building an organization full of creative, diverse and talented people working to build new, exciting digital products and services supporting those goals.

We have cross-functional product teams in Sunnyvale, Shanghai, Stockholm and Gothenburg who create digital consumer experiences spanning the Volvo Cars portfolio of brands. We’re looking for team members to join our organization who think about technology problems and opportunities in exciting and different ways – creative and enthusiastic thinkers who want to change the world with us here at Volvo.

Job Purpose:
We are looking for Machine Learning Engineers who are passionate about creating the state-of-the-art technology and their applications in ADAS and AD systems.

The main responsibility of the role includes:
Research and develop state-of-the-art perception systems
Research and develop state-of-the-art multi-sensor systems (camera, ultrasonic, lidar, etc.)
Perform system optimization and stability analysis
Work closely with a team of engineers and researchers

What You Can Bring
M.S in Computer Science, Electrical Engineering, Mathematics or a related field
3+ years of hands-on experience in machine learning/deep learning
3+ years of hands-on experience in computer vision or sensor fusion
Proficiency of deep learning frameworks such as Tensorflow, Pytorch, Caffee, etc.
Proficiency with perception libraries such as OpenCV, PCL, etc.
Strong Python and C++ programming skill

Other Preferred Qualifications
Ph.D. with a research focus in machine learning/deep learning, computer vision, or sensor fusion
Hands-on experience on sequential data
Understanding of vehicle motion control
Deep knowledge and extensive experience in perception systems (5+ years)
Knowledge of CUDA/GPU programming
Industry research or production experience


Who are we?
Everything we do starts with people. Our purpose is to provide freedom to move, in a personal, sustainable and safe way. We are committed to simplifying our customers’ lives by offering better technology solutions that improve their impact on the world and bringing the most advanced mobility innovations to protect them, their loved ones and the people around them.

In the spirit of a human-centric environment, we strongly believe in the well-being of our employees as well as their families. There are generous health and wellness programs that begin day-one with the company as well as a wide variety of other benefit programs including a comprehensive 401(k), potential for retention & company bonuses, and an opportunity to be a brand ambassador through our car incentive programs! Furthermore, in an effort to build the workday around our employees, we also offer remote flexibility working options.

Most importantly, Volvo Cars’ continued success is the result of a collaborative, diverse, and inclusive working environment. The people of Volvo Cars are committed to making a difference in our world. Today, we are one of the most well-known and respected car brands, with over 40,000 employees across the globe. We believe in bringing out the best in each other and harnessing the true power of people. At Volvo Cars your career is designed around your talents and aspirations so you can reach your full potential. Join us on a journey of a lifetime as we create safety, autonomous driving and electrification technologies of tomorrow.",Manufactura,,2022-09-07T00:00:00,2022-10-16,OTHER
Machine Learning Researcher,Meta,California,Sunnyvale,-1,-1,,USD,"Meta Reality Labs (RL) Sensors Team is helping build novel sensor products in Augmented and Virtual Reality. Meta AR/VR research in computer vision, localization, sensor fusion, and machine learning is driving the state-of-the-art forward through relentless innovation. Our team explores, develops, and delivers new cutting-edge technologies that serve as the foundation of current and future AR/VR products at Meta. This position will work with cross functional teams’ researchers and engineers to architect low power, small size, on-sensor ML algorithms and HWs. We are looking for candidates with experience in optimization of DNN with power and size trade-offs.

Machine Learning Researcher Responsibilities:

Collaborate with cross functional team engineers and researchers across Meta to develop novel concepts and algorithms that advance the state-of-the-art in AR/VR systems.
Work with the team to architect on-sensor machine learning algorithms and HW.
Optimize DNN for size and power.
Benchmark NNs for accuracy, size, and power.
Work with cross functional teams to architect on-sensor machine learning algorithms and HW.

Minimum Qualifications:

Experience in DNN performance benchmarking.
Interpersonal experience with cross-group and cross-culture collaboration.
Working knowledge in a Linux environment.
Experience in optimization of DNN for low power and small area implementations.
Industry experience in low power, small size machine learning algorithms and the HW architectures.

Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.
Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",Tecnologías de la información,,2022-08-29T00:00:00,2022-10-16,OTHER
