Job_title,Company,State,City,Min_Salary,Max_Salary,unitText,SalaryCurrency,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
CPFR,Comercializadora y Distribuidora de Vinos y Licores,,,360000,420000,MONTH,MXN,"Descripción del empleoImportante empresa comercializadora y distribuidora de vinos, licores y cortes estilo gourmet con gran presencia a nivel nacional, esta en búsqueda de talento.Requisitos para el puesto: con gran capacidad de negociar, negociaciones con proveedores nacionales he internacionales, (se ara prueba)Generar estrategias de colaboración para los principales indicadores logísticos entre Everest y el cliente, que permitan incrementar las ventas, optimizar inventarios y reducir costos para las compañías.Conocimiento en giro retail y cadena de suministrosIncremento de Fillrate y optimizar el inventario, en colaboración con el área de reabasto y Equipos comerciales.Garantizar niveles adecuados de inventario para satisfacer las necesidades del consumidor.Interpretación de datos complejos y hacer recomendaciones de compra para el equipo comercial.Crear el pronóstico de ventas e identificar excepciones oportunamente con el equipo comercial, operaciones y planificación de la demanda.Valida el rendimiento de los resultados del forecast estadístico para garantizar un buen nivel de calidad que se utilizará como base para la previsión de ventas nacional.Generar y analizar los Indicadores de desempeño y acciones que corrijan las oportunidades en Días de Inventario (DDV), Nivel de Abasto (In stock), Variación de Forecast y Fill Rate; asegurar el cumplimiento de dichas acciones a partir de los esquemas.Experiencia: En puestos de Cadenas de Suministro o llevando Retail como PlaneadorPlaneador de la Demanda, Planeador de Inventarios o Analista de Resurtido (2 años).Conocimiento de Nivelación de Inventarios y comportamiento de ventas. Cadena de autoservicio, mayorista, on trade.Requisitos: Lic. En Administración, Marketing, Actuaria, Finanzas (titulado)Inglés intermedioOffice, SAP, SPSS, ADOBE,Manejo de Excel (avanzado).Preferentemente con certificación APICSEL SUELDO NO ES NEGOCIABLE, PRESTACIONES SUPERIORES A LAS DE LA LEY Tipo de puesto: Tiempo completoSalario: $30,000.00 - $35,000.00 al mesHorario:Lunes a viernesTurno de 10 horasPrestaciones:Caja de ahorroTeléfono de la empresaVacaciones adicionales o permisos con goce de sueldoVales de despensa",,,2022-08-17T00:00:00,2022-10-16,FULL_TIME
Analista de mercado´,Grupo ADO,,,207600,207600,MONTH,MXN,"Somos personas que trabajan con y para las personas.“Desempeñarnos con entusiasmo, ser el mejor equipo y hacer realidad nuestros sueños, es nuestro motor"". Buscamos la excelencia en nuestros resultados y establecemos relaciones perdurables basadas en el respeto. Somos un gran lugar para trabajar y desde el 2015 un Great Place To Work®.Solicitamos ANALISTA DE PRECIOS Y MERCADORequisitos: Recién egresado de Actuaría, Ingeniería o AdministraciónManejo intermedio/avanzado de ExcelAmplio conocimiento de estadística y análisis de informaciónFunciones: Recolectar y validar información de precios y promocionesAnalizar los indicadoresAnalizar el comportamiento del mercadoOrganizar y recolectar los reportes de seguimientoParticipar activamente en la estrategia de precios y/o promocionesOfrecemos: Salario: $17,300Prestaciones de ley y superiores a la leyHorario de trabajo:  lunes a viernes de 8:00 a.m. a 6:00 p.m.Lugar de trabajo:  Corporativo de Mobility ADO (TAPO/Estación San Lázaro)Tipo de puesto: Tiempo completoSalario: A partir de $17,300.00 al mesHorario:Lunes a viernesPrestaciones:Vales de despensa",,,2022-09-13T00:00:00,2022-10-16,FULL_TIME
ANALISTA RIESGOS JR AMEDIRH evaluatest,Amedirh Talento,,,284700,284700,MONTH,MXN,"ACTIVIDADES
Medición del riesgo de las operaciones financieras
Desarrollo del plan de riesgos interno
Evaluación de la viabilidad de proyectos
Identificación de oportunidades de inversión y de negocio
Gestión estadística de la entidad
Riesgos a evaluar en entidades financieras
Formación recomendada para ser analista de riesgos",,,2022-09-09T00:00:00,2022-10-16,OTHER
Becario Analista SEM,Sube Agencia Digital,,,-1,-1,,MXN,"SUBE Agencia Digital es una empresa mexicana, contamos con presencia multinacional en países como Estados Unidos y Colombia.¿Por qué unirte a SUBE?Somos una agencia innovadora, que busca romper con los esquemas de comunicación e impulsar la cultura digital.Descripción: Si estás a punto de concluir tus estudios, estás en el último semestre y buscas realizar tus prácticas profesionales o adquirir conocimientos prácticos, experiencia y crecimiento profesional ¡POSTULATE!¡CON OPORTUNIDAD DE CRECIMIENTO Y PLANTA!Requerimos: - Que hayas concluido tus estudios en las siguientes carreras: Marketing, Publicidad, informática o a fin.- Capacidad de análisis y estadística para desarrollarte como Especialistas en el Manejo de Anuncios en Google Ads, Google Analytics, Desarrollo de Contenidos SEM.Beneficios: - Home Office- Aprenderás a usar herramientas de marketing con Inteligencia Artificial- Desarrollar planes estratégicos, estadísticos y proyecciones- Gestionar herramientas de análisis de datos- Aprenderás a Optimizar campañas publicitarias, Análisis competitivo en buscadores, Dominar herramientas de analítica web, Ajustar el presupuesto de campañas, Ser un buen redactor creativo, Analizar los comportamientos del consumidor- Aprendizaje continuo- Oportunidad de liberar prácticas profesionales o servicio social- Oportunidad de crecimiento y planta- Desarrollo profesional y plan de carrera- Desarrollo en manejo de cuentas y clientes- Capacitación y retroalimentación constanteTipo de puesto: Tiempo completo, Por obra o tiempo determinadoDuración del contrato: 6 mesesSalario: $2,000.00 al mesHorario:Lunes a viernesTurno de 8 horasPrestaciones:Descuentos y precios preferencialesOpción a contrato indefinidoVacaciones adicionales o permisos con goce de sueldoConsideraciones ante el COVID-19:Entrevistas vía remota",,,2022-09-15T00:00:00,2022-10-16,FULL_TIME
Analista de Datos,GRUPO CSI,Baja California,Tijuana,192000,240000,MONTH,MXN,"Grupo CSI solicita coordinador de inteligencia de mercados.Ofrecemos: Sueldo de $4,000 A $5,000 semanales libres.Requisitos: Dominio en lenguaje de programación tipo Python, Ruby, R etc para la codificación de base de datos y analíticos.Experto en organizar información cuantitativa.Responsabilidades: Diseñar, desarrollar informes analíticos y comerciales que pronostiquen la demanda.Analista de ventas y proyección a mediano plazo por categorías.Escriba códigos SQL para analizar datos y determinar herramientas que nos permitan leer estadísticos para la toma de decisiones en compras.Identificar oportunidades nuevas mercado.Documentación de procesos en esta área.Para postularte: Enviar CV a hugo.lopez @ gpocsi.mx o bien, enviar mensaje al whatsapp 664 363 6135Tipo de puesto: Tiempo completo, Por tiempo indeterminadoSalario: $16,000.00 - $20,000.00 al mesHorario:Turno matutino",,,2022-09-15T00:00:00,2022-10-16,FULL_TIME
Analista E-commerce,Hanesbrands,México,Tlalnepantla,204000,210000,MONTH,MXN,"Analista E-Commerce Requisitos: Escolaridad: Lic en Administración de Empresas, Marketing o similar.Experiencia: Mínima de 1 año de experiencia en puesto similar gestionando un portal de e-Commerce.Inglés: IntermedioExcel: AvanzadoExperiencia en tiendas en líneaConocimientos de sitios de comercio electrónicoConocimientos de campañas para generar ventas en líneaActividades a realizar: Análisis de los portales de los clientes.Seguimiento de las logística desde que el producto sube a las paginas, se genera la venta y entrega a cliente.Seguimientos a pedidos de clientes.Seguimiento a quejas y sugerencias de los clientes.Seguimiento con el equipo de mercadotecnia a los productos que serán ofrecidos por tipo de cliente.Mantener actualizada las plataformas de los clientes.Asegurar la adecuada comunicación y descripción de los productos en los portales de los clientes.Elaboración de estadísticas de ventasHabilidades: Capacidad de análisis.ProactivoTrabajo en equipo.Comunicación efectiva.Tipo de puesto: Tiempo completoSalario: $17,000.00 - $17,500.00 al mesHorario:Turno de 8 horas",Manufactura,,2022-09-08T00:00:00,2022-10-16,FULL_TIME
Analista de Investigación y Desarrollo de Mercado,Ácidos y Solventes S.A de C.V,México,Tlalnepantla,144000,144000,MONTH,MXN,"FORMACIÓN: Lic. Mercadotecnia, Ingeniería Química, Ingeniería Industrial (Terminada y con título)IDIOMA:  Inglés IntermedioSUELDO: $12,000 + Prestaciones superiores a la LeyCONOCIMIENTOS Y HABILIDADES REQUERIDAS: Metodología de la Investigación y Desarrollo de MercadoCapacidad de Análisis e Interpretación del Mercado y la CompetenciaConocimiento de Prospección y fuentes de Investigación en el Área QuímicaGestión de Bases de Datos ComercialesExperiencia en ventasServicio Post ventaManejo intermedio/avanzado de la Tecnología Informática: °Paquetería Office (Word, Excel, Powerpoint), correo electrónico°Gráficas, Estadísticas, Reportes, Macros, Tablas dinámicas, presentaciones.°Experiencia en manejo de ERPEstabilidad en sus Trabajos anterioresBuena Expresión Oral y EscritaComunicación AsertivaACTIVIDADES: Desarrollo de Estudios de Mercado, Búsqueda, Contacto, y Desarrollo de Nuevos Clientes.Análisis y Apertura de Nuevos Nichos de Mercado para Desarrollar Venta.Uso de Excel, Word y PowerPoint para elaboración de estadísticas, tablas, macros, tablas dinámicas, reportes e informes profesionales de ventas y logística.Servicio Post venta (Mejorar la Experiencia del Cliente)Creación y Gestión de una Base de Datos de las Empresas que se estén contactando y desarrollando.Visitas en campo para llevar a cabo Procesos de Entrega de Información técnica, Muestras y demás. (Disponibilidad de horario)REQUERIMIENTOS: · Educación mínima: Ingeniería /Licenciatura (Titulado)· Idioma: Inglés Intermedio· Años de experiencia: 2· Horario de Trabajo: Lunes a Sábado.· Disponibilidad de viajar: Sí· Disponibilidad de cambio de Residencia: No· Licencia de conducir vigente· Indispensable vivir cerca de la zona de trabajo (Tlalnepantla de Baz, Edomex)Tipo de puesto: Tiempo completoSalario: $12,000.00 al mesHorario:Turno de 10 horasTurno de 8 horasEducación:Licenciatura terminada (Obligatorio)Experiencia:Investigación y desarrollo: 2 años (Obligatorio)",,,2022-09-02T00:00:00,2022-10-16,FULL_TIME
Analista de Datos,PSM Asesores,Nuevo León,San Pedro Garza García,180000,180000,MONTH,MXN,"Consultora líder en Category Management en México, PSM Asesores, está en búsqueda de profesionales con experiencia o deseos de desarrollarse como Analista de Datos para giro retail.Contamos con 26 años de experiencia creando estrategias para el posicionamiento de productos en el mercado mexicano, brindando nuestros servicios a las empresas más reconocidas, creando alianzas con las cadenas comerciales más importantes.¿Quieres formar parte de esta historia? ¡Intégrate a nuestro gran equipo de trabajo!REQUISITOS: Experiencia: 1 o 2 años en análisis de información, manejo de bases de datos, análisis numérico, preferible experiencia dentro del área comercial.Estudios concluidos en Administración, Ingeniería Industrial, Actuaría, o afín.Zona de trabajo: San Pedro Garza GarcíaCONOCIMIENTOS: Manejo avanzado de Excel (Se aplicará prueba de conocimientos)Manejo de Access (deseable)Manejo de Bases de Datos (indispensable)ScorecardsInglés intermedioHABILIDADES: Manejo fluido de información cuantitativaCapacidad de análisis de información estadísticaOrganización y pulcritud en ejecución de actividadesOFRECEMOS: Horario: Lunes a jueves de 9:00 a 18:00 y Viernes: 9:00 a 13:00Modalidad de Trabajo: HíbridaSueldo: $15,000 netos mensuales + Prestaciones de Ley + 10 días de vacaciones al cumplir el primer año.Si nuestra vacante es de tu interés y cubres al 100% el perfil, envía tu CV al correo de CONTACTO especificando en Asunto: ""Analista de Datos” o bien, postúlate por este medio.Tipo de puesto: Tiempo completo, Por tiempo indeterminadoSalario: $15,000.00 al mesHorario:Lunes a viernesTurno de 8 horasPrestaciones:Horarios flexiblesTrabajar desde casaVacaciones adicionales o permisos con goce de sueldoPregunta(s) de postulación:¿Tu expectativa económica se ajusta a nuestra oferta?Educación:Licenciatura terminada (Obligatorio)Experiencia:bases de datos: 1 año (Obligatorio)Excel intermedio: 1 año (Deseable)",,,2022-08-17T00:00:00,2022-10-16,FULL_TIME
Analista Deportivo - Hockey,InStat,México,Ciudad de México,-1,-1,,MXN,"InStat se ha establecido como líder del mercado en el análisis del rendimiento deportivo. Más de 120 000 jugadores y más de 30 000 equipos de todo el mundo utilizan nuestros datos. Nuestros clientes son FC Barcelona, ​​​​Manchester City, Bayern Munich, Philadelphia 76ers, Brooklyn Nets, 25 equipos de la NHL: Tampa Bay Lightning, Pittsburgh Penguins, Florida Panthers, así como federaciones, empresas de medios y televisión, colegios, academias, universidades y agentes. de todos los rincones del mundo.Analizamos datos de más de 115 000 partidos de baloncesto, hockey sobre hielo y fútbol al año, brindando un paquetes con soluciones de video, estadísticas y seguimiento a nuestros clientes, brindándoles todas las herramientas para maximizar su rendimiento.Nuestra exclusiva plataforma de Internet ""Scout"" permite a los clientes ver videoclips de los episodios necesarios de cualquier partido y de cualquier jugador y conocer una amplia gama de estadísticas preparadas por nuestros analistas.Actualmente estamos contratando para los siguientes puestos:- Analista de partidos de hockey sobre hielo¿Por qué el hockey en Sudamérica?Bien sabemos que el hockey es un deporte que no se desarrolla en los países de América del Sur. Muchas personas no conocen las reglas básicas, siendo principalmente aficionados al fútbol. Queremos disipar tus dudas contándote algunos datos:No necesita saber las reglas del hockey ahora o tener experiencia previa en esta área, ¡le enseñaremos todo! Tus ganas de aprender y ser responsable son suficientes.Analizar partidos de hockey es mucho más fácil y rápido que analizar partidos de fútbol.El salario de los analistas de hockey sobre hielo es más alto que el de los partidos de fútbol. Esto significa que puedes ganar mucho más analizando hockey que analizando fútbol.EducaciónTodo el entrenamiento de fútbol y hockey se lleva a cabo en español.Después de la capacitación, cada nuevo analista tendrá un mentor: es decir, un analista experimentado que responderá cualquier pregunta, te ayudará a adaptarte rápidamente, acostumbrarte a trabajar y comenzar a ganar sin salir de casa.¿Qué necesitas para trabajar en InStat como analista deportivo?Computadora con mouse y teclado (requisitos mínimos del sistema Intel Core i3 o equivalente, tarjeta de video de 512 MB, mín. de RAM de 2 GB, Windows 8, tamaño de monitor de al menos 19”)Acceso a Internet con una velocidad de descarga de al menos 10 mbit/s (puede consultar su velocidad aquí: https://www.speedtest.net/);Poseer cualidades personales tales como responsabilidad, atención, paciencia;Pasar un test simple en línea, que principalmente repite las instrucciones del video.¿Cuánto puedes ganar en InStat?Todo depende de ti, tus deseos y capacidades.Nuestros analistas actuales en Sudamérica ganan entre $100 y $1,000 por mes.Por supuesto, para analizar los partidos de forma rápida y precisa, primero debe acostumbrarse, tenerlo en sus manos, aprender la técnica y luego practicar constantemente y cada próximo partido se analiza mucho más rápido.¿No crees? ¡Organizaremos para una reunión con nuestros analistas experimentados! Te dirán cómo lograron el éxito y compartirán secretosTipo de puesto: Tiempo completoSalario: $2,000.00 - $20,000.00 al mesHorario:DiurnoRotativo",,,2022-08-26T00:00:00,2022-10-16,FULL_TIME
Analista de datos (operaciones),ARIOAC,Jalisco,Zapopan,216000,276000,MONTH,MXN,"Ofrecemos: Horario: Lunes a Viernes de 9:00 a 19:00 hrs (2hrs comida)Prestaciones de leyVales de despensaMembresía que incluye (seguro de vida asistencias múltiples de salud, hogar vehicular y diversos establecimientos.Sueldo: $18000 - $23000 MensualBuscamos: Licenciatura en Actuaría, Ingeniería o afínAnálisis de datos e informaciónGusto por el análisis de datosAnálisis de datos, Python y Rstudio (deseable)Funciones del Analista de datos: Creación de procesos adecuados para una correcta identificación, operación y medición de los servicios que ofrece la empresa.Análisis estadístico de los clientes, productos y usuarios.Desarrollo e implementación de modelos predictivos para cada unidad de negocio de la empresa para cada nivel operativo, proveedores e ingresos.Tipo de puesto: Tiempo completo",,,2022-09-08T00:00:00,2022-10-16,FULL_TIME
