Job_title,Company,State,City,Min_Salary,Max_Salary,unitText,SalaryCurrency,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
Analista de Base de Datos,PSM Asesores,,,144000,180000,MONTH,MXN,"PSM Asesores empresa 100% Mexicana líder en brindar asesoría de Category management busca Ejecutivo de Cuenta en CatmanHorario: Lunes a Jueves 09:00 a 18:00 hrs Viernes 09:00 a 15:00 hrsSueldo: hasta $15,000 netos mensuales – según experienciaEsquema de trabajo: HíbridoRequisitos: Licenciatura concluida Administración de empresas, mercadotecnia o afín6 meses de experiencia en planogramaciónConocimiento de space planning y/o spacemanManejo de excel intermedio avanzadoActividades: Análisis estadístico de informaciónAtención a clientesBases de datos, tablas dinámicas en Excel.Elaboración de planogramasOfrecemos: Sueldo base de hasta: $15,000 netos mensuales – según experienciaEsquema de trabajo: HíbridoPrestaciones de leyDesarrollo profesionalConstante capacitaciónTipo de puesto: Tiempo completoTipo de puesto: Tiempo completoSalario: $12,000.00 - $15,000.00 al mesHorario:Turno de 8 horas",,,2022-08-24T00:00:00,2022-10-15,FULL_TIME
Analista de Datos,Segmenta,México,Naucalpan,168000,240000,MONTH,MXN,"Escolaridad:  Licenciatura pasante o titulado en Actuaría, Matemáticas, Mercadotecnia, Administración, Economía.Actividades:  Servicio al cliente, generación de insight, capacitación y soporte al cliente, graficación de presentaciones para clientes, análisis de conciliación, control estricto de la calidad de los resultados del proyecto, control de actividades y productividad.Inglés:  Intermedio / AvanzadoConocimientos:  Bases de datos, Word, Excel, PowerPoint (nivel intermedio / avanzado)Experiencia:  1 años en agencia de Investigación de MercadosOfrecemos: - Prestaciones de ley desde el primer día- Prestaciones superiores a las de la ley INMEDIATAS- Plan de carrera y crecimiento de acuerdo a desempeño.- Aprendizaje y capacitación constanteSi te interesa formar parte de nuestro equipo, postúlate por este medio y/o envía tu CV Tipo de puesto: Tiempo completo, Por tiempo indeterminado, AprendizSalario: $14,000.00 - $20,000.00 al mesHorario:Lunes a viernesTurno de 8 horasPrestaciones:Aumentos salarialesCaja de ahorroOpción a contrato indefinidoPrograma de referidosTrabajar desde casaVales de despensaConsideraciones ante el COVID-19:*Uso obligatorio de cubrebocas en las instalaciones*Equipo individual para realizar la operación*Limpieza y desinfección constante",,,2022-08-24T00:00:00,2022-10-15,FULL_TIME
Analista de Datos,ti-s,,,144000,168000,MONTH,MXN,"En ti-s estamos buscando analistas de operaciones con un gran dominio de excel y macros programadas con VBA, que monitoreen la correcta ejecución de diferentes procesos a través de plataformas tecnológicas de la empresa, así mismo, la definición, análisis y correcto funcionamiento de layouts de datos y que puedan analizar y manipular volúmenes importantes de datos, tengan facilidad de trabajo con información electrónica (datos, tablas, bases, documentación, etc.) y que cuenten con una gran actitud de servicio al cliente, con un alto nivel analítico, facilidad numérica y pensamiento lógico, ordenado y con excelentes habilidades de comunicación con clientes finales.RequisitosLicenciatura en administración, sistemas, actuaría , ingeniería o afín (titulo no necesario) ó Trunco.Hard SkillsExperiencia mínima de 1 año en manejo y análisis de Base de Datos, Macros y manipulación de datos con Excel (tablas dinámicas, power pivot, consultas y reportes).Fórmulas y formatos a nivel medio, administración y análisis de bases de datos, cruces de información, generación y actualización de macros.Generación de formularios y consultas.Elaboración de presentaciones ejecutivas, responder correos, generación de documentación.Análisis de información.Realizar consultas.Experiencia mínima de 1 año en manejo de macros (no wizard) – visual basic SCRIPTConocimiento básico de lenguaje SQL para AccessExperiencia en paquetería OFFICE 2010 – ingles (Power Point, Visio, Word, Excel, Acces, Visio)Soft SkillsActitud de servicio, 100% enfocado al cliente.Experiencia en trato con clientesBuena comunicación, dicción y habilidades interpersonales que le permitan comunicarse claramente con los clientesBuena ortografíaCapacidad para solucionar problemasPaciencia, empatía, amabilidadTrabajo en equipoTrabajo bajo presiónCumplimiento de metasFuncionesAnálisis y validación de información.Ejecutar de forma correcta los movimientos (altas, bajas y cambios) solicitados por usuarios internos, en los sistemas de la empresaSeguimiento diario de la correcta emisión de datos.Cumplimiento de actividades de acuerdo a cronogramas de trabajoQue ofrecemosEstabilidad económicaContratación 100% nóminaCapacitación constanteApoyo en obtención de certificacionesExcelente ambiente laboralTipo de puesto: Tiempo completo, TemporalSalario: $10,000.00 - $14,000.00 al mes brutosTipo de puesto: Tiempo completo, Por tiempo indeterminadoSalario: $12,000.00 - $14,000.00 al mesHorario:Turno de 8 horas",,,2022-09-05T00:00:00,2022-10-15,FULL_TIME
Analista de Procesamiento de Datos Junior,Atlantia Search,,,120000,120000,MONTH,MXN,"Esta vacante viene de la bolsa de empleo Talenteca.com
Buscamos un/a apasionado/a por el análisis de información e indicadores que contribuya a proyectos de investigación de mercados.
Responsabilidades principales:
Tratar información y generar análisis para el cálculo de indicadores de negocio.
Integrar reportes ejecutivos y reportes completos de resultados de proyectos de investigación de mercados asignados.
Realizar presentaciones internas de resultados y dar soporte en presentaciones con clientes.
Manejar comunicación directa con clientes y atender solicitudes especiales de análisis con ellos.
El perfil que buscamos:
Gran compromiso, trabajo de calidad y alto rendimiento poniendo siempre en el centro al cliente.
Te encanta trabajar con datos numéricos, herramientas de análisis, ir más allá de la data para generar insights que puedan ser clave y fácilmente accionables para el cliente. Eres conocido por tu orientación a detalle, calidad y organización personal.
Expectativas:
Esta posición tiene un gran impacto en proyectos clave de la compañía por lo que la calidad de tu trabajo y comunicación será impecable.
Buscamos un perfil numérico/cuantitativo por lo que el uso de excel avanzado es indispensable.
No necesitas experiencia específica en investigación de mercados pero sí tener nociones e interés en los negocios, marketing y tecnología.
Tener la capacidad de generar análisis para conclusiones y recomendaciones de la data que trabajas.
Requisitos del empleo:
Excel -Avanzado. Comprobable durante el proceso de selección.
Powerpoint - Intermedio.
Experiencia mínima de 2-3 años en el tratamiento de bases de datos en Excel.
Habilidades: proactividad, alta capacidad de análisis, capacidad de trabajo bajo presión, excelente comunicación efectiva, alta orientación a resultados y alta orientación a detalle.
Inglés – 60%
Carreras prioritarias: Economía, Estadística, Matemáticas, Ingeniería Industrial, Actuaría, Negocios con alta experiencia en tratamiento de datos.
Posición de trabajo remota.
Lo que puedes esperar:
Prestaciones de Ley - Contratación directa.
Vales de despensa

Trabajo remoto.
Trabajo en equipo dinámico, cordial, multicultural.
Esta vacante viene de la bolsa de empleo Talenteca.com: https://www.talenteca.com/mexico/empleo/benito-juarez/analista-de-procesamiento-de-datos-jr-/611ff2992600004500546b41t5?source=indeed",Audiovisual y medios de comunicación,,2022-09-10T00:00:00,2022-10-15,FULL_TIME
ANALISTA DE DATOS INMOBILIARIOS QUERETARO (HOME OFFICE),ND,Querétaro,Querétaro,48000,120000,MONTH,MXN,"OBJETIVO: Llevar a cabo actividades de captura y análisis de datos del mercado inmobiliario en hojas de cálculo (Excel).Indispensable vivir en Querétaro.GENERALESTrabajo vía remotaLibertad de horarioAsignaciones de bloques de trabajo, por proyecto y períodoEnfoque en entrega de resultados, bases de datosMANEJO DE HERRAMIENTASMS OfficeTableau, SQL, Python (deseable)Almacenamiento y transferencia de archivosHABILIDADES ESPECÍFICASFluidez en hojas de cálculo y bases de datosConocimiento de bases de datosBuena administraciónGENERALES: ANÁLISIS DE MERCADOSAdministración, vaciado y análisis de datosTipo de puesto: Tiempo completo, Medio tiempoHoras de medio tiempo: 25 por semanaSalario: $4,000.00 - $10,000.00 al mesHorario:Horario flexiblePrestaciones:Horarios flexiblesTrabajar desde casa",,,2022-09-08T00:00:00,2022-10-15,FULL_TIME
Analista Legal,Flat.mx,,,216000,252000,MONTH,MXN,"En Flat.mx estamos transformando la industria de bienes raíces con confianza, liquidez y velocidad a través de datos y tecnología. Creemos que cualquier persona debería de poder vivir en el hogar que quiere cuando lo necesita. Somos una super app donde hoy cualquier persona puede comprar su nuevo hogar, conseguir el mejor financiamiento disponible para ello, vender, renovar, valuar o intercambiar su propiedad. Nos motivamos por el desafío de cambiar una gran industria que no ha incorporado innovación y tecnología en los últimos años.¿Te identificaste con nuestra misión?, si respondiste “sí”, ya estás un paso más cerca de ser parte de nuestro reto.Lo que buscamosComo Analista Legal en Flat, serás responsable de lograr los cierres en las adquisiciones, gestionando y acompañando al cliente en todos los pasos del proceso legalTu día a díaApoyo en la elaboración de contratos de compraventa, contratos de promesa, fideicomiso, poderes.Gestionar el seguimiento de documentación con Notaría.Asesorar, resolver dudas y llevar los proyectos desde el área legal sobre el otorgamiento de créditos hipotecarios.Mantener el contacto con nuestros clientes, explicando y asesorando cada paso, gestionando la recolección de documentos necesarios para la compra venta y resolución de cualquier situación que pueda presentarse.Acompañamiento a nuestros clientes al momento de la firma de compraventa ante notaría.Este puesto es fit perfecto para ti si: Has trabajado por +1 de año en algún Despacho Corporativo con contacto en notarías (deseable experiencia en Notaria)Egresado de la carrera de DerechoHas tenido experiencia laboral en banco o alguna FintechNice to havePrevia experiencia laboral en Startup y/o sector InmobiliarioPrevia experiencia laboral en Notaría o en Despacho corporativoNuestros perks: Stock options: serás dueño de un pedacito de FlatSeguro de Gastos Médicos Mayores15 días de vacaciones desde el año 0Laptop y celularTipo de puesto: Tiempo completo, IndefinidoSalario: $18,000.00 - $21,000.00 al mesHorario:Turno de 8 horasPrestaciones:Días de maternidad superiores a los de la leyHorarios flexiblesPrograma de referidosSeguro de gastos médicos mayoresVacaciones adicionales o permisos con goce de sueldoPregunta(s) de postulación:¿Cuál es tu pretensión económica?",,,2022-09-13T00:00:00,2022-10-15,FULL_TIME
Analista Jr. Inteligencia de Datos,Farmacias de Similares,,,-1,-1,,MXN,"Farmacias Similares somos la empresa líder en Venta y Distribución de Medicamentos Genéricos y Productos de Salud en México y América Latina, te invita a formar parte de su equipo de como:

ANALISTA JR. INTELIGENCIA DE DATOS

¿Qué requisitos debo cumplir?

Escolaridad Lic. en Actuaría, Ciencias de la Computación, Matemáticas Aplicadas o afín (pasante o titulado).
Experiencia de 6 meses en análisis de datos para sector farmacéutico.
Habilidad para el manejo, extracción, tratamiento e interpretación de datos.
Excel nivel intermedio.
SQL nivel básico (para consultas).
Deseable manejo de IQVIA, Knobloch e IMS (no indispensable, pero sería un plus).
¿Cuál es el objetivo principal del puesto?

Analizar estadísticamente la información de ventas, generar hallazgos o patrones mediante técnicas estadísticas de regresión y algoritmos, así como colaborar en la generación de modelos, inferencias y predicciones a partir de las bases de datos de datos provistos por la industria.

¿Qué ofrece la empresa?

Horario de lunes a viernes, de 8 am a 5 pm
Lugar de trabajo: Metro Nativitas (esquema hibrido por pandemia).
Prestaciones de ley y superiores
Contratación directa por la empresa, estabilidad laboral y oportunidad de crecimiento.
Interesados favor de compartir su CV actualizado por este medio y a la brevedad te contactaremos.",Ventas al mayoreo y al menudeo,,2022-09-03T00:00:00,2022-10-15,FULL_TIME
Analista de Servicios Escolares / Hibrido,Universidad Tecnológica Latinoamericana en Línea (UTEL),México,Naucalpan,126000,126000,MONTH,MXN,"Con más de 80,000 estudiantes en 13 países, UTEL está redefiniendo la educación superior, ofreciendo experiencias de aprendizaje que preparan al talento del futuro.¡Te invitamos a formar parte de nuestro gran equipo de trabajo, como Analista de servicios escolares!¿Qué buscamos?Un analista con experiencia en:Base de datosArchivo y certificaciónActividades de control escolar25 años en adelante¿Qué te ofrecemos?Turno Completo e HibridoSueldo base + Pago VariableSeguro de vidaPrestaciones de Ley y superioresServicio médico, psicológico y nutricionalBeca del 100% para estudiar cualquiera de nuestros programas de Lic. o MaestríaAptitudes y experiencias deseadas1 año de experiencia en un puesto similarLicenciatura Administrativa, o carrera afínHabilidad de soluciones y retosCumplimiento de metasCapacidad de análisisExcel avanzado (indispensable)Ser Proactiva e independiente.Tolerante a la frustración.Si te interesa, postúlate por este medio, será un gusto conocerte.Tipo de puesto: Tiempo completo, Por tiempo indeterminadoSalario: Hasta $10,500.00 al mesHorario:Turno de 10 horasPrestaciones:Descuentos y precios preferencialesSeguro de vidaTipos de compensaciones:Bono de productividad",,,2022-09-13T00:00:00,2022-10-15,FULL_TIME
Analista Administrativo,ESTRELLA DE ORO,,,84000,96000,MONTH,MXN,"Empresa mexicana de auto-transporte con presencia nacional e internacional busca talento como Analista Administrativo:Escolaridad: Carrera truncaExperiencia mínima de 2 años en puesto similarNivel medio de excel Actividades:- Análisis de bases de datos-Captura de información- Manejo de sistema GPS- Integración de reportesDisponibilidad para viajar.Competencias:- Análisis- Trabajo en equipo- Proactividad- Adaptación al cambioHorario: Lunes a viernes de 9:00 a 6:00 pmZona de trabajo CoyoacánTipo de puesto: Tiempo completo, Por tiempo indeterminadoSalario: $7,000.00 - $8,000.00 al mesHorario:Lunes a viernesTurno de 8 horasPrestaciones:Servicio de comedor con descuentoFecha de inicio prevista: 01/09/2022",,,2022-08-18T00:00:00,2022-10-15,FULL_TIME
Analista de Datos,Kangu Latam,,,-1,-1,,MXN,"La diversidad de ideas y experiencias es lo que mueve a Kangu. Trabajamos todas nuestras vacantes para promover una cultura inclusiva, que se traduzca en el respeto a la diversidad de género, etnia, discapacidad, orientación sexual (LGBTQ+), creencias y religiones.
¡Ven a trabajar con nosotros! Ven a la #KanguRevolution


Responsabilidades e atribuições

Desarrollo de herramientas para la optimización de tareas;
Desarrollo de cuadros de mando y gestión de datos en PowerBI / Excel / Kangu Portal;
Cierre y Reporte de Indicadores / SLAs;
Análisis y estudios sobre los datos;
Análisis de pérdida;
Montaje de mapas de caza;
Presentaciones e información para reuniones diarias, semanales y mensuales;
Análisis de altas y bajas;

Requisitos e qualificações

Excel avanzado
Power BI intermedio
Conocimientos de programación
Conocimiento y experiencia en Análisis de Datos
¡Bienvenido a Kangu! Hemos venido a revolucionar la entrega de paquetes al introducir una logística rentable, práctica y sostenible, poniendo a las personas en el centro, no a la carga. Utilizamos la tecnología para simplificar y abaratar los envíos, conectando comercios electrónicos de todos los tamaños a redes de transportistas y puntos de correo, los puntos Kangu.
Somos una empresa dinámica, presente en todo Brasil y Latinoamérica, en plena expansión. Contamos con más de 60 mil clientes activos, más de 5,000 puntos Kangu, una amplia red de transportistas asociados y más de 100 millones de envíos realizados en casi 03 años de operación.
Creemos en el crecimiento personal y el aprendizaje constante, con mucha responsabilidad y enfoque en los resultados. ¡Estamos en constante evolución, siempre con esa pasión con P por paquete! ¡Ven a # RevoluçãoKangu y sueña en grande con nosotros!
¿Quieres formar parte del equipo? ¡Inscribirse!
﻿Conoce un poco más de nosotros
https://www.kangu.com.br/
https://www.linkedin.com/company/kangu-technology/
https://www.instagram.com/kangu.br/?hl=pt-br
https://www.youtube.com/channel/UC1ozSROADNmT6cb0jqvw5xA",,,2022-08-26T00:00:00,2022-10-15,OTHER
