Job_title,Company,State,City,Min_Salary,Max_Salary,unitText,SalaryCurrency,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
Big Data Engineer,Grid Dynamics,Jalisco,Guadalajara,-1,-1,,MXN,"We are looking for an enthusiastic and technology-proficient Big Data Engineer, who is eager to participate in design and implementation of a top-notch Big Data solution to be deployed at massive scale. Our customer is one of the world's largest technology companies based in Silicon Valley with operations all over the world. On this project we are working on the bleeding-edge of Big Data technology to develop high performance data analytics platform, which handles petabytes datasets.
Responsibilities:
Development of Platform for antispam/antiscam analysis in client services.

Requirements:
Strong communication skills
Python - code refactoring and project structuring
Scala - read and create ETL pipelines
Spark - has experience to work with optimisation and resource allocation
Would be a plus:
Leadership, solution design experience
What we offer:
Opportunity to work on bleeding-edge projects
Work with a highly motivated and dedicated team
Competitive salary
Flexible schedule
Benefits package - medical insurance
Corporate social events
Professional development opportunities
Well-equipped office
NB:
Placement and Staffing Agencies need not apply. We do not work with C2C at this time.
At this moment, we are not able to process H1B transfers. Applicants with CPT and OPT visas are welcome to apply.
About Us:
Grid Dynamics (Nasdaq:GDYN) is a digital-native technology services provider that accelerates growth and bolsters competitive advantage for Fortune 1000 companies. Grid Dynamics provides digital transformation consulting and implementation services in omnichannel customer experience, big data analytics, search, artificial intelligence, cloud migration, and application modernization. Grid Dynamics achieves high speed-to-market, quality, and efficiency by using technology accelerators, an agile delivery culture, and its pool of global engineering talent. Founded in 2006, Grid Dynamics is headquartered in Silicon Valley with offices across the US, UK, Netherlands, Mexico, and Central and Eastern Europe.
To learn more about Grid Dynamics, please visit www.griddynamics.com. Follow us on Facebook, Twitter, and LinkedIn.",Tecnologías de la información,,2022-09-05T00:00:00,2022-10-15,FULL_TIME
Lead Database Engineer/DBA-Oracle,FICO,Jalisco,Guadalajara,-1,-1,,MXN,"FICO (NYSE: FICO) is a leading global analytics software company, helping businesses in 90+ countries make better decisions. Join our world-class team today and fulfill your career potential!
Job Summary
Job Description Summary
The Opportunity
“Our team is looking for an enthusiastic professional; someone who is intrigued by the opportunity to work in a dynamic and talented team in our growing Information technology organization leveraging both public and private Cloud platforms. FICO is expanding into new core offerings. We are building a team of people with strong Oracle Database and NoSQL skills who will partner with the development teams to architect, design, automate database systems and deployments and embrace new technologies. Your experience in those areas are a great asset for the Database Engineering team.” -Database Engineering-Sr Manager, Global Technology Services Dept
Job Description
The Opportunity
“Our team is looking for an enthusiastic professional; someone who is intrigued by the opportunity to work in a dynamic and talented team in our growing Information technology organization leveraging both public and private Cloud platforms. FICO is expanding into new core offerings. We are building a team of people with strong Oracle Database and NoSQL skills who will partner with the development teams to architect, design, automate database systems and deployments and embrace new technologies. Your experience in those areas are a great asset for the Database Engineering team.” -Database Engineering-Sr Manager, Global Technology Services Dept.
What You’ll Contribute
Architect, Engineer, Design and support Oracle and other database infrastructure and systems that include Oracle, Couchbase, mySQL and MongoDB.
Plan, implement and manage physical databases of mission critical OLTP and provide capacity planning to determine future storage needs.
Implement, document and test critical HA/DR Oracle solutions including Active-Active environments across data centers.
Develop processes and procedures to enhance the stability and performance of database environment and our level of support to our client teams.
Prioritize and execute tasks in a fast-paced environment, showing a sense of ownership and commitment to achieving results.
Ensure that backup, restore and recovery procedures are implemented and followed.
Monitor and address Linux OS parameters related to database configurations.
What We’re Seeking
BS or MIS in Computer Science or related field.
Experience in Oracle database administration, automation, infrastructure and architecture design, application integration techniques, and relational database design.
Experience with Oracle RAC, Golden Gate, Data guard configurations and Oracle High Availability best practices.
Experience and comfort working in a team-oriented, fast-paced, collaborative setting.
Experience in scripting (Bash, Perl or related).
Strong Linux (Unix) skills.
Experience working in Active-Active environments is plus.
Nice to have
Experience with PCI compliance, TDE knowledge and security best practices.
Experience with SQL, MySQL, Couchbase, MongoDB or other NoSQL technologies.
Our Offer to You
A culture and work environment strongly reflecting our core values: Act Like an Owner, Delight Our Customers and Earn the Respect of Others.
The opportunity to make a difference by leveraging your unique strengths.
Highly competitive compensation and rewards.
Flexible work options, opportunities to give back to your community, social events with colleagues and a comprehensive benefits program inclusive of progressive parental leave.
Why Make a Move to FICO?
At FICO, you can develop your career with a leading organization in one of the fastest-growing fields in technology today – Big Data analytics. You’ll play a part in our commitment to help businesses use data to improve every choice they make, using advances in artificial intelligence, machine learning, predictive and prescriptive modeling, and much more.
FICO makes a real difference in the way businesses operate worldwide:
Credit Scoring — 150+ billion FICO Scores have been sold to date, making it the most used credit score in the world.
Fraud Detection and Security — 2.6+ billion payment cards globally are protected by FICO fraud systems.
Lending — 3/4 of US mortgages are approved using the FICO Score.
Anti-Money Laundering — our solutions check more than half a billion transactions a day to prevent criminal schemes such as terrorist financing
Global trends toward digital transformation have created tremendous demand for FICO’s solutions, placing us among the world’s top 100 software companies by revenue. We support many of the world’s largest banks, insurers, retailers, telecommunications providers and other firms reach a new level of success.
Our success is dependent on really talented people – just like you – who thrive on the collaboration and innovation that’s nurtured by a diverse and inclusive environment. We’ll provide the support you need, while ensuring you have the freedom to develop your skills and grow your career. Join FICO and help change the way business thinks!
Learn more about how you can fulfill your potential at www.fico.com/Careers
FICO values the benefit that diversity and a culture of inclusion bring to our workplace. We are an equal employment opportunity and affirmative action employer and we’re proud to offer employment and advancement opportunities to all applicants without regard to race, color, ancestry, religion, sex, national origin, pregnancy, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status.",Tecnologías de la información,,2022-09-13T00:00:00,2022-10-15,FULL_TIME
"Cloud Support Engineer I - Big Data, Support Engineering",Amazon Web Services Mexico,México,Ciudad de México,-1,-1,,MXN,"Knowledge in (2) or more in these areas:Knowledge in Linux (RHEL/CentOS) Systems AdministrationKnowledge with Networking and troubleshooting (TCP/IP, DNS, traceroute, dig)
Ability to communicate in English in verbal and written format.Knowledge Hadoop ecosystem (Apache Spark, Apache Hive, etc.)Bachelor’s degree in Information Science / Information Technology, Data Science, Computer Science, Engineering, Mathematics, Physics, or a related field OR equivalent experience in a technical position OR equivalent military experience · 1+ years of professional experience

Job summary
Amazon Web Services is the market leader and technology forerunner in the Cloud business. As a member of the AWS Support team you will be at the forefront of this transformational technology, assisting a global list of companies and developers that are taking advantage of a growing set of services and features to run their mission-critical applications. As a Cloud Support Engineer, you will act as the ‘Cloud Ambassador’ across all the cloud products, arming our customers with required tools & tactics to get the most out of their Product and Support investment.


Would you like to use the latest cloud computing technologies? Do you have an interest in helping customers understand application architectures and integration approaches? Are you familiar with best practices for applications, servers and networks? Do you want to be part of a customer facing technology team helping to ensure the success of Amazon Web Services (AWS) as a leading technology organization?


If you fit the description, you might be the person we are looking for! We are a group of smart people, passionate about cloud computing, and believe that world class support is critical to customer success.


WHAT CAN YOU EXPECT FROM A LIFE AT AWS?


Every day will bring new and exciting challenges on the job while you:


Learn and use groundbreaking technologies.
Apply advanced troubleshooting techniques to provide unique solutions to our customers' individual needs.
Interact with leading engineers around the world.
Partner with Amazon Web Services teams to help reproduce and resolve customer issues.
Leverage your extensive customer support experience to provide feedback to internal AWS teams on how to improve our services.
Drive customer communication during critical events.
Drive projects that improve support-related processes and our customers’ technical support experience.
Write tutorials, how-to videos, and other technical articles for the developer community.
Work on critical, highly complex customer problems that may span multiple AWS services.

WHY AWS SUPPORT?


First and foremost this is a customer support role – in The Cloud.
On a typical day, a Support Engineer will be primarily responsible for solving customer’s cases through a variety of customer contact channels which include telephone, email, and web/live chat. You will apply advanced troubleshooting techniques to provide tailored solutions for our customers and drive customer interactions by thoughtfully working with customers to dive deep into the root cause of an issue.
Apart from working on a broad spectrum of technical issues, an AWS Support Engineer may also coach/mentor new hires, develop & present training, partner with development teams on complex issues or contact deflection initiatives, participate in new hiring, write tools/script to help the team, or work with leadership on process improvement and strategic initiatives.
Career development: We promote advancement opportunities across the organization to help you meet your career goals.
Training: We have training programs to help you develop the skills required to be successful in your role.
We hire smart people who are keen to build a career with AWS, so we are more interested in the areas that you do know instead of those you haven’t been exposed to yet.

Support engineers interested in travel have presented training or participated in focused summits across our sites or at specific AWS events.
As we operate on a follow-the-sun model, with Premium Support sites located globally, working hours and days are based on customer demand and may include weekends (on a rotational basis).
The Big Data role supports our services that leverage data and produce business insights, which may include using Machine Learning/Artificial Intelligence (ML/AI). Helping our customers use and integrate Big Data services in what is arguably our industry’s most exciting space. The portfolio of services covers EMR (Hadoop), DynamoDB (NoSQL), MangoDB, and Apache Cassandra


#SupportEngineeringMEX

Experience with programming/scripting (Batch, VB, PowerShell, Java, C#, Chef, Perl, Ruby and/or PHP)Demonstrable knowledge & experience in various Big Data or distributed systems. Such as Hadoop, NoSQL, Search and Streaming.Experience in Data Lake architecture and administration.Experience utilizing data analysis techniques such as quantitative or qualitative analysis.Experience with System Administration with Linux (Ubuntu, CentOS, RedHat) and/or Microsoft Windows Server and associated technologies (Active Directory, Exchange).Experience in networking technologies including DNS, TCP/IP, SSL, DHCP and Load Balancing.Experience with Network troubleshooting tools (telnet, test-netconnection, tracert, tracetcp, iperf, ntttcp, dig, and packet capture tools).Strong analysis and troubleshooting skills and experience.Experience managing full application stacks from the OS up through custom applications.Exposure to Virtualization (Hyper-V, VMware, Xen).Good understanding of distributed computing environments.Exposure to security concepts/best practices.Knowledge of storage technologies.Experience with Cloud services and Cloud deployments.",Tecnologías de la información,,2022-09-12T00:00:00,2022-10-15,FULL_TIME
Site Reliability Engineer for Premier Customer (SRE),FICO,Jalisco,Guadalajara,-1,-1,,MXN,"FICO (NYSE: FICO) is a leading global analytics software company, helping businesses in 90+ countries make better decisions. Join our world-class team today and fulfill your career potential!
Job Summary
We are excited to have opened an office in Guadalajara to support our tremendous growth in our LAC region. We are hiring multiple Site Reliability Engineers along with many other technical positions to accommodate growth in Mexico.

Please visit us at www.fico.com to view more opportunities.

Opportunity

The Site Reliability Engineering group is a global team tasked with providing 24x5 operational support of the company's Cloud, SaaS, ASP and hosted solutions. Those who excel in this role have the willingness and ability to jump in and learn new technologies as well as move between them quickly. Site Reliability Engineering – Sr. Director
Job Description
What You’ll Contribute
Support the full stack of Public Cloud, Private Cloud and hosted web-based applications.
Manage the operations and stability of the environments in accordance with established procedures and best practices
Contribute to continuous improvement within those processes and procedures.
Drive incidents to resolution.
Implement, monitor, refresh, and perform disaster recovery tasks on all supported applications.
What We’re Seeking
Intermediate to advanced Amazon Web Services (AWS), RedHat Enterprise Linux (RHEL) experience.
Knowledge of web technologies (JBoss, Tomcat, Apache HTTP Server, Open AM). Outsystems a plus.
Working knowledge of relational database systems – MySQL, SQL Server 2005/2008/2012, Oracle 11 and Oracle RAC.
Experienced with LDAP design, implementation and networking.
Conversant with administering multi-platform operating system environments (Windows and LINUX).
Knowledge of Storage Management Solutions (SAN, NAS, etc.).
Working knowledge of networking systems and protocols, firewalls and TCP/IP networks, standards, and architectures. Hands-on knowledge of load balancers and firewalls desired.
Familiarity with ITIL standards and technologies (ServiceNow)
Scripting/programming experience in Puppet, PowerShell, PERL, .NET, Python or UNIX Shell a plus.
Why Make a Move to FICO?
At FICO, you can develop your career with a leading organization in one of the fastest-growing fields in technology today – Big Data analytics. You’ll play a part in our commitment to help businesses use data to improve every choice they make, using advances in artificial intelligence, machine learning, predictive and prescriptive modeling, and much more.
FICO makes a real difference in the way businesses operate worldwide:
Credit Scoring — 150+ billion FICO Scores have been sold to date, making it the most used credit score in the world.
Fraud Detection and Security — 2.6+ billion payment cards globally are protected by FICO fraud systems.
Lending — 3/4 of US mortgages are approved using the FICO Score.
Anti-Money Laundering — our solutions check more than half a billion transactions a day to prevent criminal schemes such as terrorist financing
Global trends toward digital transformation have created tremendous demand for FICO’s solutions, placing us among the world’s top 100 software companies by revenue. We support many of the world’s largest banks, insurers, retailers, telecommunications providers and other firms reach a new level of success.
Our success is dependent on really talented people – just like you – who thrive on the collaboration and innovation that’s nurtured by a diverse and inclusive environment. We’ll provide the support you need, while ensuring you have the freedom to develop your skills and grow your career. Join FICO and help change the way business thinks!
Learn more about how you can fulfill your potential at www.fico.com/Careers
FICO values the benefit that diversity and a culture of inclusion bring to our workplace. We are an equal employment opportunity and affirmative action employer and we’re proud to offer employment and advancement opportunities to all applicants without regard to race, color, ancestry, religion, sex, national origin, pregnancy, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status.",Tecnologías de la información,,2022-08-17T00:00:00,2022-10-15,FULL_TIME
Machine Learning Engineer,Tech Mahindra,Nuevo León,San Pedro Garza García,-1,-1,,MXN,"Machine Learning Engineer

Job Objective

We are looking for a highly capable ML Engineer with varying level of experience to support revenue maximization program for COG Travel, A&H DM, Auto and IPL. The ML Engineer will optimize our machine learning systems. You will be evaluating existing machine learning (ML) processes, performing statistical analysis to resolve data set problems, and enhancing the accuracy of our AI software's predictive automation capabilities.

To ensure success as a machine learning engineer, you should demonstrate solid data science knowledge and experience in a related ML role. A first-class machine learning engineer will be someone whose expertise translates into the enhanced performance of predictive automation software.

Responsibilities:

Consulting with managers to determine and refine machine learning objectives.
Designing machine learning systems and self-running artificial intelligence (AI) software to automate predictive models.
Transforming data science prototypes and applying appropriate ML algorithms and tools.
Ensuring that algorithms generate accurate user recommendations.
Turning unstructured data into useful information by auto-tagging images and text-to-speech conversions.
Solving complex problems with multi-layered data sets, as well as optimizing existing machine learning libraries and frameworks.
Developing ML algorithms to analyse huge volumes of historical data to make predictions.
Running tests, performing statistical analysis, and interpreting test results.
Documenting machine learning processes. Keeping abreast of developments in machine learning.

Technical Knowledge & Skills:

2-3 Years of Experience as ML Engineer:
NLP
Phyton
MLOPs
PySpark
Yaml

Platforms:
Azure
Kubernets
CI/CD

Management:
Agile
Teamwork
Self Motivated
If you apply for this opportunity we will get you resume and its contain personal data whose treatment has been authorized by its owner for Digital OnUs, S. de RL de CV (the ""Company""). If you are not the owner of this information or have no relation whatsoever with the subjects treated in it, you are requested in the most attentive way not to make copies of it and / or its attached files and delete it immediately, under the risk of being considered as responsible for the unauthorized treatment of personal data in accordance with the Federal Law on Protection of Personal Data Held by Private Parties, its Regulations, and other applicable regulations. If you are the owner of personal data in possession of the Company and wish to obtain further information regarding the processing of your personal data or the exercise of your ARCO rights, please consult our integral privacy notice on the website https://www.digitalonus.com/privacy-policy/",Tecnologías de la información,,2022-09-04T00:00:00,2022-10-15,OTHER
Interfaces Application Engineer,Intel,Jalisco,Guadalajara,-1,-1,,MXN,"Job Description
Intel is a global leader, creating world-changing technology that enables progress and enriches lives. We are at the intersection of several technology inflections - artificial intelligence, 5G network transformation, and the rise of the intelligent edge - that together will shape the future of technology.
As an Interfaces Application Engineer in the Programmable Solutions Group (formerly known as Altera), you will serve as the technical subject matter expert for Intel interconnect (PCIe, CXL) and/or external memory interfaces (DDR4/DDR5/LPDDR5) and provide solutions that allow our key customers to successfully meet market demands. We value technical excellence, customer focus, integrity, and teamwork.
Your specific role will have opportunity to, but not limited to the following:
Develop designs for next generation protocol IPs (Intellectual Property) and Intel Interconnects, including PCIe Gen 3/4/5, CXL, DDR4, DDR5, LPDDR5, and Intel Optane Persistent Memory.
Participate in interoperability testing and compliance for protocol IP use cases and demonstrate performance to customers.
Create collateral including protocol IP user guides, reference designs, technology demonstrations, tools, and macros.
Collaborate with cross functional teams for issue resolution and protocol validation and provide feedback to engineering on protocol IP quality and customer experience.
Qualifications
You must possess the below minimum qualifications to be initially considered for this position. Relevant experience can be obtained through schoolwork, classes, project work, and/or internship experience. Preferred qualifications are in addition to the minimum requirements and are considered a plus factor in identifying top candidates.
Minimum Qualifications:
Candidate must possess a Bachelor's degree in Electrical Engineering, Computer Engineering, or related STEM field (documentation related to bachelor's degree completion will be required).
3+ months of experience designing and/or debugging PCIe or DDR4/DDR5 memory interfaces or related coursework.
Advanced English.
Preferred Qualifications:
Masters' degree in Electrical or Computer Engineering with at least 6 months of experience or relevant coursework in PCIe or DDR4/DDR5 memory interfaces.
6+ months of experience in customer support or customer facing role.
6+ months of experience in FPGA design and debug.
A candidate who accepts an offer of employment is required to present their own personal identification information and numbers for the following: Mexican Security Number (NSS), Tax Identification Number (RFC) and CURP identification number.
Inside this Business Group
The Programmable Solutions Group (PSG) was formed from the acquisition of Altera. As part of Intel, PSG will create market-leading programmable logic devices that deliver a wider range of capabilities than customers experience today. Combining Altera's industry-leading FPGA technology and customer support with Intel's world-class semiconductor manufacturing capabilities will enable customers to create the next generation of electronic systems with unmatched performance and power efficiency. PSG takes pride in creating an energetic and dynamic work environment that is driven by ingenuity and innovation. We believe the growth and success of our group is directly linked to the growth and satisfaction of our employees. That is why PSG is committed to a work environment that is flexible and collaborative, and allows our employees to reach their full potential.
Work Model for this Role

This role will be eligible for our hybrid work model which allows employees to split their time between working on-site at their assigned Intel site and off-site.",Tecnologías de la información,,2022-09-11T00:00:00,2022-10-15,FULL_TIME
QA Automation Engineer,C3 AI,Jalisco,Guadalajara,-1,-1,,MXN,"C3.ai, Inc. (NYSE:AI) is a leading provider of Enterprise AI software for accelerating digital transformation. The proven C3 AI Suite provides comprehensive services to build enterprise-scale AI applications more efficiently and cost-effectively than alternative approaches. The core of the C3 AI offering is an open, data-driven AI architecture that dramatically simplifies data science and application development. Learn more at: www.c3.ai
C3 AI is seeking both Jr. and Sr. Quality Automation Assurance Engineers to work with Engineering, Product Development, QA, Operations, and Customer Services to drive the software quality automation for our existing and emerging products.

This is a hands-on role primarily focused on enhancing our test automation framework and developing automated test cases. You will collaborate with QA and performance engineers to improve productivity and testing execution time. This role also participates in the validation and sign-off for all product software releases.

Reporting to the Director of Quality Assurance Engineering, you will be part of a team of highly skilled QA and performance engineers to ensure that we are shipping the highest quality software possible. This is a great opportunity to work with cutting-edge artificial intelligence and machine learning technologies.

Responsibilities:

Become a C3 AI Suite and C3 AI SaaS application expert to thoroughly understand all use case scenarios.
Enhance and extend our existing automation framework to ensure we scale as we build new products and expand the breadth of our existing product capabilities.
Design and develop automated test suites for new C3 AI products and features.
Build and maintain synthetic test data for all automated test suites.
Automate and maintain test execution flow via Continuous Integration in Jenkins.
Automate test report generation and gather diagnostic artifacts for defect reporting.
Work with QA engineers to automate new test cases and be a strong proponent for product quality at C3 AI.
Participate in test planning, test execution and sign-off of product releases.
Work with performance engineers to build automation for performance, scalability, and reliability tests.
Perform analysis to identify root cause for defects identified during the release validation process.

Required Qualifications:

Bachelor's degree in a Science, Technology, Engineering or Math (STEM) field
Possess a good understanding of software development lifecycle, and performance testing methodologies
Advanced programming and troubleshooting skills
Possess a clear understanding of Agile software development methodology
Outstanding team player with excellent interpersonal skills

Preferred Qualifications:

Graduate degree in a Science, Technology, Engineering or Math (STEM) field
Professional expertise as a QA Automation engineer or software development engineer in test (SDET), with experience building automation frameworks and automated test reports
Expert in software development and troubleshooting with JavaScript, Java, or other object-oriented programming languages
Hands-on with UI and/or API test automation
Proficiency working with web applications and cloud deployments (AWS, Azure, GCP)
Experience with mobile automation frameworks a plus (Appium)
Experience in implementing CI/CD and Jenkins pipelines
Strong understanding of common machine learning techniques, Python programming and quality assurance methodologies
Experience in time-series data analysis and normalization

Build and release management experience

C3 AI provides a competitive compensation package and excellent benefits.

C3 AI is proud to be an Equal Opportunity and Affirmative Action Employer. We do not discriminate on the basis of any legally protected characteristics, including disabled and veteran status.",Tecnologías de la información,,2022-09-02T00:00:00,2022-10-15,OTHER
Senior Software Engineer,Bright Machines,Jalisco,Guadalajara,-1,-1,,MXN,"RETHINK MANUFACTURINGThe only way to ignite change is to build the best team. At Bright Machines®, we’re innovators and experts in our craft who have joined together to create a new category of manufacturing that will help transform the industry. We believe software and data are the answer, thoughtfully applied to solve our customers’ unique challenges. Through intelligent automation, we give factories newfound flexibility, scalability, and resilience. We deliver products to meet the demands of today while building a platform to take advantage of what comes next.Working with us means you’ll have the opportunity to make lasting, impactful changes for our company and our customers. If you’re ready to apply your exceptional skills to create the factory of the future, we’d love to speak with you.*ABOUT THE ROLE*We’re looking for a Software Engineer to join us at Bright Machines who will be responsible for defining and implementing the systems that make Software-Defined Manufacturing possible.You will work on a team with other Software Engineers to define and implement our software stack from robot to cloud. As a Software Engineer, you will create scalable software systems that drive our cloud-based analytics, data pipeline, performance monitoring, dashboarding, and command/control systems on the factory floor. Our robots and software will be deployed in a variety of factory conditions and help support the manufacturing operations for some of the biggest names in the industry. This is a unique opportunity to be part of a greenfield development effort that will change the way companies build and produce products. If you’re ready to apply exceptional engineering practices and build the software that will define the next generation in manufacturing, this is your opportunity to “Be Bright”.WHAT YOU WILL BE DOING: Design, develop and deploy software components that help realize Bright Machines vision of Software Defined ManufacturingContribute best-in-class programming skills to develop reliable and scalable micro-servicesWrite clean, maintainable code, and perform peer code-reviewsCreate unit, integration, and end-to-end tests to ensure we are continually shipping code to productionWork with other team members to investigate design approaches, prototype new technology and evaluate technical feasibilityWork in an Agile/Scrum environment to deliver high-quality software against aggressive schedulesEstablish architectural principles, select design patterns and then mentor team members on their appropriate applicationHelp define and implement standards and promote best practices for distributed software systemsAnalyze and optimize applications to maximize speed and scaleWHAT WE WANT TO SEE: Bachelor's degree (or equivalent) in Computer Science or a related fieldAt least 7 years of job experience (Software Engineer or equivalent)Proficiency in at least two modern programming languages (C#, Python, Java)Understanding of scaling and operational concerns for large software systemsIT WOULD BE GREAT IF YOU HAD: Demonstrated ability to ship code to customers.Experience communicating with users, technical leaders, and management to collect requirements, describe system designs, and set product strategyKnowledge and demonstrated the application of software engineering best practices including coding standards, code reviews, CI/CD, testing, and operationsExtensive knowledge of Cloud Native and OOD/OOP methodologiesExtensive knowledge with event-based and message-driven distributed systemsBroad understanding of Microservices architecture, Event Bus (rabbitmq), RESTful/gRPC, ORM (EF), async programmingWHO YOU ARE: You are customer obsessedYou believe in the power of a team, diversity of thought, and unity of actionYou always act with integrity, keep your commitments and practice transparencyYou think boldly, lead with courage, and demand the highest standardsYou drive for results and act like an owner*BE EMPOWERED TO CHANGE AN INDUSTRY*We’re looking for people who believe they can personally help modernize a global industry and want to work alongside passionate teammates who share their vision. As a global company working toward a common goal, we have a highly collaborative and inclusive approach to work, striking a balance between celebrating team success and focusing on individual growth.We exist to transform the way things are made. Join us on the journey.Bright Machines was named a “Technology Pioneer” by the World Economic Forum, one of “America’s Most Promising Artificial Intelligence Companies” by Forbes, and an Inc. “Best in Business” winner.Job Type: Full-time",Manufactura,,2022-08-29T00:00:00,2022-10-15,FULL_TIME
Senior Intergration Engineer/Tech lead - Mulesoft oriented,Tech Mahindra,Jalisco,Guadalajara,-1,-1,,MXN,"About us:

Tech Mahindra represents the connected world, offering innovative and customer-centric information technology experiences, enabling Enterprises, Associates and Society to Rise™. We are a USD 6.0 billion company with 151,100+ professionals across 90 countries, helping 1224 global customers including Fortune 500 companies.

We are focused on leveraging next-generation technologies including 5G, Blockchain, Cybersecurity, Artificial Intelligence, and more, to enable end-to-end digital transformation for global customers. Tech Mahindra is one of the fastest-growing brands and amongst the top 15 IT service providers globally.

Tech Mahindra has consistently emerged as a leader in sustainability and is recognized amongst the '2021 Global 100 Most sustainable corporations in the World' by Corporate Knights. With the TechM NXT.NOW framework, Tech Mahindra aims to enhance 'Human Centric Experience' for our ecosystem and drive collaborative disruption with synergies arising from a robust portfolio of companies. Tech Mahindra aims at delivering tomorrow's experiences today, and believes that the 'Future is Now'.

Who you are:
We are seeking an API, Integrations developer reporting to the Director of Enterprise Architecture. As an API, Integrations developer you will work on real-time REST API development and data integrations involving scheduled transfers from key SaaS systems such as NetSuite, Workday and Salesforce.com. You will also be a key team member working with other teams (Vendors and FTE(s)), Business Partners, Engineering Teams) to deliver Rubrik IT project demand in an agile manner.Where you can make an impact:

Experience in running SCRUM/Agile Teams. Contribute towards business requirement impact analysis and system design and provide technical design solutions for implementing requirements on one or more systems.Use your creativity, innovation skills and design thinking to enable or improve business processes through new or enhanced products / tools. Collaborate with multiple IT, QA and Business point of contact and deliver quality integrations solutions.Own and Perform Mulesoft platform revision, repair, or expansion of existing programs to increase operating efficiency or adapt to new requirements.Involve in optimizing configurations and customizations and implement high quality real-time and data integrations.Write or contribute to guardrails, instructions or manuals to guide developers, support teams, end users and Vendor team.

Key Qualification:

3+ years of experience on Mulesoft Development on Integration PaaS platforms.Quick to grasp/understand requirements.Good Debugging skills.Good Communication skills.Good with documentation, RCA, and JIRA, and Agile methodologies.Basic understanding of APIs, REST, and SOAP.Basic file concepts (JSON, XML, CSV).Basic file transfer concept (SFTP).Basic Database knowledge (SQL, Postgres).Basic Linux commands - for Private Agent (optional).Basic EDI/B2B knowledge (optional)

Ideal background:

Experience with Apache Nifi, Mulesoft or any Integration Platform as a Service is a ideal. Understanding of Salesforce.com, Workday, NetSuite is preferred, and experience in developing IT projects in the real-time and data integrations domain will be valued.Conversant with DevOps process and has expertise in developing build scripts and automating deployments.
REST API Development in Java, Golang is a plus, understanding of ETL flows, Full loads, incremental loads is a plus.
If you apply for this opportunity we will get you resume and its contain personal data whose treatment has been authorized by its owner for Digital OnUs, S. de RL de CV (the ""Company""). If you are not the owner of this information or have no relation whatsoever with the subjects treated in it, you are requested in the most attentive way not to make copies of it and / or its attached files and delete it immediately, under the risk of being considered as responsible for the unauthorized treatment of personal data in accordance with the Federal Law on Protection of Personal Data Held by Private Parties, its Regulations, and other applicable regulations. If you are the owner of personal data in possession of the Company and wish to obtain further information regarding the processing of your personal data or the exercise of your ARCO rights, please consult our integral privacy notice on the website https://www.digitalonus.com/privacy-policy/",Tecnologías de la información,,2022-08-16T00:00:00,2022-10-15,OTHER
Backend Engineer (AI Startup),Recruiting From Scratch,México,Ciudad de México,-1,-1,,MXN,"About the Company
Our client believes that the next leap forward in applied AI lies in active learning systems and techniques like reinforcement learning. These systems are ‘curious’ – they continuously try new things in the world, making them better at adapting to and operating in a fast-changing, complex world.
Using Active & Transfer Learning, their software transforms business processes into automated feedback loops, creating accelerating advantages for our customers vs. their competition.
Most AI today is passive. It learns by looking at billions of examples of historical data. But in the real world, the future seldom looks like the past. Our active learning agents learn not just from past data, but from simulations of different futures – think Neo from The Matrix learning Kung Fu by fighting Morpheus over and over in a virtual dojo. Arena uses simulations and your real environment to train active learning agents that can safely and quickly learn new tasks to improve your future outcomes.
As a software engineer at Arena, you will build the next generation of machine learning software. We have 3 main areas of focus: Core Intelligence-ML Modeling, Telemetry-Impact & Algorithmic Health, and AI interfaces. You will be involved in building out functionality for all 3 areas.
Required qualifications:
Interest and enthusiasm for Artificial Intelligence and Machine Learning
Proven ability to write clean code
Strong Computer Science fundamentals in data structures, algorithm design, and problem solving
Strong Intuition architecting, building, and scaling complex systems
Collaborate with Product Designers, ML Scientists and external stakeholders to deliver compelling user-facing products
Strong customer focus with ability to translate user requirements into good design
Ability to take a project from scoping its requirements through to the actual launch
Experience with continuous integration (CI) and continuous delivery (CD)

Salary: Base: $120-180k
Who is Recruiting from Scratch:


Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware talent at innovative companies. Our team is 100% remote and we work with teams across the United States to help them hire. We work with companies funded by the best investors including Sequoia Capital, Lightspeed Ventures, Tiger Global Management, A16Z, Accel, DFJ, and more.
Salary: Base: $150-250k
Who is Recruiting from Scratch:


Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware talent at innovative companies. Our team is 100% remote and we work with teams across the United States to help them hire. We work with companies funded by the best investors including Sequoia Capital, Lightspeed Ventures, Tiger Global Management, A16Z, Accel, DFJ, and more.",Recursos humanos,,2022-08-27T00:00:00,2022-10-15,OTHER
