Job_title,Company,State,City,Min_Salary,Max_Salary,unitText,SalaryCurrency,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
Tecnico de Laboratorio II,Cordis,,,-1,-1,,MXN,"Las VisiÃ³n de Conjunto:

El Técnico Nivel 2 hace funciones técnicas bajo supervisión directa. Reporta directamente al Supervisor de Laboratorio, Líder de equipo o Científico I o II como le sea asignado. El Técnico Nivel 2 será responsable de dar soporte general en el laboratorio, de la misma forma ejecutará pruebas de rutina compendiales (o equivalentes).
Responsabilidades:
Tomar muestreos y realiza pruebasPreparación de etiquetas para muestrasPreparación de muestrasPreparación de reactivos (medio)Captura de datos en los sistemas electrónicos o sistemas manuales que pudieran incluir libros de registro y el mantenimiento de números de controlEjecución y monitoreo de pruebas de rutina con métodos validados utilizando instrumentos de laboratorioRealizar y registrar observaciones de laboratorio y cálculos y realizar/analizar tendenciasAdquirir conocimientos con respecto al uso de instrumentos de laboratorio tales como HPLC, GC, FTIR, etc.Recolectar y preparar datos para evaluaciónArchivar documentación de pruebas que ya han sido completadasEjecutar otros deberes relacionados con su área que sean asignados por la gerenciaMantener su área de trabajo limpia y mantener el programa de 5’s en laboratorioSoporte a gestiones internas de laboratorio, ambientales y de seguridadParticipar activamente durante ejecuciones de actividades como parte de Validaciones o revalidaciones a los diferentes equipos y sistemas que controla el laboratorioParticipar en programa de KaizenParticipa en auditorias de cumplimiento de códigos de vestimentaPreparación y presentación de métricos de laboratorioCumplir con Buenas Prácticas de DocumentaciónCumple sus metas asignadas en sistema Workday y asigna metas a otros si le es requeridoSeguir los procedimientos y las políticas de EHS que se establecieron en la planta, así como también participar en los programas de Seguridad y medio ambiente. Informar peligros e incidentes y colaborar para hallar soluciones o implementar mejoras.
Aplicable al área de Esterilización (Laboratorio de Microbiología):Completar actividades de Logística y pruebas relacionadas con Indicadores biológicos y su disposición final
Calificaciones:
Carrera técnica, trunca o en proceso, Diploma de Preparatoria o equivalente es requerido2 a 5 años de experiencia en un ambiente de laboratorio con buenas prácticas de manufactura (GMP) ejecutando de manera progresiva actividades avanzadas a nivel de Técnico 1.25-50% Ingles (Interpretación del idioma)
Conocimientos/Destrezas/Habilidades:
Entrenamiento en buenas prácticas de manufactura (GMP) y requerimientos de ISO
Conocimientos y ejecución de buenas prácticas de laboratorio (GLP)
Conocimientos y ejecución de Buenas Prácticas de Documentación (GDP)
Habilidad para comunicarse oralmente y en escrito
Buenas habilidades interpersonales y organizacionales
Auto-motivado
Habilidades para usar PC’s y programas asociados básicos (Microsoft Office) y (LIMS)
Capacidad para levantar objetos pesados (hasta 20 Kg.)
Equipo de seguridad personal deberá ser utilizado en todo momento al estar en area de laboratorio, almacén, etc (bata, Lentes de protección, cubre boca, etc. como le sea indicado en sus procedimientos)",Manufactura,,2022-09-14T00:00:00,2022-10-15,FULL_TIME
GERENTE CIENTIFICO DATOS,Gentera,México,Ciudad de México,-1,-1,,MXN,"Objetivo
Diseñar, desarrollar e implementar modelos de analítica avanzada para ayudar la toma de decisiones, segmentar clientes y desarrollar de estrategias de negocio. Uso de un motor de reglas para implementar las políticas de negocio y estrategias.

Escolaridad
Licenciatura en Actuaría, Matemáticas aplicadas, Estadística, Ciencias de la computación.
Maestría en Ciencia de datos.

Experiencia en
Programación y manejo de datos
Diseño y desarrollo de modelos de analítica avanzada
Manejador de reglas / Reglas de decisión
Modelos y algoritmos


Años de experiencia
Mínimo 5 años de experiencia.

Conocimientos
Phyton y R intermedio
SQL y/o Java
Estadística

Zona de trabajo
Insurgentes Sur y Río Mixcoac, CDMX
Esquema híbrido


Gentera apoya la “no discriminación” la cual es incluyente sobre religión, raza, sexo, orientación sexual, edad, nacionalidad, estado civil y discapacidad.",,,2022-09-08T00:00:00,2022-10-15,OTHER
Especialista de desarrollo e innovación,COMPOUNDING WHOLESALERS OF MEXICO,Baja California,Tijuana,144000,174000,MONTH,MXN,"Licenciatura en químico farmacobiólogo, bioquímico o carrera a fin. (Titulo)Realizar los protocolos de desarrollo conforme a lo establecido en los PNOs aplicables.Diseñar las pruebas experimentales soportadas científica y estadísticamente que arrojen datos confiables.Realizar el análisis de datos y documentar en los reportes correspondientes.Realizar la transferencia de tecnología al departamento de fabricación.Ejecutar actividades de mejora continua de los productos y procesos.Apoyar en las actividades asignadas por su supervisor.Mantener actualizada la lista de materiales en la plataforma electrónica, generando además el registro de nuevos productos.Generar documentación para la transferencia de tecnología para el área de producción y calidad, (orden de preparación y acondicionamiento).Conocimiento en la fabricación de productos liposomalesApoyar en las actividades asignadas por su supervisor.COMPETENCIAS:-Facilidad de palabra-Habilidad de negociación-Comunicación asertiva-Innovador-Sexo indistinto con 2 años de experiencia 28 años en adelanteTipo de puesto: Tiempo completo, Por tiempo indeterminadoSalario: $12,000.00 - $14,500.00 al mesHorario:Turno de 8 horasPrestaciones:Bebidas gratisEstacionamiento de la empresaVacaciones adicionales o permisos con goce de sueldoTipos de compensaciones:Bono de asistenciaBono de puntualidadConsideraciones ante el COVID-19:cubrebocasEducación:Licenciatura terminada (Deseable)Experiencia:.NET: 2 años (Deseable)JavaScript: 1 año (Deseable)Desarrolladores iOS: 1 año (Deseable)Desarrolladores Android: 1 año (Deseable)Idioma:Inglés (Deseable)",,,2022-09-06T00:00:00,2022-10-15,FULL_TIME
Data Scientist,DEEP RIVER AI S.A.P.I. DE C.V.,México,Ciudad de México,-1,-1,,MXN,"1-2 años como científico de datos aplicando y desarrollando modelos de inteligencia artificial y de estadística.
1-2 años de experiencia analizando y modelando datos estructurados y no estructurados.
Experiencia en modelos y procesamiento de Lenguaje Natural (NLP).
Python indispensable
GitHub",,,2022-09-05T00:00:00,2022-10-15,FULL_TIME
"INGENIERO O CIENTIFICO DE DATOS, sueldo negociable",PROESA ELTEC,,,180000,300000,MONTH,MXN,"Ingeniero de datos o científico de datos. Ing. En computacion, informática o afin.Desarrollo de integración y procesos. Análisis de propuestas de re-ingenieria e implementación y digitalización y automatización de procesos de negocio a través del desarrollo de aplicaciones personalizadas. Trabajar con producto owners/business Analysts/Enterprise Archiyects del proyecto para comprender los requisitos y asesorar sobre capacidades y limitaciones de técnicas de Appian, Java, SQL, bases de datos, Python, ciclos de vida de desarrollo de software, ingles 90% avanzado. Metodologías de desarrollo ágil, Scrum, Plataformas de código bajo, business process, data analytics, C++. Lunes a sábado. Empleo no remoto, zona col. Nápoles por el metro san Pedro de los pinos.Sueldo de 15,000 a 25,000 negociable.Tipo de puesto: Tiempo completoSalario: $15,000.00 - $25,000.00 al mesHorario:Lunes a viernes",,,2022-09-14T00:00:00,2022-10-15,FULL_TIME
CIENTÍFICO DE DATOS,EMPRESA SOCIA DE AMEDIRH,,,240000,540000,MONTH,MXN,"Empresa socia de Amedirh solicita “CIENTÍFICO DE DATOS”REQUISITOSIng. en Matemáticas, Actuaría o afín.Experiencia y conocimientos en Minería de datos, Base de datos SAS, Programación SAS,COMPETENCIASVisión de negocio, orientación al servicio, gestión del tiempo, análisis de problemas, innovación.ACTIVIDADESMinería de datos, Base de datos SQL, Oracle,SAS, Programación SAS.Salario:  $20,000 - $45,000 + PSLTipo de puesto: Tiempo completo, Por tiempo indeterminadoSalario: $20,000.00 - $45,000.00 al mesPrestaciones:Trabajar desde casa",,,2022-08-22T00:00:00,2022-10-15,FULL_TIME
Científico de Datos,Laura De Jesús,México,Ciudad de México,420000,480000,MONTH,MXN,"Importante empresa dedicada al sector de las Telecomunicaciones te invita a formar parte de su equipo ""CIENTIFICO DE DATOS""Requerimos: Licenciatura en Informática o a finInglés IntermedioExperiencia de 3 añosExperiencia requerida: Python, R, TensorflowMachine learningArquitectura de Software (GCP, AWS)Tableau, Data StudioBeneficios: Rango salarial de $35,000 - $40,000 NetosPrestaciones de leyModalidad de trabajo Hibrida / Reforma (L-S) INTERESADOS ENVIAR CV A laura.dejesus(arroba)bsystems.com.mx o al 5519651606Tipo de puesto: Tiempo completoSalario: $35,000.00 - $40,000.00 al mesHorario:Turno de 8 horasPregunta(s) de postulación:¿Tienes disponibilidad para laborar en sitio?",,,2022-09-06T00:00:00,2022-10-15,FULL_TIME
ANALISTA DE DATOS,CEMEX,,,-1,-1,,MXN,"Job Description

KeObra es una solución omnicanal que empodera al ""Auto-constructor"" ofreciéndole información y herramientas necesarias para gestionar proyectos des construcción desde el principio hasta el final, con el objetivo de mejorar la calidad de vida.

Main Responsibilities

El candidato ideal deberá tener experiencia en:
Conocimiento de características sociales, culturales y digitales de la base de la población
Métodos de investigación cuantitativos y cualitativos
Estadística descriptiva e inferencial
Documentación multimedia: uso de grabadora, cámara fotográfica y de video
Gestión y desarrollo de proyectos de investigación en sus diversas etapas
Desarrollo de propuestas de investigación dirigidas a TIC’s
Presentación de informes tanto de la investigación, como de la metodología y sus recursos

Position Challenges
Habilidades para la búsqueda de información científica en bibliotecas, bases de datos científicas e internet
Excelentes habilidades de redacción, ortografía y facilidad para la comunicación escrita tanto a nivel científico como académico

Qualifications

Perfil:
Licenciatura en Sociología, Antropología, Mercadotecnia o alguna ciencia social.

Internal/External Relations

Cultura interna:
Alto sentido de responsabilidad
Disciplinado
Organizado
Colaborativo
Respetuoso, buen trato con personas de todos los segmentos económico
Inclusivo
CEMEX Diversity and Inclusion Statement

At CEMEX, we recognize the diversity of the world in which we live and in which we do business. We respect diversity, we address the inclusion and non-discrimination of any talented person, regardless of gender, physical ability, age, sexual orientation, culture, ethnicity, religion, political affiliation, marital status, pregnancy / maternity / paternity and nationality. We promote a culture of equity for the construction of a sustainable business and the well-being and development of CEMEX employees.",Manufactura,,2022-09-01T00:00:00,2022-10-15,OTHER
"Manager Riesgo de Fraude en Seguros (Ciudad de México, Cuauhtémoc)",BBVA,México,Ciudad de México,-1,-1,,MXN,"Área:
Inscríbete hasta:
9/18/2022
Sociedad:
243
¿Qué estamos buscando?
Experiencia requerida:
3-5 años
Nivel de escolaridad indispensable:
Licenciatura

Personal a su cargo:
 No aplica
Conocimientos intermedios o avanzados:
Manejo de base de datos y programación.
Conocimientos generales sobre la operación de los seguros y sus procesos como canales de contratación, procesos de emisión, atención de siniestros, etc.
Experiencia en aseguradora
 Experiencia deseable en funciones de prevención del fraude en Seguros
Toma de decisiones basadas en datos
Capacidad de abstracción y comunicación efectiva
Perfil analítico y enfocado en la ejecución.
Actuario, matemático, científico de datos o afín (pasante o titulado).
La Dirección General de Engineering es pieza fundamental dentro de la organización del Grupo BBVA México; participamos como un solo equipo con las demás Direcciones Generales, aportando valor en la transformación de nuestro Banco y de nuestro Grupo, nuestra principal responsabilidad reside en desarrollar y operar soluciones tecnológicas y procesos seguros para mejorar la experiencia de nuestros clientes, ofrecer mejores productos y servicios y garantizar la continuidad operativa de nuestro banco.
Nuestro equipo es el motor de BBVA, nos tomamos muy en serio su bienestar y buscamos otorgarles prestaciones que mejoren no solo su vida, si no también la de sus familias, al integrarte a nuestro equipo podrías acceder a los siguientes beneficios:

Prestaciones bancarias superiores a las de la ley.
Oportunidad de crecimiento dentro del Grupo

Seguro de vida

Vacaciones superiores.

Plan de jubilación.

Promociones exclusivas para empleados.

Préstamos exclusivos para empleados.

Membresía a deportivos.

Participación en los juegos bancarios.

Y muchos beneficios más que harán tu experiencia con nosotros increíble.
Aspectos generales
Funciones Principales:
Se enfocará en el seguimiento a indicadores de riesgo de fraude en la compañía de seguros, el análisis de patrones, así como la coordinación y ejecución de procesos y controles para la prevención del fraude.
Responsabilidades:
Aplicar conocimientos de proyectos y de mapeo procesos ya que tendrá contacto con banco y seguros para implementar puntos de control.
Retos del Puesto:
Tolerancia a la frustración -
Capaz de diseñar y generar indicadores de calidad
Generación de ahorro
Trabajar en BBVA
BBVA es una empresa global con más de 160 años de historia que opera en más de 25 países en los que damos servicio a más de 81 millones de clientes. Somos más de 110.000 profesionales que trabajamos en equipos multidisciplinares y diversos.


En BBVA estamos a la cabeza de la transformación que se está produciendo en el sector bancario, cuestionando lo establecido, para hacer la vida más fácil a nuestros clientes.


Formar parte de BBVA significa desarrollar tu carrera en la empresa que lidera la transformación del sector financiero.
Banca responsable
Nuestro modelo de banca responsable aspira a lograr una sociedad más inclusiva y sostenible. Porque el futuro de las finanzas es financiar el futuro.

Empezamos con el espíritu de ayudar a otros a tomar las mejores decisiones financieras. Ese espíritu permanece hoy en día y nos anima a seguir avanzando, dando prioridad a la innovación y a la transformación digital y poner al alcance de todos las oportunidades de esta nueva era.
Diversidad
En BBVA creemos que contar con un equipo diverso, nos hace ser un mejor banco.

Por este motivo apoyamos activamente la diversidad, la inclusión y la igualdad de oportunidades sin importar raza, sexo, edad, religión, orientación sexual, identidad de género, expresión de género, entre otras. Cultivamos un ambiente de trabajo colaborativo e inclusivo que nos permita mostrar lo mejor de cada persona.
Nuestros valores
Nuestros valores definen nuestra identidad y son la palanca que nos impulsan a hacer realidad nuestro propósito y nos guían en todas nuestras acciones y decisiones.
El cliente es lo primero
Pensamos en grande
Somos un solo equipo",Finanzas,,2022-09-09T00:00:00,2022-10-15,OTHER
Cientifico de Datos Experto,"AT&T Intellectual Property II, L.P",,,-1,-1,,MXN,"Objetivo de la posicion

Transformar datos en conocimiento e información que responda a preguntas, iniciativas y requerimientos de negocio a través de técnicas avanzadas de modelación estadística y machine learning.

Principales Responsabilidades
Desarrollo de modelos estadísticos avanzados y machine learning, búsqueda de nuevas alternativas y comparación de varias opciones para encontrar la que mejor explique, se ajuste o pronostique el comportamiento futuro de ciertas variables. 50%
Desarrollo de presentaciones ejecutivas con los hallazgos derivados de los análisis realizados. 15%
Coordinación interdisciplinaria con proveedores y clientes internos y externos para la obtención de datos y la implementación y operación de los resultados obtenidos. 20%
Entender la visión de los clientes internos con el objeto de comprender sus necesidades y orientar los resultados de los análisis, complementarlo y enriquecer los ejercicios. 15%
Educación (mínima y deseada)

Maestría

Experiencia (mínima y deseada)

5 años

Licencias/Certificaciones Requeridas

N/A

Idiomas (Habla, Escribe, Lee)

N/A

Paquetes De Computo Requeridos
Manejo de software estadístico (SAS, Azure, SPSS, SAP, etc.)
Programación y desarrollo (R, Python)
Manejo y explotación de bases de datos (SQL, PL)
Conocimiento de herramientas de Big Data (Vertica, Hadoop, etc)",,,2022-09-12T00:00:00,2022-10-15,OTHER
