Job_title,Company,State,City,Min_Salary,Max_Salary,unitText,SalaryCurrency,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
Data Analyst,Noralogic contrataciones,Jalisco,Guadalajara,288000,300000,MONTH,MXN,"BeneficiosPrestaciones de ley (IMSS, vacaciones, aguinaldo)Prestaciones superiores a las de la leyFlex time (home office, viernes corto)DescripciónJob DescriptionIngles fluido Who are we looking for?A J unior level data analyst who is well versed with Data, Data Structures, SQL queries.Able to analyze the existing queries and execute them.Technical Skills:·Experience in building SQL Queries, basic to intermediate level.Simple Joins, Nested queries, usage of default functions and conditions·Experience in handling data, retrieving from database, transforming into reports either using excel or proprietary tools·Excellent knowledge of Data Structures, Analyzing data, modifying SQL queries·Exposure to ExcelProcess Skills:·Able to coordinate with developers and stakeholders on data related issues.·Able to proactively search for solutions from knowledge bases, support documentation and other information sources·Strong initiative; self-driven; ability to multi-task·Should be responsible, accountable, and work independentlyBehavioral Skills:·Excellent English communication, able to comprehend and express·Hands on mentality and has experience to engage and handle challenges·Good at communication and interact with the business users well·Detail Oriented, precise workingCertification:·Any SQL CertificationTipo de puesto: Tiempo completoSalario: $24,000.00 - $25,000.00 al mesHorario:Turno de 10 horasPrestaciones:Horarios flexiblesSeguro de gastos médicos mayoresSeguro de vidaTrabajar desde casaVales de despensa",,,2022-09-12T00:00:00,2022-10-15,FULL_TIME
Custodio BBDD / Data Analyst,Comdata Group,,,-1,-1,,MXN,"FUNCIONES EN EL PUESTO

Definir requisitos empresariales de integración de datos (catálogos, tablas, vistas, procedimientos, job, triggers etc.)

Desarrollar y optimizar procesos de integración de grandes volúmenes de datos.

Proponer e implementar mejoras innovadoras en los controles así como la calidad de base de datos.

Desarrollar nuevos procesos de manejo de información para los desarrollos de las campañas nuevas.

Asegurar la calidad de la información cuantificando y cualificando la data obtenida en las tablas y orígenes de datos que se usaran para entregar información a clientes internos y externos.

Desarrollo y mantenimiento de procesos batchBig query es un plusPython es un plus

PERFIL (ESCOLARIDAD, EXPERIENCIA Y CONOCIMIENTOS):
Escolaridad.- Licenciatura trunca/concluida.

Experiencia.- Mínimo 2 años de experiencia en Análisis de datos, Data Analytics, Ingeniero de flujo de datos, Gobierno de datos, integridad de datos.

Habilidades:
Excel intermedio avanzado (Se realizara examen)

Conocimiento de métricas de callcenter ( inbound-outboun, e-mail, chat y redes sociales) - (Se realizara examen)

Análisis y manejo de base de datos complejas.

Conocimientos intermedio - avanzado de SQL Server

Inglés técnico (deseable)

COMPETENCIAS:
Capacidad de análisis

Resolutivo

Sentido de urgencia

Priorizar proyectos",,,2022-09-15T00:00:00,2022-10-15,FULL_TIME
DATA SCIENTIST ANALYST SOLUTIONS DEVELOPMENT MX 2-30,BBVA,México,Ciudad de México,-1,-1,,MXN,"Area:
Deadline for applying:
9/21/2022
Company:
243
What are we looking for?
Si cuentas con conocimiento en: Álgebra y Métodos Numéricos Coding Estadística Descriptiva e Inferencial Negocio Bancario y actividad bancaria Analytics Management Data Driven Decision Making Complex Visualization Elaboración, descripción y desarrollo de metodologías, estándares y políticas Nivel de inglés avanzado(C1)
Overview
Serás responsable de traducir las necesidades de negocio en un problema cuya resolución se basa en la extracción y el procesamiento de datos. Serás un team member de scrum de Advanced Analytics.
Lo que harás:
Colaborar en la planificación de sprints, las daily meetings, demos y realiza las retrospectivas correspondientes.
Describir detalle los milestones y features de backlog. A partir de dicho detalle, los traduce en requerimientos analíticos (nuevas fuentes de datos, técnicas necesarias …).
Desarrollar algoritmos de exploración, análisis y procesamiento de datos, estadísticos y de machine learning, con múltiples orígenes y formatos. Aplica los estándares de desarrollo y de calidad definidos por la disciplina en: análisis exploratorio, entrenamiento de modelos, selección de modelos analíticos y puesta en producción, conforme a los requerimientos de negocio y regulatorios.
Evaluar de manera regular el uso y el funcionamiento adecuado de los modelos, y es responsable de control de versionado. (robustness, accuracy). Reportan incidencias e inconsistencias de los Datos al Domain Owner.
Clasificar los modelos en función de su complejidad e importancia de acuerdo al Model Governance de sus Especialidad. compilar la documentación técnica de los modelos y la comparte en el inventario de modelos global, según Model Governance.
Participar en Demos y realiza las retrospectivas correspondientes.
Buscar oportunidades para utilizar los conocimientos, conjuntos de datos, código y modelos en otras funciones de la organización, con espíritu curioso y entusiasta sobre el uso de algoritmos para resolver problemas, animando a otros para ver el beneficio de su trabajo.
Revisar a través de la CoP y de su Cluster, se mantiene al día con la última tecnología, herramientas, software, técnicas y métodos, identificando los casos de uso idóneos para las nuevas metodologías propuestas.
Colaborar activamente en el desarrollo de la disciplina en su Cluster y CoP global, compartiendo conocimiento, y colaborando en la formación de otros científicos de datos.
Participar activamente en las dinámicas, meetups, que se definen en la disciplina y Especialidad.
Working at BBVA
BBVA is a global company with over 160 years of history present in 25 countries with over 81 million customers. We are more than 110,000 professionals working in multidisciplinary and diverse teams.


At BBVA, we are ahead of the transformation that is taking place in the banking sector, challenging the status quo, to make life easier to our customers.


Being part of BBVA means developing your career in one of the most innovative companies in finance.
Responsible banking
We're committed to responsible banking to help drive a more inclusive and sustainable society. The future of banking lies in financing the future.

We started out with the spirit of helping others make the best financial decisions. That spirit remains with us today and encourages us to keep moving forward, prioritizing innovation and digital transformation so that we can put the opportunities of this new era within everyone's reach.
Diversity
At BBVA we believe having a diverse team makes us a better bank.

For this reason, we actively support diversity, inclusion and equal opportunities regardless race, sex, age, religion, sexual orientation, gender identity or expression. We cultivate a collaborative and inclusive work environment that allows every employee to do their best work.
Our values
Our values define our identity; they are what drives us to make our goals a reality and they guide all of our actions and the decisions we make.
Customer comes first
We think big
We are one team",Finanzas,,2022-09-14T00:00:00,2022-10-15,OTHER
Talent Training Analyst - Remote Work,BairesDev,México,Naucalpan,-1,-1,,MXN,"Who We are

BairesDev is proud to be the fastest-growing company in America. With people in five continents and world-class clients, we are only as strong as the multicultural teams at the heart of our business. To consistently deliver the highest quality solutions to our clients, we only hire the Top 1% of the best talents and nurture their professional growth on exciting projects.
Talent Training Analyst at BairesDev
We are looking for a Training Analyst to deliver training to New Joiners and current employees at BairesDev. We seek someone who is organized, proactive, and multitasking with high adaptability to changes.
What You Will Do:
Gather information regarding the different processes to prepare and deliver training (internal and to New Joiners).Review and keep updated on the information in Confluence.Create and do the follow-up of the tickets to the Help Desk, HR, and any other department we interact with.Being aware of the information we have and proposing improvements.Review other departments' processes to be aware of changes.Keep updated the Organization Chart of the area.
Here is what we are looking for:
2+ years of related experience required.Excellent time management skills with a proven ability to meet deadlines.Adept with a variety of multimedia training platforms and methods.Solid experience in Excel and have a mind for data.Advanced English level.
How we do make your work (and your life) easier:
100% remote work.Hardware setup for you to work from home.
- Flexible hours - make your schedule.
Paid parental leave, vacation & holidays.Diverse and multicultural work environment.An innovative environment with the structure and resources of a leading multinational.Excellent compensation — well above the market average.Here you can grow at the speed of your learning curve.
Our people work remotely but with a consistent and robust culture that promotes diversity and teamwork. To continue being the leading software development company in Latin America, we want to ensure that every BairesDev member gets the best growth and professional development opportunities in a diverse, welcoming, and innovative environment.

Every BairesDev team member brings something unique to our company.
We want to hear your story. Apply now!",Tecnologías de la información,,2022-09-05T00:00:00,2022-10-15,OTHER
SAP data analyst CDMX GDL o Qro,Capital Empresarial Horizonte,México,Ciudad de México,360000,1200000,MONTH,MXN,"Capital Empresarial Horizonte Empresa Mexicana especialista en Recursos Humanos y Tecnologías de la Información solicita: SAP data analystPara laborar en Ciudad de México, GDL o QroPerfilEscolaridad:  Ingeniería en Sistemas, Informática o afín.Experiencia:  Mínima de 3 años.Inglés:  intermedio conversacional INDISPENSABLELugar a laborar: a elegir por el candidato CDMX, GDL o Qro (esquema Híbrido)Funciones que deberá dominar: Experiencia en manejo de SAP data analystExperiencia en Custover SpecialistOfrecemos:· Horario de Oficina· Sueldo a negociar según experiencia en brutos... (Esquema 100% nomina) + Prestaciones de Ley y Prestaciones superiores (SGMM familiar, SV 1 millón, Vales de despensa, 30 días de aguinaldo, 10 días de vacaciones + 2 por año, PTU)Interesados mandar su CV en formato Word al correo de contacto(arroba)horizonteempresarial.com.mx o comunicarse con la Lic. Nayeli Barrientos al 55 52 56 44 90 y 55 52 56 45 02.Tipo de puesto: Tiempo completo, Por tiempo indeterminadoSalario: $30,000.00 - $100,000.00 al mesHorario:Turno de 8 horasPrestaciones:Opción a contrato indefinidoSeguro de gastos médicosSeguro de gastos médicos mayoresSeguro de vidaVacaciones adicionales o permisos con goce de sueldoVales de despensaPregunta(s) de postulación:¿Qué nivel de inglés conversacional manejas?¿tienes inconveniente con laborar de manera híbrida?Idioma:Inglés (Deseable)",,,2022-09-14T00:00:00,2022-10-15,FULL_TIME
"Analyst, Human Resources",Disney Media & Entertainment Distribution,,,-1,-1,,MXN,"Be part of the story
BUILD SOMETHING BIGGER THAN YOURSELF
Comprised of the Company’s international business units and various direct-to-consumer streaming services, Disney Media & Entertainment Distribution (DMED) aligns technology, media distribution and advertising sales into a single business segment to create and deliver personalized entertainment experiences to consumers around the world.
Disney Media & Entertainment Distribution (DMED) brings together the Company’s best-in-class product, technology, and commercialization teams together into one global organization. DMED is responsible for the P&L management and all distribution, network and engineering operations, sales, advertising, data, and certain key technology functions worldwide for the Company’s content engines. DMED also manages operations of the Company’s streaming services including Disney+, Hulu, ESPN+ and Disney+ Hotstar; and domestic broadcast and cable television networks.
How you will contribute to our magical experience? :
In this role, the Analyst, Human Resources will Work closely with the HRBP team and local employees ensuring overall HR contribution and value added to the business. Collaborating with relevant stakeholders and Centers of Expertise to understand the business drivers and implement different HR initiatives and enhancements.
The Analyst, Human Resources will be responsible for:
Collaborate with the HRBP local team in different projects and day-to-day tasks.
Assist in advising/providing guidance in the administration of HR related policies and procedures, to include:
Position Management – partnership with GHRO in order to open and update roles in all systems .
Ad hoc reporting and data consolidation and analysis.
Liaison with HRBP, leaders and TA in the development of talent solutions resources for career development, client specific learning opportunities and/or job descriptions for recruitment.
Manual Headcount tracking and reporting, working closely with C&B and Finance team as a main POC for all headcount and employee financial updates.
Proactively document, maintain, and organize area practices and protocols related to HR policy administration and standards.
Partnering with OTS & GHRO on Onboarding and Off boarding processes and activities.
Work closely with the HRBP team, managers, and employees to improve work relationships, build morale, increase productivity and retention. Establish and maintain strong relationships across the client group and cross-functional HR partners.
Acting as point of contact to all employees regarding general queries.
What we need from you be part of this story:
Possess 2 years of experience as human resources generalist.
Advanced level of English.
Proficiency in Microsoft Suite (Excel, PowerPoint, Word) including V-Look ups & Pivot tables.
Ability to manage multiple priorities in a fast-paced environment.
Strong organizational, motivational, communication and problem-solving skills.
Experience and exposure to a variety of HR facets including organization development, employee relations, talent acquisition, learning & development, and compensation.
Proven ability to effectively interact with all organizational levels in a multicultural environment and build strong, trusted relationships.
Demonstrated analytical skills and the ability to interpret data, identify trends, recommend multiple solutions, and analyze employment – related issues.
Additional Information:
At Disney, we believe it takes great people to create the memorable experiences, products and services our consumers know and love. We are a team of storytellers and hire under equal opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, disability and gender identity. We foster a corporate culture of belonging and inclusiveness, which empowers our staff and company to thrive. At Disney, everyone has the opportunity to speak up and participate, grow and share ideas.
“You can design and create, and build the most wonderful place in the world. But it takes people to make the dream a reality.” Walt Disney",Audiovisual y medios de comunicación,,2022-09-15T00:00:00,2022-10-15,OTHER
Data Analyst,Axity México,,,720000,900000,MONTH,MXN,"Somos una compañía con más de 35 años de trayectoria, tenemos presencia en México, Colombia, Perú, Chile, Argentina y USA. Nuestro portafolio de servicios es uno de los más grandes en la industria: Estrategia Digital, Desarrollo de Software, Business Intelligence, Big Data, Analítica Avanzada, Seguridad, IOT.Buscamos: Data Analyst Responsable de la investigación y correcta documentación de las necesidades de datos que pudiera tener el negocio. El analista de datos será responsable de traducir los requerimientos de datos/información en solicitudes claras y entendibles para las áreas de producto y tecnología para que puedan ser priorizados y atendidos.Responsabilidades laborales esenciales: Atender requisitos para proyectos de iniciativas de datos.Entrevistar al negocio, analizar del flujo de trabajo y de procesos y sesiones de observación.Asegurar que las soluciones de TI reflejen la efectividad necesaria para alcanzar los objetivos comerciales.Crear requisitos y documentos de flujo de trabajo claros y concisos.Ayudar en la adopción del negocio y cambiar las actividades de gestión.Skills: Comunicación efectiva con directivosPensamiento estructuradoLiderazgoExperiencia:Indicadores financieros de Negocios retailAnálisis de negocios centrada en el dominio de datos y sistemas de inteligencia empresarial (3 años)Entrevistas con usuarios comerciales, recopilación de informes y requisitos de KPI (3 años)Análisis de datos, unión de diferentes fuentes con SQL (nivel avanzado)Documentación de requisitos y flujos de trabajo.Traducción de requisitos para ingenieros de datos y soluciones BI.Crear, entregar y analizar métricas clave utilizando paneles e informes(Es un plus) Construir modelos analíticos avanzados.Herramientas:SQLTableauData MiningBig DataMarco de trabajo ÁgilesOfrecemos:SUELDO A NEGOCIAR DE ACUERDO A EXPERIENCIAPrestaciones Superiores: Vales de despensa / SGMM / Seguro de Vida/ 20 días de aguinaldo/ 10 días de vacaciones/ 30% prima vacacional / Clases de inglés / Capacitación, cursos, certificaciones. Contrató indefinido. TRABAJÓ 100% REMOTOTipo de puesto: Tiempo completo, Por tiempo indeterminadoSalario: $60,000.00 - $75,000.00 al mesHorario:Turno de 8 horasPrestaciones:Opción a contrato indefinidoVacaciones adicionales o permisos con goce de sueldoVales de despensa",,,2022-09-07T00:00:00,2022-10-15,FULL_TIME
R&D Analyst,PepsiCo,,,-1,-1,,MXN,"Responsibilities: Are you looking for a challenging opportunity in an organization with a dynamic, innovative, and diverse environment?

If so, your future is at PepsiCo. As a world class company, we seek excellence in everything we do from the launch of a new product to its execution at the point of sale. Therefore, we need talented and innovative people who are passionate about what they do.

PepsiCo Mexico currently has a broad portfolio of food and beverage products, such as Sabritas, Gamesa, Quaker, Pepsi, Obela and Sonrics, leading brands in the snacks, cereals, soft drinks, isotonic and cookies markets respectively.

Our vision is to be the world leader in food and beverages by earning with purpose. ""Winning with purpose"" reflects our ambition to win sustainably in the market and integrate the purpose in all aspects of the business. For more information you can enter www.pepsico.com

Now we are looking for this position:

R&D Scientist

Main Purpose

R&D Scientist is responsible for planning and executing simple Product Development Innovation projects with supervision for the NSH&E categories as assigned. The associate will also be responsible for the Regional R&D and technical cross-functional team project management and project stakeholder communication management under supervision.

Accountabilities / Responsibilities

Execute relevant bench top applications, including prototypes, formula, specifications generation and related validation procedures in alignment with PEP R&D protocols and best practices.
Meet success criteria assigned to each project including metrics on time, quality and performance as per aligned in AOP and Global Innovation Brief.
Lead R&D cross-functional teams to define project timeline and deliverables, ensure completion of team deliverables defined in crossfunctional meetings, gather team’s feedback and required documentation and represent technical team in TSG meetings
Serve as project execution interface for Marketing Leads and business teams, and seek team alignment on hot topics
Partner with Stage Gate, MKT and Operational teams to complete all necessary information
Work in partnership with local and regional regulatory and nutritional teams, as well as Sensory and analytical teams to ensure meeting project deliverables
Deliver technical information (specifications, manual, procedures, label approval, shelf life reports) for production success in house or existing or new license agreements and co-manufacturing partnerships
Keep close contact with SMEs (subject matter experts) around the PEP world to ensure best practices and documents implementation
Lead new material / supplier qualification process following PepsiCo protocols for Energy Platform, supporting operations when process trials are required with a particular focus on Amazonian suppliers.
Provide AOP and actual project budget feedback and keep data tools up-to-date

Qualifications: Qualifications / Requirements

R&D experience: 1-3 years in R&D or food industry;
Education: Bachellors Degree or higher in one of the following areas - Food Science, Food Process Engineering, Chemical Engineering, Chemistry or any related technical area;
Functional experience: Sparkling beverages, juices, water preferred.
Completely fluent in both English and Spanish required
Strong interpersonal skills with ability to communicate and negotiate effectively across junior levels and functions
Knowledge of Quality management systems and local and international laws (Codex, FDA Regulations and Mercosur regulations)
Strong project management skills
Ability to lead cross-functional teams deliverables leveraging existing technologies
Strong ability to work with virtual teams
Ability to collaborate and influence;
Cultural sensitivity / flexibility in responding to different cultures
In PepsiCo, we are committed to offer equal development opportunities to all the candidates, no matter the religion, race, sexual orientation, nationality, age, etc. We respect and appreciate the diversity as a workforce and innovation to the organization.

If you have the profile that we are looking, send us your CV by this via, if it's possible that you can participate in this process we will contact you ASAP, if not we will keep your info in our base data for 6 months.

¡Thank you so much for your interest in PepsiCo!
Responsibilities (Secondary Language): Are you looking for a challenging opportunity in an organization with a dynamic, innovative, and diverse environment?

If so, your future is at PepsiCo. As a world class company, we seek excellence in everything we do from the launch of a new product to its execution at the point of sale. Therefore, we need talented and innovative people who are passionate about what they do.

PepsiCo Mexico currently has a broad portfolio of food and beverage products, such as Sabritas, Gamesa, Quaker, Pepsi, Obela and Sonrics, leading brands in the snacks, cereals, soft drinks, isotonic and cookies markets respectively.

Our vision is to be the world leader in food and beverages by earning with purpose. ""Winning with purpose"" reflects our ambition to win sustainably in the market and integrate the purpose in all aspects of the business. For more information you can enter www.pepsico.com

Now we are looking for this position:

R&D Scientist

Main Purpose

R&D Scientist is responsible for planning and executing simple Product Development Innovation projects with supervision for the NSH&E categories as assigned. The associate will also be responsible for the Regional R&D and technical cross-functional team project management and project stakeholder communication management under supervision.

Accountabilities / Responsibilities

Execute relevant bench top applications, including prototypes, formula, specifications generation and related validation procedures in alignment with PEP R&D protocols and best practices.
Meet success criteria assigned to each project including metrics on time, quality and performance as per aligned in AOP and Global Innovation Brief.
Lead R&D cross-functional teams to define project timeline and deliverables, ensure completion of team deliverables defined in crossfunctional meetings, gather team’s feedback and required documentation and represent technical team in TSG meetings
Serve as project execution interface for Marketing Leads and business teams, and seek team alignment on hot topics
Partner with Stage Gate, MKT and Operational teams to complete all necessary information
Work in partnership with local and regional regulatory and nutritional teams, as well as Sensory and analytical teams to ensure meeting project deliverables
Deliver technical information (specifications, manual, procedures, label approval, shelf life reports) for production success in house or existing or new license agreements and co-manufacturing partnerships
Keep close contact with SMEs (subject matter experts) around the PEP world to ensure best practices and documents implementation
Lead new material / supplier qualification process following PepsiCo protocols for Energy Platform, supporting operations when process trials are required with a particular focus on Amazonian suppliers.
Provide AOP and actual project budget feedback and keep data tools up-to-date

Qualifications (Secondary Language): Qualifications / Requirements

R&D experience: 1-3 years in R&D or food industry;
Education: Bachellors Degree or higher in one of the following areas - Food Science, Food Process Engineering, Chemical Engineering, Chemistry or any related technical area;
Functional experience: Sparkling beverages, juices, water preferred.
Completely fluent in both English and Spanish required
Strong interpersonal skills with ability to communicate and negotiate effectively across junior levels and functions
Knowledge of Quality management systems and local and international laws (Codex, FDA Regulations and Mercosur regulations)
Strong project management skills
Ability to lead cross-functional teams deliverables leveraging existing technologies
Strong ability to work with virtual teams
Ability to collaborate and influence;
Cultural sensitivity / flexibility in responding to different cultures
In PepsiCo, we are committed to offer equal development opportunities to all the candidates, no matter the religion, race, sexual orientation, nationality, age, etc. We respect and appreciate the diversity as a workforce and innovation to the organization.

If you have the profile that we are looking, send us your CV by this via, if it's possible that you can participate in this process we will contact you ASAP, if not we will keep your info in our base data for 6 months.

¡Thank you so much for your interest in PepsiCo!",Manufactura,,2022-09-12T00:00:00,2022-10-15,OTHER
Data Analyst,Confíe Tijuana,Baja California,Tijuana,185431,312136,MONTH,MXN,"Job description:Work from homeComputational knowledge such as: Excel, VBA, Macros, SWL, ICBM, Databases (SQL, PostgreSQL), Programming, Javascript, Strong computer literacyInterpret data, analyze results using statistical techniques and provide ongoing reportsDevelop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and qualityAcquire data from primary or secondary data sources and maintain databases/data systemsIdentify, analyze, and interpret trends or patterns in complex data setsJob profile:Conversational EnglishBachelor Degree1 year at performance analysis and report elaborationTipo de puesto: Tiempo completoSalario: $15,452.55 - $26,011.36 al mesHorario:DiurnoPrestaciones:Trabajar desde casa",Seguros,,2022-08-18T00:00:00,2022-10-15,FULL_TIME
Political Analyst,TC Energy,México,Ciudad de México,-1,-1,,MXN,"Our Stakeholder & Government Relations department is evolving to meet the needs of our growing business and we are expanding our presence in Mexico to support the MX Business Unit. We are looking for our Policy and Insights Analyst who has knowledge and experience developing and delivering actionable insights that guide corporate leadership and enable our SGR and BD’s team’s success nationwide.
You will be monitoring, researching, analyzing and reporting on policy developments as well as helping to formulate advocacy strategies that guide TC’s business forward at an exciting and important time for the company and its activities in Mexico.

Your analysis portfolio will include topics such as North American geopolitics (including trade and investment trends, bilateral foreign relations), Mexican campaign and electoral developments, novel energy sector technology (including CCUS, H2), and relevant sector legislation and policy developments.

You will craft actionable insights for one of Mexico’s fastest-growing and most important energy providers.
Responsibilities
Develop and execute stakeholder mappings, engagement plans, and advocacy strategies.
Lead the strategy to identify in advance legislative initiatives that can generate impact to TC Energía.
Provide strategic support and advice to management and leadership in the area, and with other corporate departments such as Business Development, Innovation and Optimization, and Corporate Strategy.
Assist other areas of the company for the development of corporate events in the states where the company has presence and participate in programs and initiatives to drive the company's reputation and business priorities.
Assist events hosted by chambers of commerce, business organizations, and independent think tanks on the company’s behalf, to keep the company and corporate leadership up to date on political and sector developments.
Develop standardized formats to present analysis in the most concise and efficient way.
Minimum qualifications
Bachelor´s Degree in Law, Economics, International Relations, Political Science, or Data Sciences.
Minimum 2 years’ experience working directly in academic publications, think tanks, electoral campaigns, or with a public official.
In-depth knowledge of the Mexican political system.
Fluent reading, writing, and speaking English and Spanish.
Ability for teamwork and organizing action plans across several teams in a rapidly changing environment. .
Proficient in Microsoft Excel, Word, and PowerPoint required.
Exceptional organizational and prioritization skills are necessary.
Strong verbal and written communication skills.
Good judgement skills are critical and the ability to work independently, take initiative, and not be afraid to ask questions and seek answers when follow-up is required.
Ability to engage in interdisciplinary analysis, synthesizing information from technical, legal, financial, and political sources.
Preferred qualifications
Interest in the energy sector and Mexican politics.
Ability to communicate clearly and concisely while displaying credibility and confidence.
Proven ability to handle multiple assignments simultaneously and be comfortable in a fast-paced, dynamic environment.
Familiarity with Microsoft Power BI
Critical thinking.
Knowledge and efficient use of online research methods and sources, including government and scholarly research databases and open access data.
About our business
TC Energy is a leading energy infrastructure company in North America. We have three complementary businesses of natural gas pipelines, liquids (oil) pipelines, and power generation. Our operations span three countries, seven Canadian provinces, and 34 U.S. states.
TC Energy is an equal opportunity employer.
Learn more
Visit us at TCEnergy.com and connect with us on our social media channels for our latest news, employee stories, community activities, and other updates.
Thank you for choosing TC Energy in your career search.Depending on qualifications, the successful candidate may be offered a position at a more appropriate level and/or ladder.Applicants must have legal authorization to work in the country in which the position is based with no restrictions.All positions require background screening. Some require criminal and/or credit checks to comply with regulations.TC Energy is committed to provide employment opportunities to all qualified individuals, without regard to race, religion, age, sex, color, national origin, sexual orientation, gender identity, veteran status, or disability. Accommodation for applicants with disabilities is available on request during the recruitment process. Applicants with disabilities can request accessible formats or communication supports by contacting careers@tcenergy.com.","Energía, minería e infraestructura pública",,2022-09-13T00:00:00,2022-10-15,FULL_TIME
