Job_title,Company,State,City,Min_Salary,Max_Salary,unitText,SalaryCurrency,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
Analista de Planeación Financiera,SISTEMAS INTEGRALES KANTO,México,Ciudad de México,204000,220800,MONTH,MXN,"Somos una empresa que cree en los valores de integridad, honestidad y excelencia en el servicio, somos incluyentes y siempre estaremos de acuerdo en generar relaciones solidas con nuestros clientes y sobre todo con el personal que hace posible que este gran equipo funcione, si estás buscando donde puedas desarrollarte, obtener estabilidad en base a tu esfuerzo y compromiso con los resultados, y además eres alguien que valora el trabajo en equipo, esta posición es para ti.Empresa dedicada a la venta y distribución de Gas LP, está en búsqueda de tu talento._ Analista Financiero Jr. _Ofrecemos: Salario $17,000 a $18,400 mensuales ✓ PRESTACIONES DE LEY ✓ PRESTACIONES SUPERIORES ✓ Caja de ahorro ✓ Servicio de COMEDOR subsidiado ✓ Grandes descuentos en entretenimiento por medio de red de negocios ✓ Alto potencial de desarrollo profesional y económico en base a resultados. Escolaridad requerida: Licenciatura en Finanzas, Contabilidad, Actuaría, Administración o EconomíaExperiencia mínima de 1 año en puestos similares.*ü Apoyo a la elaboración de los presupuestos financieros mensuales/ anuales/semestrales.ü Apoyo en el monitorear los resultados de la Compañía con relación al margen de rentabilidad.ü Búsqueda de optimización y reducción de costos.ü Analiza y realiza reportes, indicadores financieros y de gestión operativa.ü Elaborar estados de resultados por línea de negocios y análisis de variaciones.ü Control presupuestal.ü Análisis de rentabilidad y eficiencias.ü Análisis de retornos de inversión.ü Elaborar y proyectar flujos de efectivo.Manejo de Herramientas: ✓ Power BI ✓ Tableau ✓ Excel nivel avanzado (macros, análisis de bases de datos)Competencias requeridas para esta posición. ✓ Planeación y Organización ✓ Análisis y síntesis ✓ Habilidad numérica ✓ Trabajo por objetivos. ✓ Proactividad y tolerancia al trabajo bajo presión.Tipo de puesto: Tiempo completoSalario: $17,000.00 - $18,400.00 al mesHorario:Turno de 8 horasPrestaciones:Caja de ahorroServicio de comedor con descuentoConsideraciones ante el COVID-19:Contamos con protocolo sanitario tanto para el personal de oficinas como para los visitantes.",,,2022-08-19T00:00:00,2022-10-16,FULL_TIME
Analista Jr de Estadística,TEXTILSERV,México,Toluca,180000,182280,MONTH,MXN,"-Escolaridad: Lic. Actuaria, Matemáticas Aplicadas, Ingeniero Industrial o afín-Experiencia de 1 año en análisis de datos (cuentan practicas profesionales).-Manejo de Excel avanzado.-Alta Capacidad numérica.-Experiencia en elaboración de presentaciones ejecutivas.Conocimientos es:-Diseño e implementación de indicadores de desempeño.-Elaboración de pronósticos y presupuestos de venta.-Análisis del mercado y la competencia.Funciones:Elaboración de KPIsSeguimiento de PresupuestoManejo de bases de datosElaboración de Presentaciones ejecutivasRecopilación, análisis e interpretación de InformaciónProyecciones, tendenciasBeneficios:-Contratación directa por la empresa.-Prestaciones superiores a las de ley.-Horario de Lunes a viernes.Tipo de puesto: Tiempo completo, Por tiempo indeterminadoSalario: $15,000.00 - $15,190.00 al mesHorario:Turno de 8 horasPrestaciones:Descuentos y precios preferencialesEstacionamiento de la empresaServicio de comedor con descuentoVales de despensaEducación:Licenciatura terminada (Obligatorio)",,,2022-09-06T00:00:00,2022-10-16,FULL_TIME
ANALISTA SERVICIO TI JR CMSUR,Christus Muguerza Sistemas Hospitalarios,Nuevo León,Monterrey,-1,-1,,MXN,"ID Puesto
382
Departamento
Servicios TI
Responsabilidad (Breve descripción)
Asesorar a usuarios, como primer punto de contacto, y asegurar la solución de sus problemas con el uso de tecnología y sistemas de información de manera oportuna, observando el cumplimiento de las políticas y procesos de TI.
Funciones
Atender incidencias y requerimientos de usuarios, acorde a los niveles de servicio establecidos, para garantizar la fluidez de la Operación del Grupo Christus Muguerza.
Colaborar con la realización del inventario de hardware y software, de acuerdo a los lineamientos del área de activos, para mantener el control de los mismos en la unidad donde esté asignado.
Mantenerse actualizado en procesos de negocio, flujos de sistemas, políticas y procesos, tanto de TI, así como de la unidad de servicio, de acuerdo al plan de capacitación anual de la GSE, para asegurar un servicio acorde a lo requerido por la Organización.
Relaciones internas
Personal de TI, colaboradores en general.
Relaciones externas
Proveedores de TI.
Ultimo grado de estudios
Licenciatura, Ingeniería.
Escolaridad afín al puesto
Ingeniero en Sistemas, Ingeniero en Sistemas Computacionales, Licenciado en Tecnologías de la Información.
Idioma
Inglés
¿Requiere viajar?
No
Conocimientos técnicos
Experiencia en Servicio a clientes y manejo de conflictos, conocimientos de estándares TI: COBIT, ITIL, CMM, conocimientos de redes de voz y datos, soporte a hardware y software de equipo de cómputo personal.
Manejo de Equipos / maquinaria / software:
Sistemas Operativos Windows, Oracle.
Años de experiencia en puesto similar
1
Competencias
A- ORIENTADO A LA ACCIÓN
B- CRITERIO
B- CAPACIDAD DE RESPUESTA
A- SE COMUNICA CON EFICACIA
A- CALIDAD EN LAS DECISIONES
A- AGILIDAD PARA EL APRENDIZAJE
B- RESOLUCIÓN DE PROBLEMAS
A- DEMUESTRA CONCIENCIA DE SÍ MISMO
A- COLABORA
B- PLANIFICACIÓN Y GESTIÓN DEL TIEMPO
A- ORIENTACIÓN HACIA EL CLIENTE",,,2022-08-21T00:00:00,2022-10-16,OTHER
ANALISTA DE INFORMACION COMERCIAL JR,Representaciones Pfeifer,,,180000,180000,MONTH,MXN,"Importante empresa en el giro de las artes gráficas solicita personal para su gran equipo de trabajo comoANALISTA DE INFORMACION COMERCIAL JRRequisitos: Lic. en Administración o Relaciones comercialesExperiencia 1 año en Base de DatosActividades: Revisar, validar y registrar en SAP el alta de un clienteRevisar, validar y aprobar notas de créditoActualizar datos de contacto de clientesAnalizar y elaborar reportes de registro de visitas y/o llamadas telefónicas efectuadas por la fuerza de ventasRevisar y autorizar pedidosPreparar y mantener la base de datos para los indicadores de productividadRealizar el levantamiento manual de horarios de recepción y ordenes de ventaOfrecemos: - Sueldo competitivo- Prestaciones de Ley y superiores- Horario de lunes a viernesTipo de puesto: Tiempo completoSalario: A partir de $15,000.00 al mesHorario:Turno de 8 horasPregunta(s) de postulación:Experiencia en manejo de base de datos?Experiencia:SAP: 1 año (Deseable)",Agrario,,2022-08-30T00:00:00,2022-10-16,FULL_TIME
Analista Jr. Inteligencia de Datos,Farmacias de Similares,,,-1,-1,,MXN,"Farmacias Similares somos la empresa líder en Venta y Distribución de Medicamentos Genéricos y Productos de Salud en México y América Latina, te invita a formar parte de su equipo de como:

ANALISTA JR. INTELIGENCIA DE DATOS

¿Qué requisitos debo cumplir?

Escolaridad Lic. en Actuaría, Ciencias de la Computación, Matemáticas Aplicadas o afín (pasante o titulado).
Experiencia de 6 meses en análisis de datos para sector farmacéutico.
Habilidad para el manejo, extracción, tratamiento e interpretación de datos.
Excel nivel intermedio.
SQL nivel básico (para consultas).
Deseable manejo de IQVIA, Knobloch e IMS (no indispensable, pero sería un plus).
¿Cuál es el objetivo principal del puesto?

Analizar estadísticamente la información de ventas, generar hallazgos o patrones mediante técnicas estadísticas de regresión y algoritmos, así como colaborar en la generación de modelos, inferencias y predicciones a partir de las bases de datos de datos provistos por la industria.

¿Qué ofrece la empresa?

Horario de lunes a viernes, de 8 am a 5 pm
Lugar de trabajo: Metro Nativitas (esquema hibrido por pandemia).
Prestaciones de ley y superiores
Contratación directa por la empresa, estabilidad laboral y oportunidad de crecimiento.
Interesados favor de compartir su CV actualizado por este medio y a la brevedad te contactaremos.",Ventas al mayoreo y al menudeo,,2022-09-03T00:00:00,2022-10-16,FULL_TIME
Analista de Procesamiento de Datos Junior,Atlantia Search,,,120000,120000,MONTH,MXN,"Esta vacante viene de la bolsa de empleo Talenteca.com
Buscamos un/a apasionado/a por el análisis de información e indicadores que contribuya a proyectos de investigación de mercados.
Responsabilidades principales:
Tratar información y generar análisis para el cálculo de indicadores de negocio.
Integrar reportes ejecutivos y reportes completos de resultados de proyectos de investigación de mercados asignados.
Realizar presentaciones internas de resultados y dar soporte en presentaciones con clientes.
Manejar comunicación directa con clientes y atender solicitudes especiales de análisis con ellos.
El perfil que buscamos:
Gran compromiso, trabajo de calidad y alto rendimiento poniendo siempre en el centro al cliente.
Te encanta trabajar con datos numéricos, herramientas de análisis, ir más allá de la data para generar insights que puedan ser clave y fácilmente accionables para el cliente. Eres conocido por tu orientación a detalle, calidad y organización personal.
Expectativas:
Esta posición tiene un gran impacto en proyectos clave de la compañía por lo que la calidad de tu trabajo y comunicación será impecable.
Buscamos un perfil numérico/cuantitativo por lo que el uso de excel avanzado es indispensable.
No necesitas experiencia específica en investigación de mercados pero sí tener nociones e interés en los negocios, marketing y tecnología.
Tener la capacidad de generar análisis para conclusiones y recomendaciones de la data que trabajas.
Requisitos del empleo:
Excel -Avanzado. Comprobable durante el proceso de selección.
Powerpoint - Intermedio.
Experiencia mínima de 2-3 años en el tratamiento de bases de datos en Excel.
Habilidades: proactividad, alta capacidad de análisis, capacidad de trabajo bajo presión, excelente comunicación efectiva, alta orientación a resultados y alta orientación a detalle.
Inglés – 60%
Carreras prioritarias: Economía, Estadística, Matemáticas, Ingeniería Industrial, Actuaría, Negocios con alta experiencia en tratamiento de datos.
Posición de trabajo remota.
Lo que puedes esperar:
Prestaciones de Ley - Contratación directa.
Vales de despensa

Trabajo remoto.
Trabajo en equipo dinámico, cordial, multicultural.
Esta vacante viene de la bolsa de empleo Talenteca.com: https://www.talenteca.com/mexico/empleo/benito-juarez/analista-de-procesamiento-de-datos-jr-/611ff2992600004500546b41t5?source=indeed",Audiovisual y medios de comunicación,,2022-09-10T00:00:00,2022-10-16,FULL_TIME
ANALISTA DE DATOS JR,"FERROMETAL DE BAJA CALIFORNIA, S.A. DE C.V.",Baja California,Tijuana,216000,216000,MONTH,MXN,"Escolaridad Ingeniería informática, sistemas o afín, 1 año de experiencia.. Funciones: conocimiento alto en Exel para realizar reportes a base de fórmulas, tablas dinámicas, análisis de bases de datos, etc., conocimiento en Access (intermedio), recabar, consolidar y analizar datos de diversas fuentes. Presentar reportes consolidados e individuales y hacer recomendaciones alineadas al mejoramiento de métricas especificas. Descargar diariamente datos de diferentes fuentes. Analítico, concentrado y comprometido con los objetivos de la organización. Conocimientos: Excel, power Pivot, power Query, Power Bi, SQL y Mysql, etc. Competencias: capacidad de análisis, atención al detalle, comunicación, responsabilidad, destreza para analizar bases de datos.Tipo de puesto: Tiempo completo, Por tiempo indeterminadoSalario: A partir de $18,000.00 al mesHorario:Turno de 8 horasTurno matutinoPrestaciones:Caja de ahorroOpción a contrato indefinidoUniformes gratuitosVales de despensaFecha de inicio prevista: 19/09/2022",,,2022-09-12T00:00:00,2022-10-16,FULL_TIME
Analista de egresos,Grupo RosaNegra,,,-1,-1,,MXN,"Somos una empresa mexicana dedicada a crear experiencias gastronómicas únicas en cada uno de nuestros restaurantes, con pasión por una cocina creativa y un servicio excepcional.

Grupo Rosa Negra está buscando:

Analista de Egresos Jr.




Perfil de puesto:



2 años de experiencia comprobable en el Puesto.

Escolaridad: Licenciatura en Contabilidad.
Zona de trabajo: Polanco CDMX.
Experiencia en egresos.


Validar, según los procedimientos establecidos, la información de los reportes de comisiones de los Concierge (realizados por las Hostess y las Cajeras), registrar la información en el reporte correspondiente y enviarla al área de Ventas, con la finalidad de que el área de Ventas dé el visto bueno para proceder al pago de las Comisiones.

Registrar los gastos no deducibles en el reporte correspondiente y enviarlo al área de Cuentas por Pagar y al director de Finanzas con el fin de proceder a su reembolso.
Llevar el registro e información del expediente de ""proveedores de gastos"" (estados de cuentas, cédula de identificación fiscal, contratos, etc.) con el objetivo de contar la información actualizada.

Revisar que las facturas entregadas por el área de Almacén posean los datos fiscales correctos y verificar que se hayan ingresado a cartera correctamente, con la finalidad de que estén dadas las condiciones para su pago.



Ofrecemos:




Atractivo sueldo base

Prestaciones superiores a las de ley.
Seguro de gastos médicos mayores
Seguro de gastos médicos menores.
Seguro de vida

Agradecemos tu interés por unirte a este gran equipo de trabajo.


Postúlate enviando tu CV al correo de contacto.

¡Éxito en tu búsqueda de empleo!",,,2022-09-02T00:00:00,2022-10-16,FULL_TIME
Analista Workforce Jr,Totalplay,México,Ciudad de México,132000,144000,MONTH,MXN,"TOTALPLAY ESTA EN BUSCA DE TÚ TALENTO, SOLICITAMOS:**ANALISTA WFM JR**Actividades:  Elaboración de reporteria, medición del nivel de servicio, monitoreos, bitácora de incidencias, control de timeoff, etc.Requisitos: Experiencia mínimo 1 año en contact center manejando una plantilla de mínimo 300 posiciones.Escolaridad: Bachillerato concluido o Lic. trunca (comprobable)Excel avanzado indispensable, se realizara evaluación (hojas de calculo, bases de datos, macros)Disponibilidad para rolar turnos.Ofrecemos: Sueldo mensual bruto $15,000 a $17,000, a tratar dependiendo experienciaPrestaciones de ley inmediatas (imss, aguinaldo, vacaciones)Posibilidad de desarrollo dentro de la empresa.Agradable ambiente laboral.Descuentos con la marca.Zona:  Narvarte, cerca de metro nativitas o eugenia.Horario laboral:  L-D 8 horas diarias, disponibilidad para rolar turnos.Si te interesa la vacante postúlate por este medio o envía tú cv actualizado por Whatsapp 5*5*2*1*0*5*3*2*8*6Tipo de puesto: Tiempo completo, Por tiempo indeterminadoSalario: $11,000.00 - $12,000.00 al mesHorario:Turno de 8 horasPrestaciones:Aumentos salarialesDescuentos y precios preferencialesPrograma de referidosSeguro de vidaEducación:Bachillerato terminado (Deseable)Experiencia:Analista Workforce: 1 año (Deseable)Fecha de inicio prevista: 30/08/2022",,,2022-09-04T00:00:00,2022-10-16,FULL_TIME
Analista Jr de Análisis de Información Comercial,El Puerto de Liverpool,,,84000,84000,MONTH,MXN,"Descripción empresa:
El Puerto de Liverpool es la empresa líder en tiendas departamentales en México. Con más de 170 años en el mercado, nos dedicamos a facilitar la selección de productos y brindarles el mejor servicio a las familias mexicanas, esperando superar las expectativas de calidad, moda, valor y atención dentro de un ambiente agradable. Contamos con oficinas centrales, más de 100 tiendas departamentales, centros comerciales, boutiques, centros de distribución y bodegas logística.
Nuestra misión es servir al cliente en todo lugar, todos los días, toda la vida, nuestra visión es ser la mejor opción en servicio, surtido y valor. Nuestros valores nos guían hacia el trabajo en equipo, productividad, innovación e integridad.
Somos una empresa innovadora y en constante evolución, sabemos la importancia de transformar a nuestros negocios a través de nuestros colaboradores

Misión del cargo:
Tu misión será: el monitoreo, análisis, control y validación de la información generada en el sistema para la consolidación de reportes.

Funciones del cargo:
¿Te apasiona el análisis de información, bases de datos, generación de reportes ?

En está posición tu serás capaz de adquirir el conocimiento de los sistemas internos para la obtención de la información en cuanto a estar validando que la información sea la correcta y actualizada.
Generación de reporte de nuevos analíticos que se requieran por parte del negocio o de usuarios (compradores).
Integración, consolidación y validación de la información.
Atención a clientes
Validación y Matrices de prueba para liberación de proyectos
Apoyo en creación de manuales y actualización de políticas, procedimientos y formatos.
Monitoreo de la información y validación de la información del sistema.
Mayor reto: Desarrollar la capacidad de análisis numérica para interpretación de datos duros, indicadores e información.

Te ofrecemos:
Contamos con horario híbrido, una parte de tu día trabajarás en el Corporativo Mario Pani (Santa Fe) y por la tarde de manera remota:
Lunes a Jueves: Corporativo 7:00 a 13:00 hrs. / Remoto 16:00 a 18:00 hrs. / Viernes 7:00 a 13:00 hrs.
Lunes a Jueves Corporativo 8:00 a 14:00 hrs. / Remoto 16:00 a 18:00 hrs. / Viernes 8:00 a 14:00 hrs.
Lunes a Jueves Corporativo 9:00 a 14:30 hrs. / Remoto 16:00 a 18:00 hrs. / Viernes 9:00 a 14:30 hrs.
Contamos con opción de transporte (sujeto a disponibilidad).
Y prestaciones y beneficios adicionales.

Requisitos:
Titulado
Lic. Actuaría, Lic. en Sistemas, Lic. en Informática Administrativa
Excel Avanzado
SAP básico
Inglés básico
Experiencia 2 a 5 años como Analista de Información

Condiciones Oferta:
Sueldo neto mensual: 7000

Beneficios:
Te proponemos ser parte de una de las compañías más reconocidas de México y vivir una cultura donde:
Las personas son lo más importante de nuestra cultura.
La calidad de vida es fundamental.
La diversidad es vista y vivida como parte del éxito.
Ser dueño de tu carrera profesional.
Trabajar en un ambiente de constante aprendizaje y retos profesionales.
Beneficios por ser parte de nuestra vida (SGMM, utilidades garantizadas, bono por resultados, bono de automóvil, caja de ahorro, vales de despensa, descuentos especiales y un excelente ambiente de trabajo).
Programas de desarrollo constantes, tanto para habilidades blandas como habilidades técnicas.
Acceso a la Universidad Virtual Liverpool, donde puedes estudiar una licenciatura, maestría o perfeccionar el idioma inglés.
Para nosotros los colaboradores son el eje central y buscamos brindar un lugar atractivo para trabajar en el cual, la inclusión, calidad de vida y bienestar son fundamentales para el desarrollo humano y profesional.

Descripción Proceso de Selección:
El proceso de selección se realiza a través de Aira - plataforma de reclutamiento diseñado para mejorar tu experiencia de postulación.

Para postular solo necesitas:
1. Postular a la oferta
2. Revisar tu email
3. Ingresar a Aira y contestar las preguntas y/o pruebas solicitadas

Luego, si vemos que tu perfil se ajusta a lo que estamos buscando, te contactaremos por email (a través de Aira) para seguir a la etapa presencial.

No olvides adjuntas tu CV actualizado y número de contacto.",Ventas al mayoreo y al menudeo,,2022-09-04T00:00:00,2022-10-16,FULL_TIME
