Job_title,Company,State,City,Min_Salary,Max_Salary,unitText,SalaryCurrency,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
Residente de Obra,S-MART,Nuevo León,Monterrey,192000,228000,MONTH,MXN,"Descripción del puestoGarantizar la ejecución adecuada de los proyectos a su cargo, mediante una supervisión adecuada del personal que ejecuta la obra, así como capacitar a los Supervisores de Obra nivel Junior.Responsabilidades Principales1. Apoyar al Gerente Regional de Construcción en la elaboración de planes operativos de las obras a su cargo.2. Apoyar en la elaboración de los programas de avance físico de las obras a su cargo, en conjunto con el Analista de Costos. Dichos programas serán validados por el Gerente Regional de Construcción respectivo y el Gerente General de Construcción.3. Supervisar el correcto cumplimiento de las actividades a cargo de los Supervisores de Obra Junior.4. Vigilar el cumplimiento de procedimientos y políticas inherentes de las obras a su cargo.Controlar los costos de operación de las obras a su cargo.6. Comandar el proceso de capacitación de todo el personal de las obras a su cargo. 7. Asistir a las reuniones en obra con clientes internos y proyectistas, acompañado del Gerente Regional de Construcción.8. Dar solución de detalles constructivos.9. Celebrar reuniones con el personal de obra (subcontratistas).10. Apoyar en la evaluación y administración de proveedores y subcontratistas.11. Evaluar el desempeño del personal de obra.12. Realizar la revisión preliminar de las estimaciones de avances de los subcontratistas.13. Supervisar el correcto uso y conservación de los activos.14. Asistir a las capacitaciones a las que sea convocado. 15. Realizar las tareas que su jefe inmediato le asigne, relacionadas con el puesto.Licenciatura preferente en Ing. Eléctrico / Ing, Electromecánico / Ing, IndustrialExperiencia mínimo 2 años en el puesto y mínimo 2 años en el ramo Conocimiento de sistemas constructivos Programación y presupuestacion Comunicación oral y escrita Análisis de problemas y toma de decisiones Manejo de estrés Organización (tiempo, personas, cosas, datos) Manejo de juntas de trabajo.  Liderazgo y coaching SupervisiónJornada de Trabajo8:00 am a 6:00 pm de lunes a viernes 8:00 am a 12:00 pm sábadosTipo de puesto: Tiempo completoSalario: $16,000.00 - $19,000.00 al mesHorario:Turno de 8 horasPrestaciones:Caja de ahorroSeguro de gastos médicosVales de despensaTipos de compensaciones:Bono anualBono de asistenciaBono de puntualidadEducación:Licenciatura terminada (Obligatorio)Experiencia:contrucción-remodelación: 1 año (Deseable)Disponibilidad de turnos:Turno nocturno (Deseable)Turno diurno (Deseable)Disponibilidad para viajar:100 % (Deseable)",Ventas al mayoreo y al menudeo,,2022-08-25T00:00:00,2022-10-16,FULL_TIME
Analista de Comercio Exterior JR,DISTRIBUIDORA DE LA ROSA,Jalisco,Tlaquepaque,228000,252000,MONTH,MXN,"ANALISTA DE COMERCIO EXTERIOR JUNIOR OBJETIVO DEL PUESTO: Mantener los registros de comercio exterior en los sistemas de ARANXEL e IConectAUTORIDAD: · Es responsable de administrar las bases de datos de los programas de ARANXCEL e Econnect y de las actividades para estructurar el departamento de comercio internacional.FUNCIONES: Conocimiento de Anexo 22,24 y 30A22:Unidades de medida, Identificadores, Formas de pago, Regímenes, Claves de pedimento, Operaciones Virtuales, Temporales, Immex.A24:Conocimiento en programas de control de inventario (Preferentemente Aranxel)Creación de billetes de materialesAltas en catálogos (materias, proveedores, almacenes, NP, etc)Control de las temporalidades de las materiasLectura de pedimentoA30:Descarga correctamente del pedimento de exportaciónControl de porcentajes de desperdicio, merma y toma de materia prima.Descargos y anulación de descargosCorrecta información declarada en pedimentoOtros:Creación de archivo digitalManejo de EconnectLectura de GlosaRecopilación de información para llenado del A24Coordinación con las diferentes áreas para el correcto llenado de las bases de datos para aranxel.Conocimiento de operaciones virtualesEXPERIENCIA: Al menos 2 años en operación de sistemas ARAXCEL e IConnect. O similaresESCOLARIDAD: Licenciatura en comercio Internacional.IDIOMAS:  inglés avanzadoHABILIDADES, COMPETENCIAS Y VALORESa. Liderazgo, proactivo, manejo de conflictos.b. Orden y gestión del tiempo.c. Trabajo en equipo y comunicación efectiva con clientes internos: producción, planeación, ingeniería.d. Manejo avanzado de Excel.e. Confidencialidad de términos, honestidad y ética profesional.Dirección: Km 2.5 Carretera San Sebastián, Col. San Sebastián, Tlaquepaque (15 minutos de Centro Sur)Horario: lunes a viernes 8:30 a.m. a 5:00 p.m. y sábado de 8:30 a .m. a 1:30 p.m.Sueldo + fondo de ahorro + premio por puntualidad y asistencia y reparto de utilidadesTipo de puesto: Tiempo completo, Por tiempo indeterminadoSalario: $19,000.00 - $21,000.00 al mesHorario:Turno de 8 horasTipos de compensaciones:Bono de asistenciaBono de puntualidadFecha de inicio prevista: 10/09/2022",,,2022-09-06T00:00:00,2022-10-16,FULL_TIME
Ejecutivo Sr. Specialties,Marsh,,,-1,-1,,MXN,"Marsh está buscando candidatos para la posición basada en Bosques de las LomasHíbrido 60/40
Los economistas de riesgos ayudan a los clientes a cuantificar, evaluar y mitigar los riesgos en diferentes líneas de negocio. Expertos en la materia sobre políticas y prácticas económicas de riesgo, realizan modelos cuantitativos y análisis estadísticos para desarrollar y ofrecer soluciones a los clientes. Con algunos años de experiencia, un Analista de Economía de Riesgos II todavía está creciendo como contribuyente individual, pero puede abordar problemas y hacer el trabajo, a veces con la orientación de los miembros senior del equipo.
Ejecutivo Sr. Specialties
¿Qué hay en Marsh para ti?
Una empresa con una marca sólida y resultados sólidos a la altura.
La oportunidad de iniciar y modelar la dirección del negocio.
Oportunidad de interactuar con otras áreas del negocio de Marsh para comprender el alcance total de la relación y el servicio con el cliente.
Grupos de recursos para empleados que brindan acceso a líderes, oportunidades relevantes de voluntariado y tutoría e interacciones con contrapartes en grupos de la industria y la organización del cliente.
Paquete de beneficios y prestaciones superiores a los que la ley otorga
Contaremos contigo para las siguientes responsabilidades:
Analiza los riesgos y ayuda a desarrollar soluciones para las necesidades de los clientes.
Ayuda a responder a las consultas e inquietudes de los clientes, resolviendo problemas con prontitud para mantener la satisfacción del cliente.
Apoya y asiste en el diseño, desarrollo y comercialización de nuevos productos y programas de corretaje para ganar nuevos proyectos.
Ayuda a los corredores de nivel más alto en asignaciones de clientes más complejas.
Demuestra un conocimiento competente de las condiciones del mercado para servir mejor a los clientes e informar a más corredores junior sobre las tendencias del mercado.
Actualiza la gestión de problemas, progresos, etc., regularmente y previa solicitud para garantizar un servicio al cliente de alta calidad.
Monitorea las cuentas (pagos, cobros, etc.) anticipando y previniendo problemas cuando es posible. Mantiene relaciones sólidas con clientes, colegas y compañías de seguros / reaseguros para comunicar de manera eficiente las demandas y solicitudes de los clientes internamente.
Puede evaluar los documentos del contrato y los formularios de fianza, así como los términos y condiciones bancarios.
Puede evaluar y explicar para el Cliente los términos y condiciones del Acuerdo General de Indemnización que deben ser ejecutados por los Clientes para respaldar todas las transacciones de garantía.
Puede evaluar los estados financieros de todas las industrias con un conocimiento específico de las métricas financieras únicas de cada industria.
Conocimiento y manejo en la línea de Responsabilidad Civil y Líneas Financieras
Requisitos:
Licenciatura en Administración de Empresas, Finanzas, Actuaría, Economía, Ingeniería en computación (finalizada o en proceso de titulación).
Recién egresado o por terminar en Dic 2022
Nivel intermedio de inglés
Conocimiento del paquete Office: Excel (manejo de bases de datos, tablas dinámicas), PowerPoint (presentaciones ejecutivas) y Word.
Competencias que te harán destacar:
Proactivo
Identifique y pueda generar nuevas oportunidades
Comunicación efectiva para poder relacionarse y hablar con equipos diversos
Capacidad de análisis
Gusto por los temas comerciales y de negocio
Marsh es el corredor de seguros y asesor de riesgos líder en el mundo. Con más de 35.000 colegas que operan en más de 130 países, Marsh sirve a clientes comerciales e individuales con soluciones de riesgo basadas en datos y servicios de asesoría. Marsh es una empresa de Marsh & McLennan Companies, la firma líder mundial de servicios profesionales en las áreas de riesgo, estrategia y personas. Con ingresos anuales cercanos a los 17.000 millones de dólares y 76.000 colegas en todo el mundo, MMC ayuda a los clientes a navegar en un entorno cada vez más dinámico y complejo a través de cuatro empresas líderes en el mercado: Marsh, Guy Carpenter, Mercer y Oliver Wyman.
Marsh and McLennan se compromete a adoptar un entorno de trabajo diverso, inclusivo y flexible. Nuestro objetivo es atraer y retener a las mejores personas independientemente de su sexo / género, estado civil o parental, origen étnico, nacionalidad, edad, antecedentes, discapacidad, orientación sexual e identidad o expresión de género.3 días en la oficina 2 en HO",Seguros,,2022-09-05T00:00:00,2022-10-16,FULL_TIME
Analista de Sistemas Junior,Thermo Fisher Scientific,Baja California,Tijuana,216000,234108,MONTH,MXN,"Seguimiento diario de tickets a través de ServiceNow para sistemas de Recursos Humanos, Capacitación y Reclutamiento.Solución a incidentes de procesos de Recursos Humanos, validación de datos e integraciones.Resolución de tickets de acuerdo a prioridades y niveles de servicio predeterminados.Análisis y comprensión de las funciones de Recursos Humanos, Administración de Personal, y Compensaciones, así como interfaces con otrás areas.Proporcionar retroalimentación al equipo de soporte acerca de errores y procesos de mejora.Contribuir documentando en la base de conocimientos del equipo de soporte de Recursos Humanos.Apoyo en cargas masivas y colaboración con el equipo para ejecutar esas cargas.Interacción y comunicación con usuarios para garantizar la resolución exitosa de tickets y tiempos de entrega.Requisitos: Ingeniería en Computación, Sistemas, o Informática, o similar.1 año de experiencia en atención al cliente.Bilingüe (inglés - español). Buena comunicación, tanto oral como escrita.Excelente habilidad analítica, capacidad para resolver problemas y agilidad para aprender cosas nuevas.Habilidades de análisis de datos requerida. Experiencia práctica en la gestión de datos en Excel; análisis de datos, estandarización, limpieza, consolidación y auditoría.Individuo orientado al trabajo en equipo y la colaboración; capaz de trabajar de manera independiente. Orientación al detalle; y sentido de urgencia.Tipo de puesto: Tiempo completo, Por tiempo indeterminadoSalario: $18,000.00 - $19,509.00 al mesHorario:Turno de 8 horasPrestaciones:Días por enfermedadPrograma de referidosSeguro de gastos médicosSeguro de gastos médicos mayoresSeguro dentalSeguro de vidaVacaciones adicionales o permisos con goce de sueldoVales de despensaTipos de compensaciones:Bono anualEducación:Licenciatura terminada (Obligatorio)Experiencia:atención a usuarios de sistemas: 1 año (Obligatorio)Idioma:inglés (Obligatorio)",Farmacéutica y biotecnología,,2022-09-06T00:00:00,2022-10-16,FULL_TIME
Analista Contable Junior,ManpowerGroup,,,180000,180000,MONTH,MXN,"Esta vacante viene de la bolsa de empleo Talenteca.com
ManpowerGroup e importante despacho jurídico, solicita:
Analista Contable Jr
Zona a laborar: Col Anzures, CDMX
Te ofrecemos:
Sueldo base mensual
Prestaciones de Ley
Crecimiento laboral y profesional
Capacitación
Conocimiento - Experiencia:
Licenciatura en Contaduría, Finanzas o a fin (Titulado, indispensable)
Experiencia mínima de 3 años en el área contable
Conocimiento y manejo en Paquetería SAT (buzón tributario, declaraciones anuales, mensuales e informativas), ingresos, egresos, conciliaciones, balances, registros contables,
Nivel intermedio en manejo de Excel
Funciones principales:
Solicitud de Información
Registrar la facturación
Registro de Ingresos y egresos
Conciliaciones Bancarias
Declaración mensual y anual
DIOT
Revisión Balanza de comprobación
Apoyo Declaraciones mensuales y anuales
Si te encuentras interesado en participar en el proceso de reclutamiento y selección, postúlate por este medio con tus datos actualizado y a la brevedad nos pondremos en contacto contigo.
Esta vacante viene de la bolsa de empleo Talenteca.com: https://www.talenteca.com/mexico/bolsa-de-trabajo-manpower/empleo/miguel-hidalgo/analista-contable-jr/631143562d00004b002383f8t1?source=indeed",Recursos humanos,,2022-09-01T00:00:00,2022-10-16,FULL_TIME
Sr. Java Software Developer- Production/Automotive,TRS Staffing,México,Ciudad de México,-1,-1,,MXN,"Ingeniero en informática y/o afín, titulado.
Sr. Java Software Developer- Production/Automotive.
Monterrey- CDMX México (Remoto)

DESCRIPCIÓN:
Estamos buscando un INGENIERO EN INFORMÁTICA Y/O AFÍN para un puesto como SR JAVA DEVELOPER- PRODUCTION/ AUTOMOTIVE para el sector de ingeniería, trabajando para una importante firma global dedicada a proveer del mejor talento de ingeniería y Tecnologías de la información a empresas del sector automotriz.

RESPONSABILIDADES:

Diseñar, estimar, desarrollar e implementar soluciones de software que satisfagan los requerimientos del negocio.
Colabore con BA/SQA en el proyecto para ayudar a simplificar los procedimientos de prueba para garantizar que la aplicación se pruebe exhaustivamente durante el desarrollo y antes del lanzamiento.
Trabaje en estrecha colaboración con el gerente técnico, el gerente de productos y el analista comercial para revisar los requisitos comerciales y descifrar los detalles de diseño de las soluciones.
Diseñe arquitecturas junto con los Arquitectos Técnicos y los Gerentes Técnicos del grupo proporcionando sus aportes a la Arquitectura de Solución general.
Colabore con los equipos multifuncionales, como Infraestructura y Soporte de aplicaciones, para proporcionar los requisitos de hardware y software necesarios de la solución.
Haga una transición efectiva de los productos que se entregan a Operaciones para habilitar la atención al cliente.
Orientar a los desarrolladores junior en el grupo.
Demostrar liderazgo no solo para terminar tareas, sino también para eliminar impedimentos técnicos para los miembros del equipo.
Comprender e implementar el enfoque de desarrollo ágil y ayudar al gerente técnico en la resolución y escalamiento de problemas.
Promover una cultura proactiva de resolución de problemas e innovación mediante la implementación de técnicas y tecnologías de punta en el grupo de desarrollo.
Responsable de transformar la suite actual de Productos hacia CI/CD y Cloud native

PERFIL REQUERIDO:

Ingeniería en informática y/o Afín.
Inglés avanzado, indispensable.
Experiencia con HTML, JavaScript y Java junto con bases de datos y tecnologías de interfaz de usuario como Angular JS y/o ReactJS.
Experiencia con servicios de contenedor Java EE para aplicaciones web, así como operaciones por lotes y automatizadas de alto rendimiento que trabajan con grandes conjuntos de datos.
Experiencia en trabajar con JDBC y procedimientos de codificación, funciones y disparadores usando SQL a través de Java.
Experiencia en conceptos de bases de datos relacionales, interfaz gráfica de usuario y arquitectura orientada a servicios
Se desea experiencia con Devops CI/CD.
Deseable desarrollo en aplicación Cloud Native (AWS).

Enviar su CURRÍCULUM VITAE en FORMATO INGLÉS a:
Contacto: Ana Castillo
e-mail: ana.castillo@trsstaffing.com",Recursos humanos,,2022-09-11T00:00:00,2022-10-16,OTHER
ANALISTA AGENTE SOC JUNIOR,Axity,México,Ciudad de México,-1,-1,,MXN,"Descripción del puesto: Tecnólogo, Ingeniero en Sistemas o estudiante de último semestre en electrónico, telecomunicaciones o afinesExperiencia mínima de 1 año en un cargo similarConocimiento en el manejo de tecnologías SIEM como: SECURONIX, SPLUNK, ELKDeseable certificación en SECURONIX, SPLUNK, ELK.Conocimiento en metodologías para análisis de vulnerabilidades.Conocimientos en: Herramientas OSINT / Análisis de Phishing / OWASP / MITRE ATT&CK / Kill Chain / Clasificación de vulnerabilidades (CVSS, CVE, CWE) /Gestión de procesos de inteligencia que incluye la definición de requisitos, recopilación de datos/información, procesamiento de datos/información, análisis y producción, difusión, consumo y retroalimentación.FuncionesResponsable de la administración, atención de alertas, eventos, requerimientos y revisión del performance, monitoreo y salud de la solución de SIEM (Securonix)Análisis de log en búsqueda de posibles eventos de seguridadMinimizar los riesgos de seguridad de la analizando las amenazas existentes, proponiendo mejorasOptimizar log que aporten valorApoyo y recolección de eventosNormalización y parseo de datosActivación y afinamiento de reglas de correlación y desarrollo de casos de uso personalizadosPresentación de informes de correlación de eventosTipo de puesto: Por tiempo indeterminado",,,2022-09-14T00:00:00,2022-10-16,FULL_TIME
Analista de Procesamiento de Datos Junior,Atlantia Search,,,120000,120000,MONTH,MXN,"Esta vacante viene de la bolsa de empleo Talenteca.com
Buscamos un/a apasionado/a por el análisis de información e indicadores que contribuya a proyectos de investigación de mercados.
Responsabilidades principales:
Tratar información y generar análisis para el cálculo de indicadores de negocio.
Integrar reportes ejecutivos y reportes completos de resultados de proyectos de investigación de mercados asignados.
Realizar presentaciones internas de resultados y dar soporte en presentaciones con clientes.
Manejar comunicación directa con clientes y atender solicitudes especiales de análisis con ellos.
El perfil que buscamos:
Gran compromiso, trabajo de calidad y alto rendimiento poniendo siempre en el centro al cliente.
Te encanta trabajar con datos numéricos, herramientas de análisis, ir más allá de la data para generar insights que puedan ser clave y fácilmente accionables para el cliente. Eres conocido por tu orientación a detalle, calidad y organización personal.
Expectativas:
Esta posición tiene un gran impacto en proyectos clave de la compañía por lo que la calidad de tu trabajo y comunicación será impecable.
Buscamos un perfil numérico/cuantitativo por lo que el uso de excel avanzado es indispensable.
No necesitas experiencia específica en investigación de mercados pero sí tener nociones e interés en los negocios, marketing y tecnología.
Tener la capacidad de generar análisis para conclusiones y recomendaciones de la data que trabajas.
Requisitos del empleo:
Excel -Avanzado. Comprobable durante el proceso de selección.
Powerpoint - Intermedio.
Experiencia mínima de 2-3 años en el tratamiento de bases de datos en Excel.
Habilidades: proactividad, alta capacidad de análisis, capacidad de trabajo bajo presión, excelente comunicación efectiva, alta orientación a resultados y alta orientación a detalle.
Inglés – 60%
Carreras prioritarias: Economía, Estadística, Matemáticas, Ingeniería Industrial, Actuaría, Negocios con alta experiencia en tratamiento de datos.
Posición de trabajo remota.
Lo que puedes esperar:
Prestaciones de Ley - Contratación directa.
Vales de despensa

Trabajo remoto.
Trabajo en equipo dinámico, cordial, multicultural.
Esta vacante viene de la bolsa de empleo Talenteca.com: https://www.talenteca.com/mexico/empleo/benito-juarez/analista-de-procesamiento-de-datos-jr-/611ff2992600004500546b41t5?source=indeed",Audiovisual y medios de comunicación,,2022-09-10T00:00:00,2022-10-16,FULL_TIME
Analista de Datos Junior,CTQ,Nuevo León,Monterrey,192000,255195,MONTH,MXN,"Somos una empresa Regiomontana, con más de 52 años en el mercado, líder en su ramo con 13 sucursales a lo largo de la República Mexicana.Perfil: Mayor de edadLicenciatura economía, logística, ingeniería industrial o afines.Experiencia de 2 años trabajando y analizando datos.Experiencia 1 año trabajando en plataformas de visualización como Power BI, Qlik Sense, Tableau para creación de modelo de datos, visualizaciones y paneles.Conocimiento avanzado de Excel: tablas pivote, generación de macros, desarrollo de Queries.Conocimiento en la agregación y manipulación de bases de datos.Conocimiento de estadística descriptiva y predictiva: métodos de predicción.Habilidad de organización y seguimiento, proactividad, trabajo en equipo y trabajo bajo presión.Responsabilidades:· Generación y actualización de reportes en Power BI, Qlik Sense, Excel· Creación de KPI’s, implementación y seguimiento de métricos· Análisis y generación de presentaciones mensuales para Sub-Dirección de Operaciones.· Planeación de la demanda, inventario, punto de reorden y stock de seguridad.· Manejo de inventarioOfrecemos: Estabilidad laboral, todas las prestaciones de ley, bono de puntualidad y beneficios adicionales, plan de vida y carrera, posibilidades de crecimiento en una organización en constante expansión, comedor subsidiado, caja de ahorro.En este centro de trabajo creemos en el talento, todos nuestros procesos de reclutamiento y selección son incluyentes y libres de discriminación. No solicitamos prueba de no ser persona portadora de VIH o/y prueba de embarazo.Tipo de puesto: Tiempo completoSalario: $16,000.00 - $21,266.26 al mesHorario:Turno de 8 horasPrestaciones:Caja de ahorroServicio de comedor con descuentoTipos de compensaciones:Bono de puntualidad",,,2022-09-08T00:00:00,2022-10-16,FULL_TIME
Ingeniero NOC Junior GDL,Training Talent,Jalisco,Guadalajara,192000,192000,MONTH,MXN,"Esta vacante viene de la bolsa de empleo Talenteca.com
Somos un integrador de soluciones en especial de redes y seguridad, una empresa diferente, única y sobre todo innovadora somos socio de Cisco, Google Telcos, Ruckus, Sonic Wall o Fortinet. Buscamos un especialista en redes Wireless para soporte remoto en nuestro NOC y en sitio cuando sea requerido.
Excelente ambiente de trabajo, desarrollo a mediano y largo plazo, además ofrecemos:
Ingreso de $16,000 pesos brutos (contrato directo) Prestaciones de Ley y superiores
Horario de lunes a viernes de 9:00 a 6:00 p.m (disponibilidad fines de semana en caso de ser requerido)
Zona de trabajo: Plaza del Sol, Guadalajara, Jalisco.
2 años de experiencia como:
Ingeniero telcos, ingeniero R&S, ingeniero Cisco R&S, Solutions Specialist, Líder de arquitectura, consultor telecomunicaciones redes, Ingeniero NOC, Wireless, Ingeniero CCNA R&S, Ingeniero redes CCNA, Consultor CCNA redes, seguridad, Ingeniero Networking, Ingeniero telcos, ingeniero Wireless, soporte técnico en sitio redes, help desk, ingeniero redes, service desk, analista de sistemas, auxiliar de sistemas, ingeniero NOC, etc.
Muy deseable cursos o certificaciones de marcas como Cisco, Aruba, Extreme, HP, apego a procesos de ITIL e ISO.
Muy importante disponibilidad de horario.
Habilidades en comunicaciones y redes: Conocimientos básicos de redes TCP/IP, modelo OSI, ruteo, VLANs, alta disponibilidad, redundancia y temas relacionados. Manejo de periféricos y consumibles.
Soporte a equipos de redes como Access point, routers, Switching, codecs, AP, etc. Manejo de marcas: Ruckus, Aruba, Fortinet, CISCO y/o Extreme.
Conocimiento de soluciones para levantamiento de tickets, monitoreo a incidencias, plataformas de Help desk o soporte técnico.
Experiencia en SO Windows Server desde su versión 2008 hasta 2016 gestión de dependencias como Directorio Activo, RMS, Políticas, DNS, DHCP, Paquetes de datos, etc.
Servicios de red; Portales de autenticación, DHCP, DNS.
Experiencia como soporte de 1er NOC vía servicio de soporte técnico a clientes vía remota, telefónica, correo electrónico o en sitio.
Administración de redes; ‘troubleshooting’, ‘remote resolution’, ‘network monitoring’ y soporte a infraestructuras de red críticas.
Apego a niveles de servicio (SLA) indicadores de calidad (CTQ) y reporte de servicios (Dashboard – KPI´s)
Esta vacante viene de la bolsa de empleo Talenteca.com: https://www.talenteca.com/mexico/empleo/guadalajara/ingeniero-noc-jr-gdl/631f4bff2d00005d008cf397t1?source=indeed",,,2022-09-12T00:00:00,2022-10-16,FULL_TIME
