Job_title,Company,State,City,Min_Salary,Max_Salary,unitText,SalaryCurrency,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
Analista de Datos SR,DISH MEXICO,,,221988,221988,MONTH,MXN,"Esta vacante viene de la bolsa de empleo Talenteca.com
DISH/MVS solicita
Empresa dedicada al entretenimiento, con una gama amplia de servicios y afiliaciones con empresas de alta calidad en telefonía, ¡¡internet y más!!
Está en busca de tu talento como:
*COORDINADOR DE DATA SCIENCE *
Responsable de revisar, analizar y monitorear grandes cantidades de datos para para nuestro servicio de chip telefónico, apoyarnos con KPI´S relacionados con; nuevos clientes, cancelaciones, recargas frecuentes, recargas menos frecuentes etc. con la finalidad de presentar informes utilizando Excel, power BI y SQL
Actividades (servicio de chip telefónico de la empresa)

Elaborar documentos, informes de gestión y estadísticas del área
Mantener actualizada base de datos, con el fin de optimizar los distintos procesos internos.
Respaldar y recuperar información de bases de datos
Seguimiento a solicitudes de información de otras áreas.
Obtención de información y generación de bases de datos.
Generación de reportes.
Generación y análisis de indicadores.
Experiencia mínima de 2 año en:
Programación: SQL.
Power BI.
Excel avanzado
Análisis de requerimientos
Habilidades:
Trabajo en equipo.
Proactivo.
Análisis y síntesis.
Comunicación oral y escrita.
Requisitos:
Lic. Sistemas, informática o afín (titulado)
Ingles nivel intermedio
Manejo de base de datos (Excel)
Manejo de SQL
¡Ofrecemos!!
Sueldo base bruto $ 18,499.00 + Prestaciones de ley + prestaciones superiores
Contrato directo con la empresa (cotización 100%)
Excelente ambiente de trabajo
Horario de lunes a viernes de 7:00 am – 3:00 pm
Home Office 100%
ZONA DE TRABAJO, CALZADA DE TLALPAN, AUN COSTADO DE METRO GENERALA ANAYA, CDMX
Si estás interesado en la vacante, postúlate por este medio.
Esta vacante viene de la bolsa de empleo Talenteca.com: https://www.talenteca.com/mexico/empleo/coyoacan/analista-de-datos-sr/63236f2c2f0000540071a4fet1?source=indeed",Telecomunicaciones,,2022-09-15T00:00:00,2022-10-16,OTHER
Analista Sr Finanzas,Aon,,,-1,-1,,MXN,"¿Te gustaría unirte a un equipo diverso e inclusivo? ¿Buscas impactar con tu conocimiento una empresa trasnacional lider?
Este es un rol híbrido con la flexibilidad de trabajar tanto virtualmente como desde nuestra oficina en CDMX.
Aon está en el negocio de las mejores decisiones
En Aon, damos forma a las decisiones para mejoría para proteger y enriquecer las vidas de las personas alrededor del mundo.
Como organización, estamos unidos a través de la confianza como un equipo inclusivo y diverso, y nos apasiona ayudar a nuestros colegas y clientes a tener éxito.
ANALISTA SR DE PLANEACIÓN FINANCIERA
Responsabilidades.
1. Apoyo en actualización de bases de datos para reportes diversos
a. Reportes cierre mes
b. Reportes de Nomina
c. Preparación presentaciones regionales
d. Forecast mensual y anual
e. Aprenda el manejo de información del sistema contable que sistema
2. Apoyo en el proceso de elaboración de presupuesto y Forecast de Gastos
b. Análisis de variaciones y Explicaciones
c. Seguimiento reportes Puerto Rico
a. Se cargan gastos y Budget por mes
b. Envío a departamento
c. Envío de Reportes
4. Detalle de ingresos durante el mes a diferentes departamentos (manejo del sistema interno de ingresos)
a. Revenue Report durante el mes
Cómo apoyamos a nuestros colegas
Además de nuestro paquete integral de beneficios, alentamos una fuerza laboral diversa. Además, nuestro entorno ágil e inclusivo le permite gestionar su bienestar y el equilibrio entre el trabajo y la vida, lo que garantiza que pueda ser su mejor ‘yo’ en Aon. Además, todos nuestros colegas disfrutan de dos “Global Wellbeing Days” cada año, animándole a tomarse un tiempo para concentrarte en si mismo. Ofrecemos una variedad de soluciones de estilo de trabajo, pero también reconocemos que la flexibilidad va más allá del lugar de trabajo... y todos estamos a favor. ¡Lo llamamos Smart Working!
Nuestra cultura de aprendizaje continuo te inspira y te equipa para aprender, compartir y crecer, ayudándole a alcanzar su máximo potencial. Como resultado, en Aon, eres más relevante, más conectado, y más valorado.
Aon valora un lugar de trabajo innovador y diverso donde todos los colegas se sienten empoderados para ser auténticos. Aon se enorgullece de ser un lugar de trabajo con igualdad de oportunidades.
“AON es una empresa que valora a las personas y todos son importantes. Estamos comprometidos a crear y mantener un entorno de trabajo inclusivo y diverso en el que todos los empleados sean tratados con dignidad y respeto. En AON, la discriminación y el acoso contra cualquier empleado o candidato por motivos de raza, etnia, color, religión, origen nacional, sexo, identidad de género, orientación sexual, o cualquier otro estado protegido por la ley. Aquí cumplimos con todas las leyes y regulaciones nacionales y locales aplicables en materia de no discriminación y empleo”.",Seguros,,2022-08-20T00:00:00,2022-10-16,OTHER
Analista Sr. Contable,MMC Corporate,México,Ciudad de México,-1,-1,,MXN,"Marsh está buscando candidatos para la posición basada en CDMX ( Torre Mayor)Híbrido 60/40
Analista Sr. Contable
¿Qué hay en Marsh para ti?
Una empresa con una marca sólida y resultados sólidos a la altura.
Oportunidad de interactuar con otras áreas del negocio de Marsh para comprender el alcance total de la relación y el servicio con el cliente.
Grupos de recursos para empleados que brindan acceso a líderes, oportunidades relevantes de voluntariado y tutoría e interacciones con contrapartes en grupos de la industria y la organización del cliente.
Paquete de beneficios y prestaciones superiores a los que la ley otorga.
Contaremos contigo para las siguientes responsabilidades:
Preparar y analizar informes de ingresos y /o gastos.
Realizar análisis de variaciones y tendencias para cuentas clave ( P&L y balance general).
Apoyar en el desarrollo y la implementación de políticas contables internas, seguimientos a procedimientos y mejoras de procesos para funciones contables generales.
Requisitos:
Licenciatura en Contaduría, concluida
Experiencia en áreas contables.
Manejo de Hyperion / Oracle
Manejo de Excel intermedio.
Inglés Intermedio/avanzado
Competencias que te harán destacar.
Fuertes habilidades de colaboración en equipo.
Mentalidad de crecimiento y aprendizaje.
Actitud de servicio
Habilidad para manejar expectativas de los clientes (internos y externos).
Marsh es el corredor de seguros y asesor de riesgos líder en el mundo. Con más de 35.000 colegas que operan en más de 130 países, Marsh sirve a clientes comerciales e individuales con soluciones de riesgo basadas en datos y servicios de asesoría. Marsh es una empresa de Marsh & McLennan Companies, la firma líder mundial de servicios profesionales en las áreas de riesgo, estrategia y personas. Con ingresos anuales cercanos a los 17.000 millones de dólares y 76.000 colegas en todo el mundo, MMC ayuda a los clientes a navegar en un entorno cada vez más dinámico y complejo a través de cuatro empresas líderes en el mercado: Marsh, Guy Carpenter, Mercer y Oliver Wyman.
Marsh and McLennan se compromete a adoptar un entorno de trabajo diverso, inclusivo y flexible. Nuestro objetivo es atraer y retener a las mejores personas independientemente de su sexo / género, estado civil o parental, origen étnico, nacionalidad, edad, antecedentes, discapacidad, orientación sexual e identidad o expresión de género",Seguros,,2022-09-15T00:00:00,2022-10-16,FULL_TIME
"Sr. Analyst, Training & Content Data",Herbalife,México,Ciudad de México,-1,-1,,MXN,"DescripciÃ³n:

RESPONSABILIDADES DE LA POSICIÓN:
Responsable de generar y administrar las diferentes bases de datos del área de Eventos Independientes y Contenido: base datos solicitud evento, base datos post eventos, base Maestra para construir las métricas mensuales, trimestrales y anual (#eventos, asistentes, presupuesto, tipo eventos), base de datos de las diferentes plataformas de capacitación (centro de aprendizaje, HN GROW), así como medir niveles del servicio del área. Será responsable de monitorear gastos vs presupuesto mensual asignado para Eventos Independientes.
DESCRIPCIÓN DETALLADA DE LAS RESPONSABILIDADES:
1. Encargado del buen uso y el funcionamiento de MyHerbalife.com para el registro de los eventos independientes.
2. Mantener comunicación con FP&A, Contraloría, Control Interno, Operaciones y Centros de venta. Para tener una buena administración del presupuesto del área.
3. Ejecutar el Sistema de capacitación virtual de forma efectiva desde el contacto de oradores, Mc, presentaciones finales y realización de la videollamada final.
4. Encargado de recibir las solicitudes de Eventos Independientes por parte de los analistas de Eventos Independientes y asegurar el cumplimiento de la política de Eventos Independientes.
5. Cuida que las vías para recibir las solicitudes de eventos y post eventos funcionen para la generación de la base de datos. Alimentar la base de datos con la información recibida diariamente: fecha del evento, número de asistentes, orador, sede, etc.
6. Mantener la base de datos actualizada.
7. Encargado de la creación, implementación y mantenimiento de herramientas tecnológicas que faciliten el proceso de registro de eventos y post eventos.
8. Mantiene comunicación vía electrónica con los Coordinadores de Eventos Independientes y Regionales para confirmar que la página de Eventos Independientes funcione correctamente en cuanto a aprobaciones, recepción de solicitud de evento, de post evento, presentaciones, audios, convocatorias, avisos.
9. Administra y asegura el funcionamiento de la cuenta de correo electrónico ventasmexico@herbalife.com, que es la principal vía de comunicación del área.
10. Crea base solicitud de eventos asegurándose que no haya eventos duplicados, mal registrados y/o que no cumplan con política. Una vez realizada la depuración de la base, la divide y comparte con los analistas de Eventos Independientes para iniciar el proceso de apoyos.
11. Genera base de datos de post eventos: los recibe mediante la liga de la página, clasifica: mes, si obtuvo apoyo o no y con esta información genera los niveles de servicio del área. Además, esta base la comparte con los analistas de Eventos Independientes para gestionar la salida de producto del siguiente evento a apoyar.
12. Elabora la base maestra alimentada por base de post eventos, base de solicitud de eventos, base de registro de flyers publicados, base de apoyo a orador y base de salidas de producto.
13. Desarrolla mensualmente la presentación de métricas (número de eventos, número de asistentes, comportamiento por región, gastos vs presupuesto, cantidad de producto desplazado por mes).
14. Solicita a Finanzas los folios de los eventos independientes para el control del presupuesto.
15. Verifica la actualización de precios y disposición de producto para Eventos Independientes con Control de Inventarios.
16. Concilia gastos de apoyo a orador de acuerdo la información proporcionada por la Agencia de Viajes y Finanzas.
17. Elabora mensualmente la presentación de métricas de las diferentes plataformas de Capacitación (Centro de aprendizaje y HN GROW) para conocer el comportamiento de los Distribuidores en el aspecto de los diferentes cursos de entrenamiento ofrecidos.
18. Monitorea los gastos vs presupuesto mensual asignado para Eventos Independientes.
19. Encargado de conciliar los gastos realizados en el presupuesto anual con FP&A, realizando de forma mensual una junta con las áreas involucradas, para mantener un presupuesto acorde con los gastos realizados por el área.
20. Participa en la creación de contenido durante los diferentes eventos corporativos y locales que se lleven a cabo en la empresa.
21. Envío de los Últimos 5 minutos del mes a todos los coordinadores de eventos.
22. Elaboración de los TAF de acuerdo con los costos enviados por la agencia y verificar que sean precios dentro del presupuesto.
23. Recibir los pagos de las facturas de los Doctores Nacionales e Internacionales.
24. De ser necesario generar los diagramas, procesos y controles del área.
25. Envío de las convocatorias de eventos a todos los coordinadores de eventos.
26. Revisar y analizar los conectados a las llamadas de semanales.
27. Mantener contacto con MTS para los problemas que surjan con las aplicaciones del área.
RESPONSABILIDADES DE SUPERVISIÓN:
Ninguna
Calificaciones:

PERFIL DEL PUESTO:
Habilidades y Competencias:Trabajo en EquipoComunicación clara y efectivaFlexibilidadHabilidad numérica, de síntesis e interpretación de datos.Enfoque a procesos y resultadosHabilidad de comunicación.Iniciativa/CreatividadSentido de responsabilidadOrganizado y habilidad para dar seguimiento a procesos.Trabajo en equipo y administración del tiempo.Manejo de paquetería de office (Excel avanzado: tablas dinámicas, dominio de macros)Ortografía y redacciónConocimientos de programación con visual basic y HTML
Idiomas:
Nativo/Nativa en españolNivel Intermedio en inglés
Experiencia:Experiencia en realización de eventos o funciones similares mínimo 2 años.Disponibilidad para viajar, trabajar fines de semana y horas extrasManejo paquetería office
Educación:Licenciatura en Informática / Ingeniería Industrial / Finanzas /Actuaría o a fin",Servicios personales al consumidor,,2022-09-14T00:00:00,2022-10-16,FULL_TIME
Data Engineer SAS Híbrido CDMX,Reclutamiento IT,,,660000,660000,MONTH,MXN,"Esta vacante viene de la bolsa de empleo Talenteca.com
Capacitación y certificaciones constantes, ambiente relajado, trabajo por objetivos, estabilidad laboral; somos una consultora especializada en soluciones de Big Data y Analítica Mundial, buscamos para nuestro equipo un Consultor Sr. Data Engineer con experiencia en SAS Data Integration para el sector Banca que colabore en proyectos de México y España.
Mucho desarrollo y crecimiento en todo sentido, capacitación y dinámicas:
Ingreso de $55,000 a $65,000 pesos libres 100% nominal (vales de restaurante, caja de ahorro, seguro médico privado, etc.).
Horario de lunes a viernes de 9:00 a.m. a 6:30 p.m.
Zona de trabajo: Home Office
3 a 5 años de experiencia mínima como:
Data Engineer, cloud data Engineer, data Engineer specialist, ETL Data Engineer, SAS Data Engineer, Data Engineer Analytics, Ingeniero de datos, analista de datos, experiencia en SAS Data Integration, Tableau (GCP), Big Data Engineer, Data Engineer Analytics, Ingeniero de datos, analista de datos, Amazon Web Services (AWS), Big Data Engineer. SAS Data Integration
Administración de empresas, Económicas, Marketing, Ingenierías. Valorable MBA
Experiencia mínima de 4 años en puestos similares
Muy valorable experiencia en consultoría de CRM dentro de banca
Generación KPI’s para el desarrollo de reportes y cuadros de mando
Conocimiento de procesos y normativas bancarias.
Experiencia en clasificación de los SKU’s derivada de las tendencias de compras.
inglés conversacional
SAS DATA INTEGRATION (Se pedirán referencias y experiencia comprobable). Acompañar a equipo de datos en tareas de ETL utilizando la tecnología SAS DATA INTEGRATION (deseable experiencia en procesos de ETL on premise como ORACLE, SQL SERVER, PENTAHO y experiencia en procesos ETL CLOUD con tecnologías como DBT, Informatica Power Center, etc)
SQL Avanzado (MySQL Oracle, SQL Server, etc)
Python (librerías de analítica)
Revisión de procesos de insumos para la construcción de Dashboards en Tableau
Esta vacante viene de la bolsa de empleo Talenteca.com: https://www.talenteca.com/mexico/empleo/benito-juarez/data-engineer-sas-hibrido-cdmx/6320c6482f0000520071427ct2?source=indeed",,,2022-09-13T00:00:00,2022-10-16,FULL_TIME
Desarrollador PHP Magento Home Office,Training Talent,,,600000,600000,MONTH,MXN,"Esta vacante viene de la bolsa de empleo Talenteca.com
Somos pioneros en desarrollo de soluciones ecommerce, UX UI, socios de Adobe, Salesforce, Google, AWS y especialistas en desarrollo a la medida; requerimos para nuestro equipo en México un desarrollador Magento Sr 1 y 2 o arquitecto Magento en esquema Home Office.
Ingreso de $50,000 a $80,000 pesos libres contratación directa (cultura norteamericana)
Horario de lunes a viernes de 9:00 a 18:00 p.m esquema home office
Zona de trabajo: Cualquier locación Home Office
Inglés conversacional
3 a 5 años de experiencia como:
Desarrollador web PHP, desarrollador full PHP, programador Magento, Analista Magento, Analista programador PHP Magento, Dev PHP Magento, Magento Developer, etc.
Experiencia en el desarrollo de aplicaciones Front y Back End con PHP versión 5 o superiores con arquitectura MVC para front y back end
Conocimiento de Magento 1 o 2 Commerce Edition y Open Source. Magento 2 APIs (REST, GraphQL)
Desarrollo Front End con HTML, CSS3, Bootstrap, librerías JQuery, AJAX JavaScript con uso de React o Node.JS
Manejo de bases de datos relacionales como MySQL, SQLite, SQL Server, etc. Y NO SLQ como Mongo DB o MaríaDB.
Experiencia en consumo de servicios web SOA (REST y SOAP) y Experiencia con APIs de Magento 3), así como su administración en back-end asegurando el rendimiento y tiempos de respuesta, manejo de UML.
Manejo de GitHub, SVN, Bitbucket, etc. Metodologías de desarrollo.
Metodología ágil de desarrollo (XP, Scrum, etc)
Experiencia en testing de aplicaciones (AUT, IT, etc)
Sistemas Operativos Unix /Linux Debian y servidores web. Manejo de pruebas con JUnit.
Esta vacante viene de la bolsa de empleo Talenteca.com: https://www.talenteca.com/mexico/empleo/benito-juarez/desarrollador-php-magento-home-office/632172ed2d00005e008d632at2?source=indeed",,,2022-09-14T00:00:00,2022-10-16,FULL_TIME
Ingeniero de Datos SAS Híbrido CDMX,Training Talent,,,660000,660000,MONTH,MXN,"Esta vacante viene de la bolsa de empleo Talenteca.com
Capacitación y certificaciones constantes, ambiente relajado, trabajo por objetivos, estabilidad laboral; somos una consultora especializada en soluciones de Big Data y Analítica Mundial, buscamos para nuestro equipo un Consultor Sr. Data Engineer con experiencia en SAS Data Integration para el sector Banca que colabore en proyectos de México y España.
Mucho desarrollo y crecimiento en todo sentido, capacitación y dinámicas:
Ingreso de $55,000 a $65,000 pesos libres 100% nominal (vales de restaurante, caja de ahorro, seguro médico privado, etc.).
Horario de lunes a viernes de 9:00 a.m. a 6:30 p.m.
Zona de trabajo: Home Office
3 a 5 años de experiencia mínima como:
Data Engineer, cloud data Engineer, data Engineer specialist, ETL Data Engineer, SAS Data Engineer, Data Engineer Analytics, Ingeniero de datos, analista de datos, experiencia en SAS Data Integration, Tableau (GCP), Big Data Engineer, Data Engineer Analytics, Ingeniero de datos, analista de datos, Amazon Web Services (AWS), Big Data Engineer. SAS Data Integration
Administración de empresas, Económicas, Marketing, Ingenierías. Valorable MBA
Experiencia mínima de 4 años en puestos similares
Muy valorable experiencia en consultoría de CRM dentro de banca
Generación KPI’s para el desarrollo de reportes y cuadros de mando
Conocimiento de procesos y normativas bancarias.
Experiencia en clasificación de los SKU’s derivada de las tendencias de compras.
inglés conversacional
SAS DATA INTEGRATION (Se pedirán referencias y experiencia comprobable). Acompañar a equipo de datos en tareas de ETL utilizando la tecnología SAS DATA INTEGRATION (deseable experiencia en procesos de ETL on premise como ORACLE, SQL SERVER, PENTAHO y experiencia en procesos ETL CLOUD con tecnologías como DBT, Informatica Power Center, etc)
SQL Avanzado (MySQL Oracle, SQL Server, etc)
Python (librerías de analítica)
Revisión de procesos de insumos para la construcción de Dashboards en Tableau
Esta vacante viene de la bolsa de empleo Talenteca.com: https://www.talenteca.com/mexico/empleo/benito-juarez/ingeniero-de-datos-sas-hibrido-cdmx/6320ca0a2f00005b007143aat2?source=indeed",,,2022-09-13T00:00:00,2022-10-16,FULL_TIME
MCA Tester,Citi,México,Ciudad de México,-1,-1,,MXN,"El Analista II de Riesgo Operativo es una función profesional de un empleado en desarrollo. Aplica conocimientos específicos del área en el control, la examinación, el análisis o la evaluación de procesos y datos. Identifica brechas en las políticas y formula políticas. Interpreta datos y realiza recomendaciones. Investiga e interpreta información basada en los hechos. Identifica incongruencias en los datos o resultados, define problemas de negocios y formula recomendaciones sobre políticas, procedimientos o prácticas. Integra conocimiento disciplinario establecido dentro de su propia área de especialidad con la comprensión básica de las prácticas de la industria relacionadas. Debe tener una buena comprensión del modo en que el equipo interactúa con otros para lograr los objetivos del área. Desarrolla un conocimiento de trabajo de las prácticas y normas de la industria. Tiene un impacto limitado pero directo en la empresa, a través de la calidad de las tareas o los servicios proporcionados. El impacto del ocupante del puesto está limitado a su propio equipo.

Responsabilidades:
Participar en la aplicación de políticas de riesgo operativo, tecnología y herramientas, y procesos de gestión, para crear soluciones perdurables para minimizar pérdidas por fallas de procesos internos, controles inadecuados y riesgos emergentes.
Contribuir a las evaluaciones de riesgos e impulsar acciones para tratar las causas raíz que llevan persistentemente a las pérdidas de riesgo operativo al desafiar las prácticas propuestas y las históricas.
Brindar gestión y supervisión que pueden incluir el riesgo operativo de tecnología, por ejemplo.
Garantizar que todos los riesgos del sistema de pago, regulatorios, fiduciarios, operativos y del producto se identifiquen, monitoreen y controlen de manera adecuada.
Identificar debilidades del sistema o proceso, proponer soluciones que mitiguen la exposición y aumenten la eficiencia de procesamiento.
Integrar otras funciones de control para garantizar que se analicen bien todos los riesgos.
Identificar riesgos que aparecen en los negocios y organizar soluciones interfuncionales.
Controlar y resolver problemas de riesgo, Gestión de procesos, informes Ad Hoc.
Desempeñar deberes adicionales, según se le asignen.
Evaluar adecuadamente el riesgo cuando se toman decisiones comerciales, demostrando una consideración particular por la reputación de la empresa y protegiendo a Citigroup, sus clientes y activos, al impulsar el cumplimiento de las leyes, las reglas y los reglamentos correspondientes, acatando la política, aplicando un juicio ético sólido en relación con el comportamiento personal, la conducta y las prácticas comerciales y escalando, administrando e informando los problemas de control con transparencia
Calificaciones:
Entre 0 y 2 años de experiencia relevante.
Conocimiento y habilidades (generales y técnicos) obligatorios: excelentes habilidades de comunicación verbal y escrita. Capacidad de rendimiento bajo presión. Capacidad de administrar múltiples tareas y prioridades. Capacidad de funcionar de manera independiente. Dominio de las aplicaciones de MS Office Word, Excel y PowerPoint.
Habilidades de administración de proyectos.
Educación:
Licenciatura/título universitario o experiencia equivalente.
The Manager Control Assessment (MCA) Tester function works with members of the first line of defense to execute the testing program of their respective Business/Area. The MCA Tester supports the Business to deliver the Bank's Operational Risk Framework, maintain a strong control testing focus and identify monitoring automation opportunities.
MCA Tester works with MCA Sr Tester, MCA Sr Analyst or MCA Coordinators on the control testing execution, tracking testing completion, results, and control breaches’ escalation. In addition, the role proposes enhancements through continuous monitoring according to MCA Standard and Procedures, and ORM Framework.
This position reports to the MCA Sr Tester and must have appropriate experience in Internal Control, and Operational Risk Management, and will require working closely with Business Process Owners, Business Stakeholders, MCA Coordinator, MCA Sr Analyst and MCA Sr Tester.
Key responsibilities:
Risk, Control & Monitoring Assessment
Testing execution to ensure monitoring quality, completeness, and effectiveness of Business MCA; in case of control breaches identified, escalate and follow up with the MCA Sr Analyst, MCA Coordinator and BPOs to develop Corrective Action Plans (CAPs) that will address said control breaches.
Monitoring Execution and loading results into system of record (GRC).
Responsible of safeguard monitoring evidences according the corporate policies.
Execute Digital Monitoring dispositioning.
Provide subject matter expertise to MCA Sr Analyst or MCA Coordinator to enhance monitoring.
Risk & Control Support Functions
Support MCA Sr Tester, MCA Sr Analyst, MCA Coordinator to provide information regarding MCA during Internal and External Reviews (i.e. Internal Audit, Strategic Franchise Reviews, FCR, Compliance Testing, Peer review, Regulatory Agencies).
Support the MCA Sr Analyst, MCA Coordinator and Business Process Owners to define the most significant ARCMs and monitoring methods (metrics and indicators), assess MIS adequacy, document key controls dependencies to internal service providers and vendors.
Assist in strengthening issue notification and escalation to ensure accountability of issues by the respective Business
Process Owners or functional areas; follow up the related corrective action plan portfolio.
Provide subject matter expertise in the identification of automation control and monitoring improvements.
Knowledge/Experience:
Desirable with at least 2+ years of business / Analytics experience in providing automated solutions to business needs.
Experience in Operational Risk.
Good understanding of process and controls concepts, including risk identification, monitoring frameworks and methodologies
Advance level of Data analytics and database knowledge.
Qualifications:
Bachelor’s/University degree.
Intermediate in English and fluent Spanish.
Desirable knowledge in at least one of the following Data Visualization tools is a plus: Power BI, QlikView, Microstrategy.
-
Job Family Group:
Risk Management
-
Job Family:
Operational Risk
-
Time Type:
Full time
-
Citi is an equal opportunity and affirmative action employer.
Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.
Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.
View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.
View the EEO Policy Statement.
View the Pay Transparency Posting",Finanzas,,2022-09-13T00:00:00,2022-10-16,FULL_TIME
Analista de Datos,Proyecto de Repositorio,México,Ciudad de México,300000,396000,MONTH,MXN,"Analista de Datos – SrConsultor de nivel avanzado, capacitado para analizar, diseñar, construir, e implementar sistemas de inteligencia de Negocios (BI), tanto en ambientes de Cliente Servidor, como en ambiente Web. Experiencia en negociación y trato con usuarios. Nivel experto en el manejo de datos.Tener experiencia de 3 a 5 añosü Duración del proyecto de 6 a 9 mesesü Disponibilidad de horarioü Sistema Híbridoü Trabajo en equipoü Inteligencia Emocionalü Puntualidad y responsableTipo de puesto: Tiempo completo, Por tiempo indeterminadoSalario: $25,000.00 - $33,000.00 al mesHorario:Turno de 12 horasFecha de inicio prevista: 01/07/2022",,,2022-08-28T00:00:00,2022-10-16,FULL_TIME
Líder de Pruebas QA Software CDMX Híbrido,Reclutamiento IT,,,360000,360000,MONTH,MXN,"Esta vacante viene de la bolsa de empleo Talenteca.com
Somos una consultoría especializada en servicios de Testing y Consultoría para México y servicios Nearshore a EEUU pioneros en México con prácticas de ISTQB, buscamos para nuestro equipo de consultoría un test lead para gestión de un equipo de trabajo en esquema híbrido.
Ingreso de 30,000 a 35,000 libres (depende perfil) 100% nominal contratación directa
Superiores de Ley (SGMM, Vida, Accidentes, funerarios) certificaciones
Horario de lunes a viernes de 9:00 a 18:30 p.m
Zona de trabajo: Home office y oficinas en Paseo de las Palmas y Reforma (2 días)
Más de 2 años de experiencia como:
Test lead, líder de pruebas, QA Manager, QA test, Ejecutivo de pruebas de calidad (QA) Sr o Tester web, web Tester, Quality Assurance para desarrollos de software, ingeniero QA, desarrollador web, analista web, ingeniero de pruebas, Tester, líder de pruebas, líder de QA, QA Software Analyst, Analista de pruebas, QA Manager
Inglés intermedio conversacional muy deseable
Experiencia en administración de proyectos, consultoría, preventa, asesoría o coaching de procesos de aseguramiento de la calidad.
2 años comprobables en Manejo de equipos de trabajo de pruebas
Conocimiento avanzado en el proceso del ciclo de vida del software y en especial de las pruebas (Análisis, diseño, ejecución y cierre), gestión de pruebas, riesgos, seguimiento y control de pruebas, elaboración de informes de pruebas, gestión de incidentes y métricas.
Experiencia como Test Manager, gestión de equipos de pruebas en proyectos ágiles, definición de estrategia de pruebas ágil, diseño de pruebas a través de técnicas de caja negra, caja blanca y técnicas basadas en la experiencia, administración de las pruebas y herramientas.
Especial enfoque en conocimiento de métricas y reportes de calidad, performance, desempeño.
Experiencia en metodologías ágiles Scrum, XP, dsdm, etc. y del ciclo de vida del software SDLC.
Apego a marcos de trabajo como ISTQB, ASTQB, ITIL, TMMI o CMMI. Certificación muy deseable.
Conocimiento de herramientas de pruebas diversas (manuales, funcionales o automatizadas) como: Postman, Jira, Confluence, SOAP Ui, Qsync, Selenium, Cypress, Cucumber, RSpec, Junit, TestNG, Robot framework, katalon, etc
Muy deseables

Conocimientos en lenguajes de programación o bases de datos.
Ideal conocimiento de CI / CD / DevOps
Esta vacante viene de la bolsa de empleo Talenteca.com: https://www.talenteca.com/mexico/empleo/gustavo-a-madero/lider-de-pruebas-qa-software-cdmx-hibrido/631fcd5c2f00005d00712040t1?source=indeed",,,2022-09-12T00:00:00,2022-10-16,FULL_TIME
