Job_title,Company,State,City,Min_Salary,Max_Salary,unitText,SalaryCurrency,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
Científico de datos Sr. / Data Scientist Sr Retail,COGNODATA,,,-1,-1,,MXN,"Descripción:
Cognodata, empresa líder en el sector Customer Science, Customer Experience y Advanced Analytics, requiere un Consultor Sr. Data Scientist para el sector Retail que colabore en proyectos de México y España.
Responsabilidades:

Gestionar cuentas cliente generando negocios recurrentes
Identificar necesidades del cliente, propuestas de valor, adaptar metodologías de empresa y/o mercado para la aplicación en los proyectos
Desarrollo de casos de uso, basados en analítica predictiva y prescriptiva
Requisitos:
Requisitos mínimos:

Experiencia mínima de 4 años en puestos similares
Muy valorable experiencia en consultoría de CRM dentro de retail
Generación KPI’s y KRI’s para el desarrollo de reportes y cuadros de mando
Desarrollo de modelos para optimización de surtido en almacenes.
Experiencia en clasificación de los SKU’s derivada de las tendencias de compras.
Analítica para la implementación de campañas de marketing y modelos de segmentación de clientes
Modelos de venta cruzada para campañas específicas de proveedores.
Simulador de ventas con base a la elasticidad de los productos.
Inglés intermedio
Conocimientos:

Python Avanzado (librerías de analítica)
SQL Avanzado
R
Tableau
Deseable:

Webfocus
Microstrategy
Formación Académica:
Lic. en Matemáticas Aplicadas y Computación, Actuario, Ing. Industrial, Ing. en Sistemas y Tecnologías de Información, Ing. Tecnologías Computacionales, Lic Económicas. Estadísticos. Especialidad en ciencia de datos deseable.
Competencias:
Buscamos a una persona proactiva, con capacidad de liderazgo y muy analítica, que haya tenido experiencia trabajando en el sector de Retail. Valorable experiencia en Consultoría y con MBA",,,2022-08-17T00:00:00,2022-10-16,OTHER
Científico de datos Sr. / Data Scientist Sr Banca,COGNODATA,,,-1,-1,,MXN,"Descripción:
Cognodata, empresa líder en el sector Customer Science, Customer Experience y Advanced Analytics, requiere un Consultor Sr. Data Scientist para el sector Retail que colabore en proyectos de México y España.
Responsabilidades:

Gestionar cuentas cliente generando negocios recurrentes
Identificar necesidades del cliente, propuestas de valor, adaptar metodologías de empresa y/o mercado para la aplicación en los proyectos
Modelación de riesgos en Banca (Adquisición, seguimiento, morosidad temprana)
Desarrollo de casos de uso, basados en analítica predictiva y prescriptiva
Requisitos:
Requisitos mínimos:

Experiencia mínima de 4 años en puestos similares
Muy valorable experiencia en consultoría de CRM dentro de banca
Generación KPI’s y KRI’s para el desarrollo de reportes y cuadros de mando
Experiencia generando modelos de predicción, para su implementación en herramientas de prevención de fraude y de control de impago.
Conocimiento de procesos y normativas bancarias.
Experiencia en clasificación de los SKU’s derivada de las tendencias de compras.
Modelos de venta cruzada para campañas específicas de proveedores.
Inglés intermedio
Conocimientos:

Python Avanzado (librerías de analítica)
SQL Avanzado
R
Tableau
Deseable:

Webfocus
Microstrategy
Formación Académica:
Lic. en Matemáticas Aplicadas y Computación, Actuario, Ing. Industrial, Ing. en Sistemas y Tecnologías de Información, Ing. Tecnologías Computacionales, Lic Económicas. Estadísticos. Especialidad en ciencia de datos deseable.
Competencias:
Buscamos a una persona proactiva, con capacidad de liderazgo y muy analítica, que haya tenido experiencia trabajando en el sector de Retail. Valorable experiencia en Consultoría y con MBA",,,2022-08-17T00:00:00,2022-10-16,OTHER
"Especialista, Laboratorio Calidad",Constellation Brands,Coahuila,Nava,-1,-1,,MXN,"Job Description
Piedras Negras, Coahuila - México
Nivel de Educación
Profesionista; Químico Farmaco-Biólogo, Bacteriólogo Parasitólogo, Ingeniero Químico, Bioquímico o en Alimentos.
Certificados, Licencias, Registros o Conocimientos Específicos
Conocimiento en Microbiología en Alimentos, Bioquímica Microbiana, Química Analítica, Química Orgánica, Estadística General.
Experiencia
1 año en laboratorio industrial o de alimentos.
Resumen
Realiza las actividades de muestreo y análisis basadas en fundamentos científicos contenidos en los instructivos de análisis, mediante técnicas químicas, microbiologicas, fisicoquimicas y sensoriales, con la finalidad de obtener un resultado ya sea cualitativo o cuantitativo según se requiera dentro de los procesos de elaboración de cerveza, servicios a elaboración, envasado y tratamiento de aguas residuales.
Habilidades
Comunicación efectiva, observador, analítico, metódico.
Manejo en instrumentación y equipos automatizados de Laboratorio.
Responsabilidades
1. Realizan muestreos y análisis en las áreas de producción (envasado, elaboración, tratamientos de agua y servicios y energía) de acuerdo a las frecuencias establecidas en los planes de calidad diseñados en el Sistema de Gestión Integral,
apegándose a los estándares, para asegurar la calidad e inocuidad del producto terminado.
 2. Notifica cualquier desviación o datos fuera de especificación de calidad o inocuidad al proceso en cada una de sus etapas,al Gerente LAC o Supervisor Sr LAC y posteriormente a las áreas involucradas, mediante reporte de datos fuera de especificación, con el fin de evitar o disminuir el riesgo de generar producto no conforme fuera de los estándares de calidad.
3. Realiza la calibración y/o verificación de los equipos automatizados de seguimiento y medición en el laboratorio, equipos en líneas en de producción ya sea elaboración, envasado y/o tratamientos de agua, de acuerdo a las frecuencias establecidas en los documentos encontrados en el sistema de Gestión Integral, para asegurar el adecuado funcionamiento de los mismos, así como la confiabilidad de los resultados obtenidos.
4. Ejecuta las liberaciones en conjunto con los Supervisores Sr., de materia prima, cerveza en proceso de elaboración de mosto, fermentación y filtración de cerveza, mediante el cambio de estatus de material (control de calidad a libre utilización) en sistema SAP, con el fin asegurar que los materiales utilizados cumplan los estándares de calidad e inocuidad establecidos para cada etapa del proceso.
5. Ejecutan las actividades de prueba dentro de los procesos de elaboración y envasado, previa solicitud de las áreas, mediante la elaboración de reporte de resultados provenientes de los análisis (físico, físico-químico, químico, microbiológico o sensorial) para cada prueba industrial en especifico o según la necesidad de mejora o cambio que se requiera implementar.
6. Captura oportunamente en sistema ERP SAP los resultados obtenidos de los análisis de las muestras obtenidas en el proceso de producción, mediante lotes de inspección generados automática o manualmente, con el fin de cambiar de estatus el material (de control de calidad a libre utilización) y que pueda ser utilizado por las áreas productivas para la continuidad del proceso.
Location
Nava Brewery
Additional Locations
Job Type
Full time
Job Area
Operations and Production
Equal Opportunity
Constellation Brands is committed to a continuing program of equal employment opportunity. All persons have equal employment opportunities with Constellation Brands, regardless of their sex, race, color, age, religion, creed, sexual orientation, national origin or citizenship, ancestry, physical or mental disability, medical condition (cancer or genetic characteristics), marital status, gender (including gender identity or gender expression), familial status, military or veteran status, genetic information, pregnancy, childbirth, breastfeeding, or related conditions (or any other group or category within the framework of the applicable discrimination laws and regulations).",Manufactura,,2022-08-18T00:00:00,2022-10-16,FULL_TIME
Sr. Regional Planner,Corning,Tamaulipas,Reynosa,-1,-1,,MXN,"Fecha: 5/09/2022
Ubicación: Reynosa, TAM, MX, 88730
Empresa: Corning
Numero de Requisicion: 58032

Corning es vital para el progreso: en las industrias que ayudamos a dar forma y en el mundo que compartimos.
Inventamos tecnologías que cambian la vida utilizando la ciencia de los materiales. Nuestra experiencia científica y de fabricación, nuestra curiosidad ilimitada y nuestro compromiso con la invención con propósito nos colocan en el centro de la forma en que el mundo interactúa, trabaja, aprende y vive.
Nuestra inversión sostenida en investigación, desarrollo e invención significa que siempre estamos listos para resolver los desafíos más difíciles junto con nuestros clientes.

Nuestro segmento de comunicaciones ópticas acaba de evolucionar de ser un fabricante de fibra óptica y cable, hardware y equipos para convertirse en un proveedor integral de soluciones ópticas líder en la industria, abarcando la industria de comunicaciones más amplia. Este segmento se clasifica en dos grupos de productos principales: red de operador y red empresarial. El grupo de productos de red de portador consta principalmente de productos y soluciones para infraestructuras de comunicaciones de fibra óptica para servicios como comunicaciones de video, datos y voz. El grupo de productos de red empresarial consta principalmente de redes de comunicación por fibra óptica dirigidas a negocios, gobiernos y personas para uso propio.

Sr. Regional Supply Chain Planner

Position Objective

Works in collaboration with supply chain, product line, commercial and plant manufacturing management to plan and execute to a high level of customer service and cash flow performance. Leads the S&OP, demand management, long term capital planning and SLOB inventory process for assigned areas. Works in conjunction with the plant and GSM groups to implement inventory management strategies and track performance. Drives consistency and sharing of best practices related to supply planning.

Key Responsibilities

Primary supply chain point of contact for the commercial and manufacturing partners
Responsible for managing the regional S&OP process, long term capacity planning, and communicating customer demand to leadership at different levels in the organization including senior level management
Able to anticipate potential supply gaps that may create a risk to meet customer demand in the long-term view
Matches supply and demand to ensure appropriate capacity levels at work centers
Ensures effective communication with plant resources and global counterparts to realize global capacity and maximize in regions speed and flexibility
Engages with product line management teams to support business priorities, contributing to define the right supply chain strategy to meet objectives
Represent manufacturing in forecast consensus meeting to balance statistical forecast with commercial inputs, providing feedback to improve accuracy and best possible MPS/MRP plans to plant through SAP
Carries out effective implementation and maintenance of planning strategies to optimize inventory and service levels
Evaluate inventory stocking programs relative to actual inventory/service levels and work with strategic and tactical planner/buyers to adjust inventory stocking plans as needed
Support the excess and obsolescent inventory management
Defines manufacturing finished good planning strategies
Interacts with commercial groups and customers as needed to support supply chain end to end collaboration activities
Often viewed as a supply chain senior level consultant, may identify additional product/service opportunities for demand planning and plan execution

Job Requirements

BA/BS degree
+5 years of supply chain related experience
Experienced as a master scheduler, production planner, demand planning positions is preferred
Fully bilingual (English and Spanish)
Experience with SAP system is preferred
APICS preferred
Proven presentation and communication skills at different levels of the organization
Self- started
Problem solving
Analytical Skills
Proficiency in Microsoft Office
Advanced reporting skills is a plus

Grupo Salarial: Grade C

Cantidad de referencias del empleado: $0.00",Manufactura,,2022-09-05T00:00:00,2022-10-16,OTHER
Sr. Applied Research Associate,Beeflow,,,-1,-1,,MXN,"Acerca de Beeflow
Beeflow es una empresa de biotecnología que se basa en el conocimiento científico y la tecnología para mejorar el impacto de los servicios ecosistémicos en la agricultura. Beeflow crea y administra programas de polinización para agricultores con el objetivo de aumentar constantemente el rendimiento de sus cultivos. Combina el conocimiento científico de la polinización de cultivos, la biología y el comportamiento de las abejas y la ecología química con tecnologías patentadas que incluyen moléculas que ayudan a entrenar a las abejas para polinizar cultivos específicos y una dieta de abejas basada en plantas que mejora el sistema inmunológico de las mismas. Este enfoque novedoso para la gestión de la polinización permite a los productores producir más con menos.
Con sede en California y con operaciones en los EE. UU., México, Perú y Argentina, Beeflow cerró una Serie A de $ 8,3 millones en mayo de 2021 con Ospraie Ag Sciences, Future Ventures, Vectr Ventures, Jeff Wilke (ex director ejecutivo de Worldwide Consumer en Amazon) , SOSV y otros. El equipo de expertos de Beeflow incluye biólogos, ecologistas, entomólogos, agrónomos y empresarios.
Para obtener más información sobre Beeflow, visite www.beeflow.com.

Acerca del rol
El objetivo principal de este rol es desarrollar el diseño experimental para realizar los servicios de polinización junto a las mediciones necesarias para evaluar el impacto de Beeflow. Además, tiene a su cargo la coordinación del equipo que llevará a cabo la recolección de datos, y debe poder realizar análisis estadísticos y procesamiento de datos.
Esta es una posición de tiempo completo y tendrá su sede en Jalisco, México con viajes frecuentes a sitios de campo en las áreas circundantes y a la ciudad de Sinaloa.
Principales responsabilidades:
Liderar las reuniones con el personal técnico de los fundos para determinar el mejor escenario para realizar las evaluaciones enfocadas a evaluar el impacto de Beeflow.
Dar soporte técnico en reuniones comerciales.
Realizar el diseño experimental y determinar la metodología de las mediciones y dinámica de las mismas que se realizarán durante todo el periodo de floración.
Liderar el reclutamiento, coordinación y seguimiento de monitores que realizan las mediciones a campo.
Armar la planilla de datos, análisis y confección de reportes mensuales de los servicios en los que participa.
Requirements
Requisitos mínimos:
Carrera de grado en Biología y/o Agronomía o disciplinas afines.
3- 5 años de experiencia en investigación y diseño experimental.
Experiencia en manejo de programas para realizar análisis estadísticos (preferentemente Programa R)
Fluidez en español y en inglés
Residente en Jalisco, México, con elegibilidad para trabajar en dicho país.
Licencia de conducir automovil activa
Requisitos deseados (no excluyentes):
Experiencia en manejo de bases de datos.
Experiencia en investigación asociada a polinizadores.

You might be a good fit if you believe in our Core Values
Poner a las personas primero: nos enfocamos en crear un entorno en el que todos puedan prosperar y realizar su trabajo de mayor impacto.
Ser apasionados por ayudar a construir un sistema alimentario en armonía con la naturaleza. Estamos convencidos de que podemos hacer del mundo un lugar mejor para las generaciones futuras si escuchamos y trabajamos con la naturaleza en lugar de reemplazarla y estamos comprometidos a hacer que eso suceda.
Hacer las cosas bien - Tenemos principios y los vivimos todos los días. Mantenernos humildes y curiosos: somos de mente abierta y buscamos humildemente desafiar el status quo para que podamos mejorar continuamente.
Liderar mediante el servicio: somos humildes servidores de aquellos con quienes somos interdependientes. Nos esforzamos por hacerles la vida más fácil siendo receptivos, flexibles, empáticos y curiosos.
Benefits
Oportunidad de sumarte a una Start Up de Ag Tech innovadora y en pleno crecimiento cuya misión es contribuir a la creación de un sistema alimentario en armonía con la naturaleza.
Remuneración competitiva
Seguro médico para el empleado y sus dependientes
Política de vacaciones flexibles
Clases de inglés in company.
Acceso a cursos, congresos y/o eventos relacionados al rol.",,,2022-09-02T00:00:00,2022-10-16,FULL_TIME
Sr. Product Designer / Romoto,Dresden Partners,México,Ciudad de México,-1,-1,,MXN,"Descripción:
Dresden Partners expertos en web technology, UX / UI, mobile and software development, con servicios near-shore staffing, tech international y local tech sourcing specialized.
Estamos en búsqueda de talento para la posición: Sr Product Designer
Requisitos:
¡Estamos buscando un diseñador de productos sénior para unirse a nuestro equipo de diseño de productos de consumo! Esta persona trabajará en estrecha colaboración con un equipo distribuido globalmente de gerentes de productos, diseñadores de productos y marcas, ingenieros y científicos de datos para crear experiencias que impactarán significativamente a los comensales y restaurantes en todo el mundo.
El diseñador de productos sénior será un socio de diseño influyente integrado en nuestro equipo de experiencia de usuario y reservas, que posee la parte crucial del viaje gastronómico donde los comensales completan sus reservas, experiencias, pedidos para llevar y más.
Esta persona trabajará para crear, evolucionar y desarrollar nuevas experiencias para los comensales, mientras equilibra las necesidades de nuestros usuarios, restaurantes y el negocio. Se espera que el diseñador de productos sénior navegue de manera experta por toda la gama del trabajo de un diseñador de productos, desde la estrategia y la investigación hasta los diseños de alta fidelidad. En algunos días, esbozará rápidamente ideas y lanzará experimentos como pruebas A/B, y en otros, elaborará una visión para establecer un proyecto o formar un equipo para el éxito a largo plazo.
En este rol, usted:

Influya en la estrategia del producto y traduzca flujos de trabajo complejos en experiencias de usuario elegantes y accesibles.
Trabaje en todas las etapas del proceso de diseño, desde la captura de información con la investigación del usuario y la creación y prueba de prototipos frente a usuarios reales hasta el diseño visual y el trabajo en colaboración con los gerentes de producto y los ingenieros para brindar una experiencia de primer nivel.
Actúa como un pensador crítico. Al encontrarse en un debate, puede apreciar ambos lados de un problema sin dejar de ser amable y defender sus convicciones.
Valore continuamente la introspección para mejorarse a sí mismo, a su equipo y a sus productos.
Sea proactivo, conciba e implemente un proyecto de forma independiente y esté abierto a la retroalimentación y al asesoramiento.
Comunique las decisiones con claridad y negocie, priorice y divida el trabajo de diseño en resultados medibles.
Desarrolle un gran arsenal de herramientas y sepa cuándo usarlas para ofrecer el nivel adecuado de fidelidad para los entregables de diseño.
Solicite si tiene:

Una cartera sólida que demuestra habilidades de resolución de problemas y habilidades de diseño de interacción a través de una amplia gama de trabajos de diseño de productos sobresalientes en plataformas web y móviles.
Experiencia trabajando y contribuyendo a sistemas de diseño.
Se siente cómodo interactuando con datos y generando hipótesis y conocimientos, y puede traducirlos en oportunidades de productos.
Experiencia en la industria restaurantera y pasión por la comida y la cena.
Experiencia trabajando en productos de mercado dual
Experiencia con pruebas A/B
Experiencia asesorando a los miembros junior del equipo.
Y si no está seguro de cumplir con todos los requisitos anteriores, nos encantaría saber de usted.
Beneficios:
Bono navidad 30 dias
Tiempo libre retribuido desde el primer año: 20 días al año
Prima vacacional 25%
Licencia de maternidad 12 semanas
Licencia de paternidad 10 semanas
Licencia por duelo 3 días
licencia por matrimonio 3 dias
Prestaciones complementarias
Bonos
Seguro Dental
Seguro de vida
Seguro Médico Mayor
Si cumples con el perfil, envía tu CV en inglés al correo señalado, mencionando expectativas económicas y en asunto el nombre de la vacante.
Para mayor información en:
https://linktr.ee/pao_gallegos
Requisitos:
Diseño completo del producto
Inglés avanzado",,,2022-09-01T00:00:00,2022-10-16,OTHER
Demand and Supply Sr Planner,Siemens Healthineers,,,-1,-1,,MXN,"¿Queres ayudar a crear el futuro del cuidado de la salud? Siemens Healthineers es un lugar para las personas que dedican su energía y pasión a esta importante causa. Reflejamos nuestro espíritu pionero combinado con nuestra larga historia de ingeniería en la industria de la salud, que se encuentra en constante evolución. Innovamos en avances para la salud. Para todos. En todas partes.
Te ofrecemos un ambiente flexible y dinámico en donde tendrás tu espacio para crecer personal y profesionalmente. ¿Suena interesante?
¡Entonces unete a nuestro equipo como Demand and Supply Sr Planner!
Tu misión y responsabilidades:Dar cumplimiento el proceso de S&OP,
Elaborar un pronóstico de demanda consensuado con el área comercial que garantice satisfacer los objetivos de revenue establecidos por el negocio, así como el cumplimiento de los KPI definidos por la región
Analizar las estrategias de inventario necesarias, realizar proyección de inventarios, coberturas y stocks de seguridad y las cantidades a comprar necesarios por código para cumplir con los requerimientos de nuestros clientes en tiempo y forma, así como las políticas de inventario y los presupuestos establecidos para esta actividad.
Tus cualidades y experiencias:Licenciatura en Ingeniería, Matemáticas, Economía, Administración de Empresas y afines y postgrado (deseable)Experiencia relacionada con la implementación de S&OP mínimo de 5 años en roles similares.
Ingles intermedio-avanzadoConocimiento SAP MMExcel y Power BI (Intermendio-Avanzado)Certificación CPIM-APICS (deseable)
People Management (Plus)
Tus atributos y habilidades:Flexibilidad y adaptabilidad al cambioSolucionador de problemasComunicación EfectivaTrabajo en equipoAsertivo y pragmático
Nuestro equipo global:
Somos un equipo de 66.000 empleados altamente dedicados en más de 70 países que empujan apasionadamente los límites de lo que es posible en el cuidado de la salud para ayudar a mejorar la vida de las personas en todo el mundo. Como líder en la industria, aspiramos a crear mejores resultados y experiencias para los pacientes sin importar dónde vivan o los problemas de salud que enfrenten. Nuestra cartera, que abarca desde el diagnóstico in vitro e in vivo hasta la terapia guiada por imágenes y la atención innovadora del cáncer, es crucial para la toma de decisiones clínicas y las vías de tratamiento.
Nuestra cultura:
Somos parte de una increíble comunidad de científicos, médicos, desarrolladores, investigadores, profesionales y especialistas capacitados que superan los límites de lo que es posible para mejorar la vida de las personas en todo el mundo. Adoptamos una cultura de inclusión en la que se puede liberar el poder y el potencial de cada individuo. Provocamos ideas que generan un impacto positivo y un éxito continuo.
Todas nuestras ofertas laborales incentivan la inclusión de Personas con Discapacidad al mundo laboral.

En caso de que requieras algún ajuste para participar del proceso de reclutamiento y selección, avísanos para facilitar tu participación en igualdad de condiciones.
Visita nuestro sitio de Carrera en www.healthcare.siemens.de/careers .
Nos preocupamos por la privacidad de sus datos y nos tomamos en serio el cumplimiento de la legislación de protección de datos de GDPR, así como otras leyes de protección de datos. Por esta razón, le pedimos que no nos envíe su currículum vitae por correo electrónico. En su lugar, le pedimos que cree un perfil en nuestra comunidad de talentos donde pueda subir su CV. La creación de un perfil nos informa de que está interesado en oportunidades profesionales con nosotros y nos facilita el envío de una alerta cuando se abren puestos relevantes.
A todas las agencias de contratación: Siemens Healthineers no acepta currículos de agencias. No envíe currículums a nuestros alias de trabajo, empleados o cualquier otra ubicación de la empresa. Siemens Healthineers no es responsable de ninguna tarifa relacionada con currículos no solicitados.
Organization: Siemens Healthineers
Company: Siemens Healthcare Diagnostics, S. de R.L. de C.V.
Experience Level: Experienced Professional
Full / Part time: Full-time",Salud,,2022-09-09T00:00:00,2022-10-16,FULL_TIME
INGENIERO DE MOLDEO SR.,P.R. Professional Recruiting,Baja California,Tijuana,-1,-1,,MXN,"Descripción y detalle de las actividadesEsta a cargo de la validación de los procesos de moldes nuevos, transferidos y/o modificados basado en moldeo científico. Analiza el desempeño de los procesos y propone mejoras para hacer los procesos más robustos. Responsabilidades:  * Es lider en la validación de procesos para nuevos moldes, moldes transferidos y moldes modificados o reparados.  * Optimización de procesos de moldeo a través del uso de herramientas estadísticas para reducir el scrap e incrementar la eficiencia  * En conjunto con el Ingeniero de Tooling, evalúa y proporciona medidas para corregir moldes con OEE debajo de 80%  * Participa en proyectos de mejora continua y de reducción costos mediante el uso de técnicas de Lean Manufacturing y 6 Sigma  * Aplica y promueve la metodología de 6S en el área de moldeo y su área de trabajo.  * Mantiene actualizada base de datos en Monitor.  * Crea y actualiza lo base de datos de Mold Books, así como las copias físicas.  * Apoya a los BDM proporcionando tiempos de ciclo y tonelaje para la cotización de nuevos productos. De igual forma, define la mejor opción molde – máquina  * Supervisa la eficiencia del mantenimiento preventivo y correctivo de los moldes  * Proporciona mejoras a los diseños de nuevos moldes durante las sesiones de DFMEA  * Realiza análisis de inversión para la adquisición de equipo nuevo (p. ej. Periférico y robots)  * Mantener de acuerdo a su función los requerimientos del Sistema de Gestión de Calidad aplicando las herramientas de Mejora Continua correspondiente.Experiencia y requisitos8 años de experiencia como Ingeniero en moldeo por inyección de plástico Validación mediante moldeo científico Resolución de problemas de procesos de moldeo por inyección de plástico Diseño de experimentos (deseable)Inglés 90%Certificación Master Mold ( DESEABLE )Tipo de puesto: Tiempo completoSalario: $20,000.00 - $25,000.00 a la semanaHorario:Turno de 10 horasEducación:Licenciatura terminada (Obligatorio)Experiencia:Ingeniero de Moldeo: 5 años (Obligatorio)Idioma:Ingles 80% (Obligatorio)Licencia/Certificación:Master Mold (Deseable)",,,2022-08-24T00:00:00,2022-10-16,FULL_TIME
Administrador de Base de Datos SR SQL,Trejo & Asociados,,,660000,840000,MONTH,MXN,"Empresa Financiera solicita: Administrador de Base de Datos Sr.OBJETIVO· Garantizar y optimizar la seguridad, integridad y estabilidad de las bases de datos, que administran la información de las operaciones del negocio, para que siempre estén disponibles, según las necesidades de las diferentes áreas de la compañía.· El objetivo de este perfil consiste en asegurar la disponibilidad de los datos, proponiendo acciones que ayuden a obtener datos con tiempos de respuestas óptimos para la organización.· Estos datos deben estar seguros, y se deben establecer caminos para recuperarlos en caso de algún incidente.· En términos de tecnologías se debe: Asegurar la continuidad operacional.·PRINCIPALES RESPONSABILIDADES· Es el responsable por la Administración de las Bases de Datos.· Administra las tecnologías de la información y la comunicación, siendo responsable de los aspectos técnicos, tecnológicos, científicos, inteligencia de negocios y legales de bases de datos.· Instalar, configurar y gestionar bases de datos· Dar soporte al equipo de desarrollo· Diseñar la distribución de los datos y las soluciones de almacenamiento· Garantizar la alta disponibilidad de la base de datos· Formato de Descripción de Puestos· Dirección de Recursos Humanos· Garantizar la seguridad de las bases de datos, incluyendo respaldos y recuperación de desastres· Implementar planes de mantenimiento de la base de datos· Desarrollar tareas de tuneo de base de datos, tanto en las consultas SQL como en la configuración del· servidor.· Diseñar la distribución de los datos y las soluciones de almacenamiento· Manejo de Cluster (Windows y LInux)· Desarrollar tareas de Replicación.· Mantenimiento a las bases de datos.·CONOCIMIENTOS: SQL SERVER, MYSQL, SQL CLOUD, AZURE, AWSSUELDO Y PRESTACIONES · Sueldo· PL· 10 días de vacaciones· SGMM· SV· Clases de Ingles· Servicio de comedor y medicoInteresados enviar mensaje al Lic. Christian Trejo para solicitar email al WhatsApp 5549410595Tipo de puesto: Tiempo completo, Por tiempo indeterminadoSalario: $55,000.00 - $70,000.00 al mesHorario:Turno de 8 horasPrestaciones:Seguro de gastos médicos mayoresSeguro de vidaServicio de comedorVacaciones adicionales o permisos con goce de sueldoPregunta(s) de postulación:Que herramienta utilizas, Azure, Asw, Cloud sqlExperiencia:Administrador de base de datos: 6 años (Deseable)SQL: 6 años (Deseable)Microsoft SQL Server: 5 años (Deseable)FINANCIERAS, BANCO, FINTECH: 5 años (Deseable)NUBE: 5 años (Deseable)",,,2022-08-29T00:00:00,2022-10-16,FULL_TIME
Supply Chain Order Sr Specialist,Siemens Healthineers,,,-1,-1,,MXN,"¿Queres ayudar a crear el futuro del cuidado de la salud? Siemens Healthineers es un lugar para las personas que dedican su energía y pasión a esta importante causa. Reflejamos nuestro espíritu pionero combinado con nuestra larga historia de ingeniería en la industria de la salud, que se encuentra en constante evolución. Innovamos en avances para la salud. Para todos. En todas partes.
Te ofrecemos un ambiente flexible y dinámico en donde tendrás tu espacio para crecer personal y profesionalmente. ¿Suena interesante?
¡Entonces únete a nuestro equipo como Supply Chain Order Sr Specialist!
Tu misión y responsabilidades:
Atención y satisfacción de clientes, recepción y procesamiento de pedidos desde la captura hasta su facturación y entrega garantizando condiciones y compromisos comercialesSeguimiento de ordenes en proceso y retroalimentación continua de estatus a clientesSeguimiento de tendencias de volúmenes de operación y definición de acciones que resulten en mejorar la
experiencia del cliente y los resultados de la organización.
Tus cualidades y experiencias:
Experiencia mínima de 5 años en roles de Supply Chain como especialista, Analista u otros roles similaresGestión de clientesSAPExcel avanzadoPower BI deseableAutomatización y digitalización de procesosInglés Intermedio-Avanzado
Tus atributos y habilidades:
Capacidad de análisis y síntesis de informaciónComunicación asertivaProactividadEmpatía y actitud de servicioTrabajo bajo presión

Nuestro equipo global:
Somos un equipo de 66.000 empleados altamente dedicados en más de 70 países que empujan apasionadamente los límites de lo que es posible en el cuidado de la salud para ayudar a mejorar la vida de las personas en todo el mundo. Como líder en la industria, aspiramos a crear mejores resultados y experiencias para los pacientes sin importar dónde vivan o los problemas de salud que enfrenten. Nuestra cartera, que abarca desde el diagnóstico in vitro e in vivo hasta la terapia guiada por imágenes y la atención innovadora del cáncer, es crucial para la toma de decisiones clínicas y las vías de tratamiento.
Nuestra cultura:
Somos parte de una increíble comunidad de científicos, médicos, desarrolladores, investigadores, profesionales y especialistas capacitados que superan los límites de lo que es posible para mejorar la vida de las personas en todo el mundo. Adoptamos una cultura de inclusión en la que se puede liberar el poder y el potencial de cada individuo. Provocamos ideas que generan un impacto positivo y un éxito continuo.
Todas nuestras ofertas laborales incentivan la inclusión de Personas con Discapacidad al mundo laboral.

En caso de que requieras algún ajuste para participar del proceso de reclutamiento y selección, avísanos para facilitar tu participación en igualdad de condiciones.
Visita nuestro sitio de Carrera en www.healthcare.siemens.de/careers .
Nos preocupamos por la privacidad de sus datos y nos tomamos en serio el cumplimiento de la legislación de protección de datos de GDPR, así como otras leyes de protección de datos. Por esta razón, le pedimos que no nos envíe su currículum vitae por correo electrónico. En su lugar, le pedimos que cree un perfil en nuestra comunidad de talentos donde pueda subir su CV. La creación de un perfil nos informa de que está interesado en oportunidades profesionales con nosotros y nos facilita el envío de una alerta cuando se abren puestos relevantes.
A todas las agencias de contratación: Siemens Healthineers no acepta currículos de agencias. No envíe currículums a nuestros alias de trabajo, empleados o cualquier otra ubicación de la empresa. Siemens Healthineers no es responsable de ninguna tarifa relacionada con currículos no solicitados.
Organization: Siemens Healthineers
Company: Siemens Healthcare Diagnostics, S. de R.L. de C.V.
Experience Level: Experienced Professional
Full / Part time: Full-time",Salud,,2022-09-05T00:00:00,2022-10-16,FULL_TIME
