Job_title,Company,State,City,Min_Salary,Max_Salary,unitText,SalaryCurrency,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
Associate Technology Director,frog,México,Ciudad de México,-1,-1,,MXN,"Why join frog?

Joining frog means you'll be joining the ""pond,"" a global network of studios, each with a thriving in-person and vibrant virtual culture. As a leading global creative consultancy that is part of Capgemini Invent, frog challenges the status quo to craft and build transformative human experiences that win hearts and move markets. Partnering with passionate leaders and visionary entrepreneurs, we apply creativity, strategy, design and data to re-invent businesses, drive growth and orchestrate customer-centric transformation. Together we strive to shape a regenerative future that is both sustainable and inclusive for businesses, people and planet. Our culture is open, flexible, inclusive and engaging. Working at frog means being empowered to Make Your Mark on every project, in your studio, your community—and the world at large.

What will you be doing?

As an Associate Technology Director, you'll lead a team in using the latest tools and techniques to take projects from idea to reality. You take a human-centred approach to development: finding relatable, new ways to use technology, helping others work within technical limits, and building user experiences that improve people's lives. Your team is important to you, and you take pride in helping Technologists start incredible careers.

We want you to have:

Served as an advocate for technology, helping designers and product managers work through technical feasibility and tradeoffs to discover new paths forward
6+ years of professional experience building production software with rich user experiences using modern tools and techniques
2+ years of experience leading agile development of full-stack applications and setting data, security, and accessibility best practices
Equally comfortable writing code as you are planning work and delegating tasks to Technologists and QA Analysts
Readiness to manage and mentor more junior Technologists
A willingness to travel for key collaboration sessions

It would be a bonus if you had:

Strong presentation, consulting, and writing skills
Designed complex technical architectures and software ecosystems
Experience with rapid prototyping and creating proof-of-concept demos
Explored many different areas of technology, like web, mobile apps, IoT, or AR/VR
Experience with projects that have many different moving parts or multiple teams developing in parallel
Experience in business development and managing client relationships

Application Instructions

Provide your resume
We'd love to see your work! Include links to any public git repos, open source contributions, or apps/websites you'd like to share

Equal Opportunities at frog

frog is an Equal Opportunity Employer encouraging diversity in the workplace. All qualified applicants will receive consideration for employment without regard to race, national origin, gender identity/expression, age, religion, disability, sexual orientation, genetics, veteran status, marital status, or any other characteristic protected by law.

frog is a global business with teams working across the world. To help us process your application, please ensure that your application documents (CV, cover letter, portfolio, etc.) are all in English.",Administración y consultoría,,2022-08-26T00:00:00,2022-10-16,OTHER
Analyst Financial Institutions Group Latin America,ZM Financial Systems,México,Ciudad de México,-1,-1,,MXN,"Imagine what we can INSPIRE with you

Moody’s empowers people to make better decisions and achieve brighter futures. This is what motivates us to bring out the best in our products and our people. Join us. Forward Together.

Moody’s (NYSE: MCO) is a global integrated risk assessment firm that empowers organizations to make better decisions. Our data, analytical solutions and insights help decision-makers identify opportunities and manage the risks of doing business with others. We believe that greater transparency, more informed decisions, and fair access to information open the door to shared progress. With over 11,000 employees in more than 40 countries, Moody’s combines international presence with local expertise and over a century of experience in financial markets. Learn more at moodys.com.

At Moody’s, we’re taking action. We’re hiring diverse talent and providing underrepresented groups with equitable opportunities in their careers. We’re educating, empowering and elevating our people, and creating a workplace where each person can be their true selves, reach their full potential and thrive on every level. Learn more about our DE&I initiatives, employee development programs and view our annual DE&I Report at moodys.com/diversity

Moody’s Investors Service is among the world’s most respected and widely utilized sources for credit ratings and research. Our opinions and analysis on a broad range of credit obligors and obligations are valued around the world for their insight and rigor.

At MIS, our workplace culture supports our mission to be the Agency of Choice for our customers, employees and future employees. Our Culture focuses on Excellence and embodies behavioral qualities such as Integrity, Responsiveness, Collaboration, Respect and Passion. Our people are our core asset and we look beyond outcomes to ensure that behaviors and interactions matter.
Department

Financial Institutions Group – Latin America
Role/Responsibilities

Conduct a quantitative assessment of financial statements and economic/market data
Conduct initial and on-going credit analysis.
Demonstrate a good understanding of and apply key features of quantitative models in the rating process.
Identify credit risks and risk mitigators and prepare written rating recommendations with limited guidance.
Formulate a cogent rating rationale and present this rationale in a persuasive fashion at the rating committee while leading the committee discussion.
Maintain a good understanding of relevant industries and current trends affecting industry participants.
Prepare and lead annual review meetings as well as rating monitoring meetings with issuers to obtain necessary information for analysis.
Actively monitor portfolio, keep informed of market developments and make recommendations for rating transitions in a timely fashion
Produce timely and relevant research on issuer-specific, or financial sector related market reviews with limited guidance that are in-depth, high quality, insightful and focused.
Working with a senior analysts, publish at least 2 special comments per year by contributing to the publications by writing significant portions of the report and preparing tables and graphs.
Issuer/Investor Relations
Provide issuers, intermediaries and investors with timely service by responding to issues, meeting requests and discussing reasonable timeframes for services
Manage issuer and intermediary expectations effectively to minimize last minute issues.
Handle investor calls with guidance from senior team members.
Communications
Present credits effectively and comprehensively in rating committees and other internal analytical meetings and contribute high quality insight with regard to financial institutions.
Coach and develop Junior analysts and support associates.
Mentor team members in the basics of rating structured transactions.
Qualifications

Graduate / second-level degree (e.g., MBA, Master’s) or strong equivalent academic background in relevant areas.
Two to five years experience in the analysis of financial institutions that provides a good understanding of financial markets and business environment in Latin America.
Well-developed analytical skills with the ability to collate information into reasoned arguments.
Strong written and oral communication capabilities
Ability to manage multiple competing priorities within deadlines.
Strong abilities in Excel, Word and PowerPoint.
Fluent in Spanish and English (speaking/writing)
Moody’s is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, sexual orientation, gender expression, gender identity or any other characteristic protected by law.

Candidates for Moody’s Corporation may be asked to disclose securities holdings pursuant to Moody’s Policy for Securities Trading and the requirements of the position. Employment is contingent upon compliance with the Policy, including remediation of positions in those holdings as necessary.",Tecnologías de la información,,2022-09-03T00:00:00,2022-10-16,FULL_TIME
IT Project Manager Analyst,Accenture,Nuevo León,Monterrey,-1,-1,,MXN,"DARE TO BE A PART OF THE CHALLENGE! COME AND JOIN OUR TEAM TOGETHER WE CAN MAKE THE DIFFERENCE!
Did you know that Accenture is leading the digital transformation in the World?
Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. Our main purpose is to collaborate with our clients, so they can become high-performance businesses. Accenture is present in more than 200 offices, 120 cities, 56 countries and approximately 390,000 employees worldwide.
Career development according to your profile and interests.
Work in one of the best companies and feel proud.
Access to an innovative methodology and tools.
Direct contact with experts worldwide.
Use of work schemes and cutting-edge technologies.
Constant training.
Work environment based on teamwork and collaboration.
Participation in International Projects

We are looking for a IT Project Manager Analyst to join our team
The Project Management provides Project Management and PMO capabilities to the Delivery Lead with the skills and knowledge on established processes, best practices and tools aligned with the Avanade Delivery Framework, capable of mobilization and managing projects in both Waterfall, Agile and Hybrid Agile methodologies to maintain the projects health and provide accurate data for the Delivery Lead to make decisions and focus more on client facing activities.

Ideal position for junior/intermediate profiles who wants to make their career take off
Must have
English advanced (spoken and written)
3 to 5 years of experience in IT projects
Microsoft Project
Nice to have
PMP (PMI) Certification
Experience leading teams
Power BI
Jira
Azure
Accenture does not discriminate based on race, religion, color, sex, age, disability, nationality, sexual orientation, gender identity or expression, or for any other reason covered by local law.",Administración y consultoría,,2022-08-16T00:00:00,2022-10-16,FULL_TIME
Junior Cybersecurity - Risk Analyst,Connectingology,México,Ciudad de México,-1,-1,,MXN,"Description
The Vendor Risk Analyst, will have the responsibility of managing the vendor inventory, collecting information from our internal business partners and generating reporting. This will include clarifying information provided by the business, challenging in some cases these responses and analyzing the data to assign a risk rating to the vendor. They will provide ongoing support to management and continued development of the vendor risk program. This individual will provide direct input and feedback on updates to the vendor risk program. The Vendor Risk Analyst must be able to work independently with minimal management supervision and deliver results on time in many cases under very tight time requirements.
Cyber resilience in a highly connected world cannot be achieved in isolation. Working in partnership with suppliers, peers and other stakeholders is a key to have a holistic approach to security resilience. These risks will cover cybersecurity and contingency risks. Key competences of this role will be the assessment and validation of RTO answers provided by Vendors, in conjunction with Cyber department in charge of that control. Also will also be responsible to monitor cyber vendor's risk during the service.
Requirements
MUST
2-3 years of experience in rolls related
Advanced english proficiency
Previous experience with cyber security

2 years",,,2022-09-12T00:00:00,2022-10-16,FULL_TIME
Senior ERP Training and Testing Support,WPP,México,Ciudad de México,-1,-1,,MXN,"Senior ERP Training and Testing Support

WPP is a multinational media and advertising group, one of the world's largest advertising companies, operating in 112 countries, with over 3,000 offices worldwide. WPP has embarked on a global transformation programme to standardise finance processes, to deploy finance shared service and implement a common ERP to replace multiple outdated systems. This involves working with the various agencies under the WPP Group. These initiatives are in full flight in Asia and the Middle East and are now being deployed in LATAM starting with Mexico.

We are seeking a fluent Spanish and English-speaking Training and Testing Consultant who has strong ERP implementation experience, including hands-on ERP functional, testing or IT support experience, and who has good finance process expertise (i.e., PTP, OTC, RTR). The candidates will deliver the training to business users of the system and will support business users during the testing phase for the LATAM country deployments starting with Mexico. The candidate will collaborate with the LATAM Process, Change Management and Training Lead located in Mexico. Deployments are managed remotely with globally dispersed teams of technical and functional experts and travel is not required – certain events may be face-to-face if necessary. You will be part of the Maconomy Core Implementation Team and housed in our Finance SSC office in Mexico however you can work remotely if your home internet speed is strong and reliable.

Very good spoken and written Spanish and English is essential for this role as it involves a lot of communication with business users, conducting of training sessions to business users (i.e., executive-level to operational system users) and studying/translation existing English training materials into Spanish.

Key Responsibilities


Collaborate with the LATAM Process, Change Management and Training Lead on the new ERP deployments including administrative tasks related training business users (e.g., preparation of demo system for trainings, managing test users, updating training materials etc.) and conducting system demonstrations to help train new business users on the new ERP system or to test how the system behaves for certain business scenarios.


Proactively develop your expertise and knowledge on our project-centric ERP system (Deltek Maconomy) to be able to conduct demonstrations, to support hands-on system exercises, and to manage queries from new users.


Study English training materials to educate yourself on the system and to work with the team to translate materials. For example, English materials already exists for front-office topic such as master data, project set up, estimates/quotes, purchase orders, client billing, revenue recognition and reports. And for back-off topics such as vendor invoicing processing and payments, cash allocation, journals, and month-end tasks. For the later, the SSC Spain team can support you with training to the SSC Mexico team.


Manage, coach and delegate work to Junior Training & Testing Support Analyst who will assist you with conducting training and administration activities and who will help business users during user testing.


Build a relationship with business users in agency finance teams, client account teams and SSC teams to manage training to these user groups and to manage issues and/ or change interventions with them.


Help businesspeople to understand the system set up and end-to-end design in a user-friendly business language rather than IT technical jargon.


Essential Technical and Professional Expertise

8+ years of hands-on ERP software experience and a desire to focus on training business users and testing
Beneficial if the candidate has experience with Deltek Maconomy products (however not essential)
Strong expertise in finance processes (i.e. P2P, O2C, R2R, Tax)
Experience working in a complex and matrixed organisation
Beneficial if the candidate has experience with finance shared services and the advertising and media sector
Experience in the areas of system testing and user training
Fluent Spanish spoken and written communication skills, and strong presentation skills
Excellent English spoken and written communication skills
Experience with developing user instructions, training materials and editing, and proofreading
Highly computer literate with proficiency in MS Office and business communication tools such a MS Teams.
Fantastic organisation and time management skills and meticulous attention to detail

Language: Fluent Written and Verbal Spanish and English

Location: Mexico

Employment Type: Contractor

Annual Salary: Competitive",Audiovisual y medios de comunicación,,2022-09-12T00:00:00,2022-10-16,OTHER
"Analyst, IT Customer Services",Magna International Inc.,Nuevo León,San Pedro Garza García,-1,-1,,MXN,"Group Description
At Magna, we create technology that disrupts the industry and solves big problems for consumers, our customers, and the world around us. We’re the only mobility technology company and supplier with complete expertise across the entire vehicle.
We are committed to quality and continuous improvement because our products impact millions of people every day. But we’re more than what we make. We are a group of entrepreneurial-minded people whose collective expertise gives us a competitive advantage. World Class Manufacturing is a journey and it’s our talented people who lead us on this journey.
Role Summary
The IT Customer Services Analyst’s role is to ensure that the performance obligations of in-house computing systems are met. This includes gathering and analyzing data in support of systems management, maintenance, and performance. The IT Analyst is also responsible for generating and compiling reports based on their findings, complete with probable causes and possible solutions to systems issues. This individual will apply proven communication, analytical and problem-solving skills to help identify, communicate and resolve malfunctions and make the appropriate recommendations in order to maximize the benefit of IT systems investments.
Key Responsibilities
Analyze day-to-day functions and processes of infrastructure, software and database resources to ensure they are performing within predetermined guidelines, limits, and specifications
End User Support, ensure that local IT infrastructure is operational and performing well
Support project managers, systems administrators, and end users to define systems goals, and identify and resolve systems issues
Identify and establish scope and parameters of systems analysis in order to define outcome criteria and measure-taking actions
Develop and document research, data retrieval, and data analysis methodologies for use by other personnel
Conduct research on hardware and software products to justify recommendations and to support purchasing efforts
Create systems and performance models, specifications, diagrams and charts to provide direction to key systems staff
Prepare and deliver reports, recommendations, or alternatives that address existing and potential trouble areas in operating systems across the organization
Provide guidance and/or instruction to junior staff members
Key Qualifications/Requirements
Completion of community college (computer science, information science, or management information systems)
3 to less than 5 years of work related experience
Strong customer service orientation
Proven experience in IT Operations processes and ITIL
Proven experience in end user support
Proven experience with Microsoft Office Suite including Office365
Extensive knowledge of Active Directory, Group Policy, and Organizational Units
Extensive knowledge supporting Microsoft Windows Operating Systems, both Server and Workstation
Extensive practical knowledge in importing data for use in report software, spreadsheets, graphs, and flow charts
Extensive experience with core software applications, knowledge of Matrix42 and Nexthink would be an advantage
Excellent analytical, problem-solving, and mathematical skills
Excellent written and oral communication skills
Excellent listening and interpersonal skills
Excellent understanding of the organization’s goals and objectives
Ability to effectively prioritize and execute tasks in a high-pressure environment
Ability to conduct research into systems issues and products as required
Ability to communicate ideas to technical and non-technical audiences
Ability to effectively troubleshoot Local Area Network issues as they arise
Logical and efficient
Highly self-motivated and directed
Keen attention to detail
Experience working in a team-oriented, collaborative environment
Additional Information
Occasional evening and weekend work to meet deadlines
Sitting for extended periods of time
Dexterity of hands and fingers to operate a computer keyboard, mouse, and to handle other computer components
Lifting and transporting of moderately heavy objects, such as computers and peripherals
Regular overnight travel up to 25% of the time
For dedicated and motivated employees, we offer an interesting and diversified job within a dynamic global team together with the individual and functional development in a professional environment of a global acting business. Fair treatment and a sense of responsibility towards employees are the principle of the Magna culture. We strive to offer an inspiring and motivating work environment
We offer attractive benefits (e.g. employee profit participation program) and a salary which is in line with market conditions depending on your skills and experience
Awareness. Unity. Empowerment.
At Magna, we believe that a diverse workforce is critical to our success. That’s why we are proud to be an equal opportunity employer. We hire on the basis of experience and qualifications, and in consideration of job requirements, regardless of, in particular, color, ancestry, religion, gender, origin, sexual orientation, age, citizenship, marital status, disability or gender identity. Magna takes the privacy of your personal information seriously. We discourage you from sending applications via email to comply with GDPR requirements and your local Data Privacy Law.",Manufactura,,2022-09-07T00:00:00,2022-10-16,OTHER
Junior Data Analyst - Social Listening,LLYC,México,Ciudad de México,-1,-1,,MXN,"Alcanza tus metas profesionales y desarrolla tus habilidades en la mejor agencia para trabajar en México
En BESO by LLYC estamos buscando un Junior Data Analyst con un año de experiencia en un puesto similar, dando soporte a las necesidades del área.
Qué ofrecemos:

Experiencia en manejo de datos e información para análisis, síntesis, generación de insights, elaboración de presentaciones y exposición ante el público.

Amplio criterio para investigación en medios digitales, gratuitamente y a través de herramientas de consulta.

Indispensable tener experiencia realizando Social Listening, utilizando herramientas como: Brandwatch, Meltwater, Talkwalker, Sprinkler, Salesforce.

Análisis y reporte de tendencias.
Que necesitamos:
Un Junior Data Analyst necesita tener desarrollado un pensamiento lógico y crítico, ser propositivo y con facilidad de comunicar sus ideas al resto de los equipos.
Qué valoramos:

Experiencia de 1 años en un puesto similar

Inglés americano medio o alto en lectura, comprensión y escritura

Manejo de office a nivel intermedio - avanzado

Escolaridad: Licenciatura en Sociología, Comunicación, Marketing, Publicidad.

Si quieres formar parte de un Great Place To Work, postúlate enviando tu CV y Book al correo de talento@beso.agency",Audiovisual y medios de comunicación,,2022-09-02T00:00:00,2022-10-16,OTHER
Senior .Net C# Engineer (Latam - Remote),Intersog,Jalisco,Guadalajara,-1,-1,,MXN,"A bit about IntersogIntersog® is a Chicago-based provider of software engineering, custom development, and IT consulting solutions. We help companies address IT talent by building dedicated software development teams either locally in the USA / Canada / Mexico or in our R&D centers in Ukraine.A bit about the project/clientWe are seeking a talented .Net C# Senior Software Engineer. This role involves implementing the next generation of enterprise software products and company-wide APIs, working closely with the Director of Systems, stakeholders, business analysts, and developers - someone with a passion for what they do and a vision for the future.Essential Job Functions: Write effective and scalable codeDesign, modify, develop, and unit test software applications and componentsProvide user support for developed software applications and componentsProvide technical assistance and mentoring for Junior DevelopersAssist in team development efforts towards successful software deliveryMaintain high standards of software quality within the teamMaintain high standards in security best practices and privacy in software solutionsAssist with technical requirements and development of user stories particularly in non-product owned areas like technical debt, architecture, data modeling, etc.Participate in peer-reviews of design, architecture, and code of software solutionsSupport deployment and release planningAnalyze and resolve technical and software application problemsParticipate in urgent support issues escalated to engineeringStrive for continuous improvement and assess opportunities for application and process improvement in all areas of software engineeringResearch and evaluate a variety of software productsPerform other related duties as assignedRequired Qualifications: 5+ years of software engineering experience with web-based software products.Required Technical Skills: C#, .Net, SQL, Entity Framework, LINQ, Continuous Integration, Unit Tests, UI Tests, Desktop Applications, Web Services, API programmingStrong understanding of agile practices and software development life cycle.Comprehensive object-oriented understanding and software development skills.Strong understanding of various data storage solutions; SQL Server preferred.Solid understanding of API and microservice architecture design and development.Solid understanding of cloud architecture and cloud services.Extensive experience designing and developing enterprise-grade software.Experience with source code control management systems; Git preferred.Experience with continuous integration and continuous deployment.Experience performing code reviews.Experience debugging, performance profiling, and optimization.The ability and desire to work cooperatively with others on a team, giving and taking feedback to improve the product and work output.Ability to take guidance and direction from team lead, and team and product management.Strong organizational, administration, presentation, project management, and communication skills (both verbal and written) with excellent interpersonal skills.Ability to maintain the highest level of confidentiality, integrity, and ethical practice.Ability to meet goals of software engineering leadership and the organization.Job Type: Full-time",Tecnologías de la información,,2022-09-12T00:00:00,2022-10-16,FULL_TIME
Technical Support Analyst,BMC Software,Jalisco,Guadalajara,-1,-1,,MXN,"Basic Information
Country
Mexico
State
Jalisco
City
Guadalajara
Date Published
02-Aug-2022
Job ID
34730
Travel Amount
None
Description and Requirements
#LI-OG1
BMC works with 86% of the Forbes Global 50 and customers and partners around the world to create their future. With our history of innovation, industry-leading automation, operations, and service management solutions, combined with unmatched flexibility, we help organizations free up time and space to become an Autonomous Digital Enterprise that conquers the opportunities ahead.
Works directly with customers via phone, email, and chat sessions to enhance satisfaction and improve use of products. Responds to customer inquiries regarding products, features, and compatibility. Delivers solutions and implements workarounds by using technical knowledge to troubleshoot and diagnose software issues. May suggest configuration changes to improve product performance and meet customer needs. Analyzes, researches, and documents issues and adds resolution to knowledge base as input into product development and enhancement cycles. May publish knowledge articles for customers to reference in lieu of logging a help ticket. Issues that are very complex, technical, and require additional debugging are escalated to the product development team KNOWLEDGE, SKILLS, AND ABILITIES: Creatively solves complex tasks by applying judgement to select the best approach to achieve desired outcomes. Understands how function and role contribute to business goals. Assists more junior members of the team with their tasks and helps them understand how work contributes to business objectives. Collaborates well with other departments to achieve best results for company and customers. Plans and completes assignments independently with little supervision. EDUCATION AND EXPERIENCE: Bachelor’s degree or equivalent with a minimum of 6 years of professional experience OR advanced degree with 4 years of experience required.Position Description
The Application Support Engineer is responsible for providing a high-level expertise to software enterprise solutions for external customers. The Job Scope includes troubleshooting issues related to BMC software on multiple operating systems, databases, and networks, to provide a timely and accurate response to our customers. Report and validate design defects and enhancement requests.

Primary Roles and Responsibilities:
Identifies and drives Self-help initiatives and Knowledge Base Maintenance
Provide Level-2 and Level-3 support for BMC solutions
Respond to and resolve all customer technical issues (via phone, e-mail, web)
Work with product engineering team on customer escalations and help them fixing issues
Maintain high level of customer satisfaction
Overall experience of 5+ years in IT industry
Maintain clear and concise ticket documentation with all required data and fields
Escalate service requests and issues appropriately to engineering team
Exercise independent thought within defined procedures and practices
Manage priorities and act on factors that create priorities
Prepare for and support new products within technical area
Work within a global teamwork environment
Weekend support on rotational basis
This is 24*7 operations support so flexibility to work in different shifts
Qualifications:
BS degree in CS/EE or equivalent experience
Technical Customer support experience
Excellent written and verbal communication skills
Customer handling skills
Fluent in English, written and verbal
Strong debugging/troubleshooting skills
Overall experience of 8+ years in IT industry
Knowledge and understanding of BMC Solutions is a plus
Experience with administration of Windows 2003/XP and UNIX (HP-UX, AIX, Solaris, Linux)
API Troubleshooting
Tomcat Troubleshooting
Database experience, specifically Oracle and MS SQL, or other databases knowledge
Certified or very familiar with ITIL
Containers knowledge is a plus
transformation, movement, loading, cleansing, and updating processes.
Workflow process experience
Intuitive/Risk-Taking
Decision Making
Organization
Administration infrastructure support
It is the policy of BMC Software to afford equal opportunity for employment to all individuals regardless of race, color, creed, sex, age, sexual orientation, national origin, disability, ancestry, citizenship status, political affiliation, religion, gender, transgender, gender identity, gender expression, marital status, status as a parent, disabled veteran or status as a protected veteran, genetic information or other factors prohibited by law, and to prohibit harassment or retaliation based on any of these factors.


If you need a reasonable accommodation for any part of the application and hiring process, visit the accommodation request page.",Tecnologías de la información,,2022-09-15T00:00:00,2022-10-16,OTHER
Software Developer III,Integon Service Co.,Baja California,Tijuana,-1,-1,,MXN,"JOB DESCRIPTION
Primary Purpose:
Responsible for the analysis, design, coding, testing, documentation and support of new software applications and enhancements to existing applications. Provide technology solutions to allow business units achieve their objectives and goals.
Essential Duties and Responsibilities:
Following is a summary of the essential functions for this job. Other duties may be performed, both major and minor, which are not mentioned below. Specific activities may change from time to time.
Design, develop and test software applications
Maintain systems by identifying and correcting software defects
Participate in requirement analysis and definition
Create technical specifications and unit test plans
Work with QA to align understanding of requirements and to develop system test plans
Work as part of an Agile development team to solve problems and develop projects in a fast paced environment
Follow instructions and pre-established guidelines to perform the functions of the job
Demonstrate a basic degree of creativity and problem solving skills
Follow the established software development life cycle
Follow established coding standards and naming conventions
Support applications using software development methodologies including structured programming, documentation, design and code review
Work with business analysts and application users to define and design robust user centric application solutions
Collaborate with UX resources to drive consistent look and feel of user interface
Collaborate with database resources to ensure robust and complete data access and manipulation
Collaborate with IT Operations to ensure hardware and software are aligned to deliver business requirements
Mentor junior and other new developers
On-site regular attendance and punctuality are essential functions of the job
JOB REQUIREMENTS
Minimum Skills and Competencies:
The requirements listed below are representative of the knowledge, skill and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Bachelor Degree or, in-lieu of degree, equivalent education, training and work-related experience
Fully bilingual in English/Spanish
7+ years of experience in the Microsoft technology stack
Strong knowledge of the .NET framework (4.5 and higher)
Strong understanding of object-oriented programming and SOLID design principles
Proficient in C# with good understanding of VB.NET
Proficient in ASP.NET MVC, HTML5, CSS, JavaScript, and JQuery
Experienced with front-end frameworks (AngularJS, Knockout, React, etc.)
Experience with SOAP and Restful Web Services (WCF, Web API)
Proficient in SQL Server 2012 and above, Transact SQL, stored procedures, triggers, DTS packages
Experience with Entity Framework and Object-Relational Mapping (ORM) frameworks
Experience with applying design and architectural patterns
Familiar with TFS 2013 and higher
Experience in end-to-end Software Development Life Cycle (SDLC) project
Experience working with Agile/Scrum methodologies
Experience with code review and evaluation
Good at understanding requirements and estimation
Good team player, have ability and willingness to mentor junior developers
Have passion for learning new technologies and enhancing existing skills
Excellent verbal and written communication skills
Self-starter that can work well in a team environment
Proactive issue resolution with a positive attitude
Ability to adapt and respond in a rapidly evolving business environment
Understands solution at the project level
Desired Skills:
Possess experience in the insurance industry and/ or basic knowledge of insurance
Understanding of data modeling concepts
Relevant Microsoft certification
Insurance industry experience",,,2022-08-22T00:00:00,2022-10-16,FULL_TIME
