Job_title,Company,State,City,Min_Salary,Max_Salary,unitText,SalaryCurrency,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
Senior Business Analyst,Decision Point,México,Ciudad de México,360000,720000,MONTH,MXN,"JOB DESCRIPTIONJOB TITLE SENIOR BUSINESS ANALYSTLOCATION GurgaonEXPERIENCE 2-4 YEARSAbout the CompanyWith a decade of experience and a truly global experience delivering A.I & advanced analytics solutions, we have served over 50+ clients, across North America, Latin America, Europe, Africa and Asia in CPG,Retail, Electronics and Healthcare sector.We are one global team of data scientists, business consultants and tech savvy engineers who are passionate about extracting every ounce of value from data. We’ve built a firm equipped to solve business problems using cutting edge A.I technologies.We care for our client’s business as our own and help them make significant and lasting improvements to their performance by institutionalizing analytics in their decision-making process. We cross boundaries and churn the sum-total of siloed information assets to uncover breakthrough insights which our clients act on.Role and ResponsibilityThe incumbent for the position is expected to deliver but not limited to on following responsibilities:Set up processes for data management, templatized analytical modules/deliverables.Continuously improve processes with focus on automation and partner with different teams to develop system capabilityUnderstand business briefs clearly and execute new/ad-hoc projects and ensure timely deliveryKeep managers informed about progress on projects and proactively flag gaps on data availability, hiccups on analysisDevelop conceptually and enhance statistical model with best in class modelling techniquesManaging the project in Gannt Chart, and ensuring timely delivery and timely escalation of impedimentsDeliver on informative and well-organized deliverablesProactively seek opportunities to help team members by sharing knowledge and expanding skillsAbility to communicate difficult/sensitive information tactfully with ClientJOB DESCRIPTIONAn ideal candidate will be/have: Excellent analytical skills and is a problem solverWork experience in Analytics preferably either in retail or marketingSound knowledge of tools (such as R/SAS etc.) and proficient in MS Excel & Power PointA team player and can deliver under pressureAn eye for detail, quick learner and can think out of the boxSelf-motivated, disciplined with ‘can do’ attitudeInfect peers with enthusiasm and facilitate healthy team interactionKey reasons to Join Decision PointDevelopment as a Subject Matter Expert in FMCG sales & marketing analytics domain, working directly with one of the top 5 global FMCG brandsWork extensively with clients/ direct client interaction - There will be direct client interaction which will fasten your learning process and will enable you to master traits of strategy consulting i.e. from understanding business objective to analyzing data in a methodical way culminating with final output to be delivered to clientLeave the lasting Impact on Business: You will also get to witness the impact of implementing of your recommendations/strategies as you will be working very closely with clients on day-today basis FastTrack Career Growth: *DP provides you to choose your own career path; We haveFast-track career path for people who love challenges, are ambitious and wants to push their limits. This means high reward, challenging role where candidate can get promoted every year with handsome raises Young and dynamic culture: *the average age here is about 25 years. There is a lot of energy flowing all the time. We work hard and party harder. Our work environment is very flexible, and we understand your work life balance. We take off to mountains or beaches to recoup at least once a year and ensure we get together at the end of each quarter.Tipo de puesto: Tiempo completoSalario: $30,000.00 - $60,000.00 al mesHorario:Turno de 8 horasTipos de compensaciones:Bono de productividadIdioma:Inglés (Obligatorio)Disponibilidad para viajar:75 % (Deseable)",,,2022-09-15T00:00:00,2022-10-16,FULL_TIME
Business Operations Sr. Analyst (remote),Iron Mountain,,,-1,-1,,MXN,"At Iron Mountain we protect what our customers value most, from the everyday to the extraordinary. We build customer value around the world with a passion for preserving the physical, transforming the digital, and respecting the environmental. We pioneered the industry for global records and information management and have established some of the best customer relationships in the industry with 95% of the Fortune 1000 companies among our 225,000 loyal customers. Here, you’ll bring your expertise and creativity to a workplace that thrives on continuous improvement. Here, you’ll be part of a global workforce that embraces the differences among us. And here, we’ll encourage you to Climb Higher for the benefit of our customers and each other. There is so much more, but enough about us. We can’t wait to hear about YOU.
ABOUT THE OPPORTUNITY
As Business Operations Senior Analyst at Iron Mountain, you will work hand in hand with business leaders and operational areas in different Iron Mountain sites, to provide structured information, recommendations and in-depth analysis focused on improving our processes and achieving better operational efficiency.
KEY RESPONSIBILITIES
Maintain/update business operational models based upon financial changes, new products and other factors.Work with global sites and leadership to develop, launch and roadmap operational management platform technology with SCRUM/Engineering partners.
Collaborate around the organization to anticipate & solve operational needs.
Review current operating procedures, developing changes to enhance efficiency and working with business leaders and operative teams to implement new policies and procedures as needed.
Document findings, prepare reports and make recommendations by leveraging our systems and platforms.
YOUR QUALIFICATIONS
Bachelor’s Degree in Finance, Business Administration or equivalent field.
Proven experience in a business management, operations or finance related field (5+ years).
Strong skills with Google Office suite (Google Sheets, Slides, Docs, etc.), Data Studio and Salesforce
Solid understanding of financial analysis including time value of money, depreciation, fixed cost, allocation and ROI.
Excellent communication skills, both verbal and written, in Spanish & Portuguese, English is highly desirable.
Category: gja\_Sales Operations Group
Iron Mountain is committed to a policy of equal employment opportunity. We recruit and hire applicants without regard to race, color, religion, sex (including pregnancy), national origin, disability, age, sexual orientation, veteran status, genetic information, gender identity, gender expression, or any other factor prohibited by law.
To view the Equal Employment Opportunity is the Law posters and the supplement, as well as the Pay Transparency Policy Statement, CLICK HERE
Requisition: J0049892",Tecnologías de la información,,2022-09-12T00:00:00,2022-10-16,OTHER
IT Business Sr Analyst,Citi,México,Ciudad de México,-1,-1,,MXN,"The IT Business Senior Analyst is an intermediate-level position responsible for liaising between business users and technologists to exchange information in a concise, logical and understandable way in coordination with the Technology team. The overall objective of this role is to contribute to continuous iterative exploration and investigation of business performance and other measures to gain insight and drive business planning.

Responsibilities:
Formulate and define systems scope and objectives for complex projects and foster communication between business leaders and IT
Consult with users and clients to solve complex system issues/problems through in-depth evaluation of business processes, systems and industry standards and recommends solutions
Support system change processes from requirements through implementation and provide input based on analysis of information
Consult with business clients to determine system functional specifications and provides user and operational support
Identify and communicate risks and impacts, considering business implications of the application of technology to the current business environment
Act as advisor or coach to new or lower level analysts and work as a team to achieve business objectives, performing other duties and functions as assigned
Has the ability to operate with a limited level of direct supervision.
Can exercise independence of judgement and autonomy.
Acts as SME to senior stakeholders and /or other team members.
Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.
Qualifications:
3-5 years of relevant experience
Experience in data analysis with intermediate/advanced Microsoft Office Suite skills
Proven interpersonal, data analysis, diplomatic, management and prioritization skills
Consistently demonstrate clear and concise written and verbal communication
Proven ability to manage multiple activities and build/develop working relationships
Proven self-motivation to take initiative and master new tasks quickly
Demonstrated ability to work under pressure to meet tight deadlines and approach work methodically with attention to detail
Education:
Bachelor's degree/University degree or equivalent experienceIntermediate english level required
Desired Knowledge in:JiraSCRUM
-
Job Family Group:
Technology
-
Job Family:
Business Analysis / Client Services
-
Time Type:
Full time
-
Citi is an equal opportunity and affirmative action employer.
Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.
Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.
View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.
View the EEO Policy Statement.
View the Pay Transparency Posting",Finanzas,,2022-09-14T00:00:00,2022-10-16,FULL_TIME
Rates and Currencies Product Control Vice President Latam,Citi,,,-1,-1,,MXN,"The Prod Ctrl Lead Analyst participates is a senior level position responsible for leading efforts that ensure the completeness, accuracy and integrity of the bank's books and records in coordination with the Finance team. The overall objective of this role is to drive efforts to control and support data integrity and general ledger reconciliation, profit attribution and new activity analysis, valuation control and product P&L and balance sheet reporting.

Responsibilities:
Develop and maintain in-depth knowledge of Finance industry trends
Contribute to the directional strategy of the Finance function, anticipating the impact to daily work and the business
Evaluate and resolve complex issues and select the best action by weighing various alternatives and balancing potentially conflicting needs
Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.
Qualifications:
6-10 years of relevant experience
Consistently demonstrates clear and concise written and verbal communication
Education:
Bachelor’s degree/University degree or equivalent experience
Master’s degree preferred
Responsibilities Include:
Oversight of daily revenue production, validation and reporting of the LATAM Rates, Markets Treasury & Currencies businesses, specifically focused on secured financing transactions, interest rate swaps, options, as well as borrowings and placements;
Oversight of daily and month-end sub-ledger / ledger validation;
Review and assess sizable balance sheet and supporting regulatory reporting, month-end closing process and quarterly / annual disclosure reporting, including providing qualitative and quantitative analyses of the aforementioned;
Understand the Profit Attribution Analysis (PAA) of the portfolio. Communicate daily and monthly results and/or issues to the trading desk and senior management, particularly around residuals. Drive to resolve them in partnership with the Front Office, Market Risk, Technology and Market Quantitative Analytics;
Partner with the Valuation Control Group (VCG) in the review and supervision of inventory valuation testing and results;
Engagement in New Products Approval Committee (NPAC) reviews and validation, including documentation of Product Control reviews;
Oversight of daily risk / position validation;
Daily interaction with other managers throughout the organization, including, but not limited to Senior Managers within Finance (i.e. Treasury, Tax, Accounting Policy, Planning, etc.), trading desks, transactors, middle office, risk management, business unit management teams and operations will be necessary to resolve issues and drive change;
Management Control Self-Assessment responsibility for the respective areas under supervision;
Ad hoc projects / assignments including system development, redesigning and streamlining daily and monthly processes, not just for team, but also for the larger department;
Providing and reviewing analytics / control metrics for the management team;
Coordinate and manage internal and external audit reviews;
Responsible for integrating the team, including but not limited to leading standardization of the control framework across the larger the product lines and enabling best practices;
Manage performance reviews and career development opportunities of staff members
Qualifications:
Bachelor’s degree required, Finance and / or Accounting degree preferred;
Advanced degree, CPA, CFA and/or other equivalent degrees / certifications are big pluses;
Minimum 7 years related business experience required; experience supporting fixed income secured financing and derivatives trading desks; prior management experience also preferred;
Must have strong knowledge in accounting fundamentals, transfer pricing, transformation management, financial modeling, portfolio management and understanding of cash flows and asset valuation preferred, particularly with rates-related products;
Excellent interpersonal and communication skills, both verbal and written required. This includes the ability to effectively communicate across multiple teams situated in various geographies in order to lead;
Strong MS Office Excel skills a must, Access, PowerPoint and other financial systems are pluses;
Must have a good eye for detail, but also be able to step back and see the larger strategic picture;
Must manage multiple tasks in a fast paced environment while meeting deadlines and working under pressure;
Able to influence others without authority and interact across all levels of the organization required;
Goals and solutions oriented as well as self- driven
-
Job Family Group:
Finance
-
Job Family:
Product Control
-
Time Type:
Full time
-
Citi is an equal opportunity and affirmative action employer.
Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.
Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.
View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.
View the EEO Policy Statement.
View the Pay Transparency Posting",Finanzas,,2022-09-06T00:00:00,2022-10-16,FULL_TIME
Sustainability Analyst (German Speaker),EcoVadis,México,Ciudad de México,-1,-1,,MXN,"Company Description
Work smart, have fun and make an impact
EcoVadis is the leading provider of business sustainability ratings. Our solutions are backed by an international team of experts and powerful technology. We analyze data and build sustainability scorecards that give companies actionable insights into their environmental, social and ethical risks.
Why apply to EcoVadis? Be a part of the global sustainability change in business. Grow your career. Work with extraordinary people. Feel valued for your contribution.
Learn more about our team and culture on EcoVadis careers page. If you have questions about the company or open roles you can chat with an insider.

Job Description
As a Sustainability Analyst you will be assessing and reporting on the quality and robustness of their sustainability management systems. Data analysis will be primarily qualitative, centered around the analysis of a company’s management system documentation. You will become an expert in applying the EcoVadis methodology, built on the most rigorous international CSR standards and frameworks (e.g. GRI, ISO 26000), already 13 years in evolution! In a state of virtuous advancement, the methodology continues to be driven forward by strong market forces, societal expectations and emerging regulation. It goes without saying that being flexible and adaptable to change is a must! In your role, you will also have the opportunity to contribute to advancing our world class methodology and bring your unique skills to add value to our approach. Quality is a non-negotiable part of our work, all our analysts follow a set of analysis guidelines to ensure we're working in cohesion. You will be a key stakeholder in the rating process, so having an eye for detail and an ability to learn quickly is key to your success. We are a team of sustainability changemakers rallying together to drive positive impact to business practices across the world, and can’t wait to have you join us!
A day in the life
Understanding of sustainability management system documentation provided by rated companies, extraction and synthesis of material sustainability data related to environmental, social, ethics and supply chain
Identification of the main characteristics of a rated company e.g. company size, operational category, presence in risk countries.
Confirm the implementation of a rated company’s sustainability management system components using the EcoVadis methodology guidelines.
Follow up with rated companies, where needed, to clarify specific issues related to their assessment.
Contribution to the development and the improvement of the assessment methodology is encouraged.
Additional responsibilities related to the function may be required.

Qualifications

Bachelor's degree, preferable with a specialty in Sustainable Development or CSR.
Minimum 6 months of previous working experience in a related field
Combination of analytical and interpersonal skills
Experience in Sustainability/Sustainable Development is a plus
Proficiency in G-Suite application
Autonomy and ability to take initiative
Aptitude to evolve in an international environment.
Must haves
Fluency in English and German is a must.
Demonstrated analytical skills, detail-oriented
Confidence to work independently and autonomously, self-driven
Strong communication skills, both written and oral
Thrives in international environments
Capacity to work in a fast growth environment, adaptability
Communicates with honesty and kindness
Collaborative, builds trusting relationships
Uses fun as a way of being and working
Demonstrated ability to pick up new skills proactively.
Additional Information
How you will grow
When you start with the company you will be welcomed into a robust 1+ month training program designed to master the topics of sustainability and the EcoVadis methodology, and assess a company’s sustainability management system with confidence. You will have training coordinators dedicated to your professional growth in the first month, supported by senior analysts providing feedback and suggestions on your work. Once your training is completed, you will begin working on a greater diversity of companies, increasingly complex with a variety of unique contexts. In addition you will also have the opportunity to gradually pivot some of your time to work on methodology development projects to grow other aspects of your career. These projects are often made-up of an international team of analysts, from our offices in Tokyo all the way to New York City. As you grow in the company, there will be more opportunities for development both on the technical side of the role, and well as in development as a subject matter expert, for example.
Full time position
Are you interested? Please apply directly online by clicking on the link below and attaching your CV and Cover letter in PDF format.
For more information about EcoVadis please visit our site: www.ecovadis.com
Don’t fit all the criteria but still think you’d be a good candidate? Please apply anyway to give our hiring team the opportunity to assess your skills and to learn more about what you could bring to EcoVadis. We’re interested in hiring capable people, regardless of professional and educational background.
Can the hiring process be adjusted to suit my needs? Yes. We want everyone going through the hiring process with EcoVadis to feel confident that you are able to demonstrate your full potential. We welcome applications from disabled people, people with long-term health conditions and neurodiverse candidates. If you need any adjustments, please let the hiring team know.
Our team’s strength comes from everyone’s uniqueness and is founded upon mutual respect. EcoVadis commits to equity and inclusion and does not accept any form of discrimination based on color, national or ethnic origin, ancestry, citizenship, religion, beliefs, age, sex, gender identity, sexual orientation, neurodiversity, disability, parental status, or any other protected characteristic that makes you unique.",Administración y consultoría,,2022-09-14T00:00:00,2022-10-16,FULL_TIME
Senior Intelligence Analyst,Servicios Comerciales Amazon M,México,Cuautitlán Izcalli,-1,-1,,MXN,"
Fluency (written and spoken) in English and Spanish
Expertise in the following geographic areas –Mexico, Central America, and South America
5+ years in Intelligence analysis and/or in the intelligence community, military, law enforcement, or a related global security role in the private sector
5+ years of experience researching, analyzing, writing, editing, and publishing finished intelligence.
Experience with data analytics, Open source (OSINT) tools, and/or geographic information systems.
Experience briefing large audiences and executive leaders from various backgrounds

Bachelor's degree or higher

Job summary
Amazon’ Global Intelligence Program is looking for a Regional Intelligence Analyst to join a team of analysts providing high-level strategic intelligence products to global stakeholders within Amazon Worldwide Operations. This position will be located in Mexico City, Mexico and support Amazon Operations in Central and South America.

This role is vital to the production of actionable intelligence that informs decision making on a global scale. Ideal candidates will have a proven history of writing influential intelligence products, operating with a high degree of independence, and strong acumen for learning and applying business concepts for private-sector intelligence products. Candidates must be capable of identifying developments, assessing their direct and indirect impacts to Amazon, and clearly communicating intelligence findings to stakeholders up to and including executive leadership.

Key job responsibilities
1. In depth understanding of principal geopolitical risks in Central and South America and the impact to Amazon.
2. Plan, research, and write regular analytical reports delivering actionable insights.
3. Ability to work under pressure, demonstrate leadership when required and collaborate effectively with geographically dispersed teams.
4. Actively monitor regional security incidents to determine potential impact and maintain an awareness of strategic trends throughout the region.
5. Collect, organize, analyze, evaluate, and interpret complex data with a strong understanding and application of analytical techniques.
6. Conduct strategic analysis on large data sets to include metrics, physical security trends, aggregate incidents, crime stats, etc.
7. Identify gaps in current analysis products and develop new solutions, methodologies and products to help improve reporting, especially with regards to data driven analysis.
8. Handling multiple simultaneous tasks and prioritize accordingly


• Experience and/or certifications in risk analysis related to transportation, logistics, or supply chain risk management
Ability to clearly articulate complex ideas in both written and verbal communication
Portuguese

",Tecnologías de la información,,2022-08-17T00:00:00,2022-10-16,FULL_TIME
Product Cost Analyst,Mondelēz International,Nuevo León,Monterrey,-1,-1,,MXN,"Job Description
Are You Ready to Make It Happen at Mondelēz International?
Join our Mission to Lead the Future of Snacking. Make It Uniquely Yours.
You will perform detailed finance work, transactions and data structuring under the guidance of the Finance Manager. You will collect data, be responsible for maintaining information integrity, monitor reconciliations and conduct basic checks and controls.
How you will contribute
You will:
Execute aspects of finance planning and performance management process and related financial decisions potentially including Annual Contract planning/forecasting, target development, financial performance reporting/analysis, financial modeling and decision support for a focused scope within a region, business unit, country, Supply Chain, Mondelēz International Business Services or Corporate Finance team. You will also execute data collection and data integrity checks
Contribute to a strong controls and compliance environment in area of scope and ensure full compliance with our policies
Execute ad hoc analyses and projects as requested by the Senior Finance Manager (or Director)
Support projects to improve efficiencies and improvements to ways of working and embrace a mindset of continuous improvement
Contribute to a high-performing Finance team. You will also invest in personal development and the development of your Finance peers
What you will bring
A desire to drive your future and accelerate your career. You will bring experience and knowledge in:
TECHNICAL EXPERTISE in financial analysis and data collection/structuring
BUSINESS ACUMEN and a basic understanding of our business, consumer packaged goods industry, and local snacking market. Relevant experience in a regional (or sizeable local) business
LEADERSHIP SKILLS including collaboration and communication skills within a larger Finance team. Team player with can do mentality to deliver results
GROWTH/DIGITAL MINDSET and the ability to execute opportunities and leverage technology to improve operational efficiency and effectiveness
INTEGRITY and sound judgement in all decisions and interactions aligned with our values and policies and external regulations
Relocation Support Available?
No Relocation support available
Business Unit Summary
We value our talented employees, and whenever possible strive to help one of our associates grow professionally before recruiting new talent to our open positions. If you think the open position you see is right for you, we encourage you to apply!
Our people make all the difference in our succes
Mondelēz International is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation or preference, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law.
Excited to grow your career?
We value our talented employees, and whenever possible strive to help one of our associates grow professionally before recruiting new talent to our open positions. If you think the open position you see is right for you, we encourage you to apply!
IF YOU REQUIRE SUPPORT TO COMPLETE YOUR APPLICATION OR DURING THE INTERVIEW PROCESS, PLEASE CONTACT THE RECRUITER
Job Type
Regular
Finance Planning & Performance Management
Finance",Manufactura,,2022-09-15T00:00:00,2022-10-16,FULL_TIME
Senior Accounting Analyst R2R,SGS,,,-1,-1,,MXN,"Company Description
SGS is the world’s leading inspection, verification, testing and certification company. SGS is recognized as the global benchmark for quality and integrity. With more than 89,000 employees, SGS operates a network of over 2,400 offices and laboratories around the world.

Job Description
This role will be a key player during the implementation and integration phases of the different waves of migrations to the Mexico Finance Shared Service Center.
Responsible for completeness, accuracy, and timeliness of general ledger, inventory, fixed assets, intercompany accounts and cash management activities.
R2R Sr. Analyst also supports the R2R Manager in ensuring that month-end calendars are followed and respected.
The performance should meet the requirements defined in the SLA/KPI’s.

Qualifications

Perform day-to-day and monthly R2R Activities as per tasks assigned by the R2R Manager.
Responsible for preparation and posting of journal entries as per assigned country/affiliate.
Ensure data integrity and preparing financial information as required, in accordance with expected accuracy, timeliness and accessibility.
Perform periodic closing activities of general ledger which includes maintaining/updating the closing calendar.
Prepare account analysis/reconciliations on a timely basis.
Cooperate with other team members to ensure that the GBS is meeting or exceeding performance levels.
Ensure compliance with applicable rules, policies, and procedures.
Identify and present process improvement initiatives.
Support R2R Manager in rolling out initiatives/projects.
Coach/train R2R Analysts and R2R new hires regarding different R2R Processes.
Play as Subject Matter Expert of GBS regarding R2R Activities of the assigned country/affiliate.
Ensure that internal controls are in place and effective through periodic review and testing.
Support R2R Manager on the KPI reports preparation and in presenting results to the stakeholders.
Additional Information

Bachelor’s Degree in Accounting or Finance
CPA is a plus
Minimum 5 years of related professional experience in General Ledger Accounting
At least 2 years in Senior Accountant role – nice to have
Strong knowledge and understanding of generally accepted accounting principles (IFRS) - required
High understanding of General Ledger accounting processes and information systems
Ability to manage the general accounting function and deliver process enhancements (General ledger maintenance and closing, fixed asset inventory maintenance, intercompany, and account analysis / reconciliation processes)
Understanding of internal control elements
Knowledge of fixed assets, inventory, intercompany transactions
Experience in interfacing with business customers in defining General Ledger, account and reporting requirements – nice to have
Oracle ERP Knowledge (Oracle EBS) – Mandatory
English intermediate - REQUIRED",Administración y consultoría,,2022-09-10T00:00:00,2022-10-16,FULL_TIME
"Senior Analyst, Compensation",Ciena,,,-1,-1,,MXN,"Since 1992, Ciena has been driven by a relentless pursuit of network innovation. We believe in a network that grows smarter, more agile, and more responsive every day. This means that when you digitally interact in your world - picking up the phone, streaming video, texting a friend or loved one – your interactions are being enabled by Ciena technologies. Ciena makes your social / entertainment / business existence REAL.
No candidate will meet every single desired qualification. If your experience looks a little different from what we’ve identified below and you think you can bring value to the role, we’d love to learn more about you!
SCOPE OF RESPONSIBILITIES
As a member of the Total Rewards team, the Senior Analyst, Compensation performs analysis and makes recommendations that support the development, implementation, and administration of compensation programs and policies globally across Ciena’s 35+ countries. Conducts job evaluation and salary surveys, establishes salary structures, recommends salary budgets, and prepares policies and procedures to insure the achievement of equitable and competitive employee compensation. Administers incentive, equity, and bonus programs. Maintains a working knowledge of legislation influencing compensation. Ensures programs are current with regard to trends, practices, and costs.
SPECIFIC RESPONSIBILITIES
PRIMARY DUTIES AND RESPONSIBILITIES:
Provide analytical support to Total Rewards and People & Culture team on a variety of projects including market research, program design, analysis, budgeting, and implementation of new programs. Conduct detailed, broad and narrow analyses as required in support of effective compensation decision making.
Lead and/or participate on project teams focusing on key compensation initiatives. Project manage and drive multiple compensation projects and processes concurrently: one-time projects and on-going processes.
Program lead for one or more of the following:
Lead administration of annual compensation processes for merit, incentive compensation and equity for 7,500+ employees in more than 35 countries worldwide. Preparation and administration duties include system documentation, internal auditing, system functional testing; and coordination/liaison with HRIS, payroll and the broader People & Culture community.
Represent Ciena and submit inputs to 3rd party market compensation surveys. Including job matching submissions and merit analysis for external vendors (e.g., Radford, Mercer), creating and generating survey submission of incumbent data and conducting post survey analysis to present recommendations for changes in matching, structural alignment, and salary ranges. Assemble recommendations for salary increase budgets, by country or market, based on collected market data. Also responsible for spot surveys administered by various vendors throughout the year and other tasks as assigned in the survey process.
Determine, maintain, audit, and communicate global Salary Range information, with specific focus on range development and systems tools in conjunction with HRIS.
Manage monthly Equity grant process, including systems requirements, documentation, interface with multiple internal departments, auditing, reconciliation, analysis, and communication.
Develop and maintain a strong external network of peers for the continuous collection of competitive intelligence.
Monitor external environment to identify changes to legislation, demographic, social trends, or competitive practices that impact compensation and benefits programs.
Understand and support compliance requirements for Ciena’s compensation plans.
Partner closely with HRIS team to optimize Workday for compensation management and to determine other tools and solutions to effectively manage employee compensation.
Partner with leaders and People & Culture business partners to define and assess jobs consistently across all organizations and regions ensuring accuracy and objective assessment.
Assist Reward Team with mergers and acquisitions related activities
EDUCATION AND EXPERIENCE
Bachelor’s degree
Minimum of 5 years of business experience; strong preference for demonstrated functional experience in Compensation
Experience in global organizations
Additional Human Resources experience in other functions preferred.
Desirable to have high tech industry experience.
Workday experience preferred.
CANDIDATE PROFILE
Ability to tell stories with data, ability to run metrics on the effectiveness and utilization of pay programs.
Strong Excel skills, not limited to construction of pivot tables, creation of graphs and charts, and large data manipulation.
Knowledge of human resource laws, regulations, and best practices.
Expert level analysis skills with ability to use data to support recommendations and issue resolution.
Experience conducting compensation research, identifying trends, and determining/applying best practices.
Critical thinking and process efficiency skills that will improve processes.
Strong written & verbal communication skills.
Ability to multi task and meet deadlines.
Thorough, detail oriented and resourceful.
Innovative thinker.
Team player, strong work ethic, pragmatic and flexible.
The above statements are intended to describe the general nature and level of work being performed by people assigned to this job. They are not intended to be an exhaustive list of all responsibilities, duties and skills required of personnel so classified.
#LI-SG
#LI-Remote
At Ciena, we are committed to building and fostering an environment in which our employees feel respected, valued, and heard. Ciena values the diversity of its workforce and respects its employees as individuals. We do not tolerate any form of discrimination.
If contacted in relation to a job opportunity, please advise Ciena of any accommodation measures you may require.",Telecomunicaciones,,2022-08-25T00:00:00,2022-10-16,FULL_TIME
Apps Dev. Sr Programmer Analyst (Originación de Crédito),Citi,México,Ciudad de México,-1,-1,,MXN,"The Applications Development Senior Programmer Analyst is an intermediate level position responsible for participation in the establishment and implementation of new or revised application systems and programs in coordination with the Technology team. The overall objective of this role is to contribute to applications systems analysis and programming activities.

Responsibilities:
Conduct tasks related to feasibility studies, time and cost estimates, IT planning, risk technology, applications development, model development, and establish and implement new or revised applications systems and programs to meet specific business needs or user areas
Monitor and control all phases of development process and analysis, design, construction, testing, and implementation as well as provide user and operational support on applications to business users
Utilize in-depth specialty knowledge of applications development to analyze complex problems/issues, provide evaluation of business process, system process, and industry standards, and make evaluative judgement
Recommend and develop security measures in post implementation analysis of business usage to ensure successful system design and functionality
Consult with users/clients and other technology groups on issues, recommend advanced programming solutions, and install and assist customer exposure systems
Ensure essential procedures are followed and help define operating standards and processes
Serve as advisor or coach to new or lower level analysts
Has the ability to operate with a limited level of direct supervision.
Can exercise independence of judgement and autonomy.
Acts as SME to senior stakeholders and /or other team members.
Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.
Qualifications:
5-8 years of relevant experience
Experience in systems analysis and programming of software applications
Experience in managing and implementing successful projects
Working knowledge of consulting/project management techniques/methods
Ability to work under pressure and manage deadlines or unexpected changes in expectations or requirements
Education:
Bachelor’s degree/University degree or equivalent experience
This job description provides a high-level review of the types of work performed. Other job-related duties may be assigned as required.Experience in credit origination process for Cards and retail products (preferred)Experience in hardware/software projects implementationExperience with Agile frameworks and Jira toolsExperience managing development and agile teamsKnowledge in Data bases, Web & app Servers, APIs integrationEnglish proficiency
-
Job Family Group:
Technology
-
Job Family:
Applications Development
-
Time Type:
Full time
-
Citi is an equal opportunity and affirmative action employer.
Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.
Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.
View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.
View the EEO Policy Statement.
View the Pay Transparency Posting",Finanzas,,2022-08-24T00:00:00,2022-10-16,FULL_TIME
