Job_title,Company,State,City,Min_Salary,Max_Salary,unitText,SalaryCurrency,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
D&I Data Scientist,Schlumberger,Tabasco,Villahermosa,-1,-1,,MXN,"D&I Data Scientist
Villahermosa - Mexico
D&I Data Scientist

Job Summary:

The Data Scientist is responsible for conducting undirected research and tackle open-ended data problems and questions. Drawing on an advanced degree in a quantitative field such as computer science, physics, statistics or applied mathematics, the Data Scientist demonstrates the knowledge to invent new algorithms to solve data problems.

Reports to: Project Manager
Responsibilities:

Research and assess next-generation technologies for machinery diagnostics and prognostics and data-driven modeling and optimization of complex systems.
Demonstrate advanced working knowledge and experience with machine learning algorithms and population-based meta-heuristic optimization methods.
Generate innovative ideas, establish new research directions, and shape and execute on technical projects.
Maintain state-of-the-art knowledge and contribute to technical discussions and reviews as an expert in related areas of responsibility.
Apply theoretical knowledge to solve industrial problems.
Process large multivariate data sets collected from equipment operations, manufacturing tests and diagnostic routines.
Apply engineering knowledge in developing data-driven algorithms for anomaly detection, failure prediction and optimization.
Communicate ideas, plans, and results effectively via oral and written reports.
Collaborate with field and product engineers to identify key health monitoring parameters of a system.

Requirements:

Degree: Systems Engineer; Computer Engineer.
Experience (5-8 years).
Technical English Advanced.
Availability to work in Villahermosa, Tabasco.
Software:

DevOps experience
Programming, Database
Basic E&P knowledge
Analytics, Data Mining
Artificial Intelligence / Machine Learning
Cloud computing

Schlumberger is an equal employment opportunity employer. Qualified applicants are considered without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or other characteristics protected by law.","Energía, minería e infraestructura pública",,2022-08-18T00:00:00,2022-10-16,OTHER
Sr. Data Engineer,Dow Jones,México,Ciudad de México,-1,-1,,MXN,"Job Description:
Dow Jones seeks a Data Engineer who will be responsible for developing tools and infrastructure to empower our newsrooms with insights and data, enabling brands like The Wall Street Journal, MarketWatch, and Barron’s to expand their use of data.
This role will join the Newsroom Data Platform team who continue to build out a best-in-class platform which helps our newsrooms increase their focus on audiences and what's known about them, making this role an important force in bolstering the newsrooms’ data capacities.
We are looking for a well rounded data engineer who will be primarily responsible for building, enhancing, and maintaining new and current data products which drive audience analytics and insights. This work may include: (1) unlocking new datasets and data assets, (2) creating and maintaining data pipelines, (3) deploying data and insights to editors in the newsroom, and (4) working closely with data scientists to enable the training, deployment, monitoring, and maintenance of machine learning models.
As a member of the Newsroom Data Platform team, this role will work closely in collaboration with our data scientists, editors, and strategy leads as we build internal data products for the newsroom. Day-to-day collaboration will happen with other data engineers within the team and Dow Jones’ broader data organization. Importantly, this role will work directly with other engineers, product managers, and program managers who collectively work on our internal data products.
Required experience, knowledge, and skills:
Strong familiarity and experience with ingestion, streaming and batch processing, data infrastructure design, and data analytics.
Excellent written and verbal communication skills, as well as top organizational, time management, and documentation skills.
Top-notch understanding of basic statistics and issues surrounding data quality
Experience in building infrastructure required for optimal extraction, transformation and loading of data from diverse data resources
Experience running and supporting production of enterprise data platforms.
Understanding and experience with relational and non-relational databases.
Experience building data pipelines in AWS (preferred) or GCP.
Proficiency in Scala, Python, Bash, Git, Spark, and SQL.
2 or more years of data engineering experience is preferred, but candidates with less experience in data engineering may be successful depending on their general engineering background and/or relevant work in academic research.
Preferred:
Experience working with digital media content tracking across websites and mobile applications.
Exposure to, or direct experience with, implementing machine learning driven product features or tools.
Dow Jones , Making Careers Newsworthy
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status, or disability status. EEO/AA/M/F/Disabled/Vets .
Dow Jones is committed to providing reasonable accommodation for qualified individuals with disabilities, in our job application and/or interview process. If you need assistance or accommodation in completing your application, due to a disability, please reach out to us at TalentResourceTeam@dowjones.com. Please put “Reasonable Accommodation"" in the subject line.
Business Area: TECHNOLOGY - PRODUCT DEVELOPMENT
Job Category: IT Development Group
Union Status:
Union / No clear and likely Internal Candidate (Employee Only) has been identified
Req ID: 29905",Audiovisual y medios de comunicación,,2022-09-04T00:00:00,2022-10-16,OTHER
Quality Engineer,Corning Optical Communications,Nuevo León,Apodaca,360000,420000,MONTH,MXN,"Corning is one of the world’s leading innovators in materials science. For more than 160 years, Corning has applied its unparalleled expertise in specialty glass, ceramics, and optical physics to develop products that have created new industries and transformed people’s lives.Corning succeeds through sustained investment in R&D, a unique combination of material and process innovation, and close collaboration with customers to solve tough technology challenges.Our Optical Communications segment has recently evolved from being a manufacturer of optical fiber and cable, hardware and equipment to being a comprehensive provider of industry-leading optical solutions across the broader communications industry.This segment is classified into two main product groupings – carrier network and enterprise network. The carrier network product group consists primarily of products and solutions for optical-based communications infrastructure for services such as video, data and voice communications. The enterprise network product group consists primarily of optical-based communication networks sold to businesses, governments and individuals for their own use.ResponsibilitiesDevelop, implement, and maintain Quality systems to meet the requirements of production, ISO 9001 and TL 9000Know quality systems procedures for the company.Root cause analysis and implementation of corrective action for process related concernsResponsible for continual improvement activities to enhance the quality system, such as 5S, Kaizen, lean methods, etc.Develop training to build quality awarenessInterface with Engineering and Operations to ensure transfer to production of new products are in accordance with customer requirementsSupport training to ensure that products and processes comply with the relevant requirements of the quality management systemCreate and maintain company quality documentation, such as quality manuals, quality procedures, etc.Provide statistical analysis and support to engineering and production as related to quality issues.Responsible to lead the team when Customer Notifications arrive and assure the closure of the actions regardless which department caused the failure.Qualifications Engineering Degree2-4 years of experience in similar positionExperience in ISO 9001, TL 9000 is a plusTechnical Skills.Fully bilingualSPC KnowledgeExperience with problem solving toolsBe an Auditor for ISO 9001 and TL 9000Experience with Lean Manufacturing concepts.RCA toolsStatisticsSoft Skills.Work independently, and proactivelyHigh sense of urgencyHigh level of responsibilityFocused in achieve the goalsExcellent communications skillsExceptional interpersonal skillsExcellent organizational skillsExcellent computer skills (Including, but not limited to: Windows, Office, Visio, Project Manager, SPC Excel, Minitab)Experience creating (PFD, PFMEA, and Control Plan)Project management experience would be also a plusSix Sigma training. A Green or Black Belt certification preferredFlex time to travel to Reynosa Tamaulipas occasionalTipo de puesto: Tiempo completoSalario: $30,000.00 - $35,000.00 al mesIdioma:Inglés (Obligatorio)",Manufactura,,2022-09-14T00:00:00,2022-10-16,FULL_TIME
Process Engineer,Dart de Tijuana S. de R.L de C.V,Baja California,Tijuana,192000,288000,MONTH,MXN,"Essential duties and responsibilitiesFollow and commit to meet Key Performance Indicators (KPI’s) for safety, quality, production, efficiency, and service requirements.Follow practices and processes intended to provide safe products that comply with appropriate laws and regulations, meet the company quality standardsFollow and commit to safety and GMP (Good Manufacturing Practices)Manage, prioritize and complete projects or programs of moderate to large size, scope, and durationCoordinate project work with other engineers, technicians, designers and/or or draftersLead process failure discussions, audits and investigations to ensure consistency of solutions across all facilitiesPerform feasibility studies for fabrication, assembly, machining, or processingAssist technicians with assembly and disassembly of process equipment and components in order to diagnose issuesTroubleshoot, analyze, identify, evaluate, propose, implement, and document engineering solutionsDevelop and document standard operating procedures (SOPs) for equipment processesCollaborate with production personnel and other departments to gather information and draft reports, and improve equipment, processes, and productsCreate test parameters and participate in the testing, data analysis, and implementation of processes, equipment, and engineering solutionsIdentify broad conceptual ideas and develop them into useful solutionsEstablish continuous improvement plans where efficiency, quality, safety, or service can be improvedEducation, Experience Knowledge, Skills and AbilitiesRequires one of the following:o Bachelor’s degree with an emphasis in engineering or related field of study and three (3) years of related engineering experience, ORo Associate’s degree and nine (9) years of related engineering experienceExperience analyzing production equipment, processes and materials and solving issuesKnowledge of various statistical and quality methodologies including but not limited to Statistical Process Control (SPC), Statistical Quality Control (SQC), 5S, 8D, Failure Mode and Effects Analysis (FMEA), Root Cause Analysis, Gage Repeatability and Reproducibility (R&R), and Design of Experiments (DOE)Ability to write and manage Process Control PlansAbility to write Process Reaction PlansPrior experience working with thermoforming, injection molding, print, and/or paper equipment and processesKnowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various productsKnowledge of arithmetic, algebra, geometry, calculus, statistics, and their applicationsKnowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and modelsKnowledge of raw materials, production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of productsUse logic and reasoning to identify the strengths and weaknesses of alternative solutions.Ability to successfully prioritize, and organize projects, deadlines, and tasks with little supervision in both team and independent environmentsStrong verbal and written skills necessary to communicate intricate job-related informationDemonstration of minimum proficiency with the English language in order to ensure effective new hire training and on-going communications about safety and quality issuesBachelor’s degree, preferredTipo de puesto: Tiempo completoSalario: $16,000.00 - $24,000.00 al mesHorario:DiurnoLunes a viernesTurno de 10 horasTurno matutinoPrestaciones:Aumentos salarialesBebidas gratisCaja de ahorroEstacionamiento de la empresaEstacionamiento gratuitoOpción a contrato indefinidoPrograma de referidosSeguro de gastos médicosSeguro de gastos médicos mayoresSeguro de vidaServicio de comedorServicio de comedor con descuentoTeléfono de la empresaUniformes gratuitosVales de despensaTipos de compensaciones:Bono de asistenciaBono de productividadBono de puntualidad",,,2022-09-06T00:00:00,2022-10-16,FULL_TIME
PYTHON Programmer Jr -- (Remote position) --ID 26624,Exela Technologies,Sonora,Ciudad Obregón,216000,360000,MONTH,MXN,"Job SummaryResponsible for developing, modifying and maintaining written applications that may be customized or standardized. Will devise and/or modify procedures to solve complex problems considering computer equipment capability and limitation, operating time and form of desired results. Participates in designing and coding activities with other Application/SW Developers and necessary business groups.Essential Functions and ResponsibilitiesDevelops, modifies, and maintains written applications that may be customized or standardizedDevises and/or modifies procedures to solve complex problemsWorks with other Application/SW Developers and business groups to design and code new softwareAnalyzes user needs and software requirements to determine feasibility of design within time and cost constraintsConsults with customers about software system design and maintenanceCoordinates software system installation and monitors equipment functioning to ensure specifications are metDevelops and directs software system testing and validation procedures, programming, and documentationObtains and evaluates information on factors such as reporting formats required, costs, and security needs to determine hardware configurationDetermines system performance standardsStores, retrieves, and manipulates data for analysis of system capabilities and requirementsKey SkillsCritical thinking skills; ability to use logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problemsKnowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programmingCommunication skills; both written and verbalActive listening skills; ability to give full attention to what others are saying, taking time to understand, ask questions when appropriate, and not interrupt at inappropriate timesKnowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and servicesMinimum QualificationsBachelor’s degree in Computer Science, Management Information Systems or related field2+ years of related experienceEnglish is requiredTipo de puesto: Tiempo completoSueldo: $18,000.00 - $30,000.00 al mesHorario:Turno de 8 horasEducación:Licenciatura terminada (Deseable)Experiencia:Python: 2 años (Obligatorio)Idioma:Inglés (Obligatorio)",Tecnologías de la información,,2022-08-16T00:00:00,2022-10-16,FULL_TIME
Ingeniero en Procesos de Moldeo,Corning Optical Communications,Tamaulipas,Reynosa,252000,576000,MONTH,MXN,"Molding Process EngineerDescriptionSupervise technical Process group to achieve the critical goals established by the molding department. Close team building with Process Technician, Setup Technicians and Material Technician to insure the role’sResponsibilitiesSupervise technical Process group (Process Technician, Setup Technician and Material Technician to ensure a positive work environment and awareness of company goals and objectivesCoordinate the technical setups and Process Technicians to meet the Production support on injection molding machines according to Production order prioritiesResponsible for molding machine set up including auxiliary equipment as related to the injection molding processMust have travel availabilityRespond to machine alarms in a timely mannerResponsible for clear and consistent communication between shiftsVerify machines settings in conformance with the process sheetMaintain cleaning and organization of mold storage, machines and the mold locations.Be familiar with inspection proceduresStop the machines and equipment when end productionBe able to work under time pressure and prioritize and complete tasks in a timely mannerCover vacations and personal time for other Process EngineersPerform all additional duties as required by the Process Engineering teamWork closely with tool room, maintenance, production, Quality & Process Engineer for scheduling any tool work that is requiredFollow all company policies and procedureResponsible for the timely completion projectsStrong attention to detail with excellent prioritization and follow up skillsMust rely on extensive experience and judgment to plan and accomplish goals in a variety of tasksStrong verbal and written communication skills and ability to read and write in EnglishBe able to work under time pressure and prioritize and complete tasks in a timely mannerSupervise technical Process group (Process Technician, Setup Technician ) to monitor & record mold cavitations in every machine Startup on mold tagProvide technical support to shift for trouble shooting and problem resolution. Ensure equipment and processes meet and sustain standard production outputsWork closely with tool room, maintenance, production, Quality & Process Engineer for scheduling any tool work that is requiredMaintain Process molding parameters to achieve quality parts and optimized cycle timesMaintain and improve upon existing manufacturing practices for the manufacture of finished goodsFollow and document process parameters to ensure repeatable resultsResponsible for proper handling and care of all materials, molds and toolingVerify machines settings in conformance with the process bookCoordinate and participate in the molding correction action for ongoing manufacturing issues (Root cause analysis)Maintain cleaning and organization of mold storage, machines and the mold locationsSupport activities related to continuous improvement projectsEnsure 5s requirements are being met in areaAvailability to rotate ShiftExperience on Mold Qualification (New Mold and transferred)Position is often required to work overtime on little or no notice, and to work varied shifts to conduct dutiesOperational Experience with Injection molding Machines (Hydraulic & Electric )Experience in Operation and Programming Peripheral Equipment (Vision System, Robots, Sprue Pickers, Thermolators, Dryers, Hot runners controller, Servomotor controller, etc)Operation experience in diversity of molds (Hydraulic & Pneumatic Valve Gate, Core Pull System, servo motor, etc.) with close toleranceKnowledge of SPC applied to molding processExperience in analyze and troubleshoot Plastic Injection ProcessContribute and participate in Internal and External Audits in department, as well as being responsible for the good results of such. Examples Audits include: ISO, TL, 5's, Safety, and SarboxNew Mold and Molding machine qualificationEducationB.S. degree in engineering or engineering technology preferredWork Experience3- 4 years of experience on injection molding process : Knowledge and operation of a diversity of molding equipment : Injection molding machines (Hydraulic & Electric ), cranes, mold changes, vision system, dryers, thermolators, blenders, servomotor controllers, core pull systems, molds with valve gate, sprue pickers, robots, etc.Advanced English levelAdditional SkillsGeneral RequirementsExperience in Quick Changeover methodology (SMED) and tools (Fast Tie, Mechanical Platen, drainage system)Yellow Belt CertificationThe position must occasionally lift up to 55 pounds and have specific vision abilities related to close and color visionKnowledge of plant/machine set-up for proper drying, loading, grinding for best ProcessingMust have knowledge in Systematic Molding Tools (RJG)Must be Completed 100% of Paulson TrainingDrying system Training (knowledge of how to properly dry plastic engineering resins)Computer skills (Microsoft Office)Provide training to Process Technicians, Setup Technician and Drying Technicians skill setsKnowledge of robotics (Wittmann preferred), hydraulics and/or electrical systemsCreation and Set up End of Arm tooling for robotic part removalResearch and develop new manufacturing processesAnalyze manufacturing data and suggest improvementsAbility to program a 6-axis robot (Wittmann , CONAIR, Yushin, SEPRO, ENGEL, etc)Creation of new standardized work proceduresGreen Belt CertificationExperience in procurement of new equipment or processTipo de puesto: Tiempo completo, Por tiempo indeterminadoSalario: $21,000.00 - $48,000.00 al mesHorario:DiurnoPrestaciones:Días de paternidad superiores a los de la leyEstacionamiento de la empresaPrograma de referidosSeguro de gastos médicos mayoresSeguro de vidaTipos de compensaciones:Bono anual",Manufactura,,2022-08-20T00:00:00,2022-10-16,FULL_TIME
Data Scientist- Remote,Lumen,,,-1,-1,,MXN,"About Lumen
Lumen is guided by our belief that humanity is at its best when technology advances the way we live and work. With 450,000 route fiber miles serving customers in more than 60 countries, we deliver the fastest, most secure global platform for applications and data to help businesses, government and communities deliver amazing experiences. Learn more about Lumen’s network, edge cloud, security and communication and collaboration solutions and our purpose to further human progress through technology at news.lumen.com, LinkedIn: /lumentechnologies, Twitter: @lumentechco, Facebook: /lumentechnologies, Instagram: @lumentechnologies and YouTube: /lumentechnologies.
The Role
Develops and programs methods, automated processes, and systems to cleanse, integrate and analyze structured and unstructured, diverse “big data” sources to generate actionable insights and solutions using machine learning and advanced analytics. Interprets and communicates insights and findings from analyses and experiments to other analysts, data scientists, team members and business partners.
The Main Responsibilities
Ability to execute data discovery, exploratory data analysis, and iteratively develop predictive and prescriptive models to identify optimal solutions. Assist with operationalizing the solutions and changing business processes to maximize the value of those solutions.
Analyze data and build predictive and prescriptive models in the areas of capacity planning, anomaly detection, predictive asset failure/maintenance, workload optimization, customer segmentation and business performance.
Mine information for previously unknown patterns and insights hidden in these assets and leverage them for competitive advantage.
The problems solved will be at the cutting edge of technology and will lie at the intersection of science, engineering and business acumen.
Be part of a highly skilled agile team and within a strongly focused DevOps culture.
What We Look For in a Candidate
Able to apply techniques such as classification, clustering, regression, deep learning, association, anomaly detection, time series forecasting, Hidden Markov models and Bayesian inference to solve pragmatic business problems
Able to design working models and implement them on Big Data systems using Map Reduce or Spark frameworks.
Familiar with Hadoop, Pig, Hive, Scope, Cosmos, or similar technologies.
Able to work within an agile, iterative DevOps development process
Experience: 0-2 years of experience delivering Machine Learning and Advanced Analytics solutions
Experience with statistical programming environments - Python
Ability to translate large, vague business problems into precise, solvable data science questions
Ability to communicate and deliver data science results to business leaders
What to Expect Next
Requisition #: 312190
When applying for a position, you may be subject to a background screen (criminal records check, motor vehicle report, and/or drug screen), depending on the requirements for the position. Job-related concerns noted in the background screen may disqualify you from the new position or your current role. Background results will be evaluated on a case-by-case basis.
EEO Statement
We are committed to providing equal employment opportunities to all persons regardless of race, color, ancestry, citizenship, national origin, religion, veteran status, disability, genetic characteristic or information, age, gender, sexual orientation, gender identity, marital status, family status, pregnancy, or other legally protected status (collectively, “protected statuses”). We do not tolerate unlawful discrimination in any employment decisions, including recruiting, hiring, compensation, promotion, benefits, discipline, termination, job assignments or training.
Disclaimer
The above job definition information has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities, and qualifications required of employees assigned to this job. Job duties and responsibilities are subject to change based on changing business needs and conditions.
Salary Range
Salary Min :
57600
Salary Max :
128400
This information reflects the anticipated base salary range for this position based on current national data. Minimums and maximums may vary based on location. Individual pay is based on skills, experience and other relevant factors.
This position is eligible for either short-term incentives or sales compensation. Director and VP positions also are eligible for long-term incentive. To learn more about our bonus structure, you can view additional information . We're able to answer any additional questions you may have as you move through the selection process.
As part of our comprehensive benefits package, Lumen offers a broad range of Health, Life, Voluntary Lifestyle and other benefits and perks that enhance your physical, mental, emotional and financial wellbeing.
Note: For union-represented postings, wage rates and ranges are governed by applicable collective bargaining agreement provisions.",Tecnologías de la información,,2022-09-05T00:00:00,2022-10-16,OTHER
Sales Representative - Plastic Resins (English Speaking/Writing),Southland Polymers,Baja California,Tijuana,480000,720000,MONTH,MXN,"Southland Polymers is one of the largest independent suppliers of plastic resins in the Western United States and Northern Mexico, to both OEMs and independent plastic processors. We are an essential business in a recession resistant industry and we are looking to grow aggressively in Mexico.This position is focused on securing business from prospective and current accounts in an effort to meet sales objectives. Expectations include the ability to sell and build relationships. Individual must have the ability to assist customers in problem solving to deliver solutions.ResponsibilitiesProspecting and cold calling new accounts.Meet and exceed territorial sales goals on a monthly basis through developing and expanding new customer base.Approach the sales process with a high degree of professionalism and effectiveness.Establish, track and close new business targets consistent with long- term growth objectives.Create and maintain CRM data and sales statistics as requiredKeeps Sales Manager informed of progress daily through regular activity reports/communications.Requirements and Skills:Bachelor’s Degree4 years sales experience in a business-to-business environmentProfessional presence, including excellent verbal and written communication.Self-motivated and able to work independently but remain a team player.Strong organizational skills and work ethic required.ContinueUp to 60% travel is required, including overnight trips in Mexico and the USMust have US VISA and Sentri passStrong computer skills, proficiency with MS Office, CRM (Salesforce or similar).COMPENSATION:Draw plus commission.TO APPLY:Send cover letter and resume.COMPANY DESCRIPTIONSouthland Polymers is one of the largest distributors of engineering-grade plastic resins on the West Coast. Our customers cover such diverse industries as sporting goods, outdoor products, apparel, automotive, consumer goods, medical devices, and electronics. We have 43 years of history in the industry and are looking to expand on the West Coast during what is a long-term growth phase for our company. We offer a challenging, dynamic environment and are on track to expand aggressively for years to come. Our people are smart, aggressive, hard-working, and - most importantly - great to work with. If you fit the bill, we'd love to have you join our team!For more information please visit: www.southlandpolymers.comJob Type: Full-timePay: $40,000.00 - $60,000.00 per monthAbility to commute/relocate:Tijuana, B.C.: Reliably commute or planning to relocate before starting work (Required)Education:Bachelor's (Preferred)Experience:Sales: 5 years (Preferred)Language:Fluent English (Preferred)License/Certification:Sentri Pass (Preferred)",,,2022-09-03T00:00:00,2022-10-16,FULL_TIME
Full Stack Engineering,HSBC,,,-1,-1,,MXN,"The health and safety of our employees and candidates is very important to us. Due to the current situation related to the Novel Coronavirus (2019-nCoV), we’re leveraging our digital capabilities to ensure we can continue to recruit top talent at the HSBC Group. As your application progresses, you may be asked to use one of our digital tools to help you through your recruitment journey. If so, one of our Resourcing colleagues will explain how our video-interviewing technology will be used throughout the recruitment process and will be on hand to answer any questions you might have.
Some careers have more impact than others.
If you’re looking for a career where you can make a real impression, join HSBC and discover how valued you’ll be.
HSBC is one of the largest banking and financial services organisations in the world, with operations in 64 countries and territories. We aim to be where the growth is, enabling businesses to thrive and economies to prosper, and, ultimately, helping people to fulfil their hopes and realise their ambitions.
“At HSBC we offer our colleagues a greater number of days so that they can fully enjoy their wedding, take care of the new member of the family, or grieve the loss of a family member.
Our paid leave package is at the forefront in Mexico, now you have one more reason to be HSBC and proudly live a culture of well-being, balance and car care”

We are currently seeking an experienced professional to join our team in the role of Full Stack Engineering
The full stack Engineering job is responsible for delivering across the Technology delivery lifecycle including inception, construction, testing, release and ongoing management of a product or service in a pod within a Technology team.

Principal responsibilities
They will be required to continually enhance their skills within a number of specialisms which include front end, development, security, testing, and operational support.
This role will carry out some or all of the following activities:
Provide support across the end-to-end delivery and run lifecycle, utilising their skills and expertise to carry out software development, testing and operational support activities with the ability to move between these according to demand.
End to end accountability for a product or service, identifying and developing the most appropriate Technology solutions to meet customer needs as part of the Customer Journey
Liaise with other engineers, architects, and business stakeholders to understand and drive the product or service’s direction.
Establish a digital environment and automate processes to minimize variation and ensure predictable high quality code and data.
Create technical test plans and records, including unit and integration tests, within automated test environments to ensure code quality.
Provide support to DevOps teams working at all stages of a product or service release/change with a strong customer focus and end to end journeys, ensuring they have an excellent domain knowledge.
Working with Ops, Dev and Test Engineers to ensure operational issues (performance, operator intervention, alerting, design defect related issues, etc.) are identified and addressed at all stages of a product or service release / change.
Provide support in identification and resolution of all incidents associated with the IT service, as directed by leadership of the DevOps team,
Ensure service resilience, service sustainability and recovery time objectives are met for all the software solutions delivered.
Responsible for automating the continuous integration / continuous delivery pipeline within a DevOps Product/Service team driving a culture of continuous improvement.
Keep up to date and have expertise on current tools, technologies and areas like cyber security and regulations pertaining to aspects like data privacy, consent, data residency etc. that are applicable
Requirements
Calificaciones - Externas
Qualifications
Knowledge: IT engineering career
Experience: 3 years on the role or similar roles of leadership.
Capabilities: High values and engagement, work under stress, conflict manager, resilience, self-motivation.
Qualifications and Accreditations: Agile, Safe, Leadership, Java/Cobol certification.
Work with central teams, others countries and cultures.
Report to business areas
SAFe Methodology, increase velocity of the teams
DevOpsSec mind-set
Continuous improvement
Implement and follow high development standards
Quality of the Deliverables
Work on site (Toluca Exportec)


Due to the urgent hiring need, candidates with immediate right to work locally and no relocation need will be prioritised.
The chosen candidate for this role will be required to undergo enhanced vetting. Subject to local laws, this will require the individual to satisfactorily pass a series of additional checks as part of the recruitment process and on an ongoing basis, if appointed to the role. HSBC Group reserves its position with regard to any steps which it may take in relation to any material adverse findings which arise either when the checks are originally completed, and/or if relevant, on an ongoing basis. For more information about the enhanced vetting for this role please contact the recruiter for this role.
You’ll achieve more when you join HSBC.
HSBC is an equal opportunity employer committed to building a culture where all employees are valued, respected and opinions count. We take pride in providing a workplace that fosters continuous professional development, flexible working and, opportunities to grow within an inclusive and diverse environment. We encourage applications from all suitably qualified persons irrespective of, but not limited to, their gender or genetic information, sexual orientation, ethnicity, religion, social status, medical care leave requirements, political affiliation, people with disabilities, color, national origin, veteran status, etc., We consider all applications based on merit and suitability to the role.”
Personal data held by the Bank relating to employment applications will be used in accordance with our Privacy Statement, which is available on our website.
***Issued By HSBC Electronic Data Processing (India) Private LTD***",Finanzas,,2022-09-07T00:00:00,2022-10-16,FULL_TIME
Talent Acquisition Specialist,Apli,,,180000,360000,MONTH,MXN,"¡Join the company helping businesses implement the recruiting technology of the future!Apli is transforming how Latam's largest employers hire and manage their teams. To support our growth, we're looking for Recruiters who will bring the world-class talent that we need to build a future where people find jobs 50 times faster than today.You will be responsible for finding candidates with a strong entrepreneurial spirit and extraordinary skills for enterprise sales, customer success management or product development. Finally, you will support them through our hiring process and inspire them with the magic of working at Apli.You will become a strong business partner, tasked with understanding the challenges across our organization. You will partner closely with hiring managers, creating processes and leveraging our technology to source and screen candidates at scale. You will have the curiosity, resourcefulness and drive to recruit amazing people that want to make an impact in the world. From launching international operations to sourcing the kind of talent that can close million-dollar deals while thriving in a startup culture, you will have an exciting career with unparalleled learning opportunities.You should be comfortable working closely with managers, multi-tasking across different job openings and rolling up your sleeves as well as thinking creatively about new ways of sourcing great talent.Joining Apli, one of the fastest-growing startups in Mexico and recognized as one of the most innovative companies in the world, is a great way to have a MUCH faster career progression than in traditional jobs or larger technology companies. You will be surrounded by some of the most talented people in their fields, who work at Apli because they value speed and creativity and want to build something of big value.Minimum Qualifications: University degree in Psychology, Human Resources, Sociology, Communications, Political Science, Anthropology, Business Administration, Marketing or Engineering+ 2 years with recruiting experienceCurious, self-motivated, and excited about solving ambitious challengesAbility to draw conclusions from data and recommend actionsEntrepreneurial spiritIdeal QualificationsTrack record of achieving ambitious recruiting targets at head-hunting/recruiting firms or fast-growing tech companiesExperience launching creative candidate sourcing tacticsInterest in technologyResponsibilitiesBuild detailed recruiting plans and job descriptions based on business needsDesign, implement and supervise effective recruiting processes across the organizationPropose and lead employer branding initiativesLiaise with our marketing and product teams to adapt Apli’s technology to our internal needsSource, interview, persuade and follow up with top candidatesMake business recommendations with effective communication of findings from your recruiting processesResearch and develop new sourcing, screening, interviewing and motivation techniquesPerksFast-growing tech startup with a positive social impactYoung, international, dynamic team led by serial entrepreneursPerfect timing to assume responsibility with attractive compensation in a startup funded by institutional investors from Mexico, Europe & Silicon ValleyFlexible work conditionsAbout ApliApli is a recruiting automation platform that connects candidates to jobs 50 times faster than with traditional methods. With technology, we can fill billions of work days that are currently being lost because companies can’t hire fast enough or bad candidate profiling leads to high turnover. Apli was named in 2019 and 2018 to Fast Company's list of Top 10 Most Innovative Companies In Latin America and was recognized as a leader in Future of Work solutions by MIT’s Initiative on the Digital Economy. Apli’s investors include leading Mexican, American and European venture capital funds.Learn moreApli: Fast Company’s Top 10 Most Innovative Companies in LatAm https://www.fastcompany.com/company/apliApli Wins Harvard Business School New Venture Competition https://www.hbs.edu/about/video.aspx?v=1_vo23t4gjJob Types: Full-time, PermanentSalary: $15,000.00 - $30,000.00 per monthExperience:Sales Recruitment: 2 years (Preferred)Startup Recruitment: 2 years (Preferred)",,,2022-09-07T00:00:00,2022-10-16,FULL_TIME
