Job_title,Company,State,City,Min_Salary,Max_Salary,unitText,SalaryCurrency,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
ESPECIALISTA DE PROYECTOS,LABORATORIOS PISA S.A. DE C.V,Jalisco,Guadalajara,-1,-1,,MXN,"*LUGAR DE TRABAJO: PLANTA PISA TLAJOMULCO*Se tiene transporte de personal*Principales responsabilidades del puesto: Generar los cronogramas del proyecto.Recabar datos para elaborar el archivo de control de gasto de los proyectos del portafolio a su cargo.Administrar la comunicación efectiva y administrada en las tareas del portafolio.Generar reportes que contengan análisis técnicos proporcionados por áreas expertas que cuenten con bases científicas y estadísticas que reflejen el fenómeno físico presentado para su solución.Controlar y Monitorear las actividades planeadas y ejecutadas de los proyectos estratégicos.Nivel educativo: Lic. Áreas Químico-Farmacéuticas, Químico-biológicas, Ingeniería Industrial o a fin. (Carta Pasante indispensable)Experiencia: Gestión y Ejecución de Proyectos (1 año obligatorio).Industria Farmacéutica (1 año deseable).Conocimientos mandatorios: Metodología del Project Management Institute (PMI) Normatividad de entidades regulatorias nacionales (deseable).Gestión de Sistemas de Calidad (deseable)Otros requisitos: Inglés Avanzado Obligatorio.Disponibilidad para viajar.Tipo de contrato: PermanenteSi cubres el perfil solicitado para esta vacante postúlate para iniciar proceso.¡Grupo PISA agradece tu interés en participar en esta convocatoria!Los procesos de reclutamiento, evaluación, entrevista, selección y contratación de personal, son totalmente GRATUITOS en Grupo PiSA; nadie debe solicitarte pago alguno para participar en nuestros procesos de Reclutamiento y Selección.Por favor reporta cualquier solicitud extraña en el proceso para ingresar a Grupo PiSATipo de puesto: Tiempo completoSalario: A partir de $1.00 al mesHorario:Turno de 8 horasPrestaciones:Caja de ahorroDescuentos y precios preferencialesSeguro de vidaServicio de comedor con descuentoVales de despensa",Farmacéutica y biotecnología,,2022-08-23T00:00:00,2022-10-16,FULL_TIME
Data Minning,TOI EXPERTOS HIPOTECARIOS,Nuevo León,Monterrey,180000,180000,MONTH,MXN,"¡En TOI estamos buscando a alguien como tu!Funciones a desempeñar.· Dominio de Técnicas basadas en datosSu hard skill principal es conocer los datos y saber trabajar con ellos en Inteligencia Artificial, Machine Learning, Big data, Deep Learning.· Comprensión de lenguajes de programaciónSpark, Hadoop, Cassandra, R, Python, SQL, Non SQL.2 años de experiencia mínima en: · Conocimiento en estadísticas y matemáticas· Comunicación y colaboración· Descubrir las características que distinguen a un segmento del público objetivo· Encontrar oportunidades potenciales en conjuntos de datos dispares· Identificar problemas no reconocidos en las operaciones comerciales actualesTipo de puesto: Tiempo completoSalario: Hasta $15,000.00 al mesHorario:Turno de 8 horas",,,2022-09-01T00:00:00,2022-10-16,FULL_TIME
Coordinador de Iniciativas Comerciales,MetLife,México,Ciudad de México,-1,-1,,MXN,"Somos expertos y reconocidos a nivel mundial como líderes en seguros. Tenemos más de 150 años de experiencia entregando lo mejor en seguros de vida, rentas vitalicias y programas de beneficios a más de 90 millones de clientes, en 50 países del mundo.
Estamos buscando Coordinador de Iniciativas Comerciales para construir juntos un futuro más seguro para las familias mexicanas
Propósito o misión del Rol:
Proponer e implementar proyectos, estrategias, herramientas comerciales y mejoras a la oferta de valor
Buscamos personas que:
Construyan el mañana, cambien e innoven para tener un desempeño sostenido, aprovechando las oportunidades, experimentando con seguridad y actuando con urgencia.
Ganan junto, colaboran y fortalecen mutuamente para alcanzar el éxito, buscando perspectivas diferentes, fomentan la inclusión y crean alineamiento.
Se adueñan, cumpliendo con nuestros clientes asumiendo responsabilidad, facilitando soluciones y logrando entregar los resultados esperados.
RESPONSABILIDADES Y ATRIBUCIONES
Coordinar y dar seguimiento a la investigación de mercado para definir nuevos productos y beneficios para agregar a la oferta de valor de Met99.
Participar en definiciones internas de producto / TI, coordinar pruebas con promotores, fases de implementación y estabilización de proyectos nuevos y/o mejoras en los procesos de cobranza, nuevos canales de venta.
Coordinar estrategias para pilotar, lanzar, implementar, dar seguimiento e impulsar el uso de proyectos.
Definir y ejecutar planes y acciones de adopción para incrementar el uso con equipos comerciales, promotores y agentes.
Estar en constante comunicación con Promotorías y agentes campeones para recopilar comentarios y hallazgos.
Agentes coordinadores del primer nivel de soporte; Dan seguimiento a los problemas reportados y escalar al siguiente nivel aquellos que lo requieran.
Análisis de información (bases de datos, estadísticas) que lleven a tomar decisiones para buscar, generar y proponer nuevas formas de hacer evolucionar iniciativas nuevas o existentes para mejorar los KPIs del negocio.
REQUISITOS Y CALIFICACIONES
Licenciatura terminada (titulado) en áreas Económico-Administrativa, Mercadotecnia, Ingeniería Industrial o similar
Experiencia mínima de 2 a 3 años en puesto similar (líder de proyecto o coordinación)
Idioma inglés nivel intermedio-avanzado
Manejo de paquetería Office en particular Excel (manejo básico de bases de datos)
Indispensable administración o participación en proyectos de: Herramientas digitales/ Herramientas comerciales
Deseable: experiencia en metodologías Agile y de innovación, en canales de venta
Iniciativa
Trabajo colaborativo
Liderazgo
Detección de oportunidades
Enfoque a resultados
Trabajo en equipo
Negociación
Creatividad
Capacidad de planificar
En MetLife tenemos el compromiso de fomentar la diversidad entre colaboradores y colaboradoras, a través de un trato no discriminatorio por motivos de raza, expresión / identidad de género, orientación sexual, religión, edad, nacionalidad, estado civil, discapacidades, condición física o económica, no se hacen pruebas de VIH y embarazo como requisito para ingreso, permanencia o ascenso y existe igualdad de oportunidades laborales
Para la consideración inmediata, haga clic en el botón “Aplicar ahora”. Usted será dirigido a completar un perfil en línea. Una vez completado, usted recibirá un correo electrónico automático, confirmando que su aplicación al trabajo ha sido exitosa.",Seguros,,2022-09-13T00:00:00,2022-10-16,OTHER
Process Technician,Corning,Tamaulipas,Reynosa,-1,-1,,MXN,"Date: Sep 11, 2022
Location: Reynosa, TAM, MX, 88730
Company: Corning
Process Technician

Descripción Aplica el conocimiento, las habilidades y la experiencia en ingeniería de procesos desde el concepto hasta la entrega de procesos y equipos en las áreas de producción
Responsabilidades

Colaborador individual, líder o miembro del equipo con una dirección clara proporcionada por el ingeniero o supervisor responsable, con la propiedad de una parte significativa del logro dentro de la asignación
Mantener y mejorar las métricas de los procesos de fabricación (FPY, RTY)
Apoyar tareas administrativas, como documentar y publicar procesos (MPI, VA y PM / AC junto con el Departamento de Mantenimiento), mantenimiento de equipos, mejorar o desarrollar pautas de seguridad y ergonomía para el uso de equipos.
Coordinar equipos / accesorios, prototipos, pedidos de compra de consumibles.
Ayudar en la selección de nuevos equipos y consumibles y comprender su fabricación.
Soporte en la selección de equipos, instalación de fabricación, puesta en marcha y aceptación (Pilot, Pre-Pro Runs y EEM)
Liderar proyectos bajo la supervisión y dirección de Ingeniería, ejecutando acciones basadas en metodologías y políticas establecidas.
Trabajar con y facilitar la alineación entre los expertos en fabricación, desarrollo y procesos ascendentes para ayudar a entregar procesos capaces que cumplan con las especificaciones del cliente.
Utilizar herramientas estadísticas básicas, datos de ingeniería y metodologías DMAIC / DESGN / Lean / PFMEA para ayudar a desarrollar la comprensión del proceso para respaldar procesos de fabricación sólidos.
Apoyar los planes de calificación de mejora de productos y procesos. Ayudar en el desarrollo de informes técnicos para publicación interna.
• Apoyar la resolución de problemas en la fabricación y las notificaciones al cliente, incluida la identificación de la causa raíz y la propuesta de resolución. • Trabajar en problemas donde el análisis de datos requiere la evaluación de factores identificables.
Ayudar en la introducción de dispositivos y procesos seguros y ergonómicos para permitir un entorno de trabajo seguro.
Apoyar la implementación de una arquitectura de calidad de producto sólida para productos nuevos y existentes.
Ayuda a determinar consumibles sustitutos para evitar un impacto adverso en el proceso
Proponer e implementar iKaizens y Safety Kaizens
Apoyar y realizar la implementación de las 5S en el área de trabajo para lograr el objetivo de la Planta.

Educación • Carrera Técnica Mecatrónica, Mecánica, Electrónica • Licenciatura en Mecatrónica, Mecánica, Electrónica, Ingeniería Industrial. Experiencia laboral • Experiencia de 2 a 4 años en ingeniería de fabricación",Manufactura,,2022-09-11T00:00:00,2022-10-16,OTHER
Demand Planning & BI Analyst,Syngenta,México,Ciudad de México,-1,-1,,MXN,"Acerca de Syngenta
Syngenta es una compañía líder del sector agrícola orientada a mejorar la seguridad alimentaria mundial ayudando a millones de productores/as a hacer un uso más eficiente de los recursos disponibles. A través de ciencia de primer nivel e innovadoras soluciones para cultivos, nuestros 28.000 colaboradores en más de 90 países trabajan para transformar la producción agrícola. Estamos comprometidos/as con la recuperación de tierras al borde de la degradación, la mejora de la biodiversidad y la revitalización de las comunidades rurales.
Ubicación
CDMX, México
Hacemos la diferencia
Serás parte del equipo de Marketing dando soporte al área. A través de los valores Pasión por clientes, Ejecución con Determinación y Crecimiento para todos vivirás y experimentarás un rol crítico para nuestro negocio. A continuación, los detalles:
Responsabilidades
Pronóstico Estadístico, Detección de Demanda
Administrar la integridad de los datos y el análisis en la herramienta de pronóstico.
Capturar y documentar supuestos incorporados en datos históricos y pronósticos.
Supervisar el nivel, la tendencia, la estacionalidad, la precisión, el sesgo en el pronóstico estadístico (y otras líneas de opinión).
Configurar pronósticos de excepción, monitoreo e informes con alertas.
Proponer el primer borrador del pronóstico de ventas sin restricciones (basado en estadísticas).
Desarrollo de Pronósticos
Coordinar la colaboración entre Ventas, Marketing y PS para desarrollar y acordar el pronóstico de ventas consensuado.
Apoyar la alineación de pronósticos con los impulsores y suposiciones (DnA).
Soporte y documentación R&O.
Coordinación de la reunión de consenso
Informes y análisis de variación de pronósticos.
Reporting y análisis (KPI’s, Demand Review y S&OP).
Revisar las restricciones y facilitar la creación del Plan de Ventas Restringido.
Implementación de Mejora de Procesos.
Modelado de pronóstico estadístico, revisión periódica de variables en algoritmos estadísticos, trabajo con COE en mejoras.
Servir como experto técnico en temas relacionados con herramientas de pronóstico, integración de procesos y sistemas.
Actualizar regularmente el conocimiento en los grupos de partes interesadas sobre el proceso, el sistema, los KPI y las reglas.
Análisis de datos
Colaborar en la administración de las bases de datos disponibles tanto para el Planning & Forecasting como para las de Inteligencia de mercados.
Administrar las herramientas disponibles para consolidación de información.
Generar, analizar y sintetizar información para apoyar la toma de decisiones.
Conocimientos técnicos
Servir como experto/a técnico/a en temas relacionados con la herramienta de planificación de la demanda, integración de procesos y sistemas y estándares globales.
Actualizar periódicamente los conocimientos y las mejores prácticas en el área de pronóstico de ventas, pronóstico estadístico, sistema de pronóstico global, análisis en línea con los estándares globales.
Buen trabajo y relacionamiento con diferentes áreas para solicitar aportes locales y garantizar una mejor implementación de la estrategia.
En Syngenta estamos enfocados al talento - buscamos profesionales comprometidos/as, colaborativos/as y con excelencia en ejecución. Nuestro equipo de liderazgo espera comunicarse efectivamente, desarrollar equipos y liderar con el ejemplo. Nuestra industria y funciones están cambiando rápidamente, por ello estamos en búsqueda de colaboradores con un fuerte deseo de autodesarrollo.
Es indispensable para esta posición:
Licenciatura en administración de empresas, ingeniería industrial, economía o similar.
Experiencia en Planificación de Logística y Distribución y Planificación de Suministro y Producción.
Conocimientos en previsión de ventas y planificación de la demanda.
Conocimiento del proceso S&OP / IBP.
Comprensión del proceso de planificación, logística y distribución de suministros.
Habilidades avanzadas en Excel, Word, PowerPoint y Outlook.
Experiencia en pronósticos de ventas, informes y sistemas ERP (SAP, APO, CRM, etc.).

Deseable:
Experiencia en Ventas/Marketing.
Conocimiento de la industria y los productos agrícolas.

Se parte de la Experiencia Syngenta
Salario y Beneficios competitivos.
Ambiente dinámico e internacional.
Entorno moderno, profesional, seguro y colaborativo.
Políticas laborales de avanzada (ej. trabajo flexible, enfoque en objetivos).
Desarrollo individual en un ambiente diverso e inclusivo.

Importante:
Más allá de solamente creer en el poder de la diversidad, el Syngenta promueve una cultura inclusiva que abraza las diferencias en todas sus formas. Aquí creemos que el sentimiento de pertenencia permite que las personas sean las mejores versiones de sí mismas, construyendo un ambiente cada vez más acogedor y productivo. Todas las personas calificadas serán consideradas para nuestras posiciones, sin distinción de raza, género, edad, nacionalidad o discapacidad.

Forma parte de una compañía líder que trae a la vida el potencial de las plantas",Agrario,,2022-09-15T00:00:00,2022-10-16,FULL_TIME
Planner Buyer Junior,3 Punto Zero,,,144000,180000,MONTH,MXN,"¿Quieres pertenecer a una comunidad de expertos en compra de medios digitales,planificación de estrategias de marketing digital, ejecución, seguimiento yoptimización de campañas digitales?Por crecimiento estamos en búsqueda de un Planner Junior que quiera crecer con nosotros. Nuestro talento ideal: · Escolaridad: Mercadotecnia, Ciencias de la Comunicación, Publicidad, Relaciones Públicas· Experiencia: Mínima de 1 y medio año en agencia de medios (planeación de campañas pagadas)· Conocimiento de Google Ads, FB Blueprint, Google Analytics, Comscore, E-Commerce, Marketplaces, TikTok· Disponibilidad de tiempo completo· Inglés Avanzado (indispensable B2-C1)¿Cuál serían tus funciones en la agencia? Realización de planes y estrategias de medios digitales (Full funnel)Ser el responsable de liderear la operación y contratación de las campañas. Manejar y conocer el manejo de plataformas de compra de pautas de medios en agenciaAsegurar la correcta implementación y entregar reportes (Realizar Presentaciones, reportes, entrega de resultados). Es importante la lectura de estadísticas, para entrega de reportes.Responsable de los objetivos y KPI´s de los planes de medios aprobadosSeguimiento de la estrategia de las campañas.Gestión de negociación, compra y monitoreo de medios.Ofrecemos: Sueldo acorde a experiencia. Retos y Crecimiento profesional+ Prestaciones de ley + Esquema Híbrido (casa y oficina) + Capacitaciones y certificaciones. La contratación es inmediata.Horario: lunes a jueves de 9:00 am a 6:00 pm y viernes de 09:00 a 3:00 pmZona laboral: Colonia Roma Norte, Cuauhtémoc.Envíanos tu CV a recursoshumanos @ 3 zero (punto) mxTipo de puesto: Tiempo completo, Por tiempo indeterminadoSalario: $12,000.00 - $15,000.00 al mesHorario:Turno de 8 horasPrestaciones:Caja de ahorroDescuentos y precios preferencialesOpción a contrato indefinidoSeguro de gastos médicosSeguro de vidaTrabajar desde casaVacaciones adicionales o permisos con goce de sueldo",,,2022-09-01T00:00:00,2022-10-16,FULL_TIME
ANALISTA DE DATA SCIENCE Y BUSINESS INTELLIGENCE,BNP Paribas,,,-1,-1,,MXN,"ANALISTA DE DATA SCIENCE Y BUSINESS INTELLIGENCE (NÚMERO DE PUESTO: CTLM MX PM CHRY 013)

Descripción

Objetivo del Puesto:

Crear reportes de indicadores de las áreas de Crédito, SAC, Cobranza, Contencioso y Plan Piso, así como entregar información para las áreas de Comercial, Seguros, Contabilidad y Planeación Financiera de acuerdo a los propósitos y gestión de cada área para impulsar y fortalecer las estrategias para cumplir los objetivos de la empresa.

Funciones Principales: ¿Qué hace y para qué lo hace?

Ejecutar y dar soporte técnico al flujo oportuno de información de inteligencia empresarial a los usuarios mediante la creación, diseño, preparación y distribución de reportes, cuadros de mando y otras herramientas existentes a partir del flujo de información generado previamente para la toma de decisiones en la operación
Crear herramientas o sistemas de inteligencia de negocios, incluyendo diseño de bases de datos, hojas de cálculo o salidas relacionadas
Mantener o actualizar las herramientas de inteligencia de negocios (Power BI, Qlik Sense, Tableu, Mondobrain o similares) para presentación de la información.
Interactuar con los equipos de Comercial, Crédito, Atención a Clientes, Cobranza, Contencioso, Plan Piso, Riesgo, Finanzas, Cumplimiento, Seguridad de la Información y cualquier otro, según sea necesario, para coadyuvar en la consecución de los objetivos de la DO a partir de la relación con dichos equipos.
Realizar o coordinar pruebas con las áreas de IT para asegurar que la información es consistente con las necesidades definidas.
Dar soporte a las actividades back office como detonar campañas SMS/Chatbot y mail’s además de crear presentaciones para las plataformas operativas de los resultados de las campañas.

Escolaridad:

Licenciatura en Economía, Actuaría o carreras afines

Experiencia y Conocimientos:

Indispensable:
Experto en Excel (VBA avanzado)
Access (VBA avanzado)
Lenguaje SQL para BI (avanzado)
Análisis y explotación de grandes volúmenes de datos
Importante:
Conocimiento de herramientas de self BI (intermedio-avanzado)
Conocimiento de modelado de datos para BI
Conocimiento en lenguajes de programación estadísticos y para machine learning: R, Python, SAS, SPSS o similares (básico)

Competencias necesarias para desempeñar el puesto:

Iniciar acciones
Planificación y organización
Tomar decisiones
Aprendizaje aplicado
Enfoque en el cliente
Contribuir al éxito del equipo
Crear un ambiente de confianza
Orientación a la calidad

Idioma(s) Requerido(s):

Inglés intermedio (Lectura y escritura)

Ubicación principal: MX-DIF-Miguel Hidalgo
Tipo de puesto: Estándar
Puesto: DATA
Nivel de experiencia: Al menos 1 año
Horario: Tiempo completo",Finanzas,,2022-09-12T00:00:00,2022-10-16,FULL_TIME
ASISTENTE DE SUSCURSAL VOLANTE,RADIAL LLANTAS SAPI DE CV,México,Naucalpan,102000,108000,MONTH,MXN,"RADIAL LLANTAS, S.A. DE C.V. Empresa experta en llantas con más de 50 años en el mercado, te invita a ser parte de la familia Radial por lo que estamos en búsqueda de tu talento.Requisitos:Escolaridad: Carrera técnicaEdad: 18 a 35 añosVivir cerca de la zona de trabajoExperiencia: 6 meses minConocimientos:Experiencia en ventas, Administrativo,Manejo de personal,Controles de mercancía,Procesos de venta,Controles en tiempos de entrega,Controles de inventario,Apertura de nuevos clientes yCapacitación al personal sobre como prospectar y llegar a una excelente venta. Creación de formatos para llevar ventas, inventarios, rotación, y estadística de venta.Habilidades:DinámicaOrdenadaFacilidad de palabra y buen trato con clientesActitud de servicio Ofrecemos:Sueldo Base $9,000 mensuales brutosPrestaciones de leyEstabilidad LaboralUniformesTipo de puesto: Tiempo completoSalario: $8,500.00 - $9,000.00 al mesHorario:Turno de 8 horas",,,2022-09-02T00:00:00,2022-10-16,FULL_TIME
Inteligencia de mercados,Grupo CSI,Baja California,Tijuana,240000,240000,MONTH,MXN,"Esta vacante viene de la bolsa de empleo Talenteca.com
Grupo CSI solicita coordinador de inteligencia de mercados.
Ofrecemos:
Sueldo de $4,000 A $5,000 semanales libres.
Requisitos:
Dominio en lenguaje de programación tipo Python, Ruby, R etc para la codificación de base de datos y analíticos.
Experto en organizar información cuantitativa.
Responsabilidades:
Diseñar, desarrollar informes analíticos y comerciales que pronostiquen la demanda.
Analista de ventas y proyección a mediano plazo por categorías.
Escriba códigos SQL para analizar datos y determinar herramientas que nos permitan leer estadísticos para la toma de decisiones en compras.
Identificar oportunidades nuevas mercado.
Documentación de procesos en esta área.
Para postularte:
Enviar CV a hiar mensaje al whatsapp*
Esta vacante viene de la bolsa de empleo Talenteca.com: https://www.talenteca.com/mexico/empleo/tijuana/inteligencia-de-mercados/6323645a2b000055002dabbat1?source=indeed",,,2022-09-15T00:00:00,2022-10-16,FULL_TIME
Desarrollador,GRUPO CSI,Baja California,Tijuana,192000,240000,MONTH,MXN,"Grupo CSI solicita coordinador de inteligencia de mercados.Ofrecemos: Sueldo de $4,000 A $5,000 semanales libres.Requisitos: Dominio en lenguaje de programación tipo Python, Ruby, R etc para la codificación de base de datos y analíticos.Experto en organizar información cuantitativa.Responsabilidades: Diseñar, desarrollar informes analíticos y comerciales que pronostiquen la demanda.Analista de ventas y proyección a mediano plazo por categorías.Escriba códigos SQL para analizar datos y determinar herramientas que nos permitan leer estadísticos para la toma de decisiones en compras.Identificar oportunidades nuevas mercado.Documentación de procesos en esta área.Para postularte: Enviar CV a hugo.lopez @ gpocsi.mx o bien, enviar mensaje al whatsapp 664 363 6135Tipo de puesto: Tiempo completo, Por tiempo indeterminadoSalario: $16,000.00 - $20,000.00 al mesHorario:Turno matutino",,,2022-09-15T00:00:00,2022-10-16,FULL_TIME
